,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:05 EK449,,Auckland (AKL),Emirates B77W (A6-ECJ),Landed 23:48,2021-04-29
1,1,02:25 G9923,,Sharjah (SHJ),Air Arabia -,Canceled,2021-04-29
2,2,02:50 CV8703,,Kuwait City (KWI),Cargolux B748 (LX-VCK),Landed 05:49,2021-04-29
3,3,02:55 MH6171,,Shanghai (PVG),MASkargo A332 (9M-MUA),Landed 18:03,2021-04-29
4,4,03:15 8M5003,,Yangon (RGN),Myanmar Airways International A319 (XY-ALN),Landed 02:33,2021-04-29
5,5,04:00 IX624,,Tiruchirapalli (TRZ),Air India Express 738,Unknown,2021-04-29
6,6,05:00 YG9029,,Tianjin (TSN),YTO Cargo Airlines 73F,Unknown,2021-04-29
7,7,05:00 MH140,,Sydney (SYD),Malaysia Airlines 333,Unknown,2021-04-29
8,8,05:50 IX122,,Delhi (DEL),Air India Express 738,Canceled,2021-04-29
9,9,05:50 YG9109,,Shenzhen (SZX),YTO Cargo Airlines 73F,Unknown,2021-04-29
10,10,05:50 YG9137,,Kunming (KMG),YTO Cargo Airlines 73F,Unknown,2021-04-29
11,11,06:00 MH128,,Melbourne (MEL),Malaysia Airlines A333 (9M-MTB),Landed 05:08,2021-04-29
12,12,06:00 YG9051,,Hangzhou (HGH),YTO Cargo Airlines B752 (B-2830),Landed 16:21,2021-04-29
13,13,06:00 YG9115,,Nanning (NNG),YTO Cargo Airlines 73F,Unknown,2021-04-29
14,14,06:30 MH181,,Chennai (MAA),Malaysia Airlines A333 (9M-MTC),Landed 05:54,2021-04-29
15,15,06:40 MH193,,Bengaluru (BLR),Malaysia Airlines A333 (9M-MTF),Landed 06:03,2021-04-29
16,16,06:50 AK117,,Guangzhou (CAN),AirAsia A20N (9M-AGH),Landed 06:45,2021-04-29
17,17,06:50 KE8383,,Singapore (SIN),Korean Air Cargo B744 (HL7603),Landed 06:34,2021-04-29
18,18,06:55 MH191,,Delhi (DEL),Malaysia Airlines (Oneworld Livery) A333 (9M-MTE),Landed 06:19,2021-04-29
19,19,07:35 MH195,,Mumbai (BOM),Malaysia Airlines A333 (9M-MTJ),Landed 06:31,2021-04-29
20,20,07:50 MH126,,Perth (PER),Malaysia Airlines (Oneworld Livery) A333 (9M-MTO),Landed 07:31,2021-04-29
21,21,08:01 MH197,,Dhaka (DAC),Malaysia Airlines (Malaysia Negaraku Livery) A332 (9M-MTY),Landed 08:00,2021-04-29
22,22,08:05 MH6191,,Taipei (TPE),Malaysia Airlines 33X,Unknown,2021-04-29
23,23,08:10 QR844,,Doha (DOH),Qatar Airways B77W (A7-BET),Landed 07:37,2021-04-29
24,24,08:10 3K683,,Singapore (SIN),Jetstar Airways A320 (9V-JSM),Landed 07:46,2021-04-29
25,25,09:00 O37228,,Shenzhen (SZX),SF Airlines B763 (B-20AV),Landed 14:15,2021-04-29
26,26,09:30 QZ320,,Surabaya (SUB),AirAsia A320 (PK-AZE),Landed 09:27,2021-04-29
27,27,09:30 SQ106,,Singapore (SIN),Singapore Airlines B77W (9V-SWT),Landed 09:10,2021-04-29
28,28,09:50 AK6431,,Kota Bharu (KBR),AirAsia 320,Unknown,2021-04-29
29,29,10:00 W583,,Tehran (IKA),Mahan Air 343,Unknown,2021-04-29
30,30,10:10 AK6309,,Langkawi (LGK),AirAsia 320,Unknown,2021-04-29
31,31,11:00 SG7807,,Bengaluru (BLR),SpiceXpress B738 (VT-SFG),Canceled,2021-04-29
32,32,11:20 MH1143,,Penang (PEN),Malaysia Airlines 738,Canceled,2021-04-29
33,33,11:30 MH1385,,Kota Bharu (KBR),Malaysia Airlines 738,Canceled,2021-04-29
34,34,11:35 OD1601,,Kuching (KCH),Malindo Air 738,Canceled,2021-04-29
35,35,11:40 AK6225,,Kuala Terengganu (TGG),AirAsia A320 (9M-RAT),Landed 11:26,2021-04-29
36,36,12:00 MH1269,,Kuantan (KUA),Malaysia Airlines 738,Canceled,2021-04-29
37,37,12:10 MH1052,,Johor Bahru (JHB),Malaysia Airlines 738,Canceled,2021-04-29
38,38,12:25 MH2613,,Kota Kinabalu (BKI),Malaysia Airlines 738,Canceled,2021-04-29
39,39,12:35 EY418,,Abu Dhabi (AUH),Etihad Airways B789 (A6-BLZ),Landed 11:45,2021-04-29
40,40,12:40 AK5173,,Labuan (LBU),AirAsia A320 (9M-AJN),Landed 12:06,2021-04-29
41,41,12:45 AK6113,,Penang (PEN),AirAsia A320 (9M-RAA),Landed 12:25,2021-04-29
42,42,12:50 AK5119,,Kota Kinabalu (BKI),AirAsia 320,Unknown,2021-04-29
43,43,12:50 MH1433,,Langkawi (LGK),Malaysia Airlines 738,Canceled,2021-04-29
44,44,13:00 O37174,,Zhengzhou (CGO),SF Airlines 73F,Unknown,2021-04-29
45,45,13:15 OD1605,,Kuching (KCH),Malindo Air B739 (9M-LNL),Landed 14:33,2021-04-29
46,46,13:25 CI721,,Taipei (TPE),China Airlines B77W (B-18052),Landed 13:06,2021-04-29
47,47,13:45 AK6305,,Langkawi (LGK),AirAsia 320,Unknown,2021-04-29
48,48,13:50 MH2661,,Tawau (TWU),Malaysia Airlines B738 (9M-MLT),Landed 14:00,2021-04-29
49,49,14:00 8M5001,,Yangon (RGN),Myanmar Airways International A320 (XY-ALL),Landed 14:11,2021-04-29
50,50,14:05 MH1145,,Penang (PEN),Malaysia Airlines 738,Canceled,2021-04-29
51,51,14:15 AK5747,,Tawau (TWU),AirAsia A20N (9M-RAR),Landed 13:49,2021-04-29
52,52,14:20 MH2609,,Labuan (LBU),Malaysia Airlines B738 (9M-MXJ),Landed 14:26,2021-04-29
53,53,14:25 EK346,,Dubai (DXB),Emirates (Expo 2020 - Mobility Livery) B77W (A6-EPD),Landed 13:27,2021-04-29
54,54,14:25 MH2621,,Kota Kinabalu (BKI),Malaysia Airlines B738 (9M-MXL),Landed 14:37,2021-04-29
55,55,14:45 MH2575,,Miri (MYY),Malaysia Airlines B738 (9M-MSB),Landed 14:29,2021-04-29
56,56,14:50 AK5105,,Kota Kinabalu (BKI),AirAsia A20N (9M-AGR),Landed 14:40,2021-04-29
57,57,14:50 QR848,,Doha (DOH),Qatar Airways B77W (A7-BEN),Landed 14:03,2021-04-29
58,58,15:00 IX922,,Hyderabad (HYD),Air India Express 738,Canceled,2021-04-29
59,59,15:00 PR527,,Manila (MNL),Philippine Airlines 320,Unknown,2021-04-29
60,60,15:30 MH2611,,Kota Kinabalu (BKI),Malaysia Airlines 738,Canceled,2021-04-29
61,61,15:30 BA33,,London (LHR),British Airways B789 (G-ZBKS),Landed 15:21,2021-04-29
62,62,15:45 AK6441,,Kota Bharu (KBR),AirAsia A320 (9M-AJN),Landed 15:14,2021-04-29
63,63,15:55 MH1209,,Alor Setar (AOR),Malaysia Airlines B738 (9M-MLG),Landed 15:48,2021-04-29
64,64,16:25 MH144,,Auckland (AKL),Malaysia Airlines (Malaysia Negaraku Livery) A359 (9M-MAC),Landed 15:59,2021-04-29
65,65,16:30 MH1437,,Langkawi (LGK),Malaysia Airlines 738,Canceled,2021-04-29
66,66,16:35 MH67,,Seoul (ICN),Malaysia Airlines A333 (9M-MTH),Landed 16:26,2021-04-29
67,67,16:45 MH1149,,Penang (PEN),Malaysia Airlines 738,Canceled,2021-04-29
68,68,16:45 TK6470,,Istanbul (ISL),Turkish Cargo B77L (TC-LJR),Landed 00:50,2021-04-29
69,69,16:50 AK6303,,Langkawi (LGK),AirAsia A320 (9M-RAA),Landed 16:34,2021-04-29
70,70,17:15 H9890,,Kathmandu (KTM),Himalaya Airlines A320 (9N-ALV),Landed 16:59,2021-04-29
71,71,17:45 ET618,,Bangkok (BKK),Ethiopian Airlines B788 (ET-ATL),Landed 16:54,2021-04-29
72,72,17:45 IX622,,Chennai (MAA),Air India Express 738,Unknown,2021-04-29
73,73,17:45 JL723,,Tokyo (NRT),Japan Airlines B789 (JA869J),Landed 17:23,2021-04-29
74,74,17:50 AK5131,,Kota Kinabalu (BKI),AirAsia A320 (9M-RAT),Landed 17:30,2021-04-29
75,75,17:55 GA820,,Jakarta (CGK),Garuda Indonesia A333 (PK-GPX),Landed 17:26,2021-04-29
76,76,18:00 MH2641,,Kota Kinabalu (BKI),Malaysia Airlines 738,Canceled,2021-04-29
77,77,18:30,MH1455,Langkawi (LGK),Malaysia Airlines 738,Canceled,2021-04-29
78,78,18:40 AK6227,,Kuala Terengganu (TGG),AirAsia 320,Unknown,2021-04-29
79,79,18:40,MH2517,Kuching (KCH),Malaysia Airlines B738 (9M-MXD),Landed 18:44,2021-04-29
80,80,18:55 AK5245,,Bintulu (BTU),AirAsia A20N (9M-AGH),Landed 18:48,2021-04-29
81,81,19:05 AK6313,,Langkawi (LGK),AirAsia 320,Unknown,2021-04-29
82,82,19:05,MH1335,Kuala Terengganu (TGG),Malaysia Airlines 738,Canceled,2021-04-29
83,83,19:30,MH2607,Kota Kinabalu (BKI),Malaysia Airlines B738 (9M-MXY),Landed 19:26,2021-04-29
84,84,19:30 MH6119,,Hong Kong (HKG),Malaysia Airlines 33X,Unknown,2021-04-29
85,85,19:45 EK448,,Dubai (DXB),Emirates (Expo 2020 - Opportunity Livery) B77W (A6-ECU),Landed 19:16,2021-04-29
86,86,19:45,SQ126,Singapore (SIN),Singapore Airlines B738 (9V-MGN),Landed 19:30,2021-04-29
87,87,20:00,MH1397,Kota Bharu (KBR),Malaysia Airlines 738,Canceled,2021-04-29
88,88,20:00 OD349,,Jakarta (CGK),Malindo Air B738 (9M-LNP),Landed 19:56,2021-04-29
89,89,20:15,MH122,Sydney (SYD),Malaysia Airlines A333 (9M-MTA),Landed 19:36,2021-04-29
90,90,20:20,MH1155,Penang (PEN),Malaysia Airlines 738,Canceled,2021-04-29
