,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:05 SU6990,,Simferopol (SIP),Rossiya A319 (VQ-BAR),Landed 23:49,2021-06-08
1,1,00:05,WZ736,Sochi (AER),Red Wings A321 (VP-BER),Landed 23:44,2021-06-08
2,2,00:10,WZ702,Simferopol (SIP),Red Wings A320 (VP-BWW),Landed 23:53,2021-06-08
3,3,00:15,EO795,Orsk (OSW),Pegas Fly E90,Unknown,2021-06-08
4,4,00:25 5N518,,Murmansk (MMK),Smartavia B737 (VP-BYY),Landed 00:09,2021-06-08
5,5,00:30 SU2815,,Sochi (AER),Aeroflot A320 (VP-BFE),Landed 00:20,2021-06-08
6,6,00:35,WZ648,Krasnodar (KRR),Red Wings A320 (VP-BWX),Landed 00:18,2021-06-08
7,7,00:40,SU34,Moscow (SVO),Aeroflot A320 (VQ-BHN),Landed 00:29,2021-06-08
8,8,00:40 5N540,,Kaliningrad (KGD),SmartAvia A20N (VP-BOF),Landed 00:25,2021-06-08
9,9,01:05 SU6116,,Volgograd (VOG),Rossiya A319 (VP-BBT),Landed 00:48,2021-06-08
10,10,01:15,S71025,Moscow (DME),S7 Airlines A321 (VQ-BQH),Landed 00:57,2021-06-08
11,11,01:20 SU6314,,Krasnodar (KRR),Rossiya A319 (VQ-BAU),Landed 01:12,2021-06-08
12,12,01:40 5N526,,Simferopol (SIP),Smartavia B738 (VQ-BBW),Landed 01:32,2021-06-08
13,13,02:00 SU46,,Moscow (SVO),Aeroflot B738 (VP-BMD),Unknown,2021-06-08
14,14,02:25 SU6992,,Simferopol (SIP),Aeroflot 319,Canceled,2021-06-08
15,15,02:30 U68582,,Dushanbe (DYU),Ural Airlines A321 (VP-BVR),Landed 03:57,2021-06-08
16,16,02:45 N42028,,Tamchy (IKU),Nordwind Airlines B738 (VP-BSO),Landed 02:28,2021-06-08
17,17,02:45 BJ882,,Monastir (MIR),Nouvelair Tunisie 320,Unknown,2021-06-08
18,18,02:55 SU36,,Moscow (SVO),Aeroflot A321 (VP-BKR),Landed 02:33,2021-06-08
19,19,03:15 SU6998,,Simferopol (SIP),Rossiya A319 (VQ-BBA),Landed 03:11,2021-06-08
20,20,04:10 U628,,Sochi (AER),Ural Airlines A320 (VQ-BCY),Landed 04:03,2021-06-08
21,21,04:35 U6512,,Simferopol (SIP),Ural Airlines A321 (VP-BBH),Landed 04:45,2021-06-08
22,22,05:20 ZF1402,,Nukus (NCU),Azur Air B763 (VP-BUX),Landed 05:01,2021-06-08
23,23,05:25 SU2805,,Sochi (AER),Aeroflot B738 (VP-BCF),Landed 05:17,2021-06-08
24,24,05:30 BJ826,,Monastir (MIR),Nouvelair Tunisie 320,Unknown,2021-06-08
25,25,05:45,WZ800,Kaliningrad (KGD),Red Wings A321 (VP-BER),Landed 05:11,2021-06-08
26,26,05:55 SU6582,,Perm (PEE),Rossiya A319 (VP-BWJ),Landed 05:47,2021-06-08
27,27,05:55 SU6596,,Kazan (KZN),Rossiya A319 (VQ-BOX),Landed 05:40,2021-06-08
