,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,07:12 AA4574,,Boston (BOS),American Eagle E75S (N135HQ),Landed 06:51,2021-06-08
1,1,07:21 DL4730,,Rochester (ROC),Delta Connection CRJ9 (N316PQ),Landed 06:57,2021-06-08
2,2,07:23 AA4825,,Pittsburgh (PIT),American Eagle E75S (N105HQ),Landed 07:08,2021-06-08
3,3,07:26 DL4779,,Buffalo (BUF),Delta Connection CRJ9 (N914XJ),Landed 07:17,2021-06-08
4,4,07:34 NK316,,Detroit (DTW),Spirit Airlines A320 (N627NK),Landed 07:41,2021-06-08
5,5,07:36 AA4935,,Raleigh-Durham (RDU),American Eagle E170 (N826MD),Landed 07:22,2021-06-08
6,6,07:37 DL5768,,Raleigh-Durham (RDU),Delta Connection E75S (N206JQ),Landed 07:55,2021-06-08
7,7,07:39 DL5154,,Greensboro (GSO),Delta Connection CRJ9 (N491PX),Landed 07:14,2021-06-08
8,8,07:48 DL5797,,Boston (BOS),Delta Connection E170 (N357FC),Landed 07:13,2021-06-08
9,9,07:56 DL5746,,Charleston (CHS),Delta Connection E75S (N228JQ),Landed 07:37,2021-06-08
10,10,08:06 DL4820,,Syracuse (SYR),Delta Connection CRJ9 (N916XJ),Landed 07:50,2021-06-08
11,11,08:08 DL5357,,Richmond (RIC),Delta Connection CRJ9 (N490PX),Landed 07:49,2021-06-08
12,12,08:08 DL5793,,Pittsburgh (PIT),Delta Connection E75S (N232JQ),Landed 07:51,2021-06-08
13,13,08:10 DL4770,,Savannah (SAV),Delta Connection CRJ9 (N479PX),Landed 07:43,2021-06-08
14,14,08:13 DL5796,,Louisville (SDF),Delta Connection E75S (N204JQ),Landed 07:52,2021-06-08
15,15,08:28 DL5631,,Norfolk (ORF),Delta Connection E75S (N222JQ),Landed 07:54,2021-06-08
16,16,08:28 DL5837,,Washington (DCA),Delta Connection E170 (N823MD),Landed 08:03,2021-06-08
17,17,08:36 DL5598,,Columbus (CMH),Delta Connection E75S (N218JQ),Landed 08:14,2021-06-08
18,18,08:38 DL5818,,Cleveland (CLE),Delta Connection E75L (N245JQ),Landed 08:16,2021-06-08
19,19,08:40 DL555,,Orlando (MCO),Delta Air Lines A321 (N351DN),Landed 08:28,2021-06-08
20,20,08:40 DL4761,,Portland (PWM),Delta Connection CRJ9 (N918XJ),Landed 08:13,2021-06-08
21,21,08:43 AA4799,,Columbus (CMH),American Eagle E75S (N407YX),Landed 08:35,2021-06-08
22,22,09:00 AA4870,,Indianapolis (IND),American Eagle E170 (N821MD),Landed 08:43,2021-06-08
23,23,09:02 DL5627,,Charlotte (CLT),Delta Connection E75S (N215JQ),Landed 08:27,2021-06-08
24,24,09:09 DL5802,,Indianapolis (IND),Delta Connection E170 (N871RW),Landed 08:47,2021-06-08
25,25,09:09 NK803,,Fort Lauderdale (FLL),Spirit Airlines A320 (N653NK),Landed 08:51,2021-06-08
26,26,09:10 AA4651,,Chicago (ORD),American Eagle E75L (N449YX),Landed 09:02,2021-06-08
27,27,09:10 DL4852,,Cincinnati (CVG),Delta Connection CRJ9 (N601LR),Landed 08:53,2021-06-08
28,28,09:15 DL5704,,Chicago (ORD),Delta Connection E75S (N202JQ),Landed 09:00,2021-06-08
29,29,09:20 AA2135,,Washington (DCA),American Airlines A319 (N803AW),Landed 08:52,2021-06-08
30,30,09:21 DL5130,,Milwaukee (MKE),Delta Connection CRJ9 (N272PQ),Landed 09:05,2021-06-08
31,31,09:32 DL2511,,Atlanta (ATL),Delta Air Lines A321 (N331DN),Landed 09:10,2021-06-08
32,32,09:40 AA4816,,St. Louis (STL),American Eagle E170 (N869RW),Landed 12:37,2021-06-08
33,33,09:44 DL2116,,Tampa (TPA),Delta Air Lines BCS1 (N132DU),Landed 09:19,2021-06-08
34,34,09:46 AA1696,,Charlotte (CLT),American Airlines (Oneworld Livery) B738 (N838NN),Landed 09:31,2021-06-08
35,35,09:47 DL4762,,Raleigh-Durham (RDU),Delta Connection CRJ9 (N930XJ),Landed 09:30,2021-06-08
36,36,09:54 DL5774,,Nashville (BNA),Delta Connection E170 (N818MD),Landed 09:31,2021-06-08
37,37,09:55 WN5327,,Chicago (MDW),Southwest Airlines B737 (N749SW),Landed 09:35,2021-06-08
38,38,09:59 DL524,,Fort Lauderdale (FLL),Delta Air Lines A321 (N316DN),Landed 09:34,2021-06-08
39,39,10:09 DL5025,,Birmingham (BHM),Delta Connection CRJ9 (N480PX),Landed 09:48,2021-06-08
40,40,10:12 F91110,,Orlando (MCO),Frontier (Scarlet the Tanager Livery) A20N (N354FR),Landed 09:43,2021-06-08
