,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,07:40 U2830,,Belfast (BFS),easyJet A319 (G-EZFV),Landed 07:08,2021-06-08
1,1,07:55 FR114,,Dublin (DUB),Ryanair B738 (EI-EBY),Landed 07:37,2021-06-08
2,2,08:35 U2800,,Edinburgh (EDI),easyJet A319 (G-EZDI),Landed 08:02,2021-06-08
3,3,08:40,BT651,Riga (RIX),Air Baltic BCS3 (YL-CSE),Landed 08:23,2021-06-08
4,4,08:49 BY949P,,Seattle (BFI),TUI B38M (G-TUMR),Landed 08:44,2021-06-08
5,5,09:00,UX1013,Madrid (MAD),Air Europa B738 (EC-LTM),Landed 08:31,2021-06-08
6,6,09:00,VY7822,Barcelona (BCN),Vueling A20N (EC-NAZ),Landed 08:28,2021-06-08
7,7,09:40 U2880,,Glasgow (GLA),easyJet A20N (G-UZLF),Landed 09:10,2021-06-08
8,8,09:45 U2892,,Jersey (JER),easyJet (20 years Livery) A320 (G-EZOX),Landed 09:31,2021-06-08
9,9,09:55 U28916,,Faro (FAO),easyJet (Faro Livery) A320 (OE-IVI),Landed 09:33,2021-06-08
10,10,10:55,PS111,Kyiv (KBP),Ukraine International Airlines B738 (UR-PSE),Landed 10:43,2021-06-08
11,11,11:10,TP1334,Porto (OPO),TAP Air Portugal A20N (CS-TVH),Landed 10:49,2021-06-08
12,12,11:40 3O101,,Tangier (TNG),Air Arabia Maroc 320,Canceled,2021-06-08
13,13,12:25,VY7380,Alicante (ALC),Vueling A20N (EC-NCT),Landed 11:57,2021-06-08
14,14,13:20 BY4243,,Luqa (MLA),TUI Airways 73H,Unknown,2021-06-08
15,15,13:30 W95724,,Malaga (AGP),Wizz Air UK 32Q,Unknown,2021-06-08
16,16,13:45 U28382,,Kalamata (KLX),easyJet (easyJet Holidays Livery) A320 (G-EZOA),Landed 13:34,2021-06-08
17,17,15:35 U28386,,Kefalonia (EFL),easyJet A21N (G-UZMF),Landed 15:02,2021-06-08
