,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,06:50 IX194,,Dubai (DXB),Air India Express (Peacock-Stork Livery) B738 (VT-AXT),Landed 06:32,2021-06-08
1,1,07:10 G8531,,Ahmedabad (AMD),Go Air 32A,Canceled,2021-06-08
2,2,09:05 6E196,,Bengaluru (BLR),IndiGo A20N (VT-IZY),Landed 08:34,2021-06-08
3,3,09:10 6E6189,,Delhi (DEL),IndiGo A20N (VT-ISP),Landed 08:53,2021-06-08
4,4,09:50 6E108,,Hyderabad (HYD),IndiGo A20N (VT-IJF),Landed 09:29,2021-06-08
5,5,10:30,AI625,Mumbai (BOM),Air India 319,Canceled,2021-06-08
6,6,11:30 SG9091,,Kolkata (CCU),SpiceJet DH8D (VT-SUX),Unknown,2021-06-08
7,7,13:00 G8268,,Delhi (DEL),GoAir A20N (VT-WJC),Canceled,2021-06-08
8,8,13:00 G8306,,Mumbai (BOM),GoAir A20N (VT-WGQ),Landed 12:51,2021-06-08
9,9,13:25 6E943,,Delhi (DEL),IndiGo A20N (VT-ISO),Landed 13:28,2021-06-08
10,10,13:40 6E832,,Mumbai (BOM),IndiGo A20N (VT-ISF),Landed 13:24,2021-06-08
11,11,14:30 AI611,,Jaipur (JAI),Air india (Star Alliance Livery) A20N (VT-EXO),Landed 14:10,2021-06-08
12,12,14:50,UK641,Delhi (DEL),Vistara A20N (VT-TNF),Landed 14:33,2021-06-08
13,13,15:00 G8335,,Mumbai (BOM),Go Air 32A,Canceled,2021-06-08
14,14,15:00,9I809,Gorakhpur (GOP),Alliance Air AT76 (VT-RKH),Landed 14:43,2021-06-08
15,15,15:10 G88047,,Hyderabad (HYD),Go Air 32A,Canceled,2021-06-08
16,16,15:25 SV894,,Riyadh (RUH),Saudia 330,Canceled,2021-06-08
17,17,15:45 G8808,,Bengaluru (BLR),Go Air 32A,Canceled,2021-06-08
18,18,16:05 G8394,,Pune (PNQ),Go Air 32A,Canceled,2021-06-08
19,19,17:35 6E2546,,Delhi (DEL),IndiGo A20N (VT-ISO),Landed 17:28,2021-06-08
20,20,17:55 G8188,,Delhi (DEL),Go Air 32A,Canceled,2021-06-08
21,21,18:00 AI565,,Bengaluru (BLR),Air India 319,Unknown,2021-06-08
22,22,18:25 G8397,,Mumbai (BOM),Go Air 32A,Canceled,2021-06-08
23,23,19:10 6E267,,Mumbai (BOM),IndiGo A20N (VT-ISF),Landed 18:51,2021-06-08
24,24,19:20 6E9441,,Dammam (DMM),IndiGo A20N (VT-IJI),Landed 19:10,2021-06-08
25,25,19:40 AI811,,Delhi (DEL),Air India A319 (VT-SCG),Landed 19:17,2021-06-08
26,26,19:50 6E451,,Bengaluru (BLR),IndiGo 320,Canceled,2021-06-08
27,27,19:55 G8112,,Ahmedabad (AMD),Go Air 32A,Canceled,2021-06-08
28,28,21:15 6E935,,Ahmedabad (AMD),IndiGo A20N (VT-IVB),Landed 20:51,2021-06-08
29,29,21:50 G82606,,Mumbai (BOM),Go Air 32A,Canceled,2021-06-08
30,30,22:00 G82609,,Delhi (DEL),Go Air 32A,Canceled,2021-06-08
0,0,05:55 AI1968,,Abu Dhabi (AUH),Air India A20N (VT-EXP),Landed 05:56,2021-06-09
1,1,07:35 6E1412,,Sharjah (SHJ),IndiGo A20N (VT-IZY),Landed 06:41,2021-06-09
2,2,09:05 6E196,,Bengaluru (BLR),IndiGo 320,Canceled,2021-06-09
3,3,09:10 6E6189,,Delhi (DEL),IndiGo A20N (VT-ITC),Landed 08:44,2021-06-09
4,4,10:30,AI625,Mumbai (BOM),Air India 319,Canceled,2021-06-09
5,5,12:45 AI936,,Dubai (DXB),Air India A320 (VT-EXA),Landed 13:02,2021-06-09
6,6,13:00 G8306,,Mumbai (BOM),GoAir A20N (VT-WJA),Landed 13:06,2021-06-09
7,7,13:00 G8268,,Delhi (DEL),GoAir A20N (VT-WJF),Landed 12:59,2021-06-09
8,8,13:25 6E943,,Delhi (DEL),IndiGo A20N (VT-IJA),Landed 13:12,2021-06-09
9,9,13:40 6E832,,Mumbai (BOM),IndiGo A20N (VT-IJB),Landed 13:46,2021-06-09
10,10,14:30 AI611,,Jaipur (JAI),Air India A321 (VT-PPL),Landed 14:34,2021-06-09
11,11,14:50,UK641,Delhi (DEL),Vistara A320 (VT-TTJ),Unknown,2021-06-09
12,12,15:00,9I809,Gorakhpur (GOP),Alliance Air AT76 (VT-RKK),Unknown,2021-06-09
13,13,15:10 G88047,,Hyderabad (HYD),Go Air 32A,Canceled,2021-06-09
14,14,15:30 6E866,,Hyderabad (HYD),IndiGo A20N (VT-IJP),Landed 15:20,2021-06-09
15,15,15:45 G8808,,Bengaluru (BLR),GoAir A20N (VT-WJN),Landed 15:45,2021-06-09
16,16,16:00 SV890,,Jeddah (JED),Saudia 330,Canceled,2021-06-09
17,17,16:50 6E836,,Pune (PNQ),IndiGo A20N (VT-IVB),Landed 16:35,2021-06-09
18,18,17:35 6E2546,,Delhi (DEL),IndiGo A20N (VT-IZN),Landed 17:17,2021-06-09
19,19,17:55 G8188,,Delhi (DEL),Go Air 32A,Canceled,2021-06-09
20,20,18:10 6E5424,,Riyadh (RUH),IndiGo A21N (VT-IUE),Landed 18:07,2021-06-09
21,21,18:20 AI1926,,Riyadh (RUH),Air India A20N (VT-EXF),Landed 18:14,2021-06-09
22,22,18:25 G8397,,Mumbai (BOM),Go Air 32A,Canceled,2021-06-09
23,23,18:45 6E6276,,Patna (PAT),IndiGo 320,Canceled,2021-06-09
24,24,19:10 6E267,,Mumbai (BOM),IndiGo A20N (VT-ITX),Landed 18:57,2021-06-09
25,25,19:10 SG9607,,Riyadh (RUH),SpiceJet (With All Our Heart Livery) B738 (VT-SZK),Landed 19:22,2021-06-09
26,26,19:40 AI811,,Delhi (DEL),Air India A319 (VT-SCP),Landed 19:15,2021-06-09
27,27,19:50 6E451,,Bengaluru (BLR),IndiGo A20N (VT-IVY),Landed 19:38,2021-06-09
28,28,19:55 G8112,,Ahmedabad (AMD),Go Air 32A,Canceled,2021-06-09
29,29,21:10 AI1902,,Kuwait City (KWI),Air India 32A,Canceled,2021-06-09
30,30,21:15 6E935,,Ahmedabad (AMD),IndiGo A20N (VT-IJP),Landed 20:53,2021-06-09
31,31,21:50 G82606,,Mumbai (BOM),Go Air 32A,Canceled,2021-06-09
32,32,22:00 G82609,,Delhi (DEL),Go Air 32A,Canceled,2021-06-09
0,0,07:00 IX194,,Dubai (DXB),Air India Express (Peacock-Stork Livery) B738 (VT-AXT),Landed 06:16,2021-06-10
1,1,07:10 G8531,,Ahmedabad (AMD),GoAir A20N (VT-WJG),Landed 06:53,2021-06-10
2,2,08:30 SG9093,,Kolkata (CCU),SpiceJet DH8D (VT-SUX),Unknown,2021-06-10
3,3,09:05 6E196,,Bengaluru (BLR),IndiGo A20N (VT-IVD),Landed 08:42,2021-06-10
4,4,09:10 6E6189,,Delhi (DEL),IndiGo A20N (VT-IZV),Landed 08:59,2021-06-10
5,5,09:50 6E108,,Hyderabad (HYD),IndiGo A20N (VT-IVG),Landed 09:41,2021-06-10
6,6,10:30,AI625,Mumbai (BOM),Air India A321 (VT-PPW),Canceled,2021-06-10
7,7,13:00 G8268,,Delhi (DEL),GoAir A20N (VT-WGG),Landed 12:50,2021-06-10
8,8,13:00 G8306,,Mumbai (BOM),GoAir A20N (VT-WGS),Landed 12:54,2021-06-10
9,9,13:25 6E943,,Delhi (DEL),IndiGo A20N (VT-ISP),Landed 13:14,2021-06-10
