,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,3:20 AM TK6501,,Istanbul (ISL),Turkish Cargo A332 (TC-JCI),Landed 5:13 AM,2020-10-03
1,1,4:50 AM TK6501,,Istanbul (IST),Turkish Airlines 33F,Unknown,2020-10-03
2,2,5:05 AM DL4339,,London (LHR),Delta Air Lines -,Canceled,2020-10-03
3,3,6:25 AM TK625,,Istanbul (IST),Turkish Airlines B77W (TC-JJF),Landed 5:37 AM,2020-10-03
4,4,7:30 AM QR1415,,Doha (DOH),Qatar Airways B788 (A7-BCG),Landed 7:24 AM,2020-10-03
5,5,8:00 AM P47101,,Enugu (ENU),Air Peace 737,Unknown,2020-10-03
6,6,8:10 AM P47139,,Abuja (ABV),Air Peace 737,Unknown,2020-10-03
7,7,8:30 AM ET3904,,Addis Ababa (ADD),Ethiopian Airlines 77X,Unknown,2020-10-03
8,8,8:30 AM ET3913,,Addis Ababa (ADD),Ethiopian Cargo B77L (ET-APS),Landed 8:53 AM,2020-10-03
9,9,8:45 AM AW208,,Accra (ACC),Africa World Airlines ER4,Unknown,2020-10-03
10,10,8:45 AM AZM2310,,Kano (KAN),Azman Air B733 (5N-HAI),Landed 1:04 PM,2020-10-03
11,11,8:45 AM ZQ2310,,Kano (KAN),- 737,Unknown,2020-10-03
12,12,9:30 AM AZM2318,,Kaduna (KAD),Azman Air B735 (5N-AIS),Landed 9:31 AM,2020-10-03
13,13,9:50 AM HF530,,Abidjan (ABJ),Air Cote d'Ivoire A319 (TU-TST),Landed 2:27 PM,2020-10-03
14,14,9:50 AM 9J332,,Owerri (QOW),Dana Air 73G,Unknown,2020-10-03
15,15,10:00 AM QI106,,Uyo (QUO),- CRJ,Unknown,2020-10-03
16,16,10:00 AM W3845,,Benin (BNI),Arik Air CR9,Unknown,2020-10-03
17,17,10:00 AM P47565,,Accra (ACC),Air Peace 737,Unknown,2020-10-03
18,18,10:05 AM KP63,,Douala (DLA),ASKY 737,Canceled,2020-10-03
19,19,10:10 AM P47377,,Kaduna (KAD),Air Peace ERJ,Unknown,2020-10-03
20,20,10:15 AM QI500,,Uyo (QUO),- CR9,Unknown,2020-10-03
21,21,10:15 AM SA6060,,Johannesburg (JNB),South African Airways A346 (ZS-SNG),Landed 10:34 AM,2020-10-03
22,22,10:20 AM P47221,,Abuja (ABV),Air Peace 737,Unknown,2020-10-03
