,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:05 W95104,,Dalaman (DLM),Wizz Air UK 32Q,Unknown,2021-06-08
1,1,00:15 W62065,,Lublin (LUZ),Wizz Air A21N (G-WUKO),Landed 00:02,2021-06-08
2,2,00:40 U22352,,Heraklion (HER),easyJet A320 (G-EZWY),Landed 00:39,2021-06-08
3,3,01:55 W98130,,Tenerife (TFS),Wizz Air UK 32Q,Canceled,2021-06-08
4,4,07:15 W63771,,Sibiu (SBZ),Wizz Air A320 (HA-LWY),Landed 06:59,2021-06-08
5,5,07:15 W63753,,Craiova (CRA),Wizz Air 320,Unknown,2021-06-08
6,6,07:20 W63301,,Cluj-Napoca (CLJ),Wizz Air A320 (HA-LWK),Landed 06:55,2021-06-08
7,7,07:20 W63501,,Timisoara (TSR),Wizz Air 320,Unknown,2021-06-08
8,8,07:30 W64301,,Sofia (SOF),Wizz Air A321 (HA-LXC),Landed 07:16,2021-06-08
9,9,07:45 W61001,,Katowice (KTW),Wizz Air A320 (HA-LPJ),Landed 07:20,2021-06-08
10,10,07:55 W62201,,Budapest (BUD),Wizz Air A321 (HA-LXR),Landed 07:34,2021-06-08
11,11,08:00 W61601,,Gdansk (GDN),Wizz Air 320,Unknown,2021-06-08
12,12,08:05 W63001,,Bucharest (OTP),Wizz Air A320 (HA-LWL),Landed 07:37,2021-06-08
13,13,08:20 U266,,Glasgow (GLA),easyJet A320 (G-EZRZ),Landed 08:06,2021-06-08
14,14,08:25 0B131,,Bucharest (OTP),Blue Air 738,Unknown,2021-06-08
15,15,08:55 W64472,,Tirana (TIA),Wizz Air A21N (HA-LVO),Landed 08:36,2021-06-08
16,16,09:55 0B2931,,Bacau (BCM),Blue Air B738 (YR-BMG),Landed 09:22,2021-06-08
17,17,10:10 U2182,,Belfast (BFS),easyJet A319 (G-EZDR),Landed 09:52,2021-06-08
18,18,11:15 W92181,,Olsztyn (SZY),Wizz Air UK 321,Unknown,2021-06-08
19,19,12:00 W64486,,Lviv (LWO),Wizz Air A21N (G-WUKN),Landed 11:42,2021-06-08
20,20,12:10 U22244,,Split (SPU),easyJet A320 (G-EZWA),Landed 11:44,2021-06-08
21,21,12:10 W95116,,Kaunas (KUN),Wizz Air UK 321,Unknown,2021-06-08
22,22,12:45 W63649,,Satu Mare (SUJ),Wizz Air A21N (G-WUKP),Landed 12:35,2021-06-08
23,23,12:55 U22016,,Faro (FAO),easyJet 320,Canceled,2021-06-08
24,24,12:55 W93605,,Suceava (SCV),Wizz Air UK 32Q,Unknown,2021-06-08
25,25,13:05 U2154,,Inverness (INV),easyJet A20N (G-UZHX),Landed 13:03,2021-06-08
26,26,13:35 W95124,,Malaga (AGP),Wizz Air UK 32Q,Unknown,2021-06-08
27,27,14:15 U22454,,Palermo (PMO),easyJet A319 (G-EZAU),Landed 13:59,2021-06-08
28,28,14:15 W98162,,Zakynthos (ZTH),Wizz Air UK 32Q,Unknown,2021-06-08
29,29,14:20 W66002,,Kyiv (IEV),Wizz Air A320 (G-WUKF),Landed 14:10,2021-06-08
30,30,15:00 W65156,,Funchal (FNC),Wizz Air A21N (G-WUKO),Landed 00:20,2021-06-08
31,31,15:05 W94464,,Thessaloniki (SKG),Wizz Air UK 321,Unknown,2021-06-08
32,32,15:30 W64460,,Larnaca (LCA),Wizz Air A21N (HA-LVG),Landed 15:17,2021-06-08
33,33,15:40 W98166,,Corfu (CFU),Wizz Air UK 321,Unknown,2021-06-08
34,34,16:10 U22188,,Mykonos (JMK),easyJet A20N (G-UZHO),Landed 16:02,2021-06-08
35,35,16:35 U22362,,Santorini (JTR),easyJet A320 (G-EZWY),Landed 16:23,2021-06-08
36,36,18:00 U22274,,Palma de Mallorca (PMI),easyJet A320 (G-EZWZ),Landed 17:42,2021-06-08
37,37,18:00 W95136,,Alicante (ALC),Wizz Air UK 321,Unknown,2021-06-08
38,38,18:15 W98114,,Porto (OPO),Wizz Air UK 32Q,Unknown,2021-06-08
39,39,18:20 W95112,,Palanga (PLQ),Wizz Air UK 321,Unknown,2021-06-08
40,40,18:30 U22286,,Milan (MXP),easyJet A319 (OE-LQT),Landed 18:23,2021-06-08
41,41,19:05 W61307,,Warsaw (WAW),Wizz Air A320 (HA-LPW),Landed 18:49,2021-06-08
42,42,19:20 W65003,,Krakow (KRK),Wizz Air 320,Unknown,2021-06-08
43,43,19:35 0B1231,,Bucharest (OTP),Blue Air 738,Unknown,2021-06-08
44,44,20:50 W67701,,Skopje (SKP),Wizz Air A21N (HA-LVX),Landed 20:25,2021-06-08
45,45,21:00 W63005,,Bucharest (OTP),Wizz Air A21N (HA-LVH),Landed 20:40,2021-06-08
46,46,21:10 W65503,,Milan (MXP),Wizz Air 32Q,Unknown,2021-06-08
47,47,21:20 W63653,,Iasi (IAS),Wizz Air A320 (HA-LWV),Landed 20:57,2021-06-08
48,48,21:25 U22404,,Malaga (AGP),easyJet A320 (G-EZWA),Landed 21:19,2021-06-08
49,49,21:25 W61803,,Wroclaw (WRO),Wizz Air 320,Unknown,2021-06-08
50,50,22:15 U220,,Edinburgh (EDI),easyJet A320 (G-EZWZ),Landed 22:03,2021-06-08
