,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:01,TG337,Bangkok (BKK),Thai Airways A359 (HS-THD),Landed 23:03,2021-06-08
1,1,00:05 SG387,,Kolkata (CCU),SpiceJet 737,Unknown,2021-06-08
2,2,00:10 6E294,,Kolkata (CCU),IndiGo A20N (VT-ITO),Unknown,2021-06-08
3,3,01:20 KU1343,,Kuwait City (KWI),Kuwait Airways A338 (9K-APG),Landed 01:03,2021-06-08
4,4,02:20 QR8394,,Doha (DOH),Qatar Airways B789 (A7-BHC),Landed 01:54,2021-06-08
5,5,03:40 G9471,,Sharjah (SHJ),Air Arabia A320 (A6-AOP),Landed 03:35,2021-06-08
6,6,04:40 AI950,,Kannur (CNN),Air India A321 (VT-PPE),Landed 03:59,2021-06-08
7,7,04:40 6E1776,,Doha (DOH),IndiGo A20N (VT-IJJ),Landed 04:54,2021-06-08
8,8,04:50 YG9129,,Kunming (KMG),YTO Cargo Airlines B752 (B-2859),Landed 11:35,2021-06-08
9,9,06:55 O37069,,Shenzhen (SZX),SF Airlines B744 (B-2422),Landed 18:34,2021-06-08
10,10,06:55 SG445,,Hyderabad (HYD),SpiceJet 737,Canceled,2021-06-08
11,11,07:00 SG7089,,Delhi (DEL),SpiceXpress B737 (VT-SFB),Landed 07:17,2021-06-08
12,12,07:20 SG3010,,Bengaluru (BLR),SpiceJet DH8D (VT-SUT),Unknown,2021-06-08
13,13,07:40 G8305,,Mumbai (BOM),Go Air 32A,Canceled,2021-06-08
14,14,08:00 SG611,,Mumbai (BOM),SpiceJet B737 (VT-SLP),Landed 07:43,2021-06-08
15,15,08:15 6E6269,,Bengaluru (BLR),IndiGo AT76 (VT-IYM),Landed 08:01,2021-06-08
16,16,08:25 BZ201,,Bengaluru (BLR),Blue Dart Aviation B752 (VT-BDB),Landed 08:07,2021-06-08
17,17,08:25 EK544,,Dubai (DXB),Emirates B77W (A6-EGA),Landed 08:03,2021-06-08
18,18,08:35 I5510,,Hyderabad (HYD),AirAsia India 320,Canceled,2021-06-08
19,19,08:40 BZ481,,Hyderabad (HYD),Blue Dart Aviation B752 (VT-BDO),Landed 08:22,2021-06-08
20,20,08:55 CX43,,Hong Kong (HKG),Cathay Pacific 74Y,Unknown,2021-06-08
21,21,09:10 SG107,,Delhi (DEL),SpiceJet 737,Unknown,2021-06-08
22,22,09:15 6E121,,Hyderabad (HYD),IndiGo A20N (VT-IVN),Landed 08:49,2021-06-08
23,23,09:35 2T532,,Salem (SXV),Trujet AT7,Unknown,2021-06-08
24,24,09:40 6E7194,,Madurai (IXM),IndiGo AT76 (VT-IYG),Landed 09:09,2021-06-08
25,25,09:45 6E7186,,Tuticorin (TCR),IndiGo AT76 (VT-IYN),Landed 09:29,2021-06-08
26,26,09:55 6E905,,Port Blair (IXZ),IndiGo A20N (VT-IVC),Landed 09:25,2021-06-08
27,27,10:00,UK833,Delhi (DEL),Vistara A20N (VT-TNV),Landed 09:48,2021-06-08
28,28,10:10 AI550,,Port Blair (IXZ),Air India A321 (VT-PPD),Landed 09:41,2021-06-08
29,29,10:55,AI671,Mumbai (BOM),Air India A20N (VT-CIE),Landed 11:27,2021-06-08
30,30,11:30 6E238,,Ahmedabad (AMD),IndiGo A20N (VT-ITO),Landed 11:05,2021-06-08
31,31,11:45 6E6212,,Bengaluru (BLR),IndiGo AT76 (VT-IYH),Landed 11:40,2021-06-08
32,32,12:05 SG607,,Port Blair (IXZ),SpiceJet 737,Unknown,2021-06-08
33,33,12:10 6E5322,,Mumbai (BOM),IndiGo A20N (VT-ISQ),Landed 11:49,2021-06-08
34,34,12:40,AI429,Delhi (DEL),Air India A321 (VT-PPT),Landed 12:30,2021-06-08
35,35,12:45 6E2129,,Delhi (DEL),IndiGo A20N (VT-IVX),Landed 12:25,2021-06-08
36,36,12:50 G8304,,Port Blair (IXZ),Go Air 32A,Canceled,2021-06-08
37,37,12:55 6E882,,Coimbatore (CJB),IndiGo AT76 (VT-IYM),Landed 12:41,2021-06-08
38,38,13:40 6E696,,Visakhapatnam (VTZ),IndiGo AT76 (VT-IYW),Landed 13:56,2021-06-08
39,39,15:05 AI672,,Madurai (IXM),Air India A20N (VT-CIE),Landed 15:08,2021-06-08
40,40,15:05 6E141,,Cochin (COK),IndiGo AT76 (VT-IYN),Landed 15:17,2021-06-08
41,41,15:10 2T536,,Cuddapah (CDP),Trujet AT7,Unknown,2021-06-08
42,42,15:15 6E311,,Thiruvananthapuram (TRV),IndiGo AT76 (VT-IYR),Landed 15:27,2021-06-08
43,43,15:20 6E6074,,Jodhpur (JDH),IndiGo A21N (VT-IUR),Landed 15:11,2021-06-08
44,44,15:20 6E597,,Hyderabad (HYD),IndiGo AT76 (VT-IYC),Landed 15:14,2021-06-08
45,45,15:25 6E804,,Port Blair (IXZ),IndiGo A20N (VT-IVC),Landed 15:34,2021-06-08
46,46,15:45 6E7131,,Tiruchirapalli (TRZ),IndiGo AT76 (VT-IYG),Landed 15:24,2021-06-08
47,47,16:05 I5556,,Kolkata (CCU),AirAsia India 320,Unknown,2021-06-08
48,48,16:10 6E841,,Bengaluru (BLR),IndiGo AT76 (VT-IYP),Landed 15:55,2021-06-08
49,49,16:15 AI539,,Coimbatore (CJB),Air India A321 (VT-PPT),Landed 15:47,2021-06-08
50,50,16:20 UK839,,Delhi (DEL),Vistara A20N (VT-TNU),Landed 16:06,2021-06-08
51,51,16:50 SG521,,Goa (GOI),SpiceJet 737,Unknown,2021-06-08
52,52,17:05 6E848,,Coimbatore (CJB),IndiGo AT76 (VT-IYM),Landed 16:57,2021-06-08
53,53,17:15 QR8054,,Doha (DOH),Qatar Airways B77W (A7-BAP),Landed 16:48,2021-06-08
54,54,17:15 SG766,,Jharsuguda (JRG),SpiceJet 737,Unknown,2021-06-08
55,55,17:35 6E547,,Pune (PNQ),IndiGo A20N (VT-ITO),Landed 17:06,2021-06-08
56,56,17:55 6E7916,,-,IndiGo AT76 (VT-IYW),Landed 17:24,2021-06-08
57,57,18:15 SG548,,Patna (PAT),SpiceJet 737,Unknown,2021-06-08
58,58,18:20 6E6827,,Kolkata (CCU),IndiGo A20N (VT-IVR),Landed 18:24,2021-06-08
59,59,18:55 AI512,,Thiruvananthapuram (TRV),Air India 32B,Unknown,2021-06-08
60,60,18:55 6E864,,Delhi (DEL),IndiGo A21N (VT-ILE),Landed 18:47,2021-06-08
61,61,19:05 AI1126,,Delhi (DEL),Air India A20N (VT-EXR),Landed 19:18,2021-06-08
62,62,19:35 SG7827,,Male (MLE),SpiceJet B738 (VT-SLM),Landed 18:31,2021-06-08
63,63,19:40 6E7198,,Madurai (IXM),IndiGo AT76 (VT-IYG),Landed 19:26,2021-06-08
64,64,19:55 6E986,,Cochin (COK),IndiGo ATR,Canceled,2021-06-08
65,65,20:25 6E6174,,Hyderabad (HYD),IndiGo AT76 (VT-IYN),Landed 20:27,2021-06-08
66,66,20:30 G8303,,Mumbai (BOM),Go Air 32A,Canceled,2021-06-08
67,67,20:45 2T203,,Hyderabad (HYD),Trujet AT7,Unknown,2021-06-08
68,68,21:10 6E601,,Bengaluru (BLR),IndiGo AT76 (VT-IYM),Landed 21:11,2021-06-08
69,69,21:10 6E2168,,Delhi (DEL),IndiGo A20N (VT-ITR),Landed 20:43,2021-06-08
70,70,21:15 I5765,,Delhi (DEL),AirAsia India 320,Unknown,2021-06-08
71,71,21:15 SG8103,,Delhi (DEL),SpiceJet 737,Canceled,2021-06-08
72,72,21:40 SG7840,,Male (MLE),SpiceJet DH8D (VT-SUL),Unknown,2021-06-08
73,73,21:45 SG251,,Mumbai (BOM),SpiceJet 737,Unknown,2021-06-08
74,74,21:55 6E7918,,Kannur (CNN),IndiGo AT76 (VT-IYH),Landed 21:21,2021-06-08
75,75,22:00 2T538,,Mysore (MYQ),Trujet AT7,Unknown,2021-06-08
76,76,22:05 SG732,,Hyderabad (HYD),SpiceJet 737,Unknown,2021-06-08
77,77,22:05 6E911,,Mumbai (BOM),IndiGo A20N (VT-IVX),Landed 21:31,2021-06-08
78,78,22:35 SG696,,Guwahati (GAU),SpiceJet 737,Unknown,2021-06-08
79,79,22:45,MH180,Kuala Lumpur (KUL),Malaysia Airlines 333,Canceled,2021-06-08
80,80,22:55 G8912,,Ahmedabad (AMD),Go Air 32A,Canceled,2021-06-08
81,81,23:05 6E7212,,Madurai (IXM),IndiGo AT76 (VT-IYW),Landed 22:28,2021-06-08
82,82,23:20 SG297,,Ahmedabad (AMD),SpiceJet 737,Unknown,2021-06-08
83,83,23:35,AI540,Delhi (DEL),Air India A321 (VT-PPT),Landed 23:19,2021-06-08
84,84,23:35 6E2162,,Delhi (DEL),IndiGo 320,Canceled,2021-06-08
85,85,23:40 6E6007,,Hyderabad (HYD),IndiGo AT76 (VT-IYG),Landed 23:36,2021-06-08
0,0,00:25 CX2033,,Hong Kong (HKG),Cathay Pacific Cargo B744 (B-LIA),Landed 00:10,2021-06-09
1,1,00:30 6E6283,,Guwahati (GAU),IndiGo A20N (VT-ISQ),Landed 00:20,2021-06-09
2,2,02:10 6E6972,,Patna (PAT),IndiGo 320,Canceled,2021-06-09
3,3,02:20 QR528,,Doha (DOH),Qatar Airways B788 (A7-BCK),Landed 02:14,2021-06-09
4,4,02:40 EK542,,Dubai (DXB),Emirates 77W,Unknown,2021-06-09
5,5,02:45 J91427,,Kuwait City (KWI),Jazeera Airways A20N (9K-CBF),Landed 02:27,2021-06-09
6,6,03:25 UL1029,,Colombo (CMB),SriLankan Airlines A332 (4R-ALS),Landed 03:08,2021-06-09
7,7,03:40 G9471,,Sharjah (SHJ),Air Arabia 320,Canceled,2021-06-09
8,8,05:35 SQ7362,,Singapore (SIN),Singapore Airlines 74Y,Unknown,2021-06-09
9,9,06:40 O37069,,Shenzhen (SZX),SF Airlines 73F,Unknown,2021-06-09
10,10,06:55 SG445,,Hyderabad (HYD),SpiceJet 737,Unknown,2021-06-09
11,11,07:00 SG7131,,Delhi (DEL),SpiceXpress B738 (VT-SFG),Landed 06:54,2021-06-09
12,12,07:20 SG3010,,Bengaluru (BLR),SpiceJet DH8D (VT-SUT),Unknown,2021-06-09
13,13,07:35 WY251,,Muscat (MCT),Oman Air B738 (A4O-BAF),Landed 07:28,2021-06-09
14,14,07:40 G8305,,Mumbai (BOM),Go Air 32A,Canceled,2021-06-09
15,15,08:00 SG611,,Mumbai (BOM),SpiceJet B738 (VT-SGV),Unknown,2021-06-09
16,16,08:10 6E271,,Kolkata (CCU),IndiGo A20N (VT-IJF),Landed 07:25,2021-06-09
17,17,08:15 6E6269,,Bengaluru (BLR),IndiGo AT76 (VT-IYO),Landed 08:05,2021-06-09
18,18,08:25 BZ201,,Bengaluru (BLR),Blue Dart Aviation B752 (VT-BDN),Landed 08:21,2021-06-09
19,19,08:25 EK544,,Dubai (DXB),Emirates B77W (A6-EGH),Landed 08:08,2021-06-09
20,20,08:40 BZ481,,Hyderabad (HYD),Blue Dart Aviation B752 (VT-BDM),Landed 08:41,2021-06-09
21,21,08:40 SG107,,Delhi (DEL),SpiceJet B737 (VT-SYU),Landed 08:24,2021-06-09
22,22,08:45 SG7675,,Bengaluru (BLR),SpiceJet B739 (VT-SZL),Landed 09:26,2021-06-09
23,23,09:00 LH8472,,Frankfurt (FRA),Lufthansa Cargo B77L (D-ALFD),Landed 08:36,2021-06-09
