,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,07:55 FR35,,Bratislava (BTS),Ryanair B738 (SP-RSK),Landed 07:44,2021-06-08
1,1,08:05 U2130,,Belfast (BFS),easyJet A320 (G-EZWP),Landed 07:48,2021-06-08
2,2,08:35,SK539,Copenhagen (CPH),SAS CRJ9 (EI-FPH),Landed 08:15,2021-06-08
3,3,08:50,BA1370,London (LHR),British Airways A20N (G-TTNM),Landed 08:42,2021-06-08
4,4,10:15,SN2173,Brussels (BRU),Brussels Airlines A319 (OO-SSO),Landed 09:56,2021-06-08
5,5,10:15 U23508,,Jersey (JER),easyJet A320 (G-EZWU),Landed 10:03,2021-06-08
6,6,10:20,AF1668,Paris (CDG),Air France A318 (F-GUGF),Unknown,2021-06-08
7,7,10:25,KL1073,Amsterdam (AMS),KLM B737 (PH-BGQ),Landed 10:18,2021-06-08
8,8,10:35,BA1386,London (LHR),British Airways A20N (G-TTNA),Landed 10:20,2021-06-08
9,9,10:45 A3638,,Athens (ATH),Aegean Airlines A320 (SX-DVY),Landed 10:38,2021-06-08
10,10,11:45,EY21,Abu Dhabi (AUH),Etihad (ADNOC - Choose Italy Livery) B789 (A6-BLT),Landed 11:38,2021-06-08
11,11,11:55 EI3612,,Belfast (BHD),Stobart Air AT76 (EI-FMJ),Landed 11:30,2021-06-08
12,12,12:40 FR4006,,Alicante (ALC),Ryanair B738 (EI-DAO),Landed 12:24,2021-06-08
13,13,12:55 FR4097,,Riga (RIX),Ryanair B738 (EI-EFK),Landed 12:31,2021-06-08
14,14,13:05 FR4087,,Faro (FAO),Ryanair B738 (EI-EVO),Landed 12:59,2021-06-08
15,15,13:10 U21880,,Faro (FAO),easyJet A20N (G-UZLK),Landed 13:02,2021-06-08
16,16,13:30,QR27,Doha (DOH),Qatar Airways B788 (A7-BCI),Landed 13:32,2021-06-08
17,17,13:40 U21808,,Reykjavik (KEF),easyJet A20N (G-UZHR),Landed 13:22,2021-06-08
18,18,13:45,LH938,Frankfurt (FRA),Lufthansa A319 (D-AIBG),Landed 14:08,2021-06-08
19,19,14:00 BY2275,,Luqa (MLA),TUI Airways 73H,Unknown,2021-06-08
20,20,14:15 FR3442,,Palma de Mallorca (PMI),Ryanair B738 (EI-DLC),Landed 14:04,2021-06-08
21,21,14:30 U21816,,Lisbon (LIS),easyJet A20N (G-UZLD),Landed 14:18,2021-06-08
22,22,15:00 FR2132,,Lanzarote (ACE),Ryanair B738 (EI-ENS),Landed 14:42,2021-06-08
23,23,15:25 LM25,,Aberdeen (ABZ),Loganair AT76 (G-FBXB),Landed 15:19,2021-06-08
24,24,16:25,SI1194,Exeter (EXT),Blue Islands AT75 (G-ISLK),Landed 16:03,2021-06-08
25,25,16:35,BA1402,London (LHR),British Airways A20N (G-TTNL),Landed 16:24,2021-06-08
26,26,17:55 FR3243,,Beziers (BZR),Ryanair B738 (EI-EFJ),Landed 17:42,2021-06-08
27,27,18:00 BG7,,Dhaka (DAC),Biman Bangladesh Airlines 788,Unknown,2021-06-08
28,28,20:00 U23522,,Porto (OPO),easyJet A20N (G-UZHL),Landed 19:58,2021-06-08
29,29,21:35,KL1083,Amsterdam (AMS),KLM B737 (PH-BGG),Landed 21:16,2021-06-08
30,30,21:55 FR5625,,Pisa (PSA),Ryanair B738 (EI-DYM),Landed 21:45,2021-06-08
31,31,22:10 FR4051,,Faro (FAO),Ryanair B738 (EI-ENS),Landed 22:44,2021-06-08
32,32,22:40 FR2822,,Chania (CHQ),Ryanair B738 (EI-EFK),Landed 22:47,2021-06-08
33,33,22:50 U21867,,Malaga (AGP),easyJet A320 (G-EZWU),Landed 22:24,2021-06-08
34,34,23:41 WT7019,,Warsaw (WAW),Swiftair ATF,Unknown,2021-06-08
35,35,23:50 FR3806,,Fuerteventura (FUE),Ryanair B738 (EI-EMF),Landed 23:35,2021-06-08
36,36,23:50 FR4331,,Tenerife (TFS),Ryanair B738 (EI-EVO),Landed 00:06,2021-06-08
0,0,04:05 BY2371,,Kos (KGS),TUI Airways 73H,Unknown,2021-06-10
1,1,07:55 LX390,,Zurich (ZRH),Swiss 221,Canceled,2021-06-10
2,2,07:55,LM21,Aberdeen (ABZ),Loganair E145 (G-SAJG),Landed 07:14,2021-06-10
3,3,08:30,EI202,Dublin (DUB),Aer Lingus A320 (EI-CVB),Landed 08:15,2021-06-10
4,4,08:50,BA1370,London (LHR),British Airways A20N (G-TTNO),Landed 09:01,2021-06-10
5,5,09:20,AY1361,Helsinki (HEL),Finnair E190 (OH-LKK),Landed 08:54,2021-06-10
6,6,09:40 U2133,,Belfast (BFS),easyJet A320 (G-EZGX),Landed 09:25,2021-06-10
7,7,09:55 FR6834,,Naples (NAP),Ryanair B738 (9H-QBK),Landed 09:34,2021-06-10
8,8,10:15,SN2173,Brussels (BRU),Brussels Airlines A320 (OO-TCV),Landed 10:15,2021-06-10
9,9,10:20,AF1668,Paris (CDG),Air France E190 (F-HBLG),Landed 10:17,2021-06-10
10,10,10:25 FR4087,,Faro (FAO),Ryanair B738 (EI-EVR),Landed 10:26,2021-06-10
