,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:38 UC8487,,Cabo Frio (CFB),LATAM Cargo B763 (PR-ABD),Diverted to VCP,2021-06-08
1,1,00:45,AD4451,Campinas (VCP),Azul Linhas Aereas A332 (PR-AIW),Landed 00:50,2021-06-08
2,2,01:05,AD4167,Recife (REC),Azul Linhas Aereas A20N (PR-YRK),Landed 01:00,2021-06-08
3,3,01:15 G31919,,Fortaleza (FOR),GOL Linhas Aereas B738 (PR-GTO),Landed 01:10,2021-06-08
4,4,03:00 QT4059,,Miami (MIA),Avianca Cargo A332 (N332QT),Landed 02:30,2021-06-08
5,5,04:25 WD5802,,Brasilia (BSB),Modern Logistics 737,Unknown,2021-06-08
6,6,07:15 AD4544,,Porto Velho (PVH),Azul Linhas Aereas A20N (PR-YRK),Landed 06:56,2021-06-08
7,7,07:33 M36582,,Sao Paulo (GRU),LATAM Cargo Brasil 76V,Unknown,2021-06-08
8,8,09:15,AD4862,Belem (BEL),Azul Linhas Aereas E195 (PR-AUN),Landed 09:12,2021-06-08
9,9,10:30 AD2002,,Campinas (VCP),Azul Linhas Aereas 73P,Unknown,2021-06-08
10,10,10:45 AD4102,,Santarem (STM),Azul Linhas Aereas E195 (PR-AXO),Landed 10:38,2021-06-08
11,11,10:50,AD4927,Campinas (VCP),Azul Linhas Aereas (Tudo Azul Livery) A332 (PR-AIT),Unknown,2021-06-08
12,12,10:50,LA3691,Brasilia (BSB),LATAM Airlines A321 (PT-MXG),Landed 10:35,2021-06-08
13,13,11:40,G31642,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-VBF),Landed 11:43,2021-06-08
14,14,13:50,AD4677,Campinas (VCP),Azul Linhas Aereas A332 (PR-AIY),Landed 13:46,2021-06-08
15,15,14:32 5Y35,,Miami (MIA),Atlas Air B744 (N476MC),Landed 14:24,2021-06-08
16,16,14:45,LA3182,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXN),Landed 14:37,2021-06-08
17,17,15:00 AD4186,,Tabatinga (TBT),Azul Linhas Aereas E195 (PR-AUN),Landed 15:12,2021-06-08
18,18,15:00 AD4381,,Boa Vista (BVB),Azul Linhas Aereas E195 (PR-AXO),Landed 14:58,2021-06-08
19,19,15:20 2Z5935,,Tefe (TFF),Passaredo Linhas Aereas AT7,Unknown,2021-06-08
20,20,17:05 AD2005,,Fortaleza (FOR),Azul Cargo B734 (PR-AJY),Landed 17:11,2021-06-08
21,21,18:50 2Z5965,,Parintins (PIN),VoePass Linhas Aereas AT75 (PR-PDT),Landed 18:57,2021-06-08
22,22,19:00,AD4545,Belem (BEL),Azul Linhas Aereas A20N (PR-YRK),Landed 18:51,2021-06-08
23,23,19:25 QT4057,,Miami (MIA),Avianca Cargo A332 (N330QT),Landed 19:15,2021-06-08
24,24,20:38 M36578,,Belem (BEL),LATAM Cargo B763 (PR-ABB),Unknown,2021-06-08
25,25,23:40,LA3985,Sao Paulo (GRU),LATAM Airlines B763 (PT-MSV),Unknown,2021-06-08
26,26,23:55,AD4169,Porto Velho (PVH),Azul Linhas Aereas A20N (PR-YRK),Landed 23:40,2021-06-08
0,0,00:45,AD4451,Campinas (VCP),Azul Linhas Aereas A339 (PR-ANX),Landed 00:46,2021-06-09
1,1,01:05,AD4167,Recife (REC),Azul Linhas Aereas A20N (PR-YSD),Landed 00:43,2021-06-09
2,2,01:15 G31919,,Fortaleza (FOR),GOL Linhas Aereas B38M (PR-XMB),Landed 00:55,2021-06-09
3,3,04:25 WD5800,,Brasilia (BSB),Modern Logistics 737,Unknown,2021-06-09
4,4,06:15 AD4862,,Belem (BEL),Azul Linhas Aereas E195 (PR-AUN),Landed 05:57,2021-06-09
5,5,06:55 M36558,,Sao Paulo (GRU),LATAM Cargo Brasil 76V,Unknown,2021-06-09
6,6,07:15 AD4544,,Porto Velho (PVH),Azul Linhas Aereas A20N (PR-YSD),Landed 07:02,2021-06-09
7,7,09:00 G31843,,Fortaleza (FOR),GOL Linhas Aereas B38M (PR-XMD),Landed 08:39,2021-06-09
8,8,10:00 AD4184,,Tefe (TFF),Azul Linhas Aereas E195 (PR-AUN),Landed 09:53,2021-06-09
9,9,10:30 AD2002,,Campinas (VCP),Azul Linhas Aereas 73P,Unknown,2021-06-09
