,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,08:08 B62027,,Fort Lauderdale (FLL),JetBlue Airways (Boston Bruins Livery) A320 (N632JB),Landed 07:51,2021-05-09
1,1,09:50 AA566,,Miami (MIA),American Airlines B738 (N903NN),Landed 09:56,2021-05-09
2,2,10:25 UA1462,,New York (EWR),United Airlines B738 (N76514),Landed 09:42,2021-05-09
3,3,10:34 B6207,,New York (EWR),JetBlue Airways A320 (N768JB),Landed 10:04,2021-05-09
4,4,10:55 UA2126,,New York (EWR),United Airlines B738 (N77295),Landed 10:12,2021-05-09
5,5,10:59 B62427,,Fort Lauderdale (FLL),JetBlue Airways E190 (N274JB),Landed 11:20,2021-05-09
6,6,11:05 WN918,,Baltimore (BWI),Southwest Airlines (Classic Retro Livery) B737 (N714CB),Landed 10:51,2021-05-09
7,7,11:36,DL1997,Atlanta (ATL),Delta Air Lines A321 (N302DN),Landed 11:47,2021-05-09
8,8,11:40 NK833,,Fort Lauderdale (FLL),Spirit Airlines A320 (N626NK),Landed 11:58,2021-05-09
9,9,11:42 AA355,,Miami (MIA),American Airlines A319 (N8001N),Landed 11:34,2021-05-09
10,10,11:50 AA1349,,New York (JFK),American Airlines B738 (N931NN),Landed 11:05,2021-05-09
11,11,11:55 WN272,,Orlando (MCO),Southwest Airlines B737 (N7843A),Landed 11:38,2021-05-09
12,12,11:56 AA840,,Charlotte (CLT),American Airlines A321 (N971UY),Landed 11:45,2021-05-09
13,13,12:05,DL1955,New York (JFK),Delta Air Lines B739 (N802DN),Landed 11:23,2021-05-09
14,14,12:23 B6779,,New York (JFK),JetBlue Airways A321 (N907JB),Landed 12:49,2021-05-09
15,15,13:05,DL1801,Atlanta (ATL),Delta Air Lines A321 (N355DN),Landed 12:44,2021-05-09
16,16,13:10 UA1519,,Washington (IAD),United Airlines B738 (N26208),Landed 12:55,2021-05-09
17,17,13:13 B621,,Orlando (MCO),JetBlue Airways A320 (N821JB),Landed 13:04,2021-05-09
18,18,13:17 AA860,,Philadelphia (PHL),American Airlines A320 (N108UW),Landed 12:53,2021-05-09
19,19,13:20 UA1163,,Houston (IAH),United Airlines B738 (N76269),Landed 13:08,2021-05-09
20,20,13:36 AA2817,,Miami (MIA),American Airlines B738 (N985NN),Landed 13:06,2021-05-09
21,21,14:00 WN1115,,Houston (HOU),Southwest Airlines B737 (N7736A),Landed 13:41,2021-05-09
22,22,14:01 AA875,,Charlotte (CLT),American Airlines A321 (N186US),Landed 13:31,2021-05-09
23,23,14:59,,Miami (OPF),- GLF4 (N495WG),Landed 15:57,2021-05-09
24,24,15:00 WN906,,Baltimore (BWI),Southwest Airlines B738 (N8621A),Landed 14:44,2021-05-09
25,25,15:31,DL1949,Atlanta (ATL),Delta Air Lines A321 (N368DN),Landed 15:13,2021-05-09
26,26,15:37 AA1007,,Charlotte (CLT),American Airlines A321 (N575UW),Landed 15:11,2021-05-09
27,27,15:52 AC7243,,Toronto (YYZ),Air Canada B789 (C-FRSR),Landed 14:57,2021-05-09
28,28,16:24,AA2500,Dallas (DFW),American Airlines B738 (N886NN),Landed 16:59,2021-05-09
29,29,16:38 B61327,,Fort Lauderdale (FLL),JetBlue Airways E190 (N281JB),Landed 16:08,2021-05-09
30,30,18:43,B6879,New York (JFK),JetBlue Airways A320 (N804JB),Landed 18:28,2021-05-09
0,0,08:08 B62027,,Fort Lauderdale (FLL),JetBlue Airways E190 (N316JB),Landed 07:58,2021-05-10
1,1,09:30,KX620,Kingston (KIN),Cayman Airways 733,Unknown,2021-05-10
2,2,09:50 AA566,,Miami (MIA),American Airlines B738 (N902NN),Landed 09:24,2021-05-10
3,3,10:55 UA2126,,New York (EWR),United Airlines B738 (N14235),Landed 10:19,2021-05-10
4,4,10:59 B62427,,Fort Lauderdale (FLL),JetBlue Airways E190 (N353JB),Landed 11:28,2021-05-10
5,5,11:05 WN918,,Baltimore (BWI),Southwest Airlines B737 (N431WN),Landed 10:53,2021-05-10
6,6,11:36,DL1997,Atlanta (ATL),Delta Air Lines (Thank You Livery) A321 (N391DN),Landed 11:31,2021-05-10
7,7,11:40 NK833,,Fort Lauderdale (FLL),Spirit Airlines A321 (N663NK),Landed 11:44,2021-05-10
8,8,11:42 AA355,,Miami (MIA),American Airlines B738 (N923AN),Landed 11:34,2021-05-10
9,9,11:50 AA1349,,New York (JFK),American Airlines B738 (N981AN),Landed 11:48,2021-05-10
10,10,11:54 B6207,,New York (EWR),JetBlue Airways (JetBlue Vacations Livery) A320 (N603JB),Landed 11:37,2021-05-10
11,11,11:55 WN272,,Orlando (MCO),Southwest Airlines B737 (N477WN),Landed 11:42,2021-05-10
12,12,11:56 AA840,,Charlotte (CLT),American Airlines A321 (N170US),Landed 11:20,2021-05-10
13,13,12:05,DL1955,New York (JFK),Delta Air Lines B739 (N805DN),Landed 11:40,2021-05-10
14,14,12:15 BW8040,,Kingston (KIN),Caribbean Airlines 76Y,Unknown,2021-05-10
15,15,12:23 B6779,,New York (JFK),JetBlue Airways A321 (N959JB),Landed 12:30,2021-05-10
16,16,13:05,DL1801,Atlanta (ATL),Delta Air Lines A321 (N373DX),Landed 13:04,2021-05-10
17,17,13:13 B621,,Orlando (MCO),JetBlue Airways A320 (N821JB),Landed 13:34,2021-05-10
18,18,13:17 AA860,,Philadelphia (PHL),American Airlines A320 (N122US),Landed 13:10,2021-05-10
19,19,13:36 AA2817,,Miami (MIA),American Airlines (Reno Air Heritage Livery) B738 (N916NN),Landed 13:06,2021-05-10
