,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:20 WN2038,,San Diego (SAN),Southwest Airlines B738 (N8572X),Landed 00:25,2021-06-08
1,1,00:30 WN1322,,Phoenix (PHX),Southwest Airlines B738 (N8567Z),Landed 00:19,2021-06-08
2,2,00:32,DL2002,Salt Lake City (SLC),Delta Air Lines BCS1 (N135DQ),Landed 00:17,2021-06-08
3,3,00:35 DL1485,,Los Angeles (LAX),Delta Air Lines B738 (N3742C),Landed 00:50,2021-06-08
4,4,01:15 WN813,,Denver (DEN),Southwest Airlines B737 (N745SW),Landed 02:15,2021-06-08
5,5,01:35 WN3027,,Las Vegas (LAS),Southwest Airlines B738 (N8547V),Landed 01:51,2021-06-08
6,6,04:39 5X674,,Chicago (RFD),UPS B752 (N444UP),Landed 04:36,2021-06-08
7,7,04:43 FX1450,,Memphis (MEM),FedEx MD11 (N642FE),Landed 05:43,2021-06-08
8,8,04:48 5X662,,Louisville (SDF),UPS B763 (N359UP),Landed 05:33,2021-06-08
9,9,07:39 SY3056,,Lakeland (LAL),Amazon Air B738 (N7901A),Landed 07:02,2021-06-08
10,10,07:50 WN5052,,Dallas (DAL),Southwest Airlines (Colorado One Livery) B737 (N230WN),Unknown,2021-06-08
11,11,08:27 CB833,,Cedar Rapids (CID),Kalitta Charters II B734 (N405CK),Unknown,2021-06-08
12,12,08:40 WN3935,,Denver (DEN),Southwest Airlines B738 (N8687A),Landed 08:36,2021-06-08
13,13,08:48,,Kokomo (OKK),- CL60 (N604MH),Landed 08:44,2021-06-08
14,14,08:56 AA2487,,Dallas (DFW),American Airlines B738 (N825NN),Landed 09:26,2021-06-08
15,15,09:11 AA4945,,Charlotte (CLT),American Eagle E75L (N442YX),Landed 09:13,2021-06-08
16,16,09:12 DL2619,,Minneapolis (MSP),Delta Air Lines A319 (N321NB),Landed 08:55,2021-06-08
17,17,09:20 DL2155,,Atlanta (ATL),Delta Air Lines B739 (N871DN),Landed 09:02,2021-06-08
18,18,09:20,,Salina (SLN),- C172 (N831KS),Diverted to SLN,2021-06-08
19,19,09:30 WN4177,,Chicago (MDW),Southwest Airlines B738 (N8583Z),Landed 09:15,2021-06-08
20,20,09:30 FX2713,,Indianapolis (IND),FedEx B763 (N105FE),Landed 09:25,2021-06-08
21,21,09:35 WN3683,,Nashville (BNA),Southwest Airlines B737 (N763SW),Landed 09:31,2021-06-08
22,22,09:43 AA3608,,Chicago (ORD),American Eagle E75L (N218NN),Landed 09:55,2021-06-08
23,23,09:45 WN5222,,Orlando (MCO),Southwest Airlines B737 (N7851A),Landed 09:40,2021-06-08
24,24,09:46 DL5066,,Detroit (DTW),Delta Connection CRJ9 (N482PX),Landed 09:29,2021-06-08
25,25,09:50 UA3301,,Indianapolis (IND),United Express E75L (N752YX),Landed 10:17,2021-06-08
26,26,10:00 WN3715,,Atlanta (ATL),Southwest Airlines B738 (N8539V),Landed 09:44,2021-06-08
27,27,10:20 WN5461,,Baltimore (BWI),Southwest Airlines B737 (N935WN),Landed 10:14,2021-06-08
28,28,10:28 AA3978,,Dallas (DFW),American Eagle E75L (N246NN),Landed 11:21,2021-06-08
29,29,10:36 UA3702,,Chicago (ORD),United Express E170 (N638RW),Landed 10:08,2021-06-08
30,30,11:03 DL2005,,Atlanta (ATL),Delta Air Lines B739 (N861DN),Landed 10:52,2021-06-08
31,31,11:28 GB2042,,Cedar Rapids (CID),DHL B762 (N783AX),Landed 11:37,2021-06-08
32,32,11:30 WN488,,Phoenix (PHX),Southwest Airlines B737 (N958WN),Landed 11:17,2021-06-08
33,33,11:33 AA3850,,Miami (MIA),American Eagle E75L (N277NN),Landed 11:20,2021-06-08
34,34,11:33,DL5720,New York (LGA),Delta Connection E75S (N206JQ),Landed 11:03,2021-06-08
35,35,11:35 WN4843,,Las Vegas (LAS),Southwest Airlines B737 (N7724A),Landed 11:31,2021-06-08
36,36,11:42 DL2615,,Minneapolis (MSP),Delta Air Lines A320 (N366NW),Landed 11:30,2021-06-08
37,37,11:45 WN3517,,Denver (DEN),Southwest Airlines B737 (N450WN),Landed 11:38,2021-06-08
38,38,11:47 NK1198,,Orlando (MCO),Spirit Airlines A321 (N684NK),Landed 11:45,2021-06-08
39,39,11:48 AA3560,,Washington (DCA),American Eagle E75L (N262NN),Landed 11:25,2021-06-08
40,40,12:04,UA6103,Houston (IAH),United Express E75L (N89308),Landed 11:48,2021-06-08
41,41,12:05 WN1080,,Fort Myers (RSW),Southwest Airlines B737 (N240WN),Landed 11:55,2021-06-08
42,42,12:10 WN2471,,Tampa (TPA),Southwest Airlines B737 (N952WN),Unknown,2021-06-08
43,43,12:14 AA2486,,Dallas (DFW),American Airlines (America West Heritage Livery) A319 (N838AW),Landed 12:21,2021-06-08
44,44,12:25 WN967,,Chicago (MDW),Southwest Airlines B737 (N7750A),Landed 12:07,2021-06-08
45,45,12:35 WN1091,,Dallas (DAL),Southwest Airlines B737 (N754SW),Landed 13:11,2021-06-08
46,46,12:37,UA5375,Denver (DEN),United Express E75L (N165SY),Landed 12:53,2021-06-08
47,47,12:41 AA2884,,Charlotte (CLT),American Airlines B738 (N870NN),Landed 12:45,2021-06-08
48,48,12:44 DL5769,,Boston (BOS),Delta Connection E75S (N209JQ),Landed 12:40,2021-06-08
49,49,12:45 AA5267,,Philadelphia (PHL),American Eagle CRJ9 (N555NN),Landed 13:08,2021-06-08
50,50,13:09,DL721,Salt Lake City (SLC),Delta Air Lines A319 (N365NB),Landed 13:09,2021-06-08
51,51,13:14,UA3487,Washington (IAD),United Express E170 (N641RW),Landed 12:51,2021-06-08
52,52,13:15 WN2387,,Orlando (MCO),Southwest Airlines B738 (N8514F),Landed 13:08,2021-06-08
53,53,13:20 WN2448,,Pensacola (PNS),Southwest Airlines B737 (N465WN),Landed 13:10,2021-06-08
54,54,13:21 DL2472,,Detroit (DTW),Delta Air Lines B712 (N942AT),Landed 12:56,2021-06-08
55,55,13:30,AA3281,Chicago (ORD),American Eagle CRJ7 (N763SK),Landed 13:01,2021-06-08
56,56,13:50 AS418,,Seattle (SEA),Alaska Airlines B739 (N270AK),Landed 13:36,2021-06-08
57,57,14:06,UA6376,Houston (IAH),United Express E75L (N88327),Landed 15:38,2021-06-08
58,58,14:27 DL2614,,Minneapolis (MSP),Delta Air Lines A319 (N321NB),Landed 14:08,2021-06-08
59,59,14:45,AA1614,Dallas (DFW),American Airlines B738 (N922AN),Landed 15:07,2021-06-08
60,60,15:05,DL2519,Atlanta (ATL),Delta Air Lines B739 (N869DN),Landed 14:54,2021-06-08
61,61,15:05 WN5056,,Fort Lauderdale (FLL),Southwest Airlines B737 (N449WN),Landed 14:44,2021-06-08
62,62,15:09 NK816,,Los Angeles (LAX),Spirit Airlines A20N (N928NK),Landed 14:50,2021-06-08
63,63,15:10 WN4400,,Phoenix (PHX),Southwest Airlines B738 (N8534Z),Landed 14:54,2021-06-08
64,64,15:20 WN4179,,Oakland (OAK),Southwest Airlines B737 (N7883A),Landed 15:13,2021-06-08
65,65,15:30 WN5721,,Fort Lauderdale (FLL),Southwest Airlines B737 (N928WN),Landed 15:07,2021-06-08
66,66,15:31 AA4803,,Philadelphia (PHL),American Eagle E75S (N412YX),Landed 16:01,2021-06-08
67,67,15:40 WN3140,,Santa Ana (SNA),Southwest Airlines B737 (N900WN),Landed 15:32,2021-06-08
68,68,15:42,AA1622,Phoenix (PHX),American Airlines A320 (N119US),Landed 15:34,2021-06-08
69,69,15:55 WN3731,,San Diego (SAN),Southwest Airlines B738 (N8637A),Landed 15:45,2021-06-08
70,70,15:59,UA5406,Chicago (ORD),United Express E75L (N166SY),Landed 15:54,2021-06-08
71,71,16:20,UA586,Denver (DEN),United Airlines A320 (N422UA),Landed 16:09,2021-06-08
72,72,16:20 WN3510,,Austin (AUS),Southwest Airlines B737 (N7702A),Landed 16:15,2021-06-08
73,73,16:30 WN654,,Los Angeles (LAX),Southwest Airlines B737 (N709SW),Landed 16:19,2021-06-08
74,74,16:30 WN3884,,Nashville (BNA),Southwest Airlines B737 (N909WN),Landed 16:27,2021-06-08
75,75,16:45,AA1617,Dallas (DFW),American Airlines B738 (N802NN),Landed 17:03,2021-06-08
76,76,17:00 WN5341,,Chicago (MDW),Southwest Airlines B737 (N7889A),Landed 17:09,2021-06-08
77,77,17:02 FX3153,,Fort Worth (AFW),FedEx B752 (N798FD),Landed 16:36,2021-06-08
78,78,17:08,DL787,Atlanta (ATL),Delta Air Lines B739 (N929DZ),Landed 16:42,2021-06-08
79,79,17:23,,Manhattan (MHK),- C182 (N182N),Landed 16:53,2021-06-08
80,80,17:26 DL2881,,Minneapolis (MSP),Delta Air Lines A319 (N366NB),Landed 17:05,2021-06-08
81,81,17:29,DL5686,New York (LGA),Delta Connection E170 (N818MD),Landed 18:42,2021-06-08
82,82,17:35,DL2461,Detroit (DTW),Delta Air Lines A319 (N360NB),Landed 18:17,2021-06-08
83,83,17:39 AA1246,,Charlotte (CLT),American Airlines B738 (N832NN),Landed 17:17,2021-06-08
84,84,17:40 AS2048,,Portland (PDX),Alaska Horizon E75L (N628QX),Landed 17:39,2021-06-08
85,85,17:49,DL2877,Salt Lake City (SLC),Delta Air Lines A319 (N354NB),Landed 19:38,2021-06-08
86,86,17:50 WN3771,,St. Louis (STL),Southwest Airlines B737 (N917WN),Landed 17:50,2021-06-08
87,87,18:17,UA5447,Denver (DEN),United Express E75L (N601UX),Landed 18:11,2021-06-08
88,88,18:21 FX384,,Memphis (MEM),FedEx B763 (N274FE),Landed 19:20,2021-06-08
89,89,18:25 WN5017,,Dallas (DAL),Southwest Airlines B737 (N239WN),Landed 18:37,2021-06-08
90,90,18:32,AA3884,Chicago (ORD),American Eagle E75L (N267NN),Landed 18:09,2021-06-08
91,91,18:35,F9330,Denver (DEN),Frontier (Joe Bob the Badger Livery) A321 (N708FR),Landed 18:19,2021-06-08
92,92,18:35,UA6052,Houston (IAH),United Express E75L (N88341),Landed 18:15,2021-06-08
93,93,18:45 AA4544,,Washington (DCA),American Eagle E75S (N121HQ),Landed 18:35,2021-06-08
94,94,18:45 WN4939,,Denver (DEN),Southwest Airlines B737 (N7815L),Landed 19:00,2021-06-08
95,95,19:04,AA1618,Dallas (DFW),American Airlines B38M (N342RX),Landed 19:34,2021-06-08
