,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,8:20 AM AR2540,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-04
1,1,9:00 AM AR2462,,Buenos Aires (EZE),Aerolineas Argentinas E90,Canceled,2020-10-04
2,2,9:05 AM WJ3422,,El Palomar (EPA),JetSMART Argentina 320,Unknown,2020-10-04
3,3,12:30 PM,AR1536,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-04
4,4,1:45 PM AR2562,,Cordoba (COR),Aerolineas Argentinas E90,Canceled,2020-10-04
5,5,2:00 PM AR2412,,Buenos Aires (EZE),Aerolineas Argentinas E90,Canceled,2020-10-04
6,6,3:00 PM DL7610,,Buenos Aires (EZE),Delta Air Lines -,Canceled,2020-10-04
7,7,5:25 PM,AR1466,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-04
8,8,6:30 PM AR2594,,Cordoba (COR),Aerolineas Argentinas E90,Canceled,2020-10-04
9,9,7:25 PM AR1410,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-04
10,10,10:15 PM AR1432,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-04
11,11,10:50 PM AR2438,,Neuquen (NQN),Aerolineas Argentinas E90,Canceled,2020-10-04
0,0,8:20 AM AR2540,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-04
1,1,9:00 AM AR2462,,Buenos Aires (EZE),Aerolineas Argentinas E90,Canceled,2020-10-04
2,2,9:05 AM,AR1536,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-04
3,3,9:10 AM AR2408,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-04
4,4,1:45 PM AR2562,,Cordoba (COR),Aerolineas Argentinas E90,Canceled,2020-10-04
5,5,2:00 PM AR2691,,San Carlos de Bariloche (BRC),Aerolineas Argentinas E90,Canceled,2020-10-04
6,6,2:00 PM AR2412,,Buenos Aires (EZE),Aerolineas Argentinas E90,Canceled,2020-10-04
7,7,5:25 PM,AR1466,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-04
8,8,6:30 PM AR2594,,Cordoba (COR),Aerolineas Argentinas E90,Canceled,2020-10-04
9,9,7:25 PM AR1410,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-04
10,10,10:15 PM AR1432,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-04
11,11,10:50 PM AR2438,,Neuquen (NQN),Aerolineas Argentinas E90,Canceled,2020-10-04
0,0,8:20 AM AR2540,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-05
1,1,9:00 AM AR2462,,Buenos Aires (EZE),Aerolineas Argentinas E90,Canceled,2020-10-05
2,2,9:05 AM,AR1536,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-05
3,3,12:50 PM AR2422,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-05
4,4,1:00 PM DL7610,,Buenos Aires (EZE),Delta Air Lines -,Canceled,2020-10-05
5,5,1:15 PM WJ3422,,El Palomar (EPA),JetSMART Argentina 320,Unknown,2020-10-05
6,6,1:55 PM AR2562,,Cordoba (COR),Aerolineas Argentinas E90,Canceled,2020-10-05
7,7,2:00 PM AR2412,,Buenos Aires (EZE),Aerolineas Argentinas E90,Canceled,2020-10-05
8,8,3:05 PM AR2814,,Salta (SLA),Aerolineas Argentinas E90,Canceled,2020-10-05
9,9,3:55 PM AR2660,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-05
10,10,4:15 PM AR2816,,Rosario (ROS),Aerolineas Argentinas E90,Canceled,2020-10-05
11,11,5:45 PM,AR1466,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-05
12,12,6:30 PM AR2594,,Cordoba (COR),Aerolineas Argentinas E90,Canceled,2020-10-05
