,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,03:15 6R270,,Mexico City (MEX),AeroUnion A306 (XA-LFR),Landed 04:44,2021-06-08
1,1,07:30 Y4201,,Mexico City (MEX),Volaris A320 (N519VL),Landed 07:14,2021-06-08
2,2,08:11,AM820,Mexico City (MEX),Aeromexico B738 (XA-ZAM),Landed 07:51,2021-06-08
3,3,08:20 VB1100,,Mexico City (MEX),VivaAerobus A21N (XA-VBB),Landed 07:56,2021-06-08
4,4,08:20 VB4280,,Monterrey (MTY),VivaAerobus A320 (EI-EUA),Landed 08:02,2021-06-08
5,5,08:25,,Villahermosa (VSA),- B734,Canceled,2021-06-08
6,6,08:40 E7615,,Villahermosa (VSA),Estafeta Carga Aerea B734 (XA-ESF),Landed 07:19,2021-06-08
7,7,08:51 7M26,,Cancun (CUN),MAYAir D28,Unknown,2021-06-08
8,8,11:02,AM824,Mexico City (MEX),Aeromexico Connect E190 (XA-AEN),Landed 11:05,2021-06-08
9,9,12:31,AM826,Mexico City (MEX),Aeromexico Connect E190 (XA-ALW),Landed 12:14,2021-06-08
10,10,13:25 IF8135,,Miami (MIA),IFL Group CVLT (N391FL),Landed 13:20,2021-06-08
11,11,13:53 AM828,,Mexico City (MEX),Aeromexico B738 (XA-ZAM),Landed 13:39,2021-06-08
12,12,14:05 UA1476,,Houston (IAH),United Airlines B738 (N26226),Landed 14:06,2021-06-08
13,13,14:16 Y4754,,Mexico City (MEX),Volaris A320 (N521VL),Unknown,2021-06-08
14,14,15:22,AM830,Mexico City (MEX),Aeromexico B738 (N342AM),Landed 15:11,2021-06-08
15,15,15:55 VB1104,,Mexico City (MEX),VivaAerobus A320 (XA-VAW),Landed 15:32,2021-06-08
16,16,16:29 AA4271,,Miami (MIA),American Eagle E75L (N272NN),Landed 16:48,2021-06-08
17,17,16:56,AM832,Mexico City (MEX),Aeromexico Connect E190 (XA-ACI),Landed 16:31,2021-06-08
18,18,18:29,AM834,Mexico City (MEX),Aeromexico Connect E190 (XA-ALW),Landed 18:11,2021-06-08
19,19,18:32 Y4788,,Mexico City (MEX),Volaris A320 (N514VL),Landed 18:18,2021-06-08
20,20,19:31 7M29,,Cancun (CUN),MAYAir D28,Unknown,2021-06-08
21,21,20:25 E7610,,Cancun (CUN),Estafeta Carga Aerea 73F,Unknown,2021-06-08
22,22,21:05 7M31,,Villahermosa (VSA),MAYAir F50,Unknown,2021-06-08
23,23,21:06,,Cancun (CUN),- B734,Canceled,2021-06-08
24,24,21:24,AM838,Mexico City (MEX),Aeromexico Connect E190 (XA-ACK),Unknown,2021-06-08
25,25,21:30 Y4758,,Mexico City (MEX),Volaris A20N (N539VL),Landed 21:01,2021-06-08
26,26,21:51,UA1426,Houston (IAH),United Airlines B738 (N18223),Landed 21:37,2021-06-08
27,27,22:15 VB1108,,Mexico City (MEX),VivaAerobus A320 (XA-VAP),Landed 22:18,2021-06-08
28,28,23:49,AM842,Mexico City (MEX),Aeromexico Connect E190 (XA-JAC),Landed 23:50,2021-06-08
0,0,3:15 AM 6R270,,Mexico City (MEX),Alrosa 76X,Unknown,2021-06-09
1,1,7:42 AM Y4756,,Mexico City (MEX),Volaris A320 (N517VL),Landed 7:43 AM,2021-06-09
2,2,8:11 AM,AM820,Mexico City (MEX),Aeromexico Connect E190 (XA-AAC),Landed 7:48 AM,2021-06-09
3,3,8:20 AM VB1100,,Mexico City (MEX),VivaAerobus A21N (XA-VBB),Landed 8:08 AM,2021-06-09
4,4,8:20 AM VB4280,,Monterrey (MTY),VivaAerobus A320 (XA-VAK),Landed 7:54 AM,2021-06-09
5,5,8:25 AM VB3062,,Guadalajara (GDL),VivaAerobus A320 (XA-VAU),Landed 8:28 AM,2021-06-09
6,6,8:25 AM,,Villahermosa (VSA),- B734,Canceled,2021-06-09
7,7,8:40 AM E7615,,Villahermosa (VSA),Estafeta Carga Aerea B734 (XA-ESF),Landed 7:45 AM,2021-06-09
8,8,8:51 AM 7M26,,Cancun (CUN),MAYAir D28,Unknown,2021-06-09
9,9,11:02 AM,AM824,Mexico City (MEX),Aeromexico B738 (N875AM),Landed 10:42 AM,2021-06-09
10,10,12:31 PM,AM826,Mexico City (MEX),Aeromexico B738 (N342AM),Landed 12:16 PM,2021-06-09
11,11,12:35 PM,,Sarasota (SRQ),- B350 (N62HQ),Landed 2:39 PM,2021-06-09
12,12,1:35 PM IF8135,,Miami (MIA),IFL Group CVLT (N391FL),Landed 1:30 PM,2021-06-09
13,13,2:05 PM UA1476,,Houston (IAH),United Airlines B738 (N18223),Landed 2:16 PM,2021-06-09
14,14,2:08 PM AM828,,Mexico City (MEX),Aeromexico B738 (XA-AMS),Landed 1:51 PM,2021-06-09
15,15,2:16 PM Y4754,,Mexico City (MEX),Volaris A20N (XA-VRH),Landed 2:17 PM,2021-06-09
16,16,3:22 PM,AM830,Mexico City (MEX),Aeromexico B738 (XA-AMK),Landed 3:05 PM,2021-06-09
17,17,3:55 PM VB1104,,Mexico City (MEX),VivaAerobus A320 (XA-VAX),Diverted to CUN,2021-06-09
18,18,4:29 PM AA4271,,Miami (MIA),American Eagle E75L (N288NN),Diverted to CZM,2021-06-09
19,19,4:56 PM,AM832,Mexico City (MEX),Aeromexico B738 (XA-AMC),Landed 4:56 PM,2021-06-09
20,20,6:01 PM Y4686,,Guadalajara (GDL),Volaris A320 (N505VL),Landed 6:52 PM,2021-06-09
21,21,6:01 PM VB1104,,Cancun (CUN),VivaAerobus A320 (XA-VAX),Landed 6:09 PM,2021-06-09
22,22,6:29 PM,AM834,Mexico City (MEX),Aeromexico B738 (XA-DRA),Landed 6:39 PM,2021-06-09
23,23,6:35 PM AA4271,,Cozumel (CZM),American Eagle E75L (N288NN),Landed 10:08 PM,2021-06-09
24,24,7:31 PM 7M29,,Cancun (CUN),MAYAir D28,Unknown,2021-06-09
25,25,8:10 PM VB9027,,Veracruz (VER),VivaAerobus A320 (XA-VAE),Landed 7:43 PM,2021-06-09
26,26,8:25 PM E7610,,Cancun (CUN),Estafeta Carga Aerea B734 (XA-ESF),Landed 8:11 PM,2021-06-09
27,27,9:05 PM 7M31,,Villahermosa (VSA),MAYAir F50,Unknown,2021-06-09
28,28,9:06 PM,,Cancun (CUN),- B734,Canceled,2021-06-09
29,29,9:24 PM,AM838,Mexico City (MEX),Aeromexico Connect E190 (XA-ALY),Landed 9:24 PM,2021-06-09
30,30,9:30 PM Y4758,,Mexico City (MEX),Volaris A21N (N536VL),Landed 9:11 PM,2021-06-09
31,31,9:51 PM,UA1426,Houston (IAH),United Airlines B738 (N18220),Landed 9:55 PM,2021-06-09
32,32,10:15 PM VB1108,,Mexico City (MEX),VivaAerobus A20N (XA-VIU),Landed 10:02 PM,2021-06-09
33,33,11:49 PM,AM842,Mexico City (MEX),Aeromexico Connect E190 (XA-AEC),Landed 12:45 AM,2021-06-09
0,0,07:30 Y4201,,Mexico City (MEX),Volaris A20N (XA-VRE),Landed 07:18,2021-06-10
1,1,08:11,AM820,Mexico City (MEX),Aeromexico Connect E190 (XA-GAW),Landed 08:06,2021-06-10
2,2,08:20 VB1100,,Mexico City (MEX),VivaAerobus A21N (XA-VBA),Landed 08:16,2021-06-10
3,3,08:20 VB4280,,Monterrey (MTY),VivaAerobus A320 (XA-VAE),Landed 08:01,2021-06-10
4,4,08:24,,Villahermosa (VSA),- B734,Canceled,2021-06-10
5,5,08:25 VB3062,,Guadalajara (GDL),VivaAerobus A20N (XA-VIQ),Landed 08:13,2021-06-10
6,6,08:40 E7615,,Villahermosa (VSA),Estafeta Carga Aerea B734 (XA-ESF),Landed 07:39,2021-06-10
7,7,08:51 7M26,,Cancun (CUN),MAYAir D28,Unknown,2021-06-10
8,8,10:54 6R4069,,Miami (MIA),AeroUnion A306 (XA-LFR),Landed 10:23,2021-06-10
9,9,11:02,AM824,Mexico City (MEX),Aeromexico B738 (N958AM),Landed 11:10,2021-06-10
10,10,12:31,AM826,Mexico City (MEX),Aeromexico Connect E190 (XA-ALU),Landed 12:57,2021-06-10
11,11,12:48 IF8135,,Miami (MIA),IFL Group CVLT (N391FL),Landed 12:37,2021-06-10
12,12,13:53 AM828,,Mexico City (MEX),Aeromexico B738 (N377AR),Landed 13:52,2021-06-10
13,13,14:05 UA1476,,Houston (IAH),United Airlines B738 (N17229),Landed 13:46,2021-06-10
14,14,14:16 Y4754,,Mexico City (MEX),Volaris A320 (XA-VLN),Landed 14:01,2021-06-10
15,15,15:22,AM830,Mexico City (MEX),Aeromexico B738 (XA-AMK),Landed 15:21,2021-06-10
16,16,15:55 VB1104,,Mexico City (MEX),VivaAerobus A20N (XA-VIO),Landed 15:39,2021-06-10
17,17,16:29 AA4271,,Miami (MIA),American Eagle E75L (N279MQ),Landed 17:04,2021-06-10
18,18,16:56,AM832,Mexico City (MEX),Aeromexico Connect E190 (XA-FAC),Landed 16:56,2021-06-10
19,19,18:32 Y4788,,Mexico City (MEX),Volaris A320 (N519VL),Landed 18:05,2021-06-10
20,20,18:34,AM834,Mexico City (MEX),Aeromexico Connect E190 (XA-GAG),Landed 18:29,2021-06-10
21,21,19:31 7M29,,Cancun (CUN),MAYAir D28,Unknown,2021-06-10
22,22,20:25 E7610,,Cancun (CUN),Estafeta Carga Aerea 73F,Unknown,2021-06-10
23,23,21:05 7M31,,Villahermosa (VSA),MAYAir F50,Unknown,2021-06-10
24,24,21:06,,Cancun (CUN),- B734,Canceled,2021-06-10
25,25,21:24,AM838,Mexico City (MEX),Aeromexico Connect E190 (XA-GAH),Landed 21:10,2021-06-10
26,26,21:30 Y4758,,Mexico City (MEX),Volaris A20N (XA-VRK),Landed 20:58,2021-06-10
27,27,21:51,UA1426,Houston (IAH),United Airlines B738 (N17229),Landed 21:53,2021-06-10
28,28,22:10 VB4286,,Monterrey (MTY),VivaAerobus A320 (XA-VAE),Landed 22:04,2021-06-10
29,29,22:15 VB1108,,Mexico City (MEX),VivaAerobus A20N (XA-VIV),Landed 21:46,2021-06-10
30,30,23:49,AM842,Mexico City (MEX),Aeromexico B738 (N957AM),Landed 23:48,2021-06-10
0,0,07:42 Y4756,,Mexico City (MEX),Volaris A20N (N528VL),Landed 07:24,2021-06-11
1,1,08:11,AM820,Mexico City (MEX),Aeromexico Connect E190 (XA-ALR),Landed 07:44,2021-06-11
