,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,04:57 Y4440,,Tijuana (TIJ),Volaris A20N (XA-VRI),Landed 04:27,2021-06-08
1,1,06:22,Y4603,Fresno (FAT),Volaris A320 (XA-VOY),Landed 06:34,2021-06-08
2,2,06:49 Y4486,,Tijuana (TIJ),Volaris A20N (XA-VRL),Landed 06:23,2021-06-08
3,3,07:02 Y4296,,Chicago (ORD),Volaris A320 (XA-VLQ),Landed 06:39,2021-06-08
4,4,10:45 Y4444,,Tijuana (TIJ),Volaris A320 (XA-VLC),Landed 10:25,2021-06-08
5,5,11:04 Y4947,,Chicago (MDW),Volaris A20N (XA-VRN),Landed 10:34,2021-06-08
6,6,13:15,AA4315,Dallas (DFW),American Eagle E75L (N234JW),Landed 13:12,2021-06-08
7,7,18:00 Y4442,,Tijuana (TIJ),Volaris A320 (XA-VLR),Landed 17:45,2021-06-08
8,8,19:08,Y4605,San Jose (SJC),Volaris A20N (XA-VRL),Landed 18:52,2021-06-08
9,9,21:58,UA6288,Houston (IAH),United Express E75L (N88359),Landed 22:06,2021-06-08
10,10,22:05 VB5016,,Tijuana (TIJ),VivaAerobus A20N (XA-VIJ),Landed 21:51,2021-06-08
0,0,4:51 AM,Y4921,Los Angeles (LAX),Volaris A20N (XA-VRL),Landed 4:15 AM,2021-06-09
1,1,4:57 AM Y4440,,Tijuana (TIJ),Volaris A320 (XA-VLD),Landed 4:51 AM,2021-06-09
2,2,6:49 AM Y4486,,Tijuana (TIJ),Volaris A320 (XA-VLC),Landed 6:27 AM,2021-06-09
3,3,10:45 AM Y4444,,Tijuana (TIJ),Volaris A20N (N538VL),Landed 10:39 AM,2021-06-09
4,4,11:04 AM Y4947,,Chicago (MDW),Volaris A20N (XA-VRR),Landed 10:56 AM,2021-06-09
5,5,1:15 PM,AA4315,Dallas (DFW),American Eagle E75L (N239NN),Unknown,2021-06-09
6,6,6:00 PM Y4442,,Tijuana (TIJ),Volaris A320 (N519VL),Landed 5:47 PM,2021-06-09
7,7,7:29 PM Y4991,,Oakland (OAK),Volaris A320 (XA-VLC),Landed 7:22 PM,2021-06-09
8,8,9:58 PM,UA6288,Houston (IAH),United Express E75L (N88331),Landed 10:19 PM,2021-06-09
9,9,10:05 PM VB5016,,Tijuana (TIJ),VivaAerobus A20N (XA-VIS),Landed 10:03 PM,2021-06-09
0,0,04:51,Y4921,Los Angeles (LAX),Volaris A320 (XA-VLC),Landed 04:41,2021-06-10
1,1,04:57 Y4440,,Tijuana (TIJ),Volaris A20N (N533VL),Landed 04:47,2021-06-10
2,2,10:45 Y4444,,Tijuana (TIJ),Volaris A320 (N521VL),Landed 10:30,2021-06-10
3,3,11:04 Y4947,,Chicago (MDW),Volaris A320 (N512VL),Landed 10:42,2021-06-10
