,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:25 WN1325,,Denver (DEN),Southwest Airlines B737 (N295WN),Landed 00:10,2021-06-08
1,1,00:40 WN1702,,Las Vegas (LAS),Southwest Airlines B738 (N8671D),Landed 02:33,2021-06-08
2,2,01:30 FX2617,,Houston (IAH),FedEx A306 (N665FE),Landed 01:32,2021-06-08
3,3,04:55 FX1757,,Indianapolis (IND),FedEx B752 (N774FD),Landed 05:09,2021-06-08
4,4,05:17 FX1453,,Memphis (MEM),FedEx B763 (N166FE),Landed 05:13,2021-06-08
5,5,05:18 5X710,,Lafayette (LFT),UPS B752 (N435UP),Landed 05:09,2021-06-08
6,6,05:29 5X702,,Louisville (SDF),UPS B763 (N365UP),Landed 06:04,2021-06-08
7,7,07:10 WN4988,,Houston (HOU),Southwest Airlines B738 (N8574Z),Landed 07:05,2021-06-08
8,8,07:30 WN636,,Dallas (DAL),Southwest Airlines B737 (N7858A),Landed 07:09,2021-06-08
9,9,08:15 WN4082,,Orlando (MCO),Southwest Airlines B737 (N7853B),Landed 08:15,2021-06-08
10,10,08:25 AA1776,,Charlotte (CLT),American Airlines A319 (N716UW),Landed 08:01,2021-06-08
11,11,08:46,DL1004,Atlanta (ATL),Delta Air Lines B738 (N3753),Landed 08:30,2021-06-08
12,12,08:47,AA1768,Dallas (DFW),American Airlines B738 (N884NN),Landed 08:49,2021-06-08
13,13,08:53,UA2644,Houston (IAH),United Airlines A320 (N454UA),Landed 08:36,2021-06-08
14,14,09:02 NK985,,Detroit (DTW),Spirit Airlines A320 (N645NK),Landed 08:44,2021-06-08
15,15,09:15 WN2798,,Atlanta (ATL),Southwest Airlines B737 (N7713A),Landed 08:53,2021-06-08
16,16,09:15 WN5997,,Fort Lauderdale (FLL),Southwest Airlines B737 (N414WN),Landed 09:21,2021-06-08
17,17,09:45 WN2494,,Nashville (BNA),Southwest Airlines B737 (N730SW),Landed 09:44,2021-06-08
18,18,09:48,AA4240,Miami (MIA),American Eagle E75L (N278NN),Landed 09:18,2021-06-08
19,19,10:05 NK665,,Fort Lauderdale (FLL),Spirit Airlines A320 (N695NK),Landed 09:55,2021-06-08
20,20,10:15 AA4620,,Washington (DCA),American Eagle E75L (N453YX),Landed 10:08,2021-06-08
21,21,10:15 WN4800,,Houston (HOU),Southwest Airlines B738 (N8664J),Landed 10:12,2021-06-08
22,22,10:15 WN5523,,Houston (IAH),Southwest Airlines B737 (N940WN),Landed 10:03,2021-06-08
23,23,10:21 DL2082,,Detroit (DTW),Delta Air Lines B712 (N925AT),Landed 09:59,2021-06-08
24,24,10:25,DL5637,New York (JFK),Delta Connection E75L (N236JQ),Landed 10:11,2021-06-08
25,25,10:25 WN3876,,Tampa (TPA),Southwest Airlines B737 (N7875A),Landed 10:28,2021-06-08
26,26,10:25 WN2377,,Dallas (DAL),Southwest Airlines B737 (N251WN),Landed 10:16,2021-06-08
27,27,10:26 AA4527,,Philadelphia (PHL),American Eagle E75L (N447YX),Landed 10:15,2021-06-08
28,28,10:29 AA2603,,Dallas (DFW),American Airlines A320 (N663AW),Landed 10:23,2021-06-08
29,29,10:40 WN1914,,Baltimore (BWI),Southwest Airlines B737 (N246LV),Landed 10:25,2021-06-08
30,30,10:49 CB835,,Nashville (BNA),DHL B734 (N734CK),Unknown,2021-06-08
31,31,10:55 WN2294,,Fort Lauderdale (FLL),Southwest Airlines B737 (N7842A),Landed 10:31,2021-06-08
32,32,10:55 WN5551,,Chicago (MDW),Southwest Airlines B38M (N8812Q),Landed 10:44,2021-06-08
33,33,10:56 AA2613,,Chicago (ORD),American Airlines A320 (N658AW),Landed 10:33,2021-06-08
34,34,11:11 UA1938,,Houston (IAH),United Airlines A319 (N878UA),Landed 11:15,2021-06-08
35,35,11:21 DL996,,Atlanta (ATL),Delta Air Lines B752 (N688DL),Landed 11:01,2021-06-08
36,36,11:30 1I557,,Paducah (PAH),NetJets C56X,Unknown,2021-06-08
37,37,11:40 UA4640,,Denver (DEN),United Express E75L (N625UX),Landed 11:52,2021-06-08
