,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:15 VB617,,Houston (IAH),VivaAerobus (Tecate Pal Norte 2019 Livery) A20N (XA-VIE),Landed 23:52,2021-06-08
1,1,00:20 VB4189,,Silao (BJX),VivaAerobus A20N (XA-VIW),Landed 23:47,2021-06-08
2,2,00:25 VB4169,,Veracruz (VER),VivaAerobus A320 (XA-VAK),Landed 00:01,2021-06-08
3,3,00:25 VB4199,,Tuxtla Gutierrez (TGZ),VivaAerobus A20N (XA-VIU),Landed 00:58,2021-06-08
4,4,00:35 VB4399,,Villahermosa (VSA),VivaAerobus A321 (XA-VBJ),Landed 00:06,2021-06-08
5,5,00:40 VB3202,,Guadalajara (GDL),VivaAerobus A20N (XA-VIO),Landed 00:11,2021-06-08
6,6,00:45 VB4009,,Puebla (PBC),VivaAerobus A320 (XA-VAE),Landed 00:22,2021-06-08
7,7,00:50 VB4121,,Hermosillo (HMO),VivaAerobus A20N (XA-VIR),Landed 02:25,2021-06-08
8,8,00:50 VB4287,,Merida (MID),VivaAerobus A320 (XA-VAB),Landed 00:25,2021-06-08
9,9,00:55 VB2176,,Cancun (CUN),VivaAerobus A21N (XA-VBA),Landed 00:53,2021-06-08
10,10,02:08 5V2871,,Laredo (LRD),Everts Air Cargo MD83 (N964CE),Landed 01:55,2021-06-08
11,11,02:50 VB2194,,Cancun (CUN),VivaAerobus A20N (XA-VII),Landed 02:29,2021-06-08
12,12,04:55,,San Luis Potosi (SLP),- B734,Canceled,2021-06-08
13,13,05:04 Y4510,,Tijuana (TIJ),Volaris A319 (XA-VOE),Landed 04:41,2021-06-08
14,14,05:10 E7522,,San Luis Potosi (SLP),Estafeta Carga Aerea B734 (XA-EST),Landed 04:59,2021-06-08
15,15,07:02 5X300,,Louisville (SDF),UPS B752 (N404UP),Landed 07:26,2021-06-08
16,16,07:25 FX67,,Memphis (MEM),FedEx B763 (N135FE),Landed 07:34,2021-06-08
17,17,07:51,AM900,Mexico City (MEX),Aeromexico B38M (XA-MAK),Landed 07:39,2021-06-08
18,18,08:15 VW897,,McAllen (MFE),Aeromar AT76 (XA-UZS),Landed 09:27,2021-06-08
19,19,08:22 Y4180,,Mexico City (MEX),Volaris A321 (XA-VLT),Landed 08:12,2021-06-08
20,20,08:48 W8920,,Cincinnati (CVG),Cargojet Airways B752 (C-GVAJ),Landed 08:45,2021-06-08
21,21,08:57,AM904,Mexico City (MEX),Aeromexico B738 (N845AM),Landed 08:18,2021-06-08
22,22,09:41 Y4676,,Guadalajara (GDL),Volaris A319 (XA-VOE),Landed 09:25,2021-06-08
23,23,09:45,AM908,Mexico City (MEX),Aeromexico B738 (N342AM),Landed 09:25,2021-06-08
24,24,10:05 VB1134,,Mexico City (MEX),VivaAerobus A21N (XA-VBA),Landed 09:47,2021-06-08
25,25,10:10 VB4147,,Ciudad Juarez (CJS),VivaAerobus A320 (XA-VAK),Landed 09:50,2021-06-08
26,26,10:15 VB4163,,Veracruz (VER),Viva Aerobus A320 (XA-VAC),Landed 09:41,2021-06-08
