,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,06:42 Y4620,,Guadalajara (GDL),Volaris A21N (N535VL),Landed 06:35,2021-06-08
1,1,09:17 Y4648,,Guadalajara (GDL),Volaris A321 (XA-VLH),Landed 09:12,2021-06-08
2,2,10:39,AM198,Mexico City (MEX),Aeromexico B738 (N958AM),Landed 10:25,2021-06-08
3,3,15:06 Y4164,,Culiacan (CUL),Volaris A20N (XA-VRJ),Landed 14:58,2021-06-08
4,4,18:31 Y4624,,Guadalajara (GDL),Volaris A21N (N535VL),Landed 18:28,2021-06-08
5,5,22:24,AM190,Mexico City (MEX),Aeromexico B738 (XA-DRA),Landed 23:23,2021-06-08
6,6,22:29 Y4752,,Mexico City (MEX),Volaris A320 (N520VL),Landed 22:54,2021-06-08
7,7,23:10 Y4622,,Guadalajara (GDL),Volaris A321 (XA-VLV),Landed 00:50,2021-06-08
0,0,6:42 AM Y4620,,Guadalajara (GDL),Volaris A21N (N535VL),Landed 6:31 AM,2021-06-09
1,1,7:17 AM Y4750,,Mexico City (MEX),Volaris A320 (XA-VLM),Landed 7:01 AM,2021-06-09
2,2,9:17 AM Y4648,,Guadalajara (GDL),Volaris A321 (XA-VLV),Landed 9:05 AM,2021-06-09
3,3,10:39 AM,AM198,Mexico City (MEX),Aeromexico B738 (XA-ZAM),Landed 10:27 AM,2021-06-09
4,4,1:05 PM YQ840,,Hermosillo (HMO),TAR Aerolineas ERJ,Landed 1:33 PM,2021-06-09
5,5,3:06 PM Y4164,,Culiacan (CUL),Volaris A20N (XA-VRT),Landed 3:13 PM,2021-06-09
6,6,6:31 PM Y4624,,Guadalajara (GDL),Volaris A21N (N535VL),Landed 6:25 PM,2021-06-09
7,7,10:24 PM,AM190,Mexico City (MEX),Aeromexico B738 (XA-AMW),Landed 11:01 PM,2021-06-09
8,8,10:29 PM Y4752,,Mexico City (MEX),Volaris A21N (N534VL),Landed 10:27 PM,2021-06-09
9,9,11:10 PM Y4622,,Guadalajara (GDL),Volaris A321 (XA-VLV),Landed 11:45 PM,2021-06-09
0,0,00:41 Y4254,,Silao (BJX),Volaris A320 (XA-VLQ),Landed 00:31,2021-06-10
1,1,06:42 Y4620,,Guadalajara (GDL),Volaris A321 (XA-VLV),Landed 06:27,2021-06-10
2,2,09:17 Y4648,,Guadalajara (GDL),Volaris A20N (N544VL),Landed 09:11,2021-06-10
3,3,10:39,AM198,Mexico City (MEX),Aeromexico B738 (N950AM),Landed 10:26,2021-06-10
4,4,15:06 Y4164,,Culiacan (CUL),Volaris A319 (XA-VOC),Landed 15:04,2021-06-10
5,5,18:31 Y4624,,Guadalajara (GDL),Volaris A321 (XA-VLV),Landed 18:35,2021-06-10
6,6,22:24,AM190,Mexico City (MEX),Aeromexico B738 (N845AM),Landed 23:01,2021-06-10
7,7,22:29 Y4752,,Mexico City (MEX),Volaris A321 (XA-VLY),Landed 22:53,2021-06-10
8,8,23:10 Y4622,,Guadalajara (GDL),Volaris A20N (XA-VRN),Landed 23:19,2021-06-10
0,0,06:42 Y4620,,Guadalajara (GDL),Volaris A321 (XA-VLU),Landed 06:36,2021-06-11
1,1,07:17 Y4750,,Mexico City (MEX),Volaris A20N (XA-VRP),Landed 07:00,2021-06-11
2,2,09:17 Y4648,,Guadalajara (GDL),Volaris A321 (XA-VLV),Landed 08:57,2021-06-11
3,3,10:39,AM198,Mexico City (MEX),Aeromexico B738 (XA-MIA),Landed 10:16,2021-06-11
4,4,13:05 YQ840,,Hermosillo (HMO),TAR Aerolineas ERJ,Landed 13:36,2021-06-11
5,5,15:06 Y4164,,Culiacan (CUL),Volaris A319 (XA-VOC),Landed 14:55,2021-06-11
6,6,18:31 Y4624,,Guadalajara (GDL),Volaris A321 (XA-VLU),Landed 18:36,2021-06-11
7,7,22:24,AM190,Mexico City (MEX),Aeromexico B738 (XA-JOY),Landed 22:21,2021-06-11
8,8,23:10 Y4622,,Guadalajara (GDL),Volaris A321 (XA-VLV),Landed 23:40,2021-06-11
9,9,23:15 Y4752,,Mexico City (MEX),Volaris A320 (N514VL),Landed 22:54,2021-06-11
0,0,6:42 AM Y4620,,Guadalajara (GDL),Volaris A321 (XA-VLU),Landed 6:20 AM,2021-06-12
1,1,6:55 AM Y45239,,Morelia (MLM),Volaris A320 (N514VL),Landed 6:42 AM,2021-06-12
2,2,9:17 AM Y4648,,Guadalajara (GDL),Volaris A321 (XA-VLZ),Landed 8:58 AM,2021-06-12
3,3,10:39 AM,AM198,Mexico City (MEX),Aeromexico B738 (XA-AMG),Landed 10:32 AM,2021-06-12
4,4,3:06 PM Y4164,,Culiacan (CUL),Volaris A319 (XA-VOC),Landed 2:59 PM,2021-06-12
5,5,6:31 PM Y4624,,Guadalajara (GDL),Volaris A321 (XA-VLU),Landed 6:18 PM,2021-06-12
6,6,10:24 PM,AM190,Mexico City (MEX),Aeromexico B738 (XA-AME),Landed 10:10 PM,2021-06-12
7,7,10:29 PM Y4752,,Mexico City (MEX),Volaris A21N (N536VL),Landed 11:19 PM,2021-06-12
8,8,11:10 PM Y4622,,Guadalajara (GDL),Volaris A321 (XA-VLZ),Landed 11:29 PM,2021-06-12
0,0,00:41 Y4254,,Silao (BJX),Volaris A20N (XA-VRF),Landed 00:10,2021-06-13
1,1,06:42 Y4620,,Guadalajara (GDL),Volaris A321 (XA-VLZ),Landed 06:23,2021-06-13
2,2,09:17 Y4648,,Guadalajara (GDL),Volaris A321 (XA-VRB),Unknown,2021-06-13
3,3,10:39,AM198,Mexico City (MEX),Aeromexico B738 (XA-ADU),Landed 10:21,2021-06-13
4,4,15:06 Y4164,,Culiacan (CUL),Volaris A319 (XA-VOC),Landed 15:17,2021-06-13
5,5,18:31 Y4624,,Guadalajara (GDL),Volaris A321 (XA-VLZ),Landed 18:23,2021-06-13
6,6,22:24,AM190,Mexico City (MEX),Aeromexico B738 (N342AM),Landed 23:08,2021-06-13
7,7,22:29 Y4752,,Mexico City (MEX),Volaris A321 (XA-VLT),Landed 00:41,2021-06-13
8,8,23:10 Y4622,,Guadalajara (GDL),Volaris A321 (XA-VRB),Landed 23:28,2021-06-13
0,0,06:42 Y4620,,Guadalajara (GDL),Volaris A321 (XA-VRB),Landed 06:21,2021-06-14
1,1,07:17 Y4750,,Mexico City (MEX),Volaris A320 (N526VL),Landed 06:51,2021-06-14
2,2,09:17 Y4648,,Guadalajara (GDL),Volaris A321 (XA-VLU),Landed 08:51,2021-06-14
3,3,10:39,AM198,Mexico City (MEX),Aeromexico B738 (N377AR),Landed 10:26,2021-06-14
4,4,13:05 YQ840,,Hermosillo (HMO),TAR Aerolineas ERJ,Landed 16:11,2021-06-14
5,5,15:06 Y4164,,Culiacan (CUL),Volaris A319 (XA-VOC),Landed 14:53,2021-06-14
6,6,18:31 Y4624,,Guadalajara (GDL),Volaris A321 (XA-VRB),Landed 18:21,2021-06-14
7,7,22:24,AM190,Mexico City (MEX),Aeromexico B738 (XA-DRA),Landed 23:14,2021-06-14
8,8,22:29 Y4752,,Mexico City (MEX),Volaris A21N (N535VL),Landed 23:00,2021-06-14
9,9,23:10 Y4622,,Guadalajara (GDL),Volaris A321 (XA-VLV),Landed 23:25,2021-06-14
0,0,06:42 Y4620,,Guadalajara (GDL),Volaris A321 (XA-VLV),Landed 06:27,2021-06-15
1,1,09:17 Y4648,,Guadalajara (GDL),Volaris A321 (XA-VLU),Landed 09:04,2021-06-15
2,2,10:39,AM198,Mexico City (MEX),Aeromexico B738 (XA-AML),Landed 10:11,2021-06-15
3,3,15:06 Y4164,,Culiacan (CUL),Volaris A319 (XA-VOC),Landed 14:52,2021-06-15
4,4,18:31 Y4624,,Guadalajara (GDL),Volaris A321 (XA-VLV),Landed 18:16,2021-06-15
5,5,22:24,AM190,Mexico City (MEX),Aeromexico B738 (N825AM),Landed 22:41,2021-06-15
6,6,22:29 Y4752,,Mexico City (MEX),Volaris A320 (N506VL),Landed 22:34,2021-06-15
7,7,23:10 Y4622,,Guadalajara (GDL),Volaris A321 (XA-VLU),Landed 23:24,2021-06-15
