,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:05 FR5516,,Catania (CTA),Ryanair B738 (9H-QDZ),Landed 00:16,2021-06-08
1,1,00:10 FR1441,,Palermo (PMO),Ryanair B738 (9H-QCQ),Landed 23:53,2021-06-08
2,2,00:20 FR8570,,Brindisi (BDS),Ryanair B738 (9H-QAL),Landed 00:19,2021-06-08
3,3,00:40 U22698,,Ibiza (IBZ),easyJet A21N (OE-ISC),Landed 00:39,2021-06-08
4,4,00:45 W65504,,London (LTN),Wizz Air 32Q,Unknown,2021-06-08
5,5,01:50 DE7172,,Leipzig (LEJ),Condor B763 (D-ABUA),Landed 01:52,2021-06-08
6,6,05:40 C88727,,Hong Kong (HKG),Cargolux Italia 74F,Unknown,2021-06-08
7,7,06:40,QR123,Doha (DOH),Qatar Airways A359 (A7-ALO),Landed 06:04,2021-06-08
8,8,06:40 QR8896,,Doha (DOH),Qatar Airways B789 (A7-BHD),Landed 06:14,2021-06-08
9,9,06:55,ET702,Rome (FCO),Ethiopian Airlines B788 (ET-ASG),Landed 06:36,2021-06-08
10,10,07:10 C842,,Luxembourg (LUX),Cargolux Italia 74F,Unknown,2021-06-08
11,11,07:45,DL118,New York (JFK),Delta Air Lines A333 (N811NW),Landed 07:48,2021-06-08
12,12,07:50 FR1029,,Palermo (PMO),Ryanair B738 (9H-QAW),Landed 07:34,2021-06-08
13,13,08:00 W66607,,Tirana (TIA),Wizz Air A21N (HA-LVJ),Landed 08:06,2021-06-08
14,14,08:05 W65576,,Catania (CTA),Wizz Air A21N (HA-LVK),Landed 07:55,2021-06-08
15,15,08:05 W65584,,Bari (BRI),Wizz Air A20N (HA-LJC),Landed 07:52,2021-06-08
16,16,08:05 W66041,,Kyiv (IEV),Wizz Air 320,Unknown,2021-06-08
17,17,08:20 IR751,,Tehran (IKA),Iran Air A306 (EP-IBB),Landed 08:15,2021-06-08
18,18,08:25 U22888,,Naples (NAP),easyJet A320 (OE-IJD),Landed 08:18,2021-06-08
19,19,08:35 FR6996,,Bari (BRI),Ryanair B738 (9H-QAC),Landed 08:12,2021-06-08
20,20,08:35 BV2331,,Tirana (TIA),Blue Panorama Airlines 737,Unknown,2021-06-08
21,21,08:55 W65580,,Palermo (PMO),Wizz Air A20N (HA-LJD),Landed 08:41,2021-06-08
22,22,09:05,AA198,New York (JFK),American Airlines B772 (N787AL),Landed 08:36,2021-06-08
23,23,09:45,TK1873,Istanbul (IST),Turkish Airlines A21N (TC-LSA),Landed 09:31,2021-06-08
24,24,09:45,UX1065,Madrid (MAD),Air Europa B738 (EC-MQP),Landed 09:26,2021-06-08
25,25,10:00 W65590,,Naples (NAP),Wizz Air A21N (HA-LVP),Landed 10:00,2021-06-08
26,26,10:05 LO317,,Warsaw (WAW),LOT E190 (SP-LMB),Landed 09:45,2021-06-08
27,27,10:10,LH248,Frankfurt (FRA),Lufthansa E190 (D-AECH),Landed 10:06,2021-06-08
28,28,10:30 FR5514,,Catania (CTA),Ryanair B738 (9H-QAL),Landed 10:09,2021-06-08
29,29,10:35 ZB2003,,Tirana (TIA),Air Albania A319 (ZA-BEL),Landed 10:13,2021-06-08
30,30,10:45 U22986,,Mahon (MAH),easyJet A320 (OE-IVD),Landed 10:58,2021-06-08
31,31,10:55 U22806,,Palermo (PMO),easyJet A319 (OE-LQT),Landed 10:44,2021-06-08
32,32,11:05,SN3215,Brussels (BRU),Brussels Airlines A319 (OO-SSF),Landed 11:04,2021-06-08
33,33,11:10,SU2410,Moscow (SVO),Aeroflot A320 (VQ-BIW),Landed 10:47,2021-06-08
