,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,10:34,AM350,Mexico City (MEX),Aeromexico Connect E190 (XA-GAI),Landed 10:54,2021-06-08
1,1,11:20 VB1150,,Mexico City (MEX),VivaAerobus A320,Landed 11:24,2021-06-08
2,2,12:15 VB4022,,Monterrey (MTY),VivaAerobus A320 (EI-EUA),Landed 11:57,2021-06-08
3,3,12:33 AA5949,,Phoenix (PHX),American Eagle CRJ9 (N948LR),Landed 12:28,2021-06-08
4,4,12:58,AM352,Mexico City (MEX),Aeromexico Connect E190 (XA-BAC),Landed 13:18,2021-06-08
5,5,13:20 Y4590,,Tijuana (TIJ),Volaris A20N (N533VL),Landed 13:06,2021-06-08
6,6,13:40 Y4798,,Mexico City (MEX),Volaris A320 (N506VL),Landed 13:32,2021-06-08
7,7,16:33,AM354,Mexico City (MEX),Aeromexico Connect E190 (XA-ALZ),Landed 16:14,2021-06-08
0,0,9:51 AM Y4592,,Tijuana (TIJ),Volaris A20N (XA-VRI),Landed 9:41 AM,2021-06-09
1,1,10:29 AM,AM350,Mexico City (MEX),Aeromexico Connect E190 (XA-ACK),Landed 10:47 AM,2021-06-09
2,2,11:20 AM VB1150,,Mexico City (MEX),VivaAerobus A20N (XA-VIU),Landed 11:28 AM,2021-06-09
3,3,12:15 PM VB4022,,Monterrey (MTY),VivaAerobus A320 (EI-EUA),Landed 11:56 AM,2021-06-09
4,4,12:33 PM AA5949,,Phoenix (PHX),American Eagle CRJ9 (N948LR),Landed 12:59 PM,2021-06-09
5,5,12:58 PM,AM352,Mexico City (MEX),Aeromexico Connect E190 (XA-FAC),Landed 1:30 PM,2021-06-09
6,6,1:20 PM Y4590,,Tijuana (TIJ),Volaris A320 (XA-VOY),Landed 1:24 PM,2021-06-09
7,7,1:40 PM Y4798,,Mexico City (MEX),Volaris A20N (N531VL),Landed 3:15 PM,2021-06-09
8,8,1:55 PM AS222,,Los Angeles (LAX),Alaska Airlines A320 (N847VA),Landed 2:00 PM,2021-06-09
9,9,4:33 PM,AM354,Mexico City (MEX),Aeromexico Connect E190 (XA-AEC),Landed 5:30 PM,2021-06-09
10,10,5:55 PM,,La Paz (LAP),- E145,Canceled,2021-06-09
11,11,5:59 PM A7431,,La Paz (LAP),Calafia Airlines ER4,Unknown,2021-06-09
0,0,09:51 Y4592,,Tijuana (TIJ),Volaris A320 (XA-VLD),Landed 09:36,2021-06-10
1,1,10:34,AM350,Mexico City (MEX),Aeromexico Connect E190 (XA-BAC),Landed 10:28,2021-06-10
2,2,10:40 YQ700,,Queretaro (QRO),TAR Aerolineas E145 (XA-AFH),Landed 10:53,2021-06-10
3,3,11:20 VB1150,,Mexico City (MEX),VivaAerobus A320 (XA-VAT),Landed 11:08,2021-06-10
4,4,12:15 VB4022,,Monterrey (MTY),Viva Aerobus A320 (XA-VAC),Landed 11:54,2021-06-10
5,5,12:33 AA5949,,Phoenix (PHX),American Eagle CRJ9 (N948LR),Landed 12:58,2021-06-10
6,6,13:03,AM352,Mexico City (MEX),Aeromexico Connect E190 (XA-ACS),Landed 14:19,2021-06-10
7,7,13:20 Y4590,,Tijuana (TIJ),Volaris A20N (N538VL),Landed 13:26,2021-06-10
8,8,13:35 YQ831,,La Paz (LAP),TAR Aerolineas ERJ,Unknown,2021-06-10
9,9,13:40 Y4798,,Mexico City (MEX),Volaris A20N (N532VL),Landed 13:34,2021-06-10
10,10,14:10,,La Paz (LAP),- E145,Canceled,2021-06-10
11,11,14:15 A7431,,La Paz (LAP),Calafia Airlines ER4,Unknown,2021-06-10
12,12,16:33,AM354,Mexico City (MEX),Aeromexico B737 (XA-DRD),Landed 16:23,2021-06-10
13,13,17:50 VB5038,,Tijuana (TIJ),VivaAerobus A20N (XA-VIS),Landed 17:41,2021-06-10
14,14,18:00 YQ701,,Ciudad Juarez (CJS),TAR Aerolineas E145 (XA-AFH),Landed 18:51,2021-06-10
15,15,21:20 VB9109,,Chihuahua (CUU),VivaAerobus A20N (XA-VIS),Landed 21:08,2021-06-10
16,16,21:26,AM356,Mexico City (MEX),Aeromexico Connect E190 (XA-ACN),Landed 21:13,2021-06-10
0,0,09:51 Y4592,,Tijuana (TIJ),Volaris A320 (XA-VLR),Landed 11:42,2021-06-11
1,1,10:34,AM350,Mexico City (MEX),Aeromexico Connect E190 (XA-IAC),Landed 10:45,2021-06-11
2,2,11:20 VB1150,,Mexico City (MEX),VivaAerobus A20N (XA-VIN),Landed 11:36,2021-06-11
3,3,12:15 VB4022,,Monterrey (MTY),VivaAerobus (Tecate Pal Norte 2019 Livery) A20N (XA-VIE),Landed 11:48,2021-06-11
4,4,12:33 AA5949,,Phoenix (PHX),American Eagle CRJ9 (N915FJ),Landed 12:41,2021-06-11
5,5,12:58,AM352,Mexico City (MEX),Aeromexico B738 (XA-AMB),Landed 12:52,2021-06-11
6,6,13:20 Y4590,,Tijuana (TIJ),Volaris A20N (XA-VRS),Landed 13:24,2021-06-11
7,7,13:40 Y4798,,Mexico City (MEX),Volaris A320 (N510VL),Landed 13:30,2021-06-11
8,8,13:55 AS222,,Los Angeles (LAX),Alaska Airlines (Salmon-Thirty-Salmon Livery) B738 (N559AS),Landed 13:42,2021-06-11
9,9,13:55,,La Paz (LAP),- E145,Canceled,2021-06-11
10,10,14:00 A7431,,La Paz (LAP),Calafia Airlines ER4,Unknown,2021-06-11
11,11,16:33,AM354,Mexico City (MEX),Aeromexico Connect E190 (XA-HAC),Landed 16:36,2021-06-11
12,12,21:26,AM356,Mexico City (MEX),Aeromexico Connect E190 (XA-JAC),Landed 21:11,2021-06-11
0,0,9:51 AM Y4592,,Tijuana (TIJ),Volaris A320 (XA-VLC),Landed 9:41 AM,2021-06-12
1,1,10:03 AM,AM350,Mexico City (MEX),Aeromexico Connect E190 (XA-AEL),Landed 10:15 AM,2021-06-12
2,2,11:20 AM VB1150,,Mexico City (MEX),VivaAerobus A320 (XA-VAX),Landed 11:13 AM,2021-06-12
3,3,12:15 PM AA2007,,Dallas (DFW),American Airlines A319 (N831AW),Landed 1:57 PM,2021-06-12
4,4,12:15 PM VB4022,,Monterrey (MTY),VivaAerobus A20N (XA-VIH),Landed 11:51 AM,2021-06-12
5,5,12:33 PM AA5949,,Phoenix (PHX),American Eagle CRJ9 (N920FJ),Landed 12:28 PM,2021-06-12
6,6,12:55 PM,,La Paz (LAP),- E145,Canceled,2021-06-12
7,7,1:00 PM A7431,,La Paz (LAP),Calafia Airlines ER4,Unknown,2021-06-12
8,8,1:03 PM,AM352,Mexico City (MEX),Aeromexico Connect E190 (XA-ACK),Landed 1:12 PM,2021-06-12
