,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,6:00 PM FJ2004,,Suva (SUV),Fiji Link DHC6 (DQ-FJS),Unknown,2021-06-11
0,0,08:45,FJ6,Suva (SUV),Fiji Airways ATR,Canceled,2021-06-12
1,1,15:40 FJ1815,,Los Angeles (LAX),Fiji Airways A359 (DQ-FAJ),Landed 16:50,2021-06-12
2,2,17:50 FJ1410,,Auckland (AKL),Fiji Airways A332 (DQ-FJU),Landed 17:42,2021-06-12
3,3,20:00 FJ2201,,Honolulu (HNL),Fiji Airways 7M8,Unknown,2021-06-12
4,4,20:43 FJ1811,,Los Angeles (LAX),Fiji Airways A333 (DQ-FJW),Landed 20:39,2021-06-12
5,5,22:00 FJ1912,,Sydney (SYD),Fiji Airways A332 (DQ-FJT),Landed 22:03,2021-06-12
0,0,08:45,FJ6,Suva (SUV),Fiji Airways ATR,Canceled,2021-06-13
1,1,12:40,FJ82,Labasa (LBS),Fiji Airways AT7,Canceled,2021-06-13
2,2,18:15 FJ1910,,Sydney (SYD),Fiji Airways A332 (DQ-FJU),Landed 17:50,2021-06-13
3,3,19:00,FJ18,Suva (SUV),Fiji Airways ATR,Canceled,2021-06-13
4,4,20:25 FJ1811,,Los Angeles (LAX),Fiji Airways A359 (DQ-FAJ),Landed 20:49,2021-06-13
0,0,08:45,FJ6,Suva (SUV),Fiji Airways ATR,Canceled,2021-06-14
1,1,18:10 FJ1410,,Auckland (AKL),Fiji Airways A333 (DQ-FJW),Landed 17:46,2021-06-14
2,2,19:00,FJ18,Suva (SUV),Fiji Airways AT7,Canceled,2021-06-14
3,3,20:25 FJ1910,,Sydney (SYD),Fiji Airways B738 (DQ-FJM),Landed 20:12,2021-06-14
4,4,21:00 FJ1811,,Los Angeles (LAX),Fiji Airways 333,Canceled,2021-06-14
0,0,08:45,FJ6,Suva (SUV),Fiji Airways ATR,Unknown,2021-06-15
1,1,16:50 FJ1262,,Port Vila (VLI),Fiji Link AT76 (DQ-FJZ),Landed 15:47,2021-06-15
2,2,18:00 FJ2004,,Suva (SUV),Fiji Link DHC6 (DQ-FJR),Unknown,2021-06-15
3,3,18:15 FJ1910,,Sydney (SYD),Fiji Airways A359 (DQ-FAJ),Landed 18:07,2021-06-15
4,4,18:25 FJ1410,,Auckland (AKL),Fiji Airways A333 (DQ-FJW),Landed 18:02,2021-06-15
5,5,19:00,FJ18,Suva (SUV),Fiji Airways AT7,Unknown,2021-06-15
