,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,01:12 EJM750,,Bedford (BED),Executive Jet Management H25B,Unknown,2021-05-09
1,1,07:00 WST703,,Freeport (FPO),Western Air E145 (C6-MAM),Landed 07:09,2021-05-09
2,2,07:30 PL502,,Rock Sound (RSD),Southern Air Charter BEH,Unknown,2021-05-09
3,3,07:45 PL602,,San Salvador (ZSA),Southern Air Charter BEH,Unknown,2021-05-09
4,4,07:45 UP316,,Freeport (FPO),Bahamasair AT46 (C6-BFV),Landed 07:37,2021-05-09
5,5,07:50 PL302,,Governor's Harbour (GHB),Southern Air Charter BE1,Unknown,2021-05-09
6,6,07:50 PL402,,North Eleuthera (ELH),Southern Air Charter BE1,Unknown,2021-05-09
7,7,08:30 WST702,,Freeport (FPO),Western Air E145 (C6-REX),Landed 08:08,2021-05-09
8,8,08:30 GAJ909,,Orlando (MCO),Gama Aviation Signature C750 (N909UP),Landed 08:51,2021-05-09
9,9,08:40 UP136,,Marsh Harbour (MHH),Bahamasair AT46 (C6-BFS),Landed 08:23,2021-05-09
10,10,08:54,,West Palm Beach (LNA),- S22T (N143PM),Landed 08:25,2021-05-09
11,11,09:00 UP371,,George Town (GGT),Bahamasair AT76 (C6-BFR),Landed 08:29,2021-05-09
12,12,09:00 WST603,,Marsh Harbour (MHH),Western Air E145 (C6-MAM),Landed 08:52,2021-05-09
13,13,09:25 UP335,,Marsh Harbour (MHH),Bahamasair AT4,Unknown,2021-05-09
14,14,09:32 GAJ881,,Venice (VNC),Wheels Up B350 (N881UP),Landed 10:17,2021-05-09
15,15,09:39,,New Orleans (MSY),- GLEX (N146QS),Unknown,2021-05-09
16,16,10:15 PL702,,Deadman's Cay (LGI),Southern Air Charter BE1,Unknown,2021-05-09
17,17,10:15 PL802,,Stella Maris (SML),Southern Air Charter BE1,Unknown,2021-05-09
18,18,10:17,,Freeport (FPO),- PA31 (N777JY),Unknown,2021-05-09
19,19,10:20 WST801,,George Town (GGT),Western Air E145 (C6-REX),Landed 09:43,2021-05-09
20,20,10:25,,Norman's Cay (NMC),- C208 (C6-AIR),Landed 10:17,2021-05-09
21,21,10:37,B6241,Orlando (MCO),JetBlue Airways E190 (N292JB),Landed 10:27,2021-05-09
22,22,10:39 AA3836,,Miami (MIA),American Eagle E75L (N277NN),Landed 10:12,2021-05-09
23,23,10:40,,West Palm Beach (PBI),- GLEX (N146QS),Landed 10:24,2021-05-09
24,24,10:55,B6121,New York (JFK),JetBlue Airways A21N (N2048J),Landed 10:48,2021-05-09
25,25,11:15 UP344,,Rock Sound (RSD),Bahamasair AT46 (C6-BFS),Landed 10:40,2021-05-09
26,26,11:16 EDG403,,Phoenix (PHX),- GLF4 (N132JE),Landed 10:03,2021-05-09
27,27,11:20,,Freeport (FPO),- PA31 (N777JY),Landed 11:04,2021-05-09
28,28,11:48 AA1160,,Miami (MIA),American Airlines B738 (N939AN),Landed 12:19,2021-05-09
29,29,11:50 AA893,,Charlotte (CLT),American Airlines A321 (N197UW),Landed 11:21,2021-05-09
30,30,11:53 DL1944,,Atlanta (ATL),Delta Air Lines B739 (N910DU),Landed 11:33,2021-05-09
31,31,11:55 GES161Y,,Washington (IAD),- GLF5 (EC-LYO),Landed 11:53,2021-05-09
32,32,11:58 DL1907,,New York (JFK),Delta Air Lines B738 (N3731T),Unknown,2021-05-09
33,33,12:00 B61393,,Fort Lauderdale (FLL),JetBlue Airways E190 (N281JB),Landed 11:45,2021-05-09
34,34,12:11,,Basseterre (SKB),- B190 (N324SA),Landed 12:00,2021-05-09
35,35,12:12 AA4580,,Philadelphia (PHL),American Eagle E75S (N405YX),Landed 11:49,2021-05-09
36,36,12:28 TFF959,,West Palm Beach (PBI),Talon Air GLF5,Unknown,2021-05-09
37,37,12:30 WST708,,Freeport (FPO),Western Air ER4,Unknown,2021-05-09
38,38,12:32,,South Bimini (BIM),- C208 (C6-TIA),Landed 12:07,2021-05-09
39,39,12:32,,South Bimini (BIM),- C208,Landed 12:03,2021-05-09
40,40,12:37,,Lexington (LEX),- C56X (N443TA),Canceled,2021-05-09
41,41,12:50 PL504,,Rock Sound (RSD),Southern Air Charter BEH,Unknown,2021-05-09
42,42,12:59 HPJ170,,Fort Lauderdale (FXE),Hop-A-Jet LJ45 (N170LS),Landed 13:55,2021-05-09
43,43,13:02 B62117,,New York (EWR),JetBlue Airways A320 (N656JB),Landed 12:48,2021-05-09
44,44,13:06 UA1480,,New York (EWR),United Airlines A320 (N453UA),Landed 12:37,2021-05-09
45,45,13:10 3M60,,Fort Lauderdale (FLL),Silver Airways AT44,Canceled,2021-05-09
46,46,13:22 UA221,,Washington (IAD),United Airlines A320 (N451UA),Landed 12:56,2021-05-09
47,47,13:30 PL304,,Governor's Harbour (GHB),Southern Air Charter BE1,Unknown,2021-05-09
48,48,13:30 PL404,,North Eleuthera (ELH),Southern Air Charter BE1,Unknown,2021-05-09
49,49,13:30 WST709,,Freeport (FPO),Western Air E145 (C6-REX),Landed 12:55,2021-05-09
50,50,13:35 UP383,,Deadman's Cay (LGI),Bahamasair AT46 (C6-BFV),Landed 13:26,2021-05-09
51,51,13:39 LXJ379,,Miami (MIA),Flexjet E55P,Canceled,2021-05-09
52,52,13:44,,Atlanta (ATL),- F900 (N345KM),Landed 13:38,2021-05-09
53,53,13:54 AA859,,Charlotte (CLT),American Airlines B738 (N821NN),Landed 13:20,2021-05-09
54,54,13:56 AA2185,,Miami (MIA),American Airlines A319 (N9029F),Landed 13:48,2021-05-09
55,55,13:59,,West Palm Beach (PBI),- PA31 (N710JP),Landed 15:42,2021-05-09
56,56,14:00 UP320,,Freeport (FPO),Bahamasair AT76 (C6-BFW),Landed 13:30,2021-05-09
57,57,14:00 WST605,,Marsh Harbour (MHH),Western Air E145 (C6-MAM),Landed 13:22,2021-05-09
58,58,14:11,,Norman's Cay (NMC),- C208 (N84BD),Landed 14:30,2021-05-09
59,59,14:15 UP415,,Providenciales (PLS),Bahamasair AT76 (C6-BFR),Landed 14:22,2021-05-09
60,60,14:23 UA1454,,Houston (IAH),United Airlines A319 (N813UA),Landed 14:12,2021-05-09
61,61,14:45 UP204,,Fort Lauderdale (FLL),Bahamasair B735 (C6-BFD),Landed 15:40,2021-05-09
62,62,15:03 UA2401,,Chicago (ORD),United Airlines A320 (N493UA),Landed 14:47,2021-05-09
63,63,15:44 UA329,,Houston (IAH),United Airlines A320 (N459UA),Landed 15:21,2021-05-09
64,64,15:45 PL4,,Rum Cay (RCY),Southern Air Charter BEH,Unknown,2021-05-09
65,65,15:58,,Fort Lauderdale (FXE),- BE9L (N515BC),Landed 16:00,2021-05-09
66,66,16:15 PL704,,Deadman's Cay (LGI),Southern Air Charter BE1,Unknown,2021-05-09
67,67,16:15 PL804,,Stella Maris (SML),Southern Air Charter BE1,Unknown,2021-05-09
68,68,16:50 PL506,,Rock Sound (RSD),Southern Air Charter BEH,Unknown,2021-05-09
69,69,17:00 AA1005,,Dallas (DFW),American Airlines B738 (N992NN),Landed 16:38,2021-05-09
70,70,17:00 DL1938,,Atlanta (ATL),Delta Air Lines (SkyTeam Livery) B738 (N3755D),Landed 17:01,2021-05-09
71,71,17:10 UP238,,Orlando (MCO),Bahamasair B737 (C6-BFY),Landed 16:44,2021-05-09
72,72,17:25 B62393,,Fort Lauderdale (FLL),JetBlue Airways E190 (N309JB),Landed 18:25,2021-05-09
73,73,17:25 UP138,,Marsh Harbour (MHH),Bahamasair AT46 (C6-BFV),Landed 16:54,2021-05-09
74,74,17:30 PL306,,Governor's Harbour (GHB),Southern Air Charter BE1,Unknown,2021-05-09
75,75,17:30 PL406,,North Eleuthera (ELH),Southern Air Charter BE1,Unknown,2021-05-09
76,76,17:30 UP326,,Freeport (FPO),Bahamasair AT76 (C6-BFR),Landed 17:17,2021-05-09
77,77,17:30 WST717,,Freeport (FPO),Western Air ER4,Unknown,2021-05-09
78,78,17:33,,Savannah (SAV),- C68A (N507QS),Unknown,2021-05-09
79,79,18:05 PL104,,New Bight (TBI),Southern Air Charter BEH,Unknown,2021-05-09
80,80,18:05 PL204,,Arthur's Town (ATC),Southern Air Charter BEH,Unknown,2021-05-09
81,81,18:15 JY270,,Providenciales (PLS),InterCaribbean Airways E120 (VQ-TAG),Landed 17:46,2021-05-09
82,82,18:30 WST718,,Freeport (FPO),Western Air ER4,Unknown,2021-05-09
83,83,18:50 UP359,,George Town (GGT),Bahamasair AT76 (C6-BFW),Landed 18:28,2021-05-09
84,84,19:45 PL604,,San Salvador (ZSA),Southern Air Charter BEH,Unknown,2021-05-09
85,85,20:20 UP230,,Miami (MIA),Bahamasair B737 (C6-BFX),Landed 20:07,2021-05-09
