,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:05,AD4258,Recife (REC),Azul Linhas Aereas AT76 (PR-AQZ),Landed 23:53,2021-06-08
1,1,01:15,G31590,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GUZ),Landed 00:54,2021-06-08
2,2,01:30,LA3077,Sao Paulo (GRU),LATAM Airlines A320 (PT-MZT),Unknown,2021-06-08
3,3,09:58,LA3072,Sao Paulo (GRU),LATAM Airlines A320 (PR-MYJ),Landed 09:49,2021-06-08
4,4,10:10 AD4158,,Recife (REC),Azul Linhas Aereas AT76 (PR-AKI),Landed 10:00,2021-06-08
5,5,11:40,G32218,Rio de Janeiro (GIG),GOL Linhas Aereas B738 (PR-GXA),Landed 11:20,2021-06-08
6,6,11:45,G31952,Brasilia (BSB),GOL Linhas Aereas B738 (PR-GTQ),Landed 11:26,2021-06-08
7,7,12:05,LA3381,Brasilia (BSB),LATAM Airlines A321 (PT-MXB),Landed 11:41,2021-06-08
8,8,12:10,G31586,Sao Paulo (GRU),GOL Linhas Aereas B38M (PR-XMB),Landed 11:47,2021-06-08
9,9,13:45 AD4438,,Recife (REC),Azul Linhas Aereas E195 (PR-AXF),Unknown,2021-06-08
10,10,14:43,LA4528,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXA),Landed 14:45,2021-06-08
11,11,16:32,LA3071,Sao Paulo (GRU),LATAM Airlines A321 (PT-XPF),Landed 16:23,2021-06-08
12,12,16:40,AD4687,Campinas (VCP),Azul Linhas Aereas A21N (PR-YJD),Landed 16:31,2021-06-08
13,13,16:45,G31518,Sao Paulo (GRU),GOL Linhas Aereas B38M (PR-XMG),Landed 16:34,2021-06-08
14,14,17:50 AD4666,,Recife (REC),Azul Linhas Aereas AT76 (PR-AKJ),Landed 17:35,2021-06-08
15,15,19:15,AD4490,Recife (REC),Azul Linhas Aereas AT76 (PR-AQM),Landed 19:01,2021-06-08
16,16,23:20,LA3030,Brasilia (BSB),LATAM Airlines 320,Unknown,2021-06-08
0,0,00:05,AD4258,Recife (REC),Azul Linhas Aereas AT76 (PR-AQZ),Landed 23:55,2021-06-09
1,1,01:15,G31590,Sao Paulo (GRU),GOL Linhas Aereas (TV ao vivo a bordo Livery) B738 (PR-GTM),Landed 01:28,2021-06-09
2,2,01:30,LA3077,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXC),Landed 01:16,2021-06-09
3,3,09:54,LA3072,Sao Paulo (GRU),LATAM Airlines A320 (PR-MAK),Unknown,2021-06-09
4,4,10:10 AD4158,,Recife (REC),Azul Linhas Aereas AT76 (PR-AKI),Landed 09:56,2021-06-09
5,5,11:45,G31952,Brasilia (BSB),GOL Linhas Aereas B38M (PR-XMM),Landed 11:27,2021-06-09
6,6,12:05,LA3381,Brasilia (BSB),LATAM Airlines A320 (PR-MBH),Landed 11:55,2021-06-09
7,7,12:10,G31586,Sao Paulo (GRU),GOL Linhas Aereas B38M (PR-XMG),Landed 11:47,2021-06-09
8,8,13:45 AD4438,,Recife (REC),Azul Linhas Aereas E195 (PR-AUF),Landed 13:25,2021-06-09
9,9,15:00,LA4528,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXG),Landed 14:45,2021-06-09
10,10,16:20,G31812,Salvador (SSA),GOL Linhas Aereas B738 (PR-GUP),Landed 16:12,2021-06-09
11,11,16:40,AD4687,Campinas (VCP),Azul Linhas Aereas A21N (PR-YJB),Landed 16:33,2021-06-09
12,12,16:45,G31518,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GTP),Landed 16:29,2021-06-09
13,13,17:50 AD4666,,Recife (REC),Azul Linhas Aereas AT76 (PR-AKJ),Landed 17:40,2021-06-09
14,14,19:15,AD4490,Recife (REC),Azul Linhas Aereas AT76 (PR-AKI),Landed 19:03,2021-06-09
0,0,00:05,AD4258,Recife (REC),Azul Linhas Aereas AT76 (PR-AKI),Landed 00:07,2021-06-10
1,1,01:15,G31590,Sao Paulo (GRU),GOL Linhas Aereas B38M (PR-XMF),Landed 00:51,2021-06-10
2,2,01:30,LA3077,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXJ),Landed 01:09,2021-06-10
3,3,09:58,LA3072,Sao Paulo (GRU),LATAM Airlines A320 (PR-MHZ),Landed 09:55,2021-06-10
4,4,10:10 AD4158,,Recife (REC),Azul Linhas Aereas AT76 (PR-AQZ),Landed 09:58,2021-06-10
5,5,11:40,G32218,Rio de Janeiro (GIG),GOL Linhas Aereas B738 (PR-GUF),Landed 11:35,2021-06-10
6,6,11:45,G31952,Brasilia (BSB),GOL Linhas Aereas (Brazil Football Livery) B738 (PR-GUM),Landed 11:24,2021-06-10
7,7,12:05,LA3381,Brasilia (BSB),LATAM Airlines A321 (PT-MXF),Landed 11:51,2021-06-10
8,8,12:10,G31586,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-VBF),Landed 11:44,2021-06-10
9,9,12:40,LA4693,Brasilia (BSB),LATAM Airlines A320 (PR-MYX),Landed 12:15,2021-06-10
10,10,13:45 AD4438,,Recife (REC),Azul Linhas Aereas E195 (PR-AUH),Landed 13:28,2021-06-10
11,11,15:00,LA4528,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXI),Landed 14:48,2021-06-10
