,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,6:08 AM FX5319,,Oakland (OAK),FedEx B77L (N897FD),Landed 6:22 AM,2020-10-03
1,1,6:15 AM KZ133,,Anchorage (ANC),Nippon Cargo Airlines B748 (JA11KZ),Landed 6:06 AM,2020-10-03
2,2,6:15 AM NH8506,,Qingdao (TAO),All Nippon Airways 76F,Unknown,2020-10-03
3,3,6:15 AM NH8436,,Shanghai (PVG),ANA Cargo B763 (JA605F),Landed 6:05 AM,2020-10-03
4,4,6:20 AM CX6,,Hong Kong (HKG),Cathay Pacific 74Y,Unknown,2020-10-03
5,5,6:30 AM PO717,,Los Angeles (LAX),Atlas Air B744 (N445MC),Landed 6:12 AM,2020-10-03
6,6,6:45 AM C85735,,Milan (MXP),Cargolux Italia B744 (LX-TCV),Landed 7:11 AM,2020-10-03
7,7,6:45 AM NH179,,Mexico City (MEX),All Nippon Airways B788 (JA820A),Landed 6:03 AM,2020-10-03
8,8,7:00 AM NH814,,Yangon (RGN),All Nippon Airways B763 (JA624A),Landed 6:14 AM,2020-10-03
9,9,7:00 AM VN310,,Hanoi (HAN),Vietnam Airlines A359 (VN-A893),Landed 6:20 AM,2020-10-03
10,10,7:05 AM,JL724,Kuala Lumpur (KUL),Japan Airlines B789 (JA870J),Canceled,2020-10-03
11,11,7:05 AM NZ1099,,Auckland (AKL),Air New Zealand B789 (ZK-NZM),Landed 6:32 AM,2020-10-03
12,12,7:05 AM NH8404,,Shanghai (PVG),ANA Cargo B77L (JA772F),Landed 7:42 AM,2020-10-03
13,13,7:05 AM W81331,,Calgary (YYC),Cargojet Airways B763 (C-GUAJ),Landed 7:07 AM,2020-10-03
14,14,7:10 AM,JL752,Hanoi (HAN),Japan Airlines B789 (JA871J),Landed 6:15 AM,2020-10-03
15,15,7:10 AM CK241,,Shanghai (PVG),China Cargo Airlines B77L (B-2079),Landed 7:18 AM,2020-10-03
16,16,7:15 AM NH8412,,Hong Kong (HKG),All Nippon Airways 76F,Unknown,2020-10-03
17,17,7:25 AM,JL726,Jakarta (CGK),Japan Airlines B789 (JA869J),Landed 7:04 AM,2020-10-03
18,18,7:25 AM,JL750,Ho Chi Minh City (SGN),Japan Airlines B789 (JA876J),Landed 6:49 AM,2020-10-03
19,19,7:37 AM KZ5103,,Los Angeles (LAX),Nippon Cargo Airlines B748 (JA12KZ),Landed 7:35 AM,2020-10-03
20,20,7:40 AM JL774,,Melbourne (MEL),Japan Airlines B788 (JA838J),Landed 7:44 AM,2020-10-03
21,21,7:45 AM ZG52,,Bangkok (BKK),ZIPAIR B788 (JA822J),Landed 7:16 AM,2020-10-03
22,22,7:55 AM PO964,,Shenzhen (SZX),Polar Air Cargo 744,Unknown,2020-10-03
23,23,7:55 AM KZ228,,Shanghai (PVG),Nippon Cargo Airlines B748 (JA17KZ),Landed 6:58 AM,2020-10-03
24,24,8:00 AM BC860,,Nagoya (NGO),Skymark Airlines 738,Unknown,2020-10-03
25,25,8:00 AM VN300,,Ho Chi Minh City (SGN),Vietnam Airlines A359 (VN-A895),Landed 7:53 AM,2020-10-03
26,26,8:05 AM UA2823,,New York (EWR),United Airlines B789 (N29971),Landed 10:20 AM,2020-10-03
27,27,8:05 AM JL860,,Beijing (PEK),Japan Airlines B788 (JA830J),Landed 7:20 AM,2020-10-03
28,28,8:15 AM KZ202,,Hong Kong (HKG),Nippon Cargo Airlines B748 (JA14KZ),Landed 7:37 AM,2020-10-03
29,29,8:16 AM 5X108,,Anchorage (ANC),UPS B763 (N345UP),Landed 8:17 AM,2020-10-03
30,30,8:30 AM UA2821,,Chicago (ORD),United Airlines B789 (N29961),Landed 8:05 AM,2020-10-03
31,31,8:35 AM,KL861,Amsterdam (AMS),KLM B772 (PH-BQA),Landed 8:30 AM,2020-10-03
32,32,8:35 AM PO212,,Shanghai (PVG),Polar Air Cargo B744 (N453PA),Landed 8:47 AM,2020-10-03
33,33,8:35 AM 7C1100,,Seoul (ICN),Jeju Air 737,Canceled,2020-10-03
34,34,8:40 AM CA1073,,Shanghai (PVG),Air China Cargo B77L (B-2093),Landed 9:08 AM,2020-10-03
35,35,9:00 AM NH8562,,Naha (OKA),All Nippon Airways 76F,Unknown,2020-10-03
36,36,9:00 AM JL3052,,Fukuoka (FUK),Japan Airlines 73H,Canceled,2020-10-03
37,37,9:01 AM MM311,,Osaka (KIX),Peach A320 (JA14VA),Landed 8:56 AM,2020-10-03
38,38,9:01 AM NH492,,Nagoya (NGO),All Nippon Airways 787,Canceled,2020-10-03
39,39,9:10 AM,AY73,Helsinki (HEL),Finnair A359 (OH-LWF),Landed 8:44 AM,2020-10-03
40,40,9:10 AM NH2142,,Fukuoka (FUK),All Nippon Airways 737,Canceled,2020-10-03
41,41,9:10 AM NH2176,,Osaka (ITM),All Nippon Airways 787,Canceled,2020-10-03
42,42,9:10 AM NH3232,,Sendai (SDJ),All Nippon Airways DH8,Canceled,2020-10-03
43,43,9:20 AM,NH2152,Sapporo (CTS),All Nippon Airways 738,Canceled,2020-10-03
44,44,9:25 AM UA2770,,Chicago (ORD),United Airlines B789 (N24974),Landed 9:04 AM,2020-10-03
45,45,9:25 AM JL3004,,Osaka (ITM),Japan Airlines 788,Canceled,2020-10-03
46,46,9:30 AM JL3040,,Sapporo (CTS),Japan Airlines 73H,Canceled,2020-10-03
47,47,9:30 AM JL3082,,Nagoya (NGO),Japan Airlines 767,Canceled,2020-10-03
48,48,9:42 AM FX15,,Memphis (MEM),FedEx B77L (N854FD),Landed 9:41 AM,2020-10-03
