,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,15:30 NZ5077,,Auckland (AKL),Air New Zealand AT76 (ZK-MVR),Landed 16:10,2021-06-11
1,1,15:45 NZ8313,,Wellington (WLG),Air New Zealand DH8C (ZK-NEU),Landed 15:41,2021-06-11
2,2,16:40 NZ8317,,Wellington (WLG),Air New Zealand DH8C (ZK-NEA),Landed 16:35,2021-06-11
3,3,16:45 S8345,,Wellington (WLG),Sounds Air C208 (ZK-SAA),Landed 16:42,2021-06-11
4,4,16:45 S8337,,Wellington (WLG),Sounds Air CNC,Unknown,2021-06-11
5,5,17:05,NZ8852,Christchurch (CHC),Air New Zealand DH8C (ZK-NET),Landed 16:47,2021-06-11
6,6,17:30,NZ5081,Auckland (AKL),Air New Zealand AT76 (ZK-MVM),Landed 17:33,2021-06-11
7,7,17:40 NZ8327,,Wellington (WLG),Air New Zealand DH8C (ZK-NEJ),Landed 17:38,2021-06-11
8,8,17:40 S8505,,Paraparaumu (PPQ),Sounds Air C208 (ZK-PDM),Landed 17:41,2021-06-11
9,9,18:50,NZ5083,Auckland (AKL),Air New Zealand AT76 (ZK-MVV),Landed 18:47,2021-06-11
10,10,19:25,NZ8321,Wellington (WLG),Air New Zealand DH8C (ZK-NEA),Landed 19:15,2021-06-11
11,11,19:30 S8343,,Wellington (WLG),Sounds Air C208 (ZK-SAA),Landed 19:28,2021-06-11
12,12,19:55 NZ8858,,Christchurch (CHC),Air New Zealand DH8C (ZK-NET),Landed 19:43,2021-06-11
13,13,20:10 NZ8325,,Wellington (WLG),Air New Zealand DH8C (ZK-NED),Landed 20:01,2021-06-11
14,14,21:35,NZ8087,Auckland (AKL),Air New Zealand DH8C (ZK-NEZ),Landed 21:22,2021-06-11
0,0,5:05 PM,NZ5852,Christchurch (CHC),Air New Zealand AT76 (ZK-MVZ),Landed 4:47 PM,2021-06-12
1,1,5:25 PM NZ8319,,Wellington (WLG),Air New Zealand DH8C (ZK-NEE),Landed 5:11 PM,2021-06-12
2,2,5:30 PM,NZ5081,Auckland (AKL),Air New Zealand AT76 (ZK-MVO),Landed 5:26 PM,2021-06-12
0,0,15:30 NZ5077,,Auckland (AKL),Air New Zealand AT76 (ZK-MVC),Landed 15:45,2021-06-13
1,1,15:45 NZ8313,,Wellington (WLG),Air New Zealand DH8C (ZK-NEZ),Landed 15:39,2021-06-13
2,2,16:05,NZ8850,Christchurch (CHC),Air New Zealand DH8C (ZK-NEQ),Landed 15:54,2021-06-13
3,3,16:45 S8337,,Wellington (WLG),Sounds Air CNC,Unknown,2021-06-13
4,4,16:45 S8345,,Wellington (WLG),Sounds Air C208 (ZK-SAA),Landed 16:55,2021-06-13
5,5,17:10,NZ8852,Christchurch (CHC),Air New Zealand DH8C (ZK-NFA),Landed 17:05,2021-06-13
6,6,17:25 NZ8319,,Wellington (WLG),Air New Zealand DH8C (ZK-NEW),Landed 17:17,2021-06-13
7,7,17:30,NZ5081,Auckland (AKL),Air New Zealand AT76 (ZK-MVU),Landed 17:38,2021-06-13
8,8,17:40 S8505,,Paraparaumu (PPQ),Sounds Air C208 (ZK-SAN),Landed 17:53,2021-06-13
