,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,7:15 AM,JQ483,Brisbane (BNE),Jetstar Airways A320 (VH-VGI),Landed 7:06 AM,2021-06-11
1,1,8:00 AM FC203,,Canberra (CBR),- SF3,Unknown,2021-06-11
2,2,8:30 AM QF1564,,Melbourne (MEL),QantasLink B712 (VH-NXO),Landed 8:22 AM,2021-06-11
3,3,8:50 AM,JQ474,Melbourne (MEL),Jetstar Airways 320,Canceled,2021-06-11
4,4,9:25 AM FP312,,Canberra (CBR),FlyPelican JS32 (VH-ACV),Landed 9:32 AM,2021-06-11
5,5,10:35 AM,VA1102,Brisbane (BNE),Virgin Australia B737 (VH-VBZ),Landed 10:34 AM,2021-06-11
6,6,11:40 AM FP612,,Dubbo (DBO),FlyPelican J32,Unknown,2021-06-11
7,7,12:30 PM,VA1593,Melbourne (MEL),Virgin Australia B738 (VH-YIY),Landed 12:26 PM,2021-06-11
8,8,12:35 PM,QF2421,Brisbane (BNE),QantasLink DH8D (VH-LQF),Landed 12:26 PM,2021-06-11
9,9,1:40 PM FP513,,Ballina (BNK),FlyPelican JS32 (VH-ACV),Landed 1:46 PM,2021-06-11
10,10,1:45 PM,JQ495,Gold Coast (OOL),Jetstar Airways A320 (VH-VQL),Landed 1:41 PM,2021-06-11
11,11,3:20 PM,JQ485,Brisbane (BNE),Jetstar Airways A320 (VH-VQE),Landed 3:18 PM,2021-06-11
12,12,3:30 PM,QF1776,Brisbane (BNE),QantasLink B712 (VH-NXO),Landed 3:49 PM,2021-06-11
13,13,3:50 PM FP314,,Canberra (CBR),FlyPelican J32,Unknown,2021-06-11
14,14,4:25 PM,JQ476,Melbourne (MEL),Jetstar Airways 320,Canceled,2021-06-11
15,15,5:00 PM FC201,,Canberra (CBR),- SF3,Unknown,2021-06-11
16,16,6:25 PM,QF1778,Brisbane (BNE),QantasLink B712 (VH-NXM),Landed 6:23 PM,2021-06-11
17,17,7:05 PM,JQ478,Melbourne (MEL),Jetstar Airways A320 (VH-VQH),Landed 6:59 PM,2021-06-11
18,18,7:10 PM FP1125,,Sunshine Coast (MCY),FlyPelican J32,Unknown,2021-06-11
19,19,7:10 PM FP318,,Canberra (CBR),FlyPelican J32,Unknown,2021-06-11
20,20,7:55 PM,JQ489,Brisbane (BNE),Jetstar Airways A320 (VH-VGY),Landed 7:48 PM,2021-06-11
21,21,8:15 PM QF1566,,Melbourne (MEL),QantasLink B712 (VH-NXO),Landed 8:22 PM,2021-06-11
22,22,8:20 PM FP218,,Sydney (SYD),FlyPelican J32,Unknown,2021-06-11
23,23,8:20 PM FP320,,Canberra (CBR),FlyPelican J32,Unknown,2021-06-11
24,24,8:45 PM,QF2427,Brisbane (BNE),QantasLink DH8D (VH-LQK),Landed 8:39 PM,2021-06-11
25,25,8:55 PM,VA1108,Brisbane (BNE),Virgin Australia B737 (VH-VBY),Landed 9:04 PM,2021-06-11
0,0,07:15,JQ483,Brisbane (BNE),Jetstar Airways A320 (VH-VGI),Landed 07:01,2021-06-12
1,1,08:30 QF1564,,Melbourne (MEL),QantasLink B712 (VH-NXL),Landed 08:17,2021-06-12
2,2,08:50,JQ474,Melbourne (MEL),Jetstar Airways 320,Canceled,2021-06-12
3,3,12:10,VA1104,Brisbane (BNE),Virgin Australia B737 (VH-VBZ),Landed 11:55,2021-06-12
4,4,12:35,QF2421,Brisbane (BNE),QantasLink DH8D (VH-QOJ),Landed 12:12,2021-06-12
5,5,13:45,JQ495,Gold Coast (OOL),Jetstar Airways A320 (VH-VQL),Landed 13:36,2021-06-12
6,6,15:20,JQ485,Brisbane (BNE),Jetstar Airways A320 (VH-VFJ),Landed 15:11,2021-06-12
7,7,16:25,JQ476,Melbourne (MEL),Jetstar Airways A320 (VH-VQP),Landed 16:18,2021-06-12
0,0,07:15,JQ483,Brisbane (BNE),Jetstar Airways A320 (VH-VFT),Landed 07:05,2021-06-13
1,1,08:50,JQ474,Melbourne (MEL),Jetstar Airways 320,Canceled,2021-06-13
2,2,12:10,VA1104,Brisbane (BNE),Virgin Australia B737 (VH-VBZ),Landed 12:02,2021-06-13
3,3,12:35,QF2421,Brisbane (BNE),QantasLink DH8D (VH-QOX),Landed 12:14,2021-06-13
4,4,13:40,VA1593,Melbourne (MEL),Virgin Australia B738 (VH-YFU),Landed 13:22,2021-06-13
5,5,13:45,JQ495,Gold Coast (OOL),Jetstar Airways A320 (VH-VGP),Landed 13:42,2021-06-13
6,6,15:20,JQ485,Brisbane (BNE),Jetstar Airways A320 (VH-VGI),Landed 15:13,2021-06-13
7,7,15:30,QF1776,Brisbane (BNE),QantasLink B712 (VH-NXL),Landed 17:08,2021-06-13
8,8,16:25,JQ476,Melbourne (MEL),Jetstar Airways 320,Canceled,2021-06-13
9,9,18:05 FP517,,Ballina (BNK),FlyPelican JS32 (VH-OTD),Landed 17:42,2021-06-13
10,10,19:05,JQ478,Melbourne (MEL),Jetstar Airways 320,Canceled,2021-06-13
11,11,19:10 FP316,,Canberra (CBR),FlyPelican J32,Unknown,2021-06-13
12,12,20:15 QF1566,,Melbourne (MEL),Qantas 717,Unknown,2021-06-13
13,13,20:45,QF2427,Brisbane (BNE),QantasLink DH8D (VH-LQF),Landed 20:57,2021-06-13
0,0,07:15,JQ483,Brisbane (BNE),Jetstar Airways A320 (VH-VGI),Landed 07:11,2021-06-14
1,1,08:30 FP310,,Canberra (CBR),FlyPelican J32,Unknown,2021-06-14
2,2,08:30 QF1564,,Melbourne (MEL),Qantas 717,Unknown,2021-06-14
3,3,08:50,JQ474,Melbourne (MEL),Jetstar Airways 320,Canceled,2021-06-14
4,4,09:25 FP312,,Canberra (CBR),FlyPelican JS32 (VH-OTD),Landed 09:36,2021-06-14
5,5,10:35,VA1102,Brisbane (BNE),Virgin Australia B737 (VH-VBY),Landed 10:26,2021-06-14
6,6,12:35,QF2421,Brisbane (BNE),QantasLink DH8D (VH-QOF),Landed 12:29,2021-06-14
7,7,13:20,VA1593,Melbourne (MEL),Virgin Australia B738 (VH-YFU),Landed 13:20,2021-06-14
8,8,13:40 FP513,,Ballina (BNK),FlyPelican JS32 (VH-OTD),Landed 13:35,2021-06-14
9,9,13:45,JQ495,Gold Coast (OOL),Jetstar Airways A320 (VH-VGP),Landed 13:37,2021-06-14
10,10,15:20,JQ485,Brisbane (BNE),Jetstar Airways A320 (VH-VFJ),Landed 15:08,2021-06-14
11,11,15:30,QF1776,Brisbane (BNE),QantasLink B712 (VH-NXM),Landed 15:42,2021-06-14
12,12,15:50 FP314,,Canberra (CBR),FlyPelican J32,Unknown,2021-06-14
13,13,16:25,JQ476,Melbourne (MEL),Jetstar Airways 320,Canceled,2021-06-14
14,14,17:00 FC201,,Canberra (CBR),- SF3,Unknown,2021-06-14
15,15,18:45,QF2423,Brisbane (BNE),Qantas DH4,Unknown,2021-06-14
16,16,19:10 FP318,,Canberra (CBR),FlyPelican J32,Unknown,2021-06-14
17,17,19:10 FP1125,,Sunshine Coast (MCY),FlyPelican J32,Unknown,2021-06-14
18,18,19:55,JQ489,Brisbane (BNE),Jetstar Airways A320 (VH-VFJ),Landed 19:52,2021-06-14
19,19,20:15 QF1566,,Melbourne (MEL),QantasLink B712 (VH-NXM),Landed 20:07,2021-06-14
20,20,20:45,QF2427,Brisbane (BNE),QantasLink DH8D (VH-QOU),Landed 20:36,2021-06-14
