,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:05 WN134,,Honolulu (HNL),Southwest Airlines B738 (N8317M),Landed 00:16,2021-06-08
1,1,00:10 WN354,,Seattle (SEA),Southwest Airlines B738 (N8643A),Landed 23:49,2021-06-08
2,2,00:10 FX1800,,Honolulu (HNL),FedEx B77L (N857FD),Landed 00:25,2021-06-08
3,3,00:15 WN1851,,Kahului (OGG),Southwest Airlines B38M (N8715Q),Landed 23:59,2021-06-08
4,4,00:20 WN1130,,Chicago (MDW),Southwest Airlines B737 (N458WN),Landed 00:37,2021-06-08
5,5,02:06 5X966,,Ontario (ONT),UPS A306 (N170UP),Landed 02:04,2021-06-08
6,6,03:32 5X962,,Ontario (ONT),UPS MD11 (N279UP),Landed 03:30,2021-06-08
7,7,04:00 5X948,,Dallas (DFW),UPS A306 (N130UP),Landed 04:22,2021-06-08
8,8,04:06 5X942,,Louisville (SDF),UPS Airlines B763 (N370UP),Landed 03:50,2021-06-08
9,9,04:12 5X944,,Chicago (RFD),UPS B763 (N351UP),Landed 04:04,2021-06-08
10,10,04:28 FX1419,,Memphis (MEM),FedEx MD11 (N592FE),Landed 05:22,2021-06-08
11,11,04:32 5X952,,Louisville (SDF),UPS B752 (N471UP),Landed 04:42,2021-06-08
12,12,04:43 FX1167,,Fort Worth (AFW),FedEx A306 (N686FE),Landed 04:44,2021-06-08
13,13,04:48 5X946,,Louisville (SDF),UPS B763 (N366UP),Landed 05:25,2021-06-08
14,14,05:04 FX1705,,Indianapolis (IND),FedEx B763 (N297FE),Landed 05:28,2021-06-08
15,15,05:27 WN8502,,Los Angeles (LAX),Southwest Airlines B737 (N7729A),Landed 06:19,2021-06-08
16,16,05:32 FX1468,,Memphis (MEM),FedEx MD11 (N620FE),Landed 06:16,2021-06-08
17,17,06:47 1I744,,Tokyo (HND),NetJets CL3,Unknown,2021-06-08
18,18,06:52 FX6010,,Anchorage (ANC),FedEx MD11 (N616FE),Landed 07:00,2021-06-08
19,19,07:36 NK1687,,Las Vegas (LAS),Spirit Airlines A20N (N920NK),Landed 07:12,2021-06-08
20,20,07:40 WN3140,,Boise (BOI),Southwest Airlines B737 (N900WN),Landed 07:34,2021-06-08
21,21,07:50 WN1218,,Los Angeles (LAX),Southwest Airlines B38M (N8807L),Landed 07:36,2021-06-08
22,22,07:50 WN3247,,Portland (PDX),Southwest Airlines B38M (N8731J),Landed 07:38,2021-06-08
23,23,07:50 WN4549,,Houston (HOU),Southwest Airlines B738 (N8640D),Landed 07:40,2021-06-08
24,24,08:00 WN113,,Albuquerque (ABQ),Southwest Airlines B38M (N8739L),Landed 07:56,2021-06-08
25,25,08:00 WN1079,,Palm Springs (PSP),Southwest Airlines B737 (N7813P),Landed 07:26,2021-06-08
26,26,08:00 WN2930,,Phoenix (PHX),Southwest Airlines B38M (N8705Q),Landed 07:48,2021-06-08
27,27,08:05 WN3734,,Dallas (DAL),Southwest Airlines B38M (N8732S),Landed 08:17,2021-06-08
28,28,08:05 WN5659,,Spokane (GEG),Southwest Airlines B737 (N7728D),Landed 08:07,2021-06-08
29,29,08:10 LF3201,,Crescent City (CEC),Contour Aviation E135 (N15509),Landed 08:03,2021-06-08
30,30,08:10 WN1637,,Reno (RNO),Southwest Airlines B737 (N209WN),Landed 07:50,2021-06-08
31,31,08:15 WN3266,,San Diego (SAN),Southwest Airlines B738 (N8517F),Landed 07:44,2021-06-08
32,32,08:15 WN3650,,Salt Lake City (SLC),Southwest Airlines B737 (N904WN),Landed 08:10,2021-06-08
33,33,08:15 WN3984,,Denver (DEN),Southwest Airlines B737 (N950WN),Landed 08:05,2021-06-08
34,34,08:15 WN4476,,Seattle (SEA),Southwest Airlines B738 (N8693A),Landed 07:59,2021-06-08
35,35,08:18 PCM8711,,Visalia (VIS),West Air C208,Unknown,2021-06-08
36,36,08:29 FX1587,,Memphis (MEM),FedEx B763 (N156FE),Landed 08:20,2021-06-08
37,37,08:39 NK1213,,Los Angeles (LAX),Spirit Airlines A320 (N611NK),Unknown,2021-06-08
38,38,08:45 1I809,,Burbank (BUR),Netjets C700 (N809QS),Landed 08:15,2021-06-08
39,39,08:50 FX3807,,Chicago (ORD),FedEx B763 (N138FE),Landed 09:00,2021-06-08
40,40,08:55 WN2238,,Santa Ana (SNA),Southwest Airlines B737 (N7740A),Landed 08:37,2021-06-08
41,41,08:55 WN8884,,Dallas (DAL),Southwest Airlines B737 (N959WN),Landed 09:29,2021-06-08
42,42,09:00 WN3100,,Las Vegas (LAS),Southwest Airlines B737 (N412WN),Landed 08:47,2021-06-08
43,43,09:10 AS2438,,Portland (PDX),Alaska Horizon E75L (N628QX),Landed 09:09,2021-06-08
44,44,09:14 DL4063,,Salt Lake City (SLC),Delta Connection E75L (N308SY),Landed 09:12,2021-06-08
45,45,09:19 XE171,,Burbank (BUR),JSX E135 (N260JX),Landed 09:37,2021-06-08
46,46,09:20 WN4179,,Long Beach (LGB),Southwest Airlines B737 (N7883A),Landed 08:57,2021-06-08
47,47,09:40 WN1631,,Burbank (BUR),Southwest Airlines B737 (N7729A),Landed 09:32,2021-06-08
48,48,09:40,,Los Angeles (LAX),- E75L (N279SY),Landed 10:07,2021-06-08
49,49,09:50 WN1129,,Los Angeles (LAX),Southwest Airlines B38M (N8729H),Landed 10:11,2021-06-08
50,50,09:51 FX3824,,Seattle (SEA),FedEx MD11 (N586FE),Landed 10:08,2021-06-08
51,51,09:52 FX2705,,Indianapolis (IND),FedEx B763 (N139FE),Landed 09:59,2021-06-08
52,52,10:03 PCM8712,,Visalia (VIS),West Air C208,Unknown,2021-06-08
53,53,10:05 WN3111,,Ontario (ONT),Southwest Airlines B737,Canceled,2021-06-08
54,54,10:10 AS2224,,Seattle (SEA),Alaska Horizon E75L (N623QX),Landed 10:12,2021-06-08
55,55,10:18 FX3806,,New York (EWR),FedEx MD11 (N597FE),Landed 09:56,2021-06-08
56,56,10:21 NK1443,,Detroit (DTW),Spirit Airlines A20N (N908NK),Landed 09:54,2021-06-08
57,57,10:25 WN3868,,Chicago (MDW),Southwest Airlines B737 (N7848A),Landed 10:02,2021-06-08
58,58,10:40 WN1828,,Phoenix (PHX),Southwest Airlines B738 (N8309C),Landed 10:30,2021-06-08
59,59,10:40 WN3284,,Nashville (BNA),Southwest Airlines B738 (N8519R),Landed 10:26,2021-06-08
60,60,10:40 WN5183,,San Diego (SAN),Southwest Airlines B737 (N7874B),Landed 10:24,2021-06-08
61,61,10:57,DL4081,Los Angeles (LAX),Delta Connection E75L (N278SY),Landed 12:26,2021-06-08
62,62,11:03 PCM8260,,Visalia (VIS),FedEx C208 (N744FX),Landed 10:27,2021-06-08
63,63,11:25 WN5590,,Las Vegas (LAS),Southwest Airlines B38M (N8702L),Landed 11:41,2021-06-08
64,64,11:30 WN2207,,Seattle (SEA),Southwest Airlines B737 (N458WN),Landed 11:15,2021-06-08
65,65,12:13 DL2051,,Salt Lake City (SLC),Delta Air Lines BCS1 (N133DU),Landed 12:04,2021-06-08
66,66,12:20 WN2892,,Santa Ana (SNA),Southwest Airlines B737 (N486WN),Landed 13:05,2021-06-08
67,67,12:32 NK1711,,Las Vegas (LAS),Spirit Airlines A20N (N933NK),Landed 12:15,2021-06-08
68,68,12:35 WN5461,,Kansas City (MCI),Southwest Airlines B737 (N935WN),Landed 12:17,2021-06-08
69,69,12:40 WN4136,,Burbank (BUR),Southwest Airlines B738 (N8578Q),Landed 12:22,2021-06-08
70,70,12:40 XE331,,Santa Ana (SNA),JSX E135 (N258JX),Landed 12:29,2021-06-08
71,71,12:55 WN2493,,Portland (PDX),Southwest Airlines B737 (N241WN),Landed 12:46,2021-06-08
72,72,13:08 XE175,,Burbank (BUR),JSX E135 (N265JX),Landed 13:29,2021-06-08
73,73,13:15 WN2424,,Las Vegas (LAS),Southwest Airlines B737 (N799SW),Landed 15:33,2021-06-08
74,74,13:15 WN5987,,Chicago (MDW),Southwest Airlines B738 (N8527Q),Landed 12:47,2021-06-08
75,75,13:20 WN2685,,Denver (DEN),Southwest Airlines B737 (N485WN),Landed 13:08,2021-06-08
76,76,13:48 AS532,,Seattle (SEA),Alaska Airlines B739 (N224AK),Landed 14:07,2021-06-08
77,77,13:55 XE1202,,Las Vegas (LAS),JSX E135 (N260JX),Landed 13:45,2021-06-08
78,78,14:05 WN123,,Los Angeles (LAX),Southwest Airlines B38M (N8729H),Landed 15:03,2021-06-08
79,79,14:05 WN2171,,Santa Barbara (SBA),Southwest Airlines B737 (N445WN),Landed 13:31,2021-06-08
80,80,14:23,,Palm Springs (PSP),- PC12 (N883AA),Landed 14:43,2021-06-08
81,81,14:30 WN4024,,San Diego (SAN),Southwest Airlines B738 (N8522P),Landed 14:08,2021-06-08
82,82,14:48 XE1401,,Burbank (BUR),JSX E135 (N261JX),Landed 14:58,2021-06-08
83,83,14:50 WN5451,,Phoenix (PHX),Southwest Airlines B738 (N8562Z),Landed 14:45,2021-06-08
84,84,15:03 KFB60,,Kailua-Kona (KOA),Private owner GLF4 (N60GG),Landed 15:26,2021-06-08
85,85,15:09 XE511,,Reno (RNO),JSX E135 (N258JX),Landed 15:04,2021-06-08
86,86,15:35 WN941,,Honolulu (HNL),Southwest Airlines B738 (N8311Q),Landed 15:28,2021-06-08
87,87,15:35 WN3046,,Santa Ana (SNA),Southwest Airlines B737 (N497WN),Landed 15:20,2021-06-08
88,88,15:40 FX311,,Memphis (MEM),FedEx MD11 (N584FE),Landed 17:07,2021-06-08
89,89,15:50 WN313,,Austin (AUS),Southwest Airlines B737 (N264LV),Landed 15:49,2021-06-08
90,90,16:03 DL3787,,Salt Lake City (SLC),Delta Connection E75L (N253SY),Landed 16:26,2021-06-08
91,91,16:05 WN1552,,Las Vegas (LAS),Southwest Airlines B38M (N8702L),Landed 16:07,2021-06-08
92,92,16:10 WN245,,Kailua-Kona (KOA),Southwest Airlines B738 (N8324A),Landed 15:51,2021-06-08
93,93,16:15 WN647,,Lihue (LIH),Southwest Airlines B738 (N8319F),Landed 15:55,2021-06-08
94,94,16:20 WN725,,Burbank (BUR),Southwest Airlines B737 (N417WN),Landed 16:12,2021-06-08
95,95,16:20 WN2155,,Ontario (ONT),Southwest Airlines B737 (N7869A),Landed 16:04,2021-06-08
96,96,16:30 WN4423,,Kahului (OGG),Southwest Airlines B38M (N8712L),Landed 16:14,2021-06-08
97,97,16:43 5X2662,,Louisville (SDF),UPS A306 (N124UP),Landed 16:40,2021-06-08
98,98,16:46,,San Jose del Cabo (SJD),- CL60,Landed 12:44,2021-06-08
99,99,16:50 WN6257,,Phoenix (PHX),Southwest Airlines B737 (N959WN),Landed 16:54,2021-06-08
100,100,16:50 FX3747,,Indianapolis (IND),FedEx A306 (N668FE),Landed 16:46,2021-06-08
101,101,16:50 WN5287,,Seattle (SEA),Southwest Airlines B738 (N8566Z),Landed 16:50,2021-06-08
102,102,16:57 FX3166,,Fort Worth (AFW),FedEx B763 (N145FE),Landed 16:52,2021-06-08
103,103,16:57,,Santa Ana (SNA),- AEST (N2DX),Landed 16:45,2021-06-08
104,104,17:14 FX3724,,Indianapolis (IND),FedEx A306 (N664FE),Landed 17:26,2021-06-08
105,105,17:14 5X2950,,Louisville (SDF),UPS MD11 (N264UP),Landed 18:23,2021-06-08
