,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,07:07 Y4540,,Tijuana (TIJ),Volaris A20N (N533VL),Landed 06:26,2021-06-08
1,1,07:33,AM2046,Mexico City (MEX),Aeromexico Connect E190 (XA-ALW),Landed 07:43,2021-06-08
2,2,08:35 RTU202,,Puerto Escondido (PXM),- CN1,Unknown,2021-06-08
3,3,10:16,AM2048,Mexico City (MEX),Aeromexico Connect E190 (XA-ACE),Landed 10:12,2021-06-08
4,4,10:35 RTU102,,Huatulco (HUX),- CN1,Unknown,2021-06-08
5,5,12:02 Y4764,,Mexico City (MEX),Volaris A320 (XA-VLM),Landed 11:49,2021-06-08
6,6,12:56,AM2098,Mexico City (MEX),Aeromexico Connect E190 (XA-GAR),Landed 12:41,2021-06-08
7,7,15:08,AM2044,Mexico City (MEX),Aeromexico Connect E190 (XA-ACT),Landed 15:39,2021-06-08
8,8,16:35,Y45663,Los Angeles (LAX),Volaris A20N (XA-VRO),Landed 16:35,2021-06-08
9,9,17:18,AM2036,Mexico City (MEX),Aeromexico Connect E190 (XA-AEE),Landed 17:19,2021-06-08
10,10,19:54 AA3709,,Dallas (DFW),American Eagle E75L (N286NN),Landed 19:47,2021-06-08
11,11,20:27 Y4542,,Tijuana (TIJ),Volaris A320 (N510VL),Landed 20:05,2021-06-08
12,12,21:50,AM2408,Mexico City (MEX),Aeromexico Connect E190 (XA-FAC),Landed 22:39,2021-06-08
0,0,7:07 AM Y4540,,Tijuana (TIJ),Volaris A320 (XA-VOY),Landed 6:46 AM,2021-06-09
1,1,7:33 AM,AM2046,Mexico City (MEX),Aeromexico Connect E190 (XA-GAD),Landed 7:20 AM,2021-06-09
2,2,8:35 AM RTU202,,Puerto Escondido (PXM),- CN1,Unknown,2021-06-09
3,3,10:16 AM,AM2048,Mexico City (MEX),Aeromexico Connect E190 (XA-AEI),Landed 10:06 AM,2021-06-09
4,4,10:35 AM RTU102,,Huatulco (HUX),- CN1,Unknown,2021-06-09
5,5,10:41 AM TWY70,,Guadalajara (GDL),- GLF4 (N771L),Landed 12:07 PM,2021-06-09
6,6,12:02 PM Y4764,,Mexico City (MEX),Volaris A20N (N531VL),Landed 12:15 PM,2021-06-09
7,7,12:56 PM,AM2098,Mexico City (MEX),Aeromexico Connect E190 (XA-IAC),Landed 1:10 PM,2021-06-09
8,8,2:28 PM,Y4134,Cancun (CUN),Volaris A319 (XA-VOE),Landed 2:18 PM,2021-06-09
9,9,3:08 PM,AM2044,Mexico City (MEX),Aeromexico Connect E190 (XA-GAW),Landed 3:26 PM,2021-06-09
10,10,5:18 PM,AM2036,Mexico City (MEX),Aeromexico Connect E190 (XA-AEF),Landed 5:27 PM,2021-06-09
11,11,6:15 PM VB1336,,Mexico City (MEX),VivaAerobus A20N (XA-VIB),Landed 6:19 PM,2021-06-09
12,12,7:30 PM,AM2136,Mexico City (MEX),Aeromexico Connect E190 (XA-GAF),Landed 8:06 PM,2021-06-09
13,13,7:38 PM,UA6375,Houston (IAH),United Express E75L (N89321),Landed 7:26 PM,2021-06-09
14,14,7:54 PM AA3709,,Dallas (DFW),American Eagle E75L (N231AN),Landed 7:48 PM,2021-06-09
15,15,8:27 PM Y4542,,Tijuana (TIJ),Volaris A320 (N510VL),Landed 8:15 PM,2021-06-09
16,16,9:50 PM,AM2408,Mexico City (MEX),Aeromexico Connect E190 (XA-GAR),Landed 10:25 PM,2021-06-09
0,0,07:07 Y4540,,Tijuana (TIJ),Volaris A20N (N538VL),Landed 07:02,2021-06-10
1,1,07:33,AM2046,Mexico City (MEX),Aeromexico Connect E190 (XA-MAC),Landed 07:31,2021-06-10
2,2,08:35 RTU202,,Puerto Escondido (PXM),- CN1,Unknown,2021-06-10
3,3,09:07 Y4158,,Guadalajara (GDL),Volaris A320 (XA-VLO),Landed 09:13,2021-06-10
4,4,10:16,AM2048,Mexico City (MEX),Aeromexico Connect E190 (XA-GAR),Landed 10:11,2021-06-10
5,5,10:35 RTU102,,Huatulco (HUX),- CN1,Unknown,2021-06-10
6,6,12:02 Y4764,,Mexico City (MEX),Volaris A20N (XA-VRE),Landed 12:19,2021-06-10
7,7,12:56,AM2098,Mexico City (MEX),Aeromexico Connect E190 (XA-GAW),Landed 13:10,2021-06-10
8,8,15:08,AM2044,Mexico City (MEX),Aeromexico Connect E190 (XA-GAK),Landed 15:18,2021-06-10
9,9,17:18,AM2036,Mexico City (MEX),Aeromexico Connect E190 (XA-AEE),Landed 17:08,2021-06-10
10,10,18:15 VB1336,,Mexico City (MEX),VivaAerobus A20N (XA-VIU),Landed 18:01,2021-06-10
11,11,19:30,AM2136,Mexico City (MEX),Aeromexico Connect E190 (XA-ACT),Landed 19:33,2021-06-10
12,12,19:54 AA3709,,Dallas (DFW),American Eagle E75L (N292NN),Landed 19:44,2021-06-10
13,13,19:56,Y4663,Los Angeles (LAX),Volaris A320 (XA-VLO),Landed 19:35,2021-06-10
14,14,20:27 Y4542,,Tijuana (TIJ),Volaris A20N (XA-VRS),Unknown,2021-06-10
15,15,21:10 VB4076,,Monterrey (MTY),Viva Aerobus A320 (XA-VAC),Landed 21:43,2021-06-10
16,16,21:50,AM2408,Mexico City (MEX),Aeromexico Connect E190 (XA-DAC),Landed 22:15,2021-06-10
0,0,07:07 Y4540,,Tijuana (TIJ),Volaris A20N (XA-VRS),Landed 07:00,2021-06-11
1,1,07:33,AM2046,Mexico City (MEX),Aeromexico Connect E190 (XA-GAI),Landed 07:48,2021-06-11
2,2,08:35 RTU202,,Puerto Escondido (PXM),- CN1,Unknown,2021-06-11
3,3,10:16,AM2048,Mexico City (MEX),Aeromexico Connect E190 (XA-ACK),Landed 10:34,2021-06-11
4,4,10:35 RTU102,,Huatulco (HUX),- CN1,Unknown,2021-06-11
5,5,12:02 Y4764,,Mexico City (MEX),Volaris A320 (N524VL),Landed 12:02,2021-06-11
6,6,12:56,AM2098,Mexico City (MEX),Aeromexico Connect E190 (XA-AEF),Landed 12:56,2021-06-11
7,7,14:28,Y4134,Cancun (CUN),Volaris A319 (XA-VOE),Landed 14:58,2021-06-11
8,8,15:08,AM2044,Mexico City (MEX),Aeromexico Connect E190 (XA-ACE),Landed 15:12,2021-06-11
9,9,17:15 VB4074,,Monterrey (MTY),VivaAerobus A20N (XA-VIT),Landed 18:09,2021-06-11
10,10,17:18,AM2036,Mexico City (MEX),Aeromexico Connect E190 (XA-GAX),Landed 17:10,2021-06-11
11,11,18:15 VB1336,,Mexico City (MEX),VivaAerobus A320 (XA-VAO),Landed 18:18,2021-06-11
12,12,19:30,AM2136,Mexico City (MEX),Aeromexico Connect E190 (XA-ACK),Landed 19:22,2021-06-11
13,13,19:38,UA6375,Houston (IAH),United Airlines E75L (N82366),Landed 19:43,2021-06-11
14,14,19:54 AA3709,,Dallas (DFW),American Eagle E75L (N213NN),Landed 19:41,2021-06-11
15,15,20:27 Y4542,,Tijuana (TIJ),Volaris A20N (N538VL),Landed 20:12,2021-06-11
16,16,21:55,AM2408,Mexico City (MEX),Aeromexico Connect E190 (XA-GAW),Landed 22:34,2021-06-11
0,0,7:07 AM Y4540,,Tijuana (TIJ),Volaris A320 (N517VL),Landed 7:05 AM,2021-06-12
1,1,8:35 AM RTU202,,Puerto Escondido (PXM),- CN1,Unknown,2021-06-12
2,2,9:07 AM Y4158,,Guadalajara (GDL),Volaris A320 (N525VL),Landed 8:55 AM,2021-06-12
3,3,9:10 AM,AM2048,Mexico City (MEX),Aeromexico Connect E190 (XA-ACC),Landed 9:04 AM,2021-06-12
4,4,10:35 AM RTU102,,Huatulco (HUX),- CN1,Unknown,2021-06-12
5,5,12:02 PM Y4764,,Mexico City (MEX),Volaris A320 (N510VL),Landed 11:47 AM,2021-06-12
6,6,2:05 PM VB1334,,Mexico City (MEX),VivaAerobus A320 (XA-VAU),Landed 2:09 PM,2021-06-12
7,7,3:08 PM,AM2044,Mexico City (MEX),Aeromexico Connect E190 (XA-ACS),Landed 3:28 PM,2021-06-12
8,8,5:18 PM,AM2036,Mexico City (MEX),Aeromexico Connect E190 (XA-GAW),Landed 6:16 PM,2021-06-12
9,9,7:56 PM,Y4663,Los Angeles (LAX),Volaris A320 (N525VL),Landed 7:52 PM,2021-06-12
10,10,8:15 PM AA3709,,Dallas (DFW),American Eagle E75L (N217NN),Landed 9:58 PM,2021-06-12
11,11,9:50 PM,AM2408,Mexico City (MEX),Aeromexico Connect E190 (XA-GAR),Landed 9:51 PM,2021-06-12
0,0,07:07 Y4540,,Tijuana (TIJ),Volaris A320 (N517VL),Landed 07:00,2021-06-13
1,1,09:10,AM2048,Mexico City (MEX),Aeromexico Connect E190 (XA-AEF),Landed 09:14,2021-06-13
2,2,11:35 RTU202,,Puerto Escondido (PXM),- CN1,Unknown,2021-06-13
3,3,12:02 Y4764,,Mexico City (MEX),Volaris A320 (XA-VLM),Landed 11:49,2021-06-13
4,4,13:35 RTU102,,Huatulco (HUX),- CN1,Unknown,2021-06-13
5,5,14:52,AM2044,Mexico City (MEX),Aeromexico Connect E190 (XA-ACJ),Landed 14:48,2021-06-13
6,6,17:18,AM2036,Mexico City (MEX),Aeromexico Connect E190 (XA-ALR),Landed 17:06,2021-06-13
7,7,17:30 VB4074,,Monterrey (MTY),VivaAerobus A320 (XA-VAB),Landed 18:18,2021-06-13
8,8,18:15 VB1336,,Mexico City (MEX),VivaAerobus A320 (XA-VAN),Landed 18:03,2021-06-13
9,9,19:38,UA6375,Houston (IAH),United Express E75L (N87353),Landed 19:30,2021-06-13
10,10,19:50,AM2136,Mexico City (MEX),Aeromexico Connect E190 (XA-GAW),Landed 19:36,2021-06-13
11,11,19:54 AA3709,,Dallas (DFW),American Eagle E75L (N203NN),Landed 20:11,2021-06-13
12,12,20:27 Y4542,,Tijuana (TIJ),Volaris A20N (XA-VRJ),Landed 20:21,2021-06-13
13,13,21:50,AM2408,Mexico City (MEX),Aeromexico Connect E190 (XA-GAK),Landed 22:45,2021-06-13
0,0,07:07 Y4540,,Tijuana (TIJ),Volaris A20N (N530VL),Landed 06:55,2021-06-14
1,1,07:33,AM2046,Mexico City (MEX),Aeromexico Connect E190 (XA-AAC),Landed 07:14,2021-06-14
2,2,08:29 Y4266,,Merida (MID),Volaris A320 (N523VL),Landed 08:11,2021-06-14
3,3,08:35 RTU202,,Puerto Escondido (PXM),- CN1,Unknown,2021-06-14
4,4,10:16,AM2048,Mexico City (MEX),Aeromexico Connect E190 (XA-CAC),Landed 09:59,2021-06-14
5,5,10:35 RTU102,,Huatulco (HUX),- CN1,Unknown,2021-06-14
6,6,12:02 Y4764,,Mexico City (MEX),Volaris A320 (XA-VLM),Landed 11:44,2021-06-14
7,7,12:56,AM2098,Mexico City (MEX),Aeromexico Connect E190 (XA-MAC),Landed 12:49,2021-06-14
8,8,14:28,Y4134,Cancun (CUN),Volaris A319 (XA-VOI),Landed 14:43,2021-06-14
9,9,15:08,AM2044,Mexico City (MEX),Aeromexico Connect E190 (XA-GAR),Landed 15:53,2021-06-14
10,10,16:25 VB4074,,Monterrey (MTY),VivaAerobus A320 (EI-EUA),Landed 16:41,2021-06-14
11,11,17:18,AM2036,Mexico City (MEX),Aeromexico Connect E190 (XA-MAC),Landed 17:17,2021-06-14
12,12,18:15 VB1336,,Mexico City (MEX),VivaAerobus A20N (XA-VIO),Landed 18:15,2021-06-14
13,13,19:30,AM2136,Mexico City (MEX),Aeromexico Connect E190 (XA-ACM),Landed 19:26,2021-06-14
