,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,4:35 AM JTE7443,,Sydney (SYD),Cobham Aviation B463 (VH-NJF),Landed 5:35 AM,2021-06-11
1,1,4:35 AM QF7443,,Sydney (SYD),Cobham Aviation B463 (VH-NJF),Unknown,2021-06-11
2,2,7:20 AM,JQ400,Sydney (SYD),Jetstar Airways A320 (VH-XSJ),Landed 7:28 AM,2021-06-11
3,3,8:10 AM,VA725,Melbourne (MEL),Virgin Australia 73H,Unknown,2021-06-11
4,4,8:15 AM,JQ430,Melbourne (MEL),Jetstar Airways A320 (VH-VQP),Canceled,2021-06-11
5,5,8:35 AM,JQ408,Sydney (SYD),Jetstar Airways A321 (VH-VWW),Landed 8:28 AM,2021-06-11
6,6,8:40 AM,VA505,Sydney (SYD),Virgin Australia B738 (VH-YFR),Landed 8:44 AM,2021-06-11
7,7,9:30 AM,JQ404,Sydney (SYD),Jetstar Airways A320 (VH-VGP),Landed 9:19 AM,2021-06-11
8,8,9:50 AM ZL520,,Sydney (SYD),Regional Express B738 (VH-PAG),Landed 10:02 AM,2021-06-11
9,9,10:05 AM,JQ432,Melbourne (MEL),Jetstar Airways B788 (VH-VKH),Canceled,2021-06-11
10,10,10:15 AM,VA731,Melbourne (MEL),Virgin Australia 73H,Canceled,2021-06-11
11,11,10:35 AM ZL658,,Melbourne (MEL),Regional Express 738,Canceled,2021-06-11
12,12,10:35 AM,JQ454,Adelaide (ADL),Jetstar Airways A320 (VH-VGN),Landed 10:41 AM,2021-06-11
13,13,10:40 AM,VA511,Sydney (SYD),Virgin Australia B738 (VH-YFZ),Landed 10:32 AM,2021-06-11
14,14,10:45 AM,NZ187,Auckland (AKL),Air New Zealand A21N (ZK-NND),Landed 10:55 AM,2021-06-11
15,15,11:15 AM,VA733,Melbourne (MEL),Virgin Australia B738 (VH-VUK),Landed 11:04 AM,2021-06-11
16,16,11:35 AM,JQ420,Sydney (SYD),Jetstar Airways A320 (VH-XSJ),Landed 11:44 AM,2021-06-11
17,17,11:40 AM,JQ967,Cairns (CNS),Jetstar Airways A320 (VH-VFN),Landed 11:59 AM,2021-06-11
18,18,11:40 AM,VA1447,Adelaide (ADL),Virgin Australia B738 (VH-YIU),Landed 11:35 AM,2021-06-11
19,19,11:40 AM,VA515,Sydney (SYD),Virgin Australia B738 (VH-YQR),Landed 11:35 AM,2021-06-11
20,20,11:55 AM,QF594,Sydney (SYD),Qantas B738 (VH-VZA),Landed 11:52 AM,2021-06-11
21,21,12:00 PM,VA1687,Canberra (CBR),Virgin Australia B738 (VH-YFC),Landed 2:01 PM,2021-06-11
22,22,12:20 PM,JQ438,Melbourne (MEL),Jetstar Airways 320,Canceled,2021-06-11
23,23,12:40 PM,VA517,Sydney (SYD),Virgin Australia B738 (VH-YFV),Landed 1:01 PM,2021-06-11
24,24,1:20 PM,QF880,Melbourne (MEL),Qantas B738 (VH-XZM),Landed 12:59 PM,2021-06-11
25,25,1:35 PM,JQ134,Auckland (AKL),Jetstar Airways A320 (VH-VGR),Landed 1:27 PM,2021-06-11
26,26,1:40 PM,JQ412,Sydney (SYD),Jetstar Airways A320 (VH-VGP),Landed 1:36 PM,2021-06-11
27,27,1:40 PM,VA519,Sydney (SYD),Virgin Australia B738 (VH-YQM),Landed 1:46 PM,2021-06-11
28,28,1:50 PM ZL540,,Sydney (SYD),Regional Express B738 (VH-PAG),Landed 2:11 PM,2021-06-11
29,29,2:15 PM,VA741,Melbourne (MEL),Virgin Australia B738 (VH-VUZ),Canceled,2021-06-11
30,30,2:40 PM,VA523,Sydney (SYD),Virgin Australia B738 (VH-VUQ),Landed 2:35 PM,2021-06-11
31,31,3:15 PM,QF592,Sydney (SYD),Qantas B738 (VH-XZL),Landed 3:30 PM,2021-06-11
32,32,3:15 PM,VA743,Melbourne (MEL),Virgin Australia B738 (VH-YVD),Landed 3:09 PM,2021-06-11
33,33,3:25 PM QF1764,,Canberra (CBR),QantasLink B712 (VH-YQT),Landed 3:12 PM,2021-06-11
34,34,3:30 PM,JQ494,Newcastle (NTL),Jetstar Airways A320 (VH-VQL),Landed 3:27 PM,2021-06-11
35,35,3:40 PM,VA525,Sydney (SYD),Virgin Australia B738 (VH-YQR),Landed 3:50 PM,2021-06-11
36,36,3:55 PM,JQ418,Sydney (SYD),Jetstar Airways A320 (VH-VFH),Landed 3:51 PM,2021-06-11
37,37,4:15 PM,VA745,Melbourne (MEL),Virgin Australia B738 (VH-YIY),Canceled,2021-06-11
38,38,4:20 PM ZL680,,Melbourne (MEL),REX Regional Express B738 (VH-RQC),Landed 4:14 PM,2021-06-11
39,39,4:30 PM,JQ410,Sydney (SYD),Jetstar Airways A320 (VH-VFN),Landed 4:25 PM,2021-06-11
40,40,4:40 PM,VA527,Sydney (SYD),Virgin Australia B738 (VH-YIB),Landed 4:49 PM,2021-06-11
41,41,5:15 PM,VA749,Melbourne (MEL),Virgin Australia B738 (VH-VUL),Canceled,2021-06-11
42,42,5:20 PM,JQ434,Melbourne (MEL),Jetstar Airways B788 (VH-VKH),Canceled,2021-06-11
43,43,5:40 PM,VA531,Sydney (SYD),Virgin Australia B738 (VH-VOL),Landed 5:50 PM,2021-06-11
44,44,6:00 PM,JQ414,Sydney (SYD),Jetstar Airways A320 (VH-VGR),Landed 5:58 PM,2021-06-11
45,45,6:15 PM QF598,,Sydney (SYD),Qantas B738 (VH-VXN),Landed 6:17 PM,2021-06-11
46,46,6:15 PM,VA751,Melbourne (MEL),Virgin Australia 73H,Unknown,2021-06-11
47,47,6:40 PM,VA535,Sydney (SYD),Virgin Australia B738 (VH-YFK),Landed 6:45 PM,2021-06-11
48,48,7:00 PM,JQ424,Sydney (SYD),Jetstar Airways A321 (VH-VWT),Landed 7:23 PM,2021-06-11
49,49,7:05 PM,TL180,Townsville (TSV),Airnorth E170 (VH-ANO),Landed 6:48 PM,2021-06-11
50,50,7:15 PM,VA753,Melbourne (MEL),Virgin Australia B738 (VH-YFU),Canceled,2021-06-11
51,51,7:30 PM,JQ416,Sydney (SYD),Jetstar Airways A320 (VH-VFI),Landed 7:40 PM,2021-06-11
52,52,7:40 PM,VA539,Sydney (SYD),Virgin Australia B738 (VH-VUT),Landed 8:32 PM,2021-06-11
53,53,7:45 PM,JQ444,Melbourne (MEL),Jetstar Airways A320 (VH-VGQ),Landed 7:48 PM,2021-06-11
54,54,8:15 PM,VA755,Melbourne (MEL),Virgin Australia B738 (VH-YVD),Canceled,2021-06-11
55,55,8:35 PM,VA543,Sydney (SYD),Virgin Australia B738 (VH-YIW),Landed 8:38 PM,2021-06-11
56,56,8:40 PM,QF596,Sydney (SYD),Qantas B738 (VH-VZZ),Landed 8:34 PM,2021-06-11
57,57,8:45 PM,VA757,Melbourne (MEL),Virgin Australia B738 (VH-YFT),Canceled,2021-06-11
58,58,9:15 PM QF878,,Melbourne (MEL),Qantas 73H,Unknown,2021-06-11
59,59,9:15 PM,JQ442,Melbourne (MEL),Jetstar Airways A320 (VH-VFN),Canceled,2021-06-11
60,60,9:20 PM JQ695,,Hobart (HBA),Jetstar Airways A320 (VH-VGP),Landed 9:20 PM,2021-06-11
61,61,9:40 PM,VA545,Sydney (SYD),Virgin Australia B738 (VH-VUS),Landed 9:54 PM,2021-06-11
62,62,10:05 PM,JQ630,Melbourne (AVV),Jetstar Airways 320,Unknown,2021-06-11
63,63,10:40 PM,VA761,Melbourne (MEL),Virgin Australia B738 (VH-YVA),Canceled,2021-06-11
0,0,06:05,JQ983,Perth (PER),Jetstar Airways A320 (VH-VGR),Landed 06:29,2021-06-12
1,1,07:20,JQ400,Sydney (SYD),Jetstar Airways A320 (VH-VGU),Landed 07:14,2021-06-12
2,2,08:10,VA725,Melbourne (MEL),Virgin Australia 73H,Unknown,2021-06-12
3,3,08:15,JQ430,Melbourne (MEL),Jetstar Airways A320 (VH-VQH),Canceled,2021-06-12
4,4,08:35,JQ408,Sydney (SYD),Jetstar Airways A321 (VH-VWW),Landed 08:33,2021-06-12
5,5,08:40,VA505,Sydney (SYD),Virgin Australia B738 (VH-YIF),Landed 09:01,2021-06-12
6,6,09:30,JQ404,Sydney (SYD),Jetstar Airways A320 (VH-VFN),Landed 09:21,2021-06-12
7,7,09:40 VA509,,Sydney (SYD),Virgin Australia B738 (VH-YIB),Landed 09:38,2021-06-12
8,8,09:50 ZL520,,Sydney (SYD),Regional Express B738 (VH-RYU),Landed 09:47,2021-06-12
9,9,10:05,JQ432,Melbourne (MEL),Jetstar Airways B788 (VH-VKI),Canceled,2021-06-12
10,10,10:15,VA731,Melbourne (MEL),Virgin Australia 737,Canceled,2021-06-12
11,11,10:35 ZL658,,Melbourne (MEL),Regional Express 738,Unknown,2021-06-12
