,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:20,TP1928,Lisbon (LIS),TAP Air Portugal A20N (CS-TVH),Landed 23:57,2021-06-08
1,1,06:40 3V4958,,Liege (LGG),ASL Airlines Belgium B734 (OE-IAD),Landed 06:19,2021-06-08
2,2,07:00 UX1147,,Madrid (MAD),Air Europa Express E195 (EC-LFZ),Landed 06:53,2021-06-08
3,3,07:45,IB8776,Madrid (MAD),Iberia Regional CRJX (EC-MPA),Landed 07:37,2021-06-08
4,4,07:51 3V4724,,Toulouse (TLS),FedEx B738 (F-HIQD),Landed 07:34,2021-06-08
5,5,07:55,TP1926,Lisbon (LIS),TAP Express E195 (CS-TTX),Landed 07:45,2021-06-08
6,6,09:30 FR8865,,Budapest (BUD),Ryanair B738 (SP-RKW),Landed 09:28,2021-06-08
7,7,10:35,TP1710,Funchal (FNC),TAP Air Portugal A320 (CS-TNW),Landed 10:21,2021-06-08
8,8,10:40,KL1711,Amsterdam (AMS),KLM E190 (PH-EXD),Landed 10:38,2021-06-08
9,9,10:45,LH1782,Munich (MUC),Air Dolomiti (Star Alliance Livery) E195 (I-ADJV),Landed 10:34,2021-06-08
10,10,11:05,TP453,Paris (ORY),TAP Air Portugal A320 (CS-TNQ),Landed 10:58,2021-06-08
11,11,11:15,LH1176,Frankfurt (FRA),Lufthansa A20N (D-AINC),Landed 11:14,2021-06-08
12,12,11:30 FR9134,,Paris (BVA),Ryanair B738 (EI-GSH),Landed 11:29,2021-06-08
13,13,11:40,S4172,Ponta Delgada (PDL),Azores Airlines (Breathe Livery) A21N (CS-TSF),Landed 11:25,2021-06-08
14,14,11:40 FR8343,,London (STN),Ryanair B738 (EI-EVJ),Landed 11:21,2021-06-08
15,15,12:35 U27586,,Funchal (FNC),easyJet A320 (OE-INB),Landed 12:22,2021-06-08
16,16,13:15,TP1936,Lisbon (LIS),TAP Express E190 (CS-TPS),Landed 12:51,2021-06-08
17,17,13:35 TO3458,,Paris (ORY),Transavia B738 (F-HTVA),Landed 13:25,2021-06-08
18,18,14:05,LX2066,Zurich (ZRH),Swiss BCS1 (HB-JBB),Landed 13:44,2021-06-08
19,19,14:20,TP1331,London (LGW),TAP Air Portugal A20N (CS-TVH),Landed 13:58,2021-06-08
20,20,14:45 FR7465,,Tours (TUF),Ryanair B738 (EI-GXL),Landed 15:18,2021-06-08
21,21,15:15 W98113,,London (LTN),Wizz Air UK 32Q,Canceled,2021-06-08
22,22,15:30,AF1528,Paris (CDG),Air France A319 (F-GRXE),Landed 15:10,2021-06-08
23,23,16:25 FR2632,,Ponta Delgada (PDL),Ryanair B738 (EI-GXJ),Landed 16:00,2021-06-08
24,24,16:30 FR2928,,Brussels (BRU),Ryanair B738 (EI-ENB),Landed 16:19,2021-06-08
25,25,16:40 FR4507,,Bordeaux (BOD),Ryanair B738 (EI-EVJ),Landed 16:41,2021-06-08
26,26,16:45 U23521,,Manchester (MAN),easyJet A20N (G-UZHL),Landed 16:37,2021-06-08
27,27,16:45 FR9139,,Dole (DLE),Ryanair B738 (EI-GSH),Landed 17:09,2021-06-08
28,28,16:50 TO3406,,Paris (ORY),Transavia B738 (F-HTVB),Landed 16:55,2021-06-08
29,29,17:15 BA3383,,Madrid (MAD),British Airways 75F,Unknown,2021-06-08
30,30,17:20 U21455,,Geneva (GVA),easyJet A320 (OE-ICU),Landed 17:13,2021-06-08
31,31,17:35 FR4599,,Memmingen (FMM),Ryanair B738 (9H-QBO),Landed 17:31,2021-06-08
32,32,18:45 U21463,,Geneva (GVA),easyJet A320 (HB-JXM),Landed 18:32,2021-06-08
