,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,06:45 TX541,,Pointe-a-Pitre (PTP),Air Caraibes A359 (F-HHAV),Landed 06:32,2021-06-08
1,1,07:00,AF853,Cayenne (CAY),Air France B772 (F-GSPN),Landed 07:00,2021-06-08
2,2,07:15,AF841,Fort-de-France (FDF),Air France B77W (F-GSQS),Landed 07:08,2021-06-08
3,3,07:30,BF701,Saint-Denis (RUN),French bee A359 (F-HREN),Landed 07:28,2021-06-08
4,4,07:40 TX511,,Fort-de-France (FDF),Air Caraibes A359 (F-HTRE),Landed 07:33,2021-06-08
5,5,07:50 AF6103,,Toulouse (TLS),Air France A320 (F-HBNK),Landed 07:38,2021-06-08
6,6,07:55 CE120,,Limoges (LIG),Chalair Aviation AT75 (F-HAPL),Landed 07:41,2021-06-08
7,7,07:55 CE291,,Quimper (UIP),Chalair Aviation B190 (F-HBCJ),Landed 07:52,2021-06-08
8,8,08:00 AF6201,,Nice (NCE),Air France A319 (F-GRXB),Landed 07:40,2021-06-08
9,9,08:00 T781,,Le Puy (LPY),Twin Jet B190 (F-GRYL),Landed 08:06,2021-06-08
10,10,08:10 AF7471,,Perpignan (PGF),Air France A318 (F-GUGM),Landed 07:50,2021-06-08
11,11,08:15 AF7615,,Castres (DCM),Amelia International E145 (F-HOXY),Landed 08:00,2021-06-08
12,12,08:15 TO4445,,Toulon (TLN),Transavia B738 (F-HTVO),Landed 07:54,2021-06-08
13,13,08:20 AF6105,,Toulouse (TLS),Air France A321 (F-GMZD),Landed 08:01,2021-06-08
14,14,08:20 AF7451,,Pau (PUF),Air France A318 (F-GUGL),Landed 08:05,2021-06-08
15,15,08:25 AF7599,,Aurillac (AUR),Amelia International AT45 (F-HLIA),Landed 08:03,2021-06-08
16,16,08:25 AF7603,,Brive (BVE),Amelia International E145 (S5-ACJ),Landed 08:10,2021-06-08
17,17,08:30 AF1863,,Tarbes (LDE),Amelia International E145 (F-HRGD),Landed 08:08,2021-06-08
18,18,08:30 AF6003,,Marseille (MRS),Air France A318 (F-GUGP),Landed 08:23,2021-06-08
19,19,08:35 B0101,,New York (EWR),La Compagnie 321,Unknown,2021-06-08
20,20,08:35,XK770,Ajaccio (AJA),Air Corsica A320 (F-HZGS),Landed 08:25,2021-06-08
21,21,08:35,XK780,Bastia (BIA),Air Corsica A20N (F-HXKB),Landed 08:13,2021-06-08
22,22,08:40 AF7539,,Montpellier (MPL),Air France A318 (F-GUGC),Landed 08:20,2021-06-08
23,23,08:45,XK752,Figari (FSC),Air Corsica A320 (F-HBSA),Landed 08:32,2021-06-08
24,24,09:00 AF6203,,Nice (NCE),Air France A320 (F-HBND),Landed 08:40,2021-06-08
25,25,09:05,UX1027,Madrid (MAD),Air Europa B738 (EC-LXV),Landed 09:09,2021-06-08
26,26,09:10 AF671,,Saint-Denis (RUN),Air France B77W (F-GZNG),Landed 08:50,2021-06-08
27,27,09:10,TP452,Porto (OPO),TAP Air Portugal A320 (CS-TNQ),Landed 09:07,2021-06-08
28,28,09:30,IB3402,Madrid (MAD),Iberia A321 (EC-JQZ),Landed 09:19,2021-06-08
29,29,10:00 U24024,,Toulouse (TLS),easyJet A320 (OE-IJS),Landed 09:43,2021-06-08
30,30,10:15 SS866,,Fort-de-France (FDF),Corsair A339 (F-HRNB),Landed 10:02,2021-06-08
31,31,10:20 AF6005,,Marseille (MRS),Air France A319 (F-GRHE),Landed 10:01,2021-06-08
