,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:10 W64682,,Alicante (ALC),Wizz Air 320,Unknown,2021-06-08
1,1,07:30 WF180,,Forde (FDE),Wideroe DH8B (LN-WSC),Landed 07:10,2021-06-08
2,2,07:50 SK238,,Bergen (BGO),SAS (Star Alliance Livery) B738 (LN-RRW),Landed 07:39,2021-06-08
3,3,07:55 FL131,,Roros (RRS),Air Leap SF3,Canceled,2021-06-08
4,4,07:55 SK341,,Trondheim (TRD),SAS B737 (LN-RRA),Landed 07:35,2021-06-08
5,5,07:55 SK4004,,Stavanger (SVG),SAS B737 (LN-TUJ),Landed 07:34,2021-06-08
6,6,07:55 WF141,,Sogndal (SOG),Wideroe DH1,Unknown,2021-06-08
7,7,08:00 DX541,,Stord (SRP),Danish Air Transport AT43 (OY-JRJ),Landed 07:43,2021-06-08
8,8,08:10,WF122,Floro (FRO),Wideroe DH8A (LN-WIE),Landed 07:47,2021-06-08
9,9,08:55 DY607,,Bergen (BGO),Norwegian B738 (SE-RPT),Landed 08:31,2021-06-08
10,10,09:00 5C902,,Liege (LGG),CAL Cargo Airlines B744 (4X-ICB),Diverted to TLV,2021-06-08
11,11,09:20,SK1462,Copenhagen (CPH),SAS A20N (SE-ROB),Landed 09:07,2021-06-08
12,12,09:35 SK210,,Kristiansand (KRS),SAS B737 (LN-RRB),Landed 09:19,2021-06-08
13,13,10:05 DY527,,Stavanger (SVG),Norwegian B738 (SE-RPM),Landed 09:57,2021-06-08
14,14,10:05,SK1315,Alesund (AES),SAS A20N (SE-ROL),Landed 10:02,2021-06-08
15,15,10:10 LO481,,Warsaw (WAW),LOT E75S (SP-LIN),Landed 10:17,2021-06-08
16,16,10:15 SK252,,Bergen (BGO),SAS B737 (LN-TUL),Landed 10:04,2021-06-08
17,17,10:25,SK347,Trondheim (TRD),SAS A20N (SE-ROJ),Landed 10:15,2021-06-08
18,18,10:30 KE541,,Vienna (VIE),Korean Air Cargo B77L (HL8043),Landed 10:43,2021-06-08
19,19,10:30,SK311,Haugesund (HAU),SAS B737 (LN-RNW),Landed 10:09,2021-06-08
20,20,10:30 SK4014,,Stavanger (SVG),SAS B737 (SE-REX),Landed 10:27,2021-06-08
21,21,10:35 WF184,,Forde (FDE),Wideroe DH8A (LN-WIF),Landed 10:23,2021-06-08
