,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,07:55 D6217,,Santo Domingo (JBQ),Interair South Africa J32,Unknown,2021-05-09
1,1,07:55,S6217,Santo Domingo (JBQ),Sunrise Airways J32,Unknown,2021-05-09
2,2,08:13 NK951,,Fort Lauderdale (FLL),Spirit Airlines A320 (N655NK),Landed 07:56,2021-05-09
3,3,08:35,S611,Cap-Haitien (CAP),Sunrise Airways J32,Unknown,2021-05-09
4,4,08:52 B61709,,Fort Lauderdale (FLL),JetBlue Airways A320 (N594JB),Unknown,2021-05-09
5,5,09:07 AA426,,Fort Lauderdale (FLL),American Airlines B38M (N343RY),Landed 08:29,2021-05-09
6,6,10:13 B6935,,New York (JFK),JetBlue Airways A321 (N950JT),Unknown,2021-05-09
7,7,11:00,S631,Les Cayes (CYA),Sunrise Airways J32,Unknown,2021-05-09
8,8,12:46 B6309,,Fort Lauderdale (FLL),JetBlue Airways A320 (N503JB),Unknown,2021-05-09
9,9,13:03 AA949,,Miami (MIA),American Airlines B738 (N904NN),Landed 13:05,2021-05-09
10,10,13:20 JY216,,Cap-Haitien (CAP),InterCaribbean Airways E120 (VQ-TAG),Unknown,2021-05-09
11,11,14:24 AA2928,,Miami (MIA),American Airlines B38M (N323RM),Landed 14:04,2021-05-09
12,12,14:30 B61147,,Boston (BOS),JetBlue Airways A320,Canceled,2021-05-09
13,13,16:09 B6409,,Fort Lauderdale (FLL),JetBlue Airways A320 (N663JB),Landed 18:21,2021-05-09
14,14,16:55,S617,Cap-Haitien (CAP),Sunrise Airways J32,Unknown,2021-05-09
15,15,17:00,S62217,Santo Domingo (JBQ),Sunrise Airways J32,Unknown,2021-05-09
0,0,07:30,Y2131,Santo Domingo (JBQ),Air Century CRJ2 (HI1058),Landed 08:23,2021-05-10
1,1,07:55 D6217,,Santo Domingo (JBQ),Interair South Africa J32,Unknown,2021-05-10
2,2,07:55,S6217,Santo Domingo (JBQ),Sunrise Airways J32,Unknown,2021-05-10
3,3,08:13 NK951,,Fort Lauderdale (FLL),Spirit Airlines A320 (N621NK),Landed 08:09,2021-05-10
4,4,08:35,S611,Cap-Haitien (CAP),Sunrise Airways J32,Unknown,2021-05-10
5,5,08:52 B61709,,Fort Lauderdale (FLL),JetBlue Airways A320 (N663JB),Landed 08:45,2021-05-10
6,6,09:07 AA426,,Fort Lauderdale (FLL),American Airlines B738 (N808NN),Landed 08:34,2021-05-10
7,7,10:13 B6935,,New York (JFK),JetBlue Airways A321 (N958JB),Landed 09:56,2021-05-10
8,8,10:30 M68111,,Miami (MIA),Amerijet International 76F,Unknown,2021-05-10
9,9,10:35,S623,Jeremie (JEE),Sunrise Airways J32,Unknown,2021-05-10
10,10,11:00 S631,,Les Cayes (CYA),Sunrise Airways J32,Unknown,2021-05-10
11,11,11:49 Y2450,,Santo Domingo (JBQ),Air Century JS32 (HI860),Landed 12:33,2021-05-10
12,12,12:00 M68133,,Miami (MIA),Titan Airways A321 (G-NIKO),Landed 09:02,2021-05-10
13,13,12:46,B6309,Fort Lauderdale (FLL),JetBlue Airways A320 (N503JB),Landed 13:19,2021-05-10
14,14,13:00,S615,Cap-Haitien (CAP),Sunrise Airways J32,Unknown,2021-05-10
15,15,13:03 AA949,,Miami (MIA),American Airlines B38M (N324RA),Landed 12:50,2021-05-10
16,16,13:24 II701,,Miami (MIA),IBC Airways SF34 (N691BC),Landed 13:11,2021-05-10
17,17,14:24 AA2928,,Miami (MIA),American Airlines B38M (N303RG),Landed 14:07,2021-05-10
18,18,14:30,Y2133,Santo Domingo (JBQ),Air Century JS32 (HI860),Landed 17:07,2021-05-10
19,19,14:30 B61147,,Boston (BOS),JetBlue Airways A320,Canceled,2021-05-10
20,20,16:09,B6409,Fort Lauderdale (FLL),JetBlue Airways A320,Canceled,2021-05-10
21,21,16:55,S617,Cap-Haitien (CAP),Sunrise Airways J32,Unknown,2021-05-10
22,22,17:00 D62217,,Santo Domingo (JBQ),Interair South Africa J32,Unknown,2021-05-10
23,23,17:00,S62217,Santo Domingo (JBQ),Sunrise Airways J32,Unknown,2021-05-10
0,0,07:55 D6217,,Santo Domingo (JBQ),Interair South Africa J32,Unknown,2021-05-11
1,1,07:55,S6217,Santo Domingo (JBQ),Sunrise Airways J32,Unknown,2021-05-11
2,2,08:13 NK951,,Fort Lauderdale (FLL),Spirit Airlines A320 (N614NK),Landed 07:58,2021-05-11
3,3,08:35,S611,Cap-Haitien (CAP),Sunrise Airways J32,Unknown,2021-05-11
4,4,08:52 B61709,,Fort Lauderdale (FLL),JetBlue Airways (I ♥ NY Livery) A320 (N586JB),Landed 08:42,2021-05-11
5,5,09:07 AA426,,Fort Lauderdale (FLL),American Airlines B738 (N808NN),Landed 08:53,2021-05-11
6,6,10:13 B6935,,New York (JFK),JetBlue Airways A321 (N999JQ),Landed 09:57,2021-05-11
7,7,10:35 D631,,Les Cayes (CYA),Interair South Africa J32,Unknown,2021-05-11
8,8,11:00,S631,Les Cayes (CYA),Sunrise Airways J32,Unknown,2021-05-11
9,9,12:46,B6309,Fort Lauderdale (FLL),JetBlue Airways A320 (N655JB),Landed 12:39,2021-05-11
10,10,13:00 JY216,,Providenciales (PLS),InterCaribbean Airways EM2,Canceled,2021-05-11
11,11,13:00,S615,Cap-Haitien (CAP),Sunrise Airways J32,Unknown,2021-05-11
12,12,13:03 AA949,,Miami (MIA),American Airlines B738 (N859NN),Landed 12:46,2021-05-11
13,13,14:24 AA2928,,Miami (MIA),American Airlines B738 (N893NN),Landed 14:07,2021-05-11
14,14,14:30 B61147,,Boston (BOS),JetBlue Airways A320 (N552JB),Landed 14:29,2021-05-11
15,15,16:09,B6409,Fort Lauderdale (FLL),JetBlue Airways A320,Canceled,2021-05-11
16,16,16:55,S617,Cap-Haitien (CAP),Sunrise Airways J32,Unknown,2021-05-11
17,17,17:00 D62217,,Santo Domingo (JBQ),Interair South Africa J32,Unknown,2021-05-11
18,18,17:00,S62217,Santo Domingo (JBQ),Sunrise Airways J32,Unknown,2021-05-11
0,0,07:30,Y2131,Santo Domingo (JBQ),Air Century JS32 (HI860),Landed 08:33,2021-05-12
1,1,07:55 D6217,,Santo Domingo (JBQ),Interair South Africa J32,Unknown,2021-05-12
2,2,07:55,S6217,Santo Domingo (JBQ),Sunrise Airways J32,Unknown,2021-05-12
3,3,08:13 NK951,,Fort Lauderdale (FLL),Spirit Airlines A320 (N639NK),Landed 07:59,2021-05-12
4,4,08:35,S611,Cap-Haitien (CAP),Sunrise Airways J32,Unknown,2021-05-12
5,5,08:52 B61709,,Fort Lauderdale (FLL),JetBlue Airways (I ♥ NY Livery) A320 (N586JB),Landed 08:48,2021-05-12
6,6,09:05 4J500,,Willemstad (CUR),FlyDamas F70,Unknown,2021-05-12
7,7,09:07 AA426,,Fort Lauderdale (FLL),American Airlines B738 (N934NN),Landed 08:35,2021-05-12
8,8,10:13 B6935,,New York (JFK),JetBlue Airways A321 (N998JE),Unknown,2021-05-12
9,9,10:35,S623,Jeremie (JEE),Sunrise Airways J32,Unknown,2021-05-12
10,10,10:55 S631,,Les Cayes (CYA),Sunrise Airways J32,Unknown,2021-05-12
11,11,12:46 B6309,,Fort Lauderdale (FLL),JetBlue Airways A320 (N561JB),Landed 13:20,2021-05-12
