,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,07:35 G8143,,Delhi (DEL),Go Air 32A,Canceled,2021-06-08
1,1,08:15 6E6145,,Delhi (DEL),IndiGo A20N (VT-IJL),Landed 07:52,2021-06-08
2,2,08:25 SG3723,,Guwahati (GAU),SpiceJet DH8D (VT-SUS),Unknown,2021-06-08
3,3,08:50 SG258,,Mumbai (BOM),SpiceJet B738 (VT-SZJ),Unknown,2021-06-08
4,4,09:10 SG8721,,Delhi (DEL),SpiceJet B737 (VT-SLA),Unknown,2021-06-08
5,5,10:00 G88023,,Delhi (DEL),Go Air 32A,Canceled,2021-06-08
6,6,10:10 SG731,,Hyderabad (HYD),SpiceJet 737,Unknown,2021-06-08
7,7,10:20 AI673,,Mumbai (BOM),Air India A20N (VT-CID),Landed 10:08,2021-06-08
8,8,10:55 G88012,,Bengaluru (BLR),Go Air 32A,Canceled,2021-06-08
9,9,11:10 G88053,,Hyderabad (HYD),Go Air 32A,Canceled,2021-06-08
10,10,11:15 6E255,,Bengaluru (BLR),IndiGo A20N (VT-IVI),Landed 10:41,2021-06-08
11,11,11:35 6E5373,,Mumbai (BOM),IndiGo A20N (VT-ITX),Landed 10:59,2021-06-08
12,12,12:10 AI409,,Delhi (DEL),Air India A320 (VT-EXB),Landed 11:57,2021-06-08
13,13,12:30 G82511,,Delhi (DEL),GoAir A20N (VT-WJE),Landed 12:36,2021-06-08
14,14,12:50 6E6917,,Kolkata (CCU),IndiGo A20N (VT-IZF),Landed 12:30,2021-06-08
15,15,13:35 G8351,,Mumbai (BOM),Go Air 32A,Canceled,2021-06-08
16,16,13:40 SG757,,Pune (PNQ),SpiceJet B738 (VT-SGJ),Landed 13:31,2021-06-08
17,17,13:55 SG376,,Mumbai (BOM),SpiceJet 737,Unknown,2021-06-08
18,18,14:05 G8131,,Delhi (DEL),Go Air 32A,Canceled,2021-06-08
19,19,14:10 G88033,,Ahmedabad (AMD),Go Air 32A,Canceled,2021-06-08
20,20,14:20 6E657,,Delhi (DEL),IndiGo A20N (VT-IJL),Landed 14:35,2021-06-08
21,21,14:35 G8873,,Bengaluru (BLR),GoAir A20N (VT-WGR),Landed 14:15,2021-06-08
22,22,14:35 SG3724,,Amritsar (ATQ),SpiceJet DH8D (VT-SUS),Unknown,2021-06-08
23,23,15:00 SG547,,Chennai (MAA),SpiceJet 737,Unknown,2021-06-08
24,24,15:20 AI407,,Delhi (DEL),Air India A20N (VT-EXV),Landed 15:13,2021-06-08
25,25,15:30 G88025,,Delhi (DEL),Go Air 32A,Canceled,2021-06-08
26,26,15:55 6E5066,,Delhi (DEL),IndiGo A20N (VT-IVM),Landed 15:44,2021-06-08
27,27,16:15 SG954,,Ahmedabad (AMD),SpiceJet B738 (VT-SYA),Landed 16:17,2021-06-08
28,28,16:20 G88055,,Hyderabad (HYD),Go Air 32A,Canceled,2021-06-08
29,29,16:25 6E6148,,Hyderabad (HYD),IndiGo A20N (VT-ITA),Landed 16:08,2021-06-08
30,30,16:40 SG768,,Bengaluru (BLR),SpiceJet 737,Canceled,2021-06-08
31,31,17:00 AI726,,Amritsar (ATQ),Air India A20N (VT-CID),Landed 16:43,2021-06-08
32,32,17:55 SG3725,,Jharsuguda (JRG),SpiceJet DH8,Unknown,2021-06-08
33,33,18:20 G8231,,Delhi (DEL),GoAir A20N (VT-WJF),Landed 18:20,2021-06-08
34,34,18:45 AI415,,Delhi (DEL),Air India A320 (VT-EDC),Landed 18:00,2021-06-08
