,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:06,AA3257,Los Angeles (LAX),American Eagle CRJ7 (N707EV),Landed 01:00,2021-06-08
1,1,00:37,AA2224,Dallas (DFW),American Airlines A321 (N920US),Canceled,2021-06-08
2,2,00:37,,Crescent City (CEC),- BE20 (N912MF),Landed 00:22,2021-06-08
3,3,00:49 SY3052,,Fairbanks (FAI),Amazon Air B738 (N7907A),Landed 00:49,2021-06-08
4,4,02:34 5Y3785,,Wilmington (ILN),Amazon Air B763 (N1489A),Landed 02:22,2021-06-08
5,5,02:45 5Y3794,,Anchorage (ANC),Amazon Air B763 (N1321A),Landed 02:45,2021-06-08
6,6,04:04 FX1857,,Oakland (OAK),FedEx MD11 (N621FE),Landed 04:28,2021-06-08
7,7,04:21 5X970,,Chicago (RFD),UPS Airlines B763 (N372UP),Landed 04:07,2021-06-08
8,8,04:23 5X972,,Ontario (ONT),UPS MD11 (N270UP),Landed 04:12,2021-06-08
9,9,04:48 FX1415,,Memphis (MEM),FedEx MD11 (N591FE),Landed 06:14,2021-06-08
10,10,04:51 5X974,,Louisville (SDF),UPS B763 (N342UP),Landed 05:21,2021-06-08
11,11,05:00,AS2078,Anchorage (ANC),Alaska Horizon E75L (N638QX),Landed 04:46,2021-06-08
12,12,05:00 FX1779,,Indianapolis (IND),FedEx B752 (N798FD),Landed 05:16,2021-06-08
13,13,05:23 5X980,,Salt Lake City (SLC),UPS B752 (N455UP),Landed 05:09,2021-06-08
14,14,06:55 AS2596,,Seattle (SEA),Alaska Horizon E75L (N637QX),Landed 06:35,2021-06-08
15,15,07:50 WN4013,,Denver (DEN),Southwest Airlines B738 (N8320J),Landed 07:29,2021-06-08
16,16,07:53 AS720,,Seattle (SEA),Alaska Airlines A320 (N837VA),Landed 07:25,2021-06-08
17,17,08:07,AS3412,Boise (BOI),Alaska SkyWest E75L (N191SY),Landed 07:51,2021-06-08
18,18,08:10 A81918,,-,Ameriflight B190 (N7203C),Landed 07:58,2021-06-08
19,19,08:28 AS565,,Los Angeles (LAX),Alaska Airlines A320 (N847VA),Landed 07:54,2021-06-08
20,20,08:28,DL3555,Seattle (SEA),Delta Connection E75L (N280SY),Landed 08:10,2021-06-08
21,21,08:39 AS2264,,Seattle (SEA),Alaska Horizon (Washington State Cougars Livery) DH8D (N401QX),Landed 08:25,2021-06-08
22,22,09:00,DL1377,Salt Lake City (SLC),Delta Air Lines B739 (N851DN),Landed 08:40,2021-06-08
23,23,09:00 WN5625,,Oakland (OAK),Southwest Airlines B737 (N231WN),Landed 08:32,2021-06-08
24,24,09:04,DL3542,Los Angeles (LAX),Delta Connection E75L (N307SY),Landed 08:48,2021-06-08
25,25,09:06,AS2098,Medford (MFR),Alaska Horizon DH8D (N450QX),Landed 08:46,2021-06-08
26,26,09:15 AS1365,,Las Vegas (LAS),Alaska Airlines B738 (N551AS),Landed 09:07,2021-06-08
27,27,09:20 QX9740,,Seattle (SEA),Alaska Horizon DH8D (N405QX),Landed 09:20,2021-06-08
28,28,09:27,AS2181,Spokane (GEG),Alaska Horizon E75L (N639QX),Landed 09:24,2021-06-08
29,29,09:30,AS2477,Santa Ana (SNA),Alaska Horizon E75L (N620QX),Landed 09:09,2021-06-08
30,30,09:31 AS383,,San Francisco (SFO),Alaska Airlines A320 (N848VA),Landed 08:59,2021-06-08
31,31,09:35 AS1175,,Phoenix (PHX),Alaska Airlines B738 (N526AS),Landed 09:23,2021-06-08
32,32,09:35 UA242,,Denver (DEN),United Airlines A320 (N411UA),Landed 09:22,2021-06-08
