,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,12:55 AM JQ970,,Melbourne (MEL),Jetstar Airways 320,Canceled,2021-06-11
1,1,4:25 AM QF7309,,Melbourne (MEL),Qantas 75F,Unknown,2021-06-11
2,2,4:25 AM QF7359,,Melbourne (MEL),Qantas Freight B734 (VH-XNH),Landed 5:19 AM,2021-06-11
3,3,5:10 AM,SQ225,Singapore (SIN),Singapore Airlines B78X (9V-SCH),Landed 4:49 AM,2021-06-11
4,4,5:20 AM QF7349,,Sydney (SYD),Qantas Freight A321 (VH-ULD),Landed 9:07 AM,2021-06-11
5,5,6:00 AM QF7326,,Melbourne (MEL),Qantas 332,Unknown,2021-06-11
6,6,6:05 AM VA9563,,Melbourne (MEL),Virgin Australia 73Y,Unknown,2021-06-11
7,7,7:40 AM ZL2112,,Albany (ALH),REX Regional Express SF34 (VH-ZRL),Landed 7:58 AM,2021-06-11
8,8,8:01 AM,VA713,Adelaide (ADL),Virgin Australia B738 (VH-YIS),Landed 7:27 AM,2021-06-11
9,9,8:05 AM ZL2356,,Esperance (EPR),REX Regional Express SF34 (VH-ZRZ),Landed 8:14 AM,2021-06-11
10,10,8:50 AM,QF883,Adelaide (ADL),Qantas B738 (VH-VZR),Landed 8:41 AM,2021-06-11
11,11,9:15 AM JQ972,,Melbourne (MEL),Jetstar Airways 321,Canceled,2021-06-11
12,12,9:30 AM,QF1607,Kalgoorlie (KGI),QantasLink F100 (VH-NQE),Landed 9:12 AM,2021-06-11
13,13,9:35 AM,QF1617,Paraburdoo (PBO),QantasLink F100 (VH-NHG),Landed 9:19 AM,2021-06-11
14,14,9:40 AM,QF1613,Geraldton (GET),QantasLink F100 (VH-NHF),Landed 9:37 AM,2021-06-11
15,15,9:45 AM VA9466,,Woodie Woodie (WWI),Virgin Australia F100 (VH-FNR),Landed 9:52 AM,2021-06-11
16,16,9:55 AM,QF933,Brisbane (BNE),Qantas B738 (VH-XZO),Landed 9:55 AM,2021-06-11
17,17,9:55 AM,VA1852,Kalgoorlie (KGI),Virgin Australia B738 (VH-YIQ),Landed 9:47 AM,2021-06-11
18,18,10:00 AM,QF1825,Karratha (KTA),QantasLink A320 (VH-UVK),Landed 9:40 AM,2021-06-11
19,19,10:15 AM VA9218,,Boolgeeda (OCM),Virgin Australia F100 (VH-FWH),Landed 11:23 AM,2021-06-11
20,20,10:20 AM QF1691,,Christmas Creek Mine (CKW),QantasLink F100 (VH-NHK),Landed 10:09 AM,2021-06-11
21,21,10:20 AM QF1357,,Ginbata (GBW),Qantas B738 (VH-XZI),Landed 10:14 AM,2021-06-11
22,22,10:25 AM,QF1641,Port Hedland (PHE),QantasLink F100 (VH-NHM),Landed 10:22 AM,2021-06-11
23,23,10:25 AM,QF1803,Newman (ZNE),QantasLink A320 (VH-UVO),Landed 10:36 AM,2021-06-11
24,24,10:25 AM VA9272,,West Angelas (WLP),Virgin Australia A320 (VH-VNJ),Landed 10:25 AM,2021-06-11
25,25,10:30 AM,VA1876,Newman (ZNE),Virgin Australia A320 (VH-VNB),Landed 10:31 AM,2021-06-11
26,26,10:40 AM,VA679,Melbourne (MEL),Virgin Australia B738 (VH-YFK),Canceled,2021-06-11
27,27,10:40 AM,QF1619,Paraburdoo (PBO),QantasLink F100 (VH-NHJ),Landed 10:28 AM,2021-06-11
28,28,10:45 AM QF1389,,Solomon (SLJ),Qantas B738 (VH-VZV),Landed 10:33 AM,2021-06-11
29,29,10:50 AM VA9428,,Boolgeeda (OCM),Virgin Australia F100 (VH-FNU),Landed 10:46 AM,2021-06-11
30,30,11:00 AM,QF1827,Karratha (KTA),QantasLink A320 (VH-VQU),Landed 10:52 AM,2021-06-11
31,31,11:15 AM,VA1840,Port Hedland (PHE),Virgin Australia F100 (VH-FNY),Landed 11:13 AM,2021-06-11
32,32,11:20 AM,QF643,Sydney (SYD),Qantas A332 (VH-EBE),Landed 11:18 AM,2021-06-11
33,33,11:20 AM VA9052,,Boolgeeda (OCM),Virgin Australia F100 (VH-FNC),Canceled,2021-06-11
34,34,11:20 AM VA9922,,Boolgeeda (OCM),Virgin Australia F100 (VH-FNC),Landed 12:38 PM,2021-06-11
35,35,11:25 AM ZL2114,,Albany (ALH),REX Regional Express SF34 (VH-ZRZ),Landed 11:37 AM,2021-06-11
36,36,11:30 AM QF1393,,Solomon (SLJ),Qantas B738 (VH-VXK),Landed 11:07 AM,2021-06-11
37,37,11:35 AM,QF1601,Learmonth (LEA),QantasLink A320 (VH-UVJ),Landed 11:29 AM,2021-06-11
38,38,11:40 AM,QF773,Melbourne (MEL),Qantas A332 (VH-EBK),Landed 11:26 AM,2021-06-11
39,39,11:40 AM,VA1724,Karratha (KTA),Virgin Australia B738 (VH-YIZ),Landed 11:44 AM,2021-06-11
40,40,11:45 AM QF1643,,Port Hedland (PHE),QantasLink A320 (VH-UVP),Landed 11:32 AM,2021-06-11
41,41,11:55 AM ZL2358,,Esperance (EPR),REX Regional Express SF34 (VH-ZRL),Landed 12:15 PM,2021-06-11
42,42,12:05 PM ZL2417,,Carnarvon (CVQ),REX Regional Express SF34 (VH-ZRH),Landed 12:04 PM,2021-06-11
43,43,12:25 PM QF935,,Brisbane (BNE),Qantas B738 (VH-VZQ),Landed 12:25 PM,2021-06-11
44,44,12:30 PM VA555,,Sydney (SYD),Virgin Australia B738 (VH-YID),Landed 12:11 PM,2021-06-11
45,45,12:50 PM VA464,,Brisbane (BNE),Virgin Australia B738 (VH-YIH),Landed 12:44 PM,2021-06-11
46,46,1:00 PM QF1653,,Broome (BME),QantasLink A320 (VH-JQX),Landed 1:15 PM,2021-06-11
47,47,1:10 PM VA681,,Melbourne (MEL),Virgin Australia B738 (VH-VUW),Landed 12:47 PM,2021-06-11
48,48,1:20 PM QF645,,Sydney (SYD),Qantas B789 (VH-ZNA),Landed 1:00 PM,2021-06-11
49,49,2:00 PM NZ175,,Auckland (AKL),Air New Zealand B789 (ZK-NZM),Landed 2:32 PM,2021-06-11
50,50,2:05 PM QF851,,Darwin (DRW),Qantas B738 (VH-VXF),Landed 2:15 PM,2021-06-11
51,51,2:40 PM QF775,,Melbourne (MEL),Qantas 333,Unknown,2021-06-11
52,52,2:50 PM JQ986,,Sydney (SYD),Jetstar Airways A321 (VH-VWN),Landed 2:45 PM,2021-06-11
53,53,2:55 PM ZL2126,,Albany (ALH),REX Regional Express SF34 (VH-ZRZ),Landed 2:49 PM,2021-06-11
54,54,3:05 PM SQ223,,Singapore (SIN),Singapore Airlines B78X (9V-SCB),Landed 2:36 PM,2021-06-11
55,55,3:20 PM QF647,,Sydney (SYD),Qantas A332 (VH-EBC),Landed 3:07 PM,2021-06-11
56,56,3:30 PM,QF1811,Newman (ZNE),QantasLink F100 (VH-NHJ),Landed 3:37 PM,2021-06-11
57,57,3:35 PM,VA557,Sydney (SYD),Virgin Australia B738 (VH-YIG),Landed 3:48 PM,2021-06-11
58,58,4:15 PM,QF1655,Broome (BME),QantasLink A320 (VH-JQL),Landed 4:23 PM,2021-06-11
59,59,4:25 PM,QF941,Brisbane (BNE),Qantas B738 (VH-VZK),Landed 4:18 PM,2021-06-11
60,60,4:35 PM,QF777,Melbourne (MEL),Qantas 332,Unknown,2021-06-11
61,61,5:00 PM HK1934,,Mount Magnet (MMG),- DH1,Unknown,2021-06-11
