,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:10 FR7184,,Hamburg (HAM),Lauda Europe A320 (9H-LOZ),Landed 00:25,2021-06-08
1,1,00:25 FR6368,,Barcelona (BCN),Ryanair B738 (EI-DLK),Landed 00:16,2021-06-08
2,2,00:45 FR8497,,Billund (BLL),Ryanair B738 (EI-DYE),Landed 00:39,2021-06-08
3,3,02:15 WT118,,Madrid (MAD),Swiftair AT43 (EC-JBN),Landed 03:35,2021-06-08
4,4,02:45 WT100,,Madrid (MAD),Swiftair ATF,Unknown,2021-06-08
5,5,03:15 WT116,,Madrid (MAD),Swiftair ATF,Unknown,2021-06-08
6,6,04:15 WT109,,Barcelona (BCN),Swiftair EM2,Unknown,2021-06-08
7,7,04:35 WT102,,Madrid (MAD),Swiftair ATF,Unknown,2021-06-08
8,8,05:30 WT112,,Barcelona (BCN),Swiftair EM2,Unknown,2021-06-08
9,9,05:35 WT101,,Madrid (MAD),Swiftair AT75 (EC-MIY),Landed 06:06,2021-06-08
10,10,06:50 DE1502,,Frankfurt (FRA),Condor B753 (D-ABOE),Landed 06:45,2021-06-08
11,11,07:10 V73971,,Toulouse (TLS),Volotea A319 (EC-NDG),Landed 06:57,2021-06-08
12,12,07:45 IB8481,,Mahon (MAH),Iberia Regional CRJX (EC-MTO),Landed 07:34,2021-06-08
13,13,07:55 X32128,,Frankfurt (FRA),TUI (TUI Blue Livery) B738 (D-ABKM),Landed 07:38,2021-06-08
14,14,07:55 X32714,,Stuttgart (STR),TUI B738 (D-ATUO),Landed 07:40,2021-06-08
15,15,08:00 DE1526,,Leipzig (LEJ),Condor A321 (D-AIAC),Landed 07:43,2021-06-08
16,16,08:10 WT7770,,Ibiza (IBZ),Swiftair AT7,Unknown,2021-06-08
17,17,08:15 IB8511,,Ibiza (IBZ),Iberia Regional CRJX (EC-MSL),Landed 08:04,2021-06-08
18,18,08:15 FR8664,,Cologne (CGN),Ryanair B738 (EI-ENW),Landed 08:00,2021-06-08
19,19,08:15 X32312,,Dusseldorf (DUS),TUI B738 (D-ATUK),Landed 07:53,2021-06-08
20,20,08:20 DE1514,,Dusseldorf (DUS),Condor A320 (D-AICG),Landed 07:56,2021-06-08
21,21,08:25 TB1441,,Ostend (OST),TUI B738 (OO-JAY),Landed 08:20,2021-06-08
22,22,08:35 IB3918,,Madrid (MAD),Iberia Express A320 (EC-LUS),Landed 08:14,2021-06-08
23,23,08:40 FR104,,Vienna (VIE),Lauda Europe A320 (9H-LMJ),Landed 08:23,2021-06-08
24,24,08:45 FR4140,,Frankfurt (FRA),Ryanair B738 (9H-QCL),Landed 08:31,2021-06-08
25,25,08:50 W64729,,Dortmund (DTM),Wizz Air A320 (HA-LYQ),Landed 08:25,2021-06-08
26,26,09:00 FR6362,,Barcelona (BCN),Ryanair B738 (EI-DYE),Landed 08:42,2021-06-08
27,27,09:05 SK585,,Copenhagen (CPH),SAS A20N (SE-ROD),Landed 08:46,2021-06-08
28,28,09:10 WT8168,,Barcelona (BCN),Swiftair E120 (EC-JBE),Unknown,2021-06-08
