,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,5:40 AM,LQ909,Guangzhou (CAN),Lanmei Airlines A321 (XU-919),Landed 5:33 AM,2020-10-03
1,1,7:20 AM 9C8529,,Guangzhou (CAN),Spring Airlines 320,Unknown,2020-10-03
2,2,7:45 AM 8K802,,Bangkok (BKK),K-Mile Air 73F,Unknown,2020-10-03
3,3,7:50 AM,QD739,Chengdu (CTU),JC Airlines A320 (XU-995),Landed 8:14 AM,2020-10-03
4,4,8:30 AM,QD669,Taipei (TPE),JC Airlines 320,Canceled,2020-10-03
5,5,9:05 AM 9C6191,,Chengdu (CTU),Spring Airlines 320,Unknown,2020-10-03
6,6,6:30 PM KR506,,Sihanoukville (KOS),Cambodia Airways 319,Unknown,2020-10-03
7,7,7:15 PM TK6578,,Bahrain (BAH),Turkish Cargo A332 (TC-JDR),Landed 9:53 PM,2020-10-03
8,8,7:35 PM 9C8565,,Jieyang (SWA),Spring Airlines 320,Unknown,2020-10-03
9,9,8:00 PM 9C8687,,Shenzhen (SZX),Spring Airlines 320,Unknown,2020-10-03
10,10,8:35 PM CX78,,Penang (PEN),Cathay Pacific 74Y,Unknown,2020-10-03
11,11,8:45 PM 9C8533,,Shanghai (PVG),Spring Airlines 320,Unknown,2020-10-03
0,0,6:10 AM QR8974,,Doha (DOH),Qatar Cargo B77L (A7-BFI),Landed 5:34 PM,2020-10-04
1,1,7:20 AM 9C8529,,Guangzhou (CAN),Spring Airlines 320,Unknown,2020-10-04
2,2,9:05 AM 9C6191,,Chengdu (CTU),Spring Airlines 320,Unknown,2020-10-04
3,3,10:50 AM CI861,,Taipei (TPE),China Airlines A333 (B-18357),Landed 10:25 AM,2020-10-04
4,4,11:05 AM MF8691,,Xiamen (XMN),Xiamen Air B738 (B-5382),Landed 11:17 AM,2020-10-04
5,5,11:15 AM BR265,,Taipei (TPE),EVA Air A332 (B-16310),Landed 10:55 AM,2020-10-04
6,6,2:50 PM,K6116,Siem Reap (REP),Cambodia Angkor Air AT75 (XU-237),Landed 2:36 PM,2020-10-04
7,7,5:30 PM KR752,,Singapore (SIN),Cambodia Airways 319,Unknown,2020-10-04
8,8,5:30 PM,MI608,Singapore (SIN),SilkAir B738 (9V-MGI),Landed 5:20 PM,2020-10-04
9,9,7:35 PM 9C8565,,Jieyang (SWA),Spring Airlines 320,Unknown,2020-10-04
10,10,7:50 PM,CX78,Penang (PEN),Cathay Pacific Cargo B744 (B-LID),Landed 7:23 PM,2020-10-04
11,11,8:00 PM 9C8687,,Shenzhen (SZX),Spring Airlines 320,Unknown,2020-10-04
12,12,8:45 PM 9C8533,,Shanghai (PVG),Spring Airlines 320,Unknown,2020-10-04
13,13,10:10 PM,KE689,Seoul (ICN),Korean Air B739 (HL8273),Landed 10:06 PM,2020-10-04
14,14,10:55 PM,OZ739,Seoul (ICN),Asiana Airlines A321 (HL8279),Landed 11:06 PM,2020-10-04
0,0,7:20 AM 9C8529,,Guangzhou (CAN),Spring Airlines 320,Unknown,2020-10-05
1,1,7:45 AM 8K802,,Bangkok (BKK),K-Mile Air 73F,Unknown,2020-10-05
2,2,8:00 AM,LQ761,Manila (MNL),Lanmei Airlines A321 (XU-919),Landed 7:51 AM,2020-10-05
3,3,8:05 AM LQ884,,Sihanoukville (KOS),Lanmei Airlines A321 (XU-961),Landed 7:45 AM,2020-10-05
4,4,9:05 AM 9C6191,,Chengdu (CTU),Spring Airlines 320,Unknown,2020-10-05
5,5,10:15 AM,KA208,Hong Kong (HKG),Cathay Dragon A333 (B-LBI),Landed 9:41 AM,2020-10-05
6,6,10:30 AM CI861,,Taipei (TPE),China Airlines A333 (B-18302),Landed 10:05 AM,2020-10-05
7,7,10:40 AM CZ8313,,Guangzhou (CAN),China Southern Airlines B789 (B-1297),Landed 10:44 AM,2020-10-05
8,8,11:15 AM BR265,,Taipei (TPE),EVA Air A321 (B-16208),Landed 10:39 AM,2020-10-05
9,9,12:35 PM K6907,,Manila (MNL),Cambodia Angkor Air A321 (XU-350),Landed 12:56 PM,2020-10-05
10,10,7:20 PM LQ885,,Xi'an (XIY),Lanmei Airlines A321 (XU-919),Landed 7:57 PM,2020-10-05
11,11,7:35 PM 9C8565,,Jieyang (SWA),Spring Airlines 320,Unknown,2020-10-05
