,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:25,LA4677,Sao Paulo (GRU),LATAM Airlines A320 (PR-MHE),Landed 00:15,2021-06-08
1,1,00:35,AD4708,Campinas (VCP),Azul Linhas Aereas A21N (PR-YJC),Landed 00:53,2021-06-08
2,2,06:10 AD2015,,Sao Paulo (GRU),Azul Linhas Aereas AT76 (PR-AKD),Landed 05:53,2021-06-08
3,3,07:50,AD4310,Campinas (VCP),Azul Linhas Aereas A20N (PR-YRW),Landed 07:31,2021-06-08
4,4,08:32,LA4513,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXO),Landed 08:34,2021-06-08
5,5,08:35 AD4402,,Rio de Janeiro (SDU),Azul Linhas Aereas A20N (PR-YYC),Landed 08:37,2021-06-08
6,6,08:45,LA4664,Sao Paulo (CGH),LATAM Airlines A320 (PR-MAG),Unknown,2021-06-08
7,7,09:35,LA3032,Brasilia (BSB),LATAM Airlines A321 (PT-MXL),Landed 09:20,2021-06-08
8,8,09:40,AD4515,Sao Paulo (GRU),Azul Linhas Aereas A20N (PR-YRZ),Landed 09:33,2021-06-08
9,9,10:00,AD4347,Campinas (VCP),Azul Linhas Aereas A20N (PR-YSE),Landed 09:55,2021-06-08
10,10,10:10,G34104,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GXQ),Landed 10:09,2021-06-08
11,11,10:30 G32142,,Rio de Janeiro (SDU),GOL Linhas Aereas B738 (PR-GUN),Landed 10:17,2021-06-08
12,12,10:35,AD4464,Florianopolis (FLN),Azul Linhas Aereas E195 (PR-AXB),Landed 10:18,2021-06-08
13,13,11:00,LA3106,Sao Paulo (CGH),LATAM Airlines A319 (PT-TMA),Landed 10:50,2021-06-08
14,14,11:45 AD4575,,Curitiba (CWB),Azul Linhas Aereas E195 (PR-AXE),Unknown,2021-06-08
15,15,13:00,AD4846,Campinas (VCP),Azul Linhas Aereas A20N (PR-YRW),Landed 12:35,2021-06-08
16,16,13:35,LA3108,Sao Paulo (CGH),LATAM Airlines A319 (PR-MYC),Landed 13:19,2021-06-08
17,17,14:00,LA4671,Sao Paulo (GRU),LATAM Airlines A320 (PR-MYT),Landed 13:44,2021-06-08
18,18,14:20 AD4065,,Rio de Janeiro (SDU),Azul Linhas Aereas A20N (PR-YYC),Landed 14:17,2021-06-08
19,19,14:40,LA4622,Sao Paulo (CGH),LATAM Airlines A320 (PR-MHG),Landed 14:20,2021-06-08
20,20,14:55,AD4931,Campinas (VCP),Azul Linhas Aereas A20N (PR-YRB),Landed 14:55,2021-06-08
21,21,14:55,G31176,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GGZ),Landed 14:35,2021-06-08
22,22,15:00,AD4497,Sao Paulo (GRU),Azul Linhas Aereas A20N (PR-YRZ),Landed 14:48,2021-06-08
23,23,15:45,AD4739,Curitiba (CWB),Azul Linhas Aereas E195 (PR-AXD),Unknown,2021-06-08
24,24,17:45,G31218,Sao Paulo (CGH),GOL Linhas Aereas B738 (PR-GUL),Landed 17:26,2021-06-08
