,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,5:10 AM PX393,,Singapore (SIN),Air Niugini B763 (P2-PXV),Landed 7:02 AM,2021-06-11
1,1,8:00 AM PX853,,Popondetta (PNP),Air Niugini DH4,Unknown,2021-06-11
2,2,8:05 AM PX201,,Lae (LAE),Air Niugini DH8,Unknown,2021-06-11
3,3,8:10 AM CG1671,,Popondetta (PNP),PNG Air DH8,Unknown,2021-06-11
4,4,8:10 AM PX101,,Lae (LAE),Air Niugini 100,Unknown,2021-06-11
5,5,9:00 AM CG8911,,Rabaul (RAB),PNG Air AT7,Unknown,2021-06-11
6,6,9:05 AM CG8501,,Lae (LAE),PNG Air AT7,Unknown,2021-06-11
7,7,9:30 AM PX111,,Madang (MAG),Air Niugini DH3,Unknown,2021-06-11
8,8,9:40 AM PX275,,Rabaul (RAB),Air Niugini DH3,Unknown,2021-06-11
9,9,10:30 AM CG8737,,Rabaul (RAB),PNG Air AT7,Unknown,2021-06-11
10,10,10:45 AM PE531,,Brisbane (BNE),People's 73Y,Unknown,2021-06-11
11,11,10:55 AM PX181,,Mount Hagen (HGU),Air Niugini 100,Unknown,2021-06-11
12,12,11:05 AM PX161,,Goroka (GKA),Air Niugini 100,Unknown,2021-06-11
13,13,11:10 AM PX103,,Lae (LAE),Air Niugini 100,Unknown,2021-06-11
14,14,12:00 PM PX4147,,Lae (LAE),Air Niugini F70,Unknown,2021-06-11
15,15,12:10 PM PX155,,Gurney (GUR),Air Niugini F70,Unknown,2021-06-11
16,16,12:15 PM PX865,,Tari (TIZ),Air Niugini DH3,Unknown,2021-06-11
17,17,12:20 PM PX183,,Mount Hagen (HGU),Air Niugini 73H,Unknown,2021-06-11
18,18,12:25 PM PX291,,Lorengau (MAS),Air Niugini 100,Unknown,2021-06-11
19,19,12:55 PM CG8721,,Lae (LAE),PNG Air AT7,Unknown,2021-06-11
20,20,1:45 PM PX207,,Rabaul (RAB),Air Niugini DH3,Unknown,2021-06-11
21,21,2:10 PM CG8561,,Goroka (GKA),PNG Air AT7,Unknown,2021-06-11
22,22,2:10 PM PX185,,Mount Hagen (HGU),Air Niugini 100,Unknown,2021-06-11
23,23,2:15 PM CG1535,,Lae (LAE),PNG Air DH8,Unknown,2021-06-11
24,24,2:30 PM PX241,,Hoskins (HKN),Air Niugini 100,Unknown,2021-06-11
25,25,2:35 PM CG8495,,Mount Hagen (HGU),PNG Air AT7,Unknown,2021-06-11
26,26,2:35 PM CG8701,,Lae (LAE),PNG Air AT7,Unknown,2021-06-11
27,27,2:40 PM CG8409,,Mount Hagen (HGU),PNG Air AT7,Unknown,2021-06-11
28,28,3:10 PM PX105,,Lae (LAE),Air Niugini 100,Unknown,2021-06-11
29,29,3:20 PM PX149,,Lae (LAE),Air Niugini DH3,Unknown,2021-06-11
30,30,3:30 PM PX801,,Daru (DAU),Air Niugini DH4,Unknown,2021-06-11
31,31,3:30 PM PX251,,Buka Island (BUA),Air Niugini 100,Unknown,2021-06-11
32,32,3:40 PM CG1409,,Mount Hagen (HGU),PNG Air DH8,Unknown,2021-06-11
33,33,3:40 PM PX707,,Rabaul (RAB),Air Niugini DH8,Unknown,2021-06-11
34,34,3:50 PM PX187,,Mount Hagen (HGU),Air Niugini 73H,Unknown,2021-06-11
35,35,4:10 PM CG1723,,Lae (LAE),PNG Air DH8,Unknown,2021-06-11
36,36,4:15 PM PX121,,Wewak (WWK),Air Niugini DH8,Unknown,2021-06-11
37,37,4:30 PM PX857,,Popondetta (PNP),Air Niugini DH3,Unknown,2021-06-11
38,38,4:50 PM PX4255,,Kieta (KIE),Air Niugini F70,Unknown,2021-06-11
39,39,4:55 PM PX209,,Lae (LAE),Air Niugini DH3,Unknown,2021-06-11
40,40,5:10 PM PX165,,Goroka (GKA),Air Niugini F70,Unknown,2021-06-11
41,41,5:40 PM PX189,,Mount Hagen (HGU),Air Niugini 100,Unknown,2021-06-11
42,42,5:50 PM PX4,,Brisbane (BNE),Air Niugini B763 (P2-PXV),Landed 5:29 PM,2021-06-11
43,43,6:00 PM CG1563,,Goroka (GKA),PNG Air DH8,Unknown,2021-06-11
44,44,6:00 PM CG8601,,Lae (LAE),PNG Air AT7,Unknown,2021-06-11
45,45,6:00 PM CG1601,,Lae (LAE),PNG Air DH8,Unknown,2021-06-11
46,46,6:10 PM PX107,,Lae (LAE),Air Niugini 100,Unknown,2021-06-11
47,47,6:10 PM CG1673,,Popondetta (PNP),PNG Air DH8,Unknown,2021-06-11
48,48,6:40 PM CG8545,,Mount Hagen (HGU),PNG Air AT7,Unknown,2021-06-11
49,49,7:15 PM CG1509,,Lae (LAE),PNG Air DH8,Unknown,2021-06-11
0,0,05:00 PX11,,Manila (MNL),Air Niugini B737 (P2-PXD),Landed 04:45,2021-06-12
1,1,08:00 PX853,,Popondetta (PNP),Air Niugini DH4,Unknown,2021-06-12
2,2,08:10 PX101,,Lae (LAE),Air Niugini F70,Unknown,2021-06-12
3,3,08:10 CG1671,,Popondetta (PNP),PNG Air DH8,Unknown,2021-06-12
4,4,09:40 PX205,,Rabaul (RAB),Air Niugini DH3,Unknown,2021-06-12
5,5,09:40 PX275,,Rabaul (RAB),Air Niugini DH3,Unknown,2021-06-12
6,6,10:55 PX181,,Mount Hagen (HGU),Air Niugini 100,Unknown,2021-06-12
7,7,11:05 PX161,,Goroka (GKA),Air Niugini F70,Unknown,2021-06-12
8,8,11:10 PX103,,Lae (LAE),Air Niugini F70,Unknown,2021-06-12
9,9,12:05 CG8601,,Lae (LAE),PNG Air AT7,Unknown,2021-06-12
10,10,12:10 PX155,,Gurney (GUR),Air Niugini F70,Unknown,2021-06-12
11,11,12:20 PX183,,Mount Hagen (HGU),Air Niugini 73H,Unknown,2021-06-12
12,12,12:50 PX4751,,Buka Island (BUA),Air Niugini DH8,Unknown,2021-06-12
13,13,12:50 PX129,,Lae (LAE),Air Niugini DH3,Unknown,2021-06-12
14,14,12:55 CG8721,,Lae (LAE),PNG Air AT7,Unknown,2021-06-12
15,15,13:30 CG1645,,Gurney (GUR),PNG Air DH8,Unknown,2021-06-12
16,16,13:45 PX207,,Rabaul (RAB),Air Niugini DH3,Unknown,2021-06-12
17,17,13:50 PX4,,Brisbane (BNE),Air Niugini B763 (P2-PXV),Landed 14:35,2021-06-12
18,18,13:55 CG1559,,Mount Hagen (HGU),PNG Air DH8,Unknown,2021-06-12
19,19,14:10 CG8561,,Goroka (GKA),PNG Air AT7,Unknown,2021-06-12
20,20,14:10 PX229,,Kavieng (KVG),Air Niugini 100,Unknown,2021-06-12
21,21,14:10 PX185,,Mount Hagen (HGU),Air Niugini 100,Unknown,2021-06-12
22,22,14:20 CG8311,,Daru (DAU),PNG Air AT7,Unknown,2021-06-12
23,23,14:30 PX241,,Hoskins (HKN),Air Niugini F70,Unknown,2021-06-12
24,24,14:30 CG1547,,Moro (MXH),PNG Air DH8,Unknown,2021-06-12
25,25,14:35 CG1643,,Gurney (GUR),PNG Air DH8,Unknown,2021-06-12
26,26,15:10 PX105,,Lae (LAE),Air Niugini F70,Unknown,2021-06-12
27,27,15:30 CG1311,,Daru (DAU),PNG Air DH8,Unknown,2021-06-12
28,28,15:30 PX801,,Daru (DAU),Air Niugini DH4,Unknown,2021-06-12
29,29,15:40 CG1409,,Mount Hagen (HGU),PNG Air DH8,Unknown,2021-06-12
30,30,15:40 CG8507,,Lae (LAE),PNG Air AT7,Unknown,2021-06-12
31,31,15:50 PX187,,Mount Hagen (HGU),Air Niugini 73H,Unknown,2021-06-12
32,32,16:35 CG1677,,Popondetta (PNP),PNG Air DH8,Unknown,2021-06-12
33,33,16:55 PX209,,Lae (LAE),Air Niugini DH3,Unknown,2021-06-12
34,34,17:00 PX141,,Wewak (WWK),Air Niugini DH3,Unknown,2021-06-12
35,35,17:10 CG1721,,Lae (LAE),PNG Air DH8,Unknown,2021-06-12
36,36,17:10 PX165,,Goroka (GKA),Air Niugini F70,Unknown,2021-06-12
37,37,17:40 PX189,,Mount Hagen (HGU),Air Niugini 100,Unknown,2021-06-12
38,38,17:45 PX903,,Kiunga (UNG),Air Niugini DH8,Unknown,2021-06-12
39,39,17:50 PX857,,Popondetta (PNP),Air Niugini DH4,Unknown,2021-06-12
40,40,17:55 PX113,,Madang (MAG),Air Niugini DH3,Unknown,2021-06-12
41,41,18:00 CG8563,,Goroka (GKA),PNG Air AT7,Unknown,2021-06-12
42,42,18:10 PX107,,Lae (LAE),Air Niugini F70,Unknown,2021-06-12
43,43,18:20 CG8623,,Mount Hagen (HGU),PNG Air AT7,Unknown,2021-06-12
44,44,18:40 CG8545,,Mount Hagen (HGU),PNG Air AT7,Unknown,2021-06-12
0,0,05:10 PX393,,Singapore (SIN),Air Niugini B763 (P2-PXV),Landed 05:51,2021-06-13
1,1,08:00 PX853,,Popondetta (PNP),Air Niugini DH3,Unknown,2021-06-13
2,2,08:10 PX101,,Lae (LAE),Air Niugini F70,Unknown,2021-06-13
3,3,08:10 CG1671,,Popondetta (PNP),PNG Air DH8,Unknown,2021-06-13
4,4,09:05 CG8501,,Lae (LAE),PNG Air AT7,Unknown,2021-06-13
5,5,09:30 PX111,,Madang (MAG),Air Niugini DH3,Unknown,2021-06-13
6,6,09:40 PX275,,Rabaul (RAB),Air Niugini DH3,Unknown,2021-06-13
7,7,10:45 PE531,,Brisbane (BNE),People's 73Y,Unknown,2021-06-13
8,8,10:55 PX181,,Mount Hagen (HGU),Air Niugini 100,Unknown,2021-06-13
9,9,11:05 PX161,,Goroka (GKA),Air Niugini F70,Unknown,2021-06-13
10,10,11:45 CG8641,,Gurney (GUR),PNG Air AT7,Unknown,2021-06-13
11,11,12:05 CG8601,,Lae (LAE),PNG Air AT7,Unknown,2021-06-13
12,12,12:20 PX155,,Gurney (GUR),Air Niugini 73H,Unknown,2021-06-13
13,13,12:55 CG8721,,Lae (LAE),PNG Air AT7,Unknown,2021-06-13
14,14,13:20 CG1543,,Mount Hagen (HGU),PNG Air DH8,Unknown,2021-06-13
15,15,13:45 PX207,,Rabaul (RAB),Air Niugini DH3,Unknown,2021-06-13
16,16,13:50 PX4,,Brisbane (BNE),Air Niugini B763 (P2-PXV),Landed 13:44,2021-06-13
17,17,14:10 CG8561,,Goroka (GKA),PNG Air AT7,Unknown,2021-06-13
