,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,09:42 B6627,,New York (JFK),JetBlue Airways A21N (N2027J),Landed 09:23,2021-05-09
1,1,12:00 UA1078,,New York (EWR),United Airlines B738 (N76526),Landed 11:41,2021-05-09
2,2,12:24 TJ524,,San Juan (SJU),Tradewind Aviation PC12 (N524TW),Landed 12:19,2021-05-09
3,3,13:39,AA935,Miami (MIA),American Airlines B738 (N968NN),Landed 13:36,2021-05-09
0,0,01:00 M68741,,San Juan (SJU),Amerijet International B763 (N378CX),Diverted to STI,2021-05-10
1,1,09:42 B6627,,New York (JFK),JetBlue Airways A321 (N913JB),Landed 09:28,2021-05-10
2,2,12:00 UA1078,,New York (EWR),United Airlines B738 (N77518),Landed 11:42,2021-05-10
3,3,13:39,AA935,Miami (MIA),American Airlines B738 (N314PD),Landed 13:18,2021-05-10
0,0,09:32,,San Juan (SIG),- AS50 (N817CX),Canceled,2021-05-11
1,1,13:39,AA935,Miami (MIA),American Airlines B738 (N810NN),Landed 13:26,2021-05-11
0,0,09:42 B6627,,New York (JFK),JetBlue Airways A321 (N966JT),Unknown,2021-05-12
1,1,12:46,,Stella Maris (SML),- B05 (N505HM),Unknown,2021-05-12
2,2,13:40 DE2144,,Frankfurt (FRA),Condor (Retro Livery) B763 (D-ABUM),Landed 14:00,2021-05-12
3,3,14:16,AA935,Miami (MIA),American Airlines B738 (N991AN),Landed 14:17,2021-05-12
4,4,14:33,,Providenciales (PLS),- B05 (N505HM),Canceled,2021-05-12
