,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,05:05,TN111,Los Angeles (LAX),Air Tahiti Nui B789 (F-OTOA),Landed 05:15,2021-06-11
1,1,09:30 VT420,,Bora Bora (BOB),Air Tahiti AT7,Unknown,2021-06-11
2,2,09:55 VT468,,Bora Bora (BOB),Air Tahiti AT76 (F-ORVU),Landed 09:37,2021-06-11
3,3,10:45 VT332,,Huahine (HUH),Air Tahiti AT76 (F-ORVN),Landed 10:40,2021-06-11
4,4,10:45 VT735,,Maupiti (MAU),Air Tahiti AT46 (F-ORVB),Landed 10:31,2021-06-11
5,5,11:00 VT923,,Rurutu (RUR),Air Tahiti AT76 (F-ORVO),Landed 10:51,2021-06-11
6,6,11:50 VT588,,Manihi (XMH),Air Tahiti AT76 (F-ORVR),Landed 11:59,2021-06-11
7,7,12:40 VT439,,Bora Bora (BOB),Air Tahiti AT76 (F-ORVU),Landed 12:13,2021-06-11
8,8,13:25 VT269,,Moorea (MOZ),Air Tahiti AT46 (F-ORVC),Landed 12:51,2021-06-11
9,9,13:55 VT494,,Raiatea (RFP),Air Tahiti AT76 (F-ORVN),Landed 14:05,2021-06-11
10,10,15:05 VT822,,Atuona (AUQ),Air Tahiti AT76 (F-ORVV),Landed 15:08,2021-06-11
11,11,16:25 VT417,,Bora Bora (BOB),Air Tahiti AT76 (F-ORVO),Landed 16:46,2021-06-11
12,12,16:35 VT533,,Rangiroa (RGI),Air Tahiti AT7,Unknown,2021-06-11
13,13,17:10 VT562,,Fakarava (FAV),Air Tahiti AT76 (F-ORVR),Landed 16:49,2021-06-11
14,14,17:20 VT757,,Maupiti (MAU),Air Tahiti AT46 (F-ORVB),Landed 17:02,2021-06-11
15,15,17:45 VT550,,Tikehau (TIH),Air Tahiti AT76 (F-ORVN),Landed 17:19,2021-06-11
16,16,19:05 VT931,,Tubuai (TUB),Air Tahiti AT76 (F-ORVU),Landed 19:18,2021-06-11
17,17,19:10 VT406,,Bora Bora (BOB),Air Tahiti AT7,Unknown,2021-06-11
18,18,20:05 VT442,,Bora Bora (BOB),Air Tahiti AT76 (F-ORVR),Landed 19:59,2021-06-11
19,19,20:45 VT380,,Raiatea (RFP),Air Tahiti AT76 (F-ORVN),Landed 21:05,2021-06-11
0,0,5:05 AM,TN111,Los Angeles (LAX),Air Tahiti Nui B789 (F-ONUI),Landed 4:54 AM,2021-06-12
1,1,8:45 AM VT403,,Bora Bora (BOB),Air Tahiti AT76 (F-ORVV),Landed 8:32 AM,2021-06-12
2,2,9:55 AM VT436,,Raiatea (RFP),Air Tahiti AT76 (F-ORVN),Landed 9:46 AM,2021-06-12
3,3,10:00 AM VT374,,Huahine (HUH),Air Tahiti AT76 (F-ORVO),Landed 9:32 AM,2021-06-12
4,4,10:55 AM VT556,,Rangiroa (RGI),Air Tahiti AT46 (F-ORVB),Landed 10:34 AM,2021-06-12
5,5,12:00 PM VT276,,Bora Bora (BOB),Air Tahiti AT76 (F-ORVV),Landed 11:24 AM,2021-06-12
6,6,1:00 PM VT497,,Bora Bora (BOB),Air Tahiti AT76 (F-ORVN),Landed 12:50 PM,2021-06-12
7,7,1:10 PM VT311,,Raiatea (RFP),Air Tahiti AT76 (F-ORVO),Landed 12:41 PM,2021-06-12
8,8,3:00 PM VT851,,Nuku Hiva (NHV),Air Tahiti AT76 (F-ORVS),Landed 2:54 PM,2021-06-12
9,9,3:00 PM VT954,,-,Air Tahiti AT76 (F-ORVU),Landed 2:44 PM,2021-06-12
10,10,4:20 PM VT444,,Bora Bora (BOB),Air Tahiti AT76 (F-ORVV),Landed 4:07 PM,2021-06-12
11,11,4:25 PM VT369,,Huahine (HUH),Air Tahiti AT76 (F-ORVO),Landed 4:01 PM,2021-06-12
12,12,4:50 PM VT425,,Bora Bora (BOB),Air Tahiti AT76 (F-ORVN),Landed 4:37 PM,2021-06-12
13,13,5:10 PM VT534,,Fakarava (FAV),Air Tahiti AT76 (F-ORVR),Landed 5:13 PM,2021-06-12
14,14,5:45 PM VT461,,Bora Bora (BOB),Air Tahiti AT76 (F-ORVU),Landed 5:32 PM,2021-06-12
15,15,6:50 PM UA115,,San Francisco (SFO),United Airlines B789 (N23983),Landed 6:49 PM,2021-06-12
16,16,8:15 PM,AF74,Vancouver (YVR),Air France B772 (F-GSPJ),Landed 8:56 PM,2021-06-12
17,17,9:25 PM TN67,,Vancouver (YVR),Air Tahiti Nui B789 (F-OVAA),Landed 9:49 PM,2021-06-12
0,0,09:35 VT370,,Raiatea (RFP),Air Tahiti AT76 (F-ORVR),Landed 09:11,2021-06-13
1,1,09:45 VT409,,Bora Bora (BOB),Air Tahiti AT46 (F-ORVC),Landed 09:25,2021-06-13
2,2,12:45 VT413,,Raiatea (RFP),Air Tahiti AT76 (F-ORVR),Landed 12:31,2021-06-13
3,3,12:50 VT535,,Arutua (AXR),Air Tahiti AT46 (F-ORVB),Landed 12:35,2021-06-13
