,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,09:40 T9313,,Valencia (VLN),Turpial Airlines 734,Unknown,2021-05-09
1,1,10:05 WL201,,Miami (MIA),World Atlantic Airlines MD83 (N801WA),Unknown,2021-05-09
2,2,11:07,,St. Petersburg (PIE),- E35L (N367ND),Landed 10:55,2021-05-09
3,3,11:10 UA2122,,New York (EWR),United Airlines (Eco-Skies Livery) B739 (N75432),Landed 10:42,2021-05-09
4,4,11:18 CM110,,Panama City (PTY),Copa Airlines (ConnectMiles.com Livery) B738 (HP-1849CMP),Landed 10:58,2021-05-09
5,5,11:20 5R1700,,Caracas (CCS),Rutaca Airlines B733 (YV3063),Landed 11:53,2021-05-09
6,6,11:30 B6869,,New York (JFK),JetBlue Airways A321 (N998JE),Landed 11:12,2021-05-09
7,7,11:40 CM290,,Panama City (PTY),Copa Airlines B39M (HP-9906CMP),Landed 11:16,2021-05-09
8,8,11:44 B61015,,New York (EWR),JetBlue Airways A320 (N580JB),Landed 11:31,2021-05-09
9,9,12:01 DL1994,,New York (JFK),Delta Air Lines B738 (N3734B),Landed 11:24,2021-05-09
10,10,12:15 AA2443,,New York (JFK),American Airlines B738 (N802NN),Landed 11:51,2021-05-09
11,11,12:35 WN831,,Baltimore (BWI),Southwest Airlines B737 (N237WN),Landed 12:52,2021-05-09
12,12,12:36 AA865,,Charlotte (CLT),American Airlines B738 (N923AN),Landed 12:11,2021-05-09
13,13,12:49 UA1514,,New York (EWR),United Airlines B739 (N37427),Landed 12:37,2021-05-09
14,14,12:53 F980,,Chicago (ORD),Frontier (Lone Star the Longhorn Steer Livery) A20N (N347FR),Landed 12:43,2021-05-09
15,15,13:06 AA1502,,Miami (MIA),American Airlines B738 (N883NN),Landed 12:41,2021-05-09
16,16,13:14 UA679,,Chicago (ORD),United Airlines B739 (N69888),Landed 12:57,2021-05-09
17,17,13:15,DL1900,Atlanta (ATL),Delta Air Lines B739 (N830DN),Landed 12:48,2021-05-09
18,18,13:20 B62931,,San Juan (SJU),JetBlue Airways A320 (N651JB),Landed 13:03,2021-05-09
19,19,13:25,B6173,Fort Lauderdale (FLL),JetBlue Airways A320 (N644JB),Landed 13:05,2021-05-09
20,20,13:41 AA454,,Philadelphia (PHL),American Airlines A320 (N122US),Landed 13:15,2021-05-09
21,21,13:42 B6269,,New York (JFK),JetBlue Airways A321 (N966JT),Landed 13:26,2021-05-09
22,22,13:44 CM241,,Panama City (PTY),Copa Airlines B39M (HP-9902CMP),Landed 13:17,2021-05-09
23,23,14:06 NK242,,Fort Lauderdale (FLL),Spirit Airlines A320 (N608NK),Landed 13:55,2021-05-09
24,24,14:30 UA1661,,Washington (IAD),United Airlines B739 (N67827),Landed 13:57,2021-05-09
25,25,14:39 AA2572,,Charlotte (CLT),American Airlines A321 (N552UW),Landed 14:10,2021-05-09
26,26,14:53 AA773,,Miami (MIA),American Airlines B738 (N970AN),Landed 14:36,2021-05-09
27,27,15:00 UA625,,Houston (IAH),United Airlines B739 (N68817),Landed 14:27,2021-05-09
28,28,15:10 F920,,Orlando (MCO),Frontier (Baja the Whale Shark Livery) A20N (N342FR),Landed 14:50,2021-05-09
29,29,15:14 DL1916,,Atlanta (ATL),Delta Air Lines B739 (N870DN),Landed 14:45,2021-05-09
30,30,15:35 NK1020,,Orlando (MCO),Spirit Airlines A319 (N531NK),Landed 15:19,2021-05-09
31,31,15:51 B6331,,San Juan (SJU),JetBlue Airways E190 (N273JB),Landed 16:08,2021-05-09
32,32,18:10 AV252,,Bogota (BOG),Avianca A319 (N695AV),Landed 17:41,2021-05-09
33,33,20:31 AA2815,,Miami (MIA),American Airlines A321 (N906AA),Landed 20:06,2021-05-09
0,0,10:14 P57026,,Bogota (BOG),Wingo B738 (HP-1532CMP),Landed 09:41,2021-05-10
1,1,11:18 CM110,,Panama City (PTY),Copa Airlines B738 (HP-1726CMP),Landed 10:54,2021-05-10
2,2,11:30 B6869,,New York (JFK),JetBlue Airways A21N (N2084J),Landed 11:20,2021-05-10
3,3,11:44 B61015,,New York (EWR),JetBlue Airways ( JetBlue Vacations Livery) A320 (N623JB),Landed 11:37,2021-05-10
4,4,12:01 DL1994,,New York (JFK),Delta Air Lines B738 (N3734B),Landed 11:25,2021-05-10
5,5,12:15 AA2443,,New York (JFK),American Airlines B738 (N946NN),Landed 11:54,2021-05-10
6,6,12:35 WN831,,Baltimore (BWI),Southwest Airlines B737 (N232WN),Landed 13:11,2021-05-10
7,7,12:36 AA865,,Charlotte (CLT),American Airlines B738 (N989NN),Landed 12:21,2021-05-10
8,8,12:49 UA1514,,New York (EWR),United Airlines B739 (N37464),Landed 12:28,2021-05-10
9,9,12:53 F980,,Chicago (ORD),Frontier (Sammy the Squirrel Livery) A320 (N232FR),Landed 12:34,2021-05-10
10,10,13:06 AA1502,,Miami (MIA),American Airlines B738 (N910NN),Landed 12:40,2021-05-10
11,11,13:15,DL1900,Atlanta (ATL),Delta Air Lines B739 (N897DN),Landed 13:16,2021-05-10
12,12,13:20 B62931,,San Juan (SJU),JetBlue Airways A320 (N794JB),Landed 13:01,2021-05-10
13,13,13:25,B6173,Fort Lauderdale (FLL),JetBlue Airways A320 (N630JB),Landed 13:46,2021-05-10
14,14,13:41 AA454,,Philadelphia (PHL),American Airlines A320 (N121UW),Landed 13:42,2021-05-10
15,15,13:42 B6269,,New York (JFK),JetBlue Airways A321 (N966JT),Landed 13:22,2021-05-10
16,16,13:42 NK783,,Fort Lauderdale (FLL),Spirit Airlines A320 (N626NK),Landed 14:00,2021-05-10
17,17,13:44 CM241,,Panama City (PTY),Copa Airlines B39M (HP-9906CMP),Landed 13:39,2021-05-10
18,18,14:16 F966,,Miami (MIA),Frontier (Buck the Pronghorn Livery) A320 (N233FR),Landed 13:51,2021-05-10
19,19,14:39 AA2572,,Charlotte (CLT),American Airlines A321 (N585UW),Landed 14:39,2021-05-10
20,20,14:53 AA773,,Miami (MIA),American Airlines B738 (N893NN),Landed 14:29,2021-05-10
21,21,14:58 UA1270,,Chicago (ORD),United Airlines B739 (N61881),Landed 14:33,2021-05-10
22,22,15:14 DL1916,,Atlanta (ATL),Delta Air Lines B739 (N824DN),Landed 16:01,2021-05-10
23,23,15:40 LH516,,Frankfurt (FRA),Lufthansa A343 (D-AIGM),Landed 16:07,2021-05-10
24,24,15:49 LA2452,,Lima (LIM),LATAM Airlines A319 (CC-COZ),Landed 15:42,2021-05-10
25,25,15:51 B6331,,San Juan (SJU),JetBlue Airways E190 (N273JB),Landed 16:04,2021-05-10
26,26,16:15,WK28,Zurich (ZRH),Edelweiss Air A343 (HB-JMD),Landed 16:36,2021-05-10
27,27,16:15,WK34,Zurich (ZRH),Edelweiss Air 343,Unknown,2021-05-10
28,28,16:25 NK1816,,Fort Lauderdale (FLL),Spirit Airlines A20N (N907NK),Landed 16:16,2021-05-10
29,29,16:40 DE2228,,Frankfurt (FRA),Condor B763 (D-ABUK),Landed 17:07,2021-05-10
30,30,18:10 AV252,,Bogota (BOG),Avianca A319 (N557AV),Landed 17:41,2021-05-10
31,31,18:45 6O851,,Lisbon (LIS),Orbest 333,Unknown,2021-05-10
32,32,20:31 AA2815,,Miami (MIA),American Airlines A321 (N163AA),Landed 20:21,2021-05-10
0,0,01:10,WK29,San Jose (SJO),Edelweiss Air A343 (HB-JMD),Landed 01:00,2021-05-11
1,1,10:17 WL201,,Miami (MIA),World Atlantic Airlines MD83 (N807TR),Landed 09:47,2021-05-11
2,2,11:18 CM110,,Panama City (PTY),Copa Airlines B738 (HP-1526CMP),Landed 10:41,2021-05-11
3,3,11:20 5R1700,,Caracas (CCS),Rutaca Airlines B733 (YV3063),Landed 11:48,2021-05-11
4,4,11:23,,Fort Lauderdale (FXE),- SR22 (N731WB),Unknown,2021-05-11
5,5,11:30 B6869,,New York (JFK),JetBlue Airways A21N (N2029J),Landed 11:42,2021-05-11
6,6,11:40 CM290,,Panama City (PTY),Copa Airlines B39M (HP-9904CMP),Landed 11:25,2021-05-11
7,7,11:44 B61015,,New York (EWR),JetBlue Airways A320 (N634JB),Landed 11:51,2021-05-11
8,8,12:01 DL1994,,New York (JFK),Delta Air Lines B738 (N3769L),Landed 11:22,2021-05-11
9,9,12:15 AA2443,,New York (JFK),American Airlines B738 (N989AN),Landed 11:55,2021-05-11
10,10,12:35 WN831,,Baltimore (BWI),Southwest Airlines B737 (N7851A),Unknown,2021-05-11
11,11,12:36 AA865,,Charlotte (CLT),American Airlines B738 (N864NN),Landed 12:17,2021-05-11
12,12,12:49 UA1514,,New York (EWR),United Airlines B739 (N67812),Landed 12:41,2021-05-11
13,13,12:53 F980,,Chicago (ORD),Frontier (Meadow & West The Horses Livery) A20N (N343FR),Unknown,2021-05-11
14,14,13:06 AA1502,,Miami (MIA),American Airlines B38M (N315RJ),Landed 12:35,2021-05-11
15,15,13:15,DL1900,Atlanta (ATL),Delta Air Lines B739 (N901DN),Landed 13:17,2021-05-11
16,16,13:20 B62931,,San Juan (SJU),JetBlue Airways A320 (N585JB),Landed 13:01,2021-05-11
17,17,13:41 AA454,,Philadelphia (PHL),American Airlines A320 (N122US),Landed 13:12,2021-05-11
18,18,13:42 B6269,,New York (JFK),JetBlue Airways A321 (N954JB),Landed 13:15,2021-05-11
19,19,13:44 CM241,,Panama City (PTY),Copa Airlines B738 (HP-1726CMP),Landed 13:27,2021-05-11
20,20,14:06 NK242,,Fort Lauderdale (FLL),Spirit Airlines A320 (N601NK),Landed 13:37,2021-05-11
21,21,14:39 AA2572,,Charlotte (CLT),American Airlines A321 (N154UW),Landed 14:17,2021-05-11
22,22,14:53 AA773,,Miami (MIA),American Airlines B38M (N302SA),Landed 14:35,2021-05-11
23,23,14:58 UA1270,,Chicago (ORD),United Airlines B739 (N68452),Landed 14:45,2021-05-11
24,24,15:14 DL1916,,Atlanta (ATL),Delta Air Lines B739 (N839DN),Landed 14:53,2021-05-11
