,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,08:50,AM328,Mexico City (MEX),Aeromexico Connect E190 (XA-AEE),Landed 08:31,2021-06-08
1,1,10:40 VW120,,Guadalajara (GDL),Aeromar AT46 (XA-UYL),Landed 10:24,2021-06-08
2,2,10:54,AM330,Mexico City (MEX),Aeromexico Connect E190 (XA-GAE),Landed 10:38,2021-06-08
3,3,11:29,AA353,Dallas (DFW),American Airlines A21N (N408AN),Landed 11:34,2021-06-08
4,4,12:07,AM332,Mexico City (MEX),Aeromexico B738 (XA-AMS),Landed 11:56,2021-06-08
5,5,12:20 VB4342,,Monterrey (MTY),VivaAerobus A21N (XA-VBA),Landed 12:12,2021-06-08
6,6,12:41 AA554,,Phoenix (PHX),American Airlines A21N (N428AA),Landed 12:21,2021-06-08
7,7,12:41,DL1941,Atlanta (ATL),Delta Air Lines B739 (N874DN),Landed 12:24,2021-06-08
8,8,12:50,UA1622,Houston (IAH),United Airlines A320 (N406UA),Landed 12:53,2021-06-08
9,9,13:10 WN514,,Denver (DEN),Southwest Airlines B737 (N7844A),Landed 13:06,2021-06-08
10,10,13:17,AA1215,Dallas (DFW),American Airlines B738 (N854NN),Landed 13:02,2021-06-08
11,11,13:25 UA1686,,Chicago (ORD),United Airlines A320 (N459UA),Landed 15:16,2021-06-08
12,12,13:30 WN108,,Houston (HOU),Southwest Airlines B737 (N7863A),Landed 13:37,2021-06-08
13,13,13:33,Y4784,Mexico City (MEX),Volaris A20N (N528VL),Landed 13:24,2021-06-08
14,14,13:35 VB1166,,Mexico City (MEX),VivaAerobus A21N (XA-VBB),Landed 13:18,2021-06-08
15,15,13:45,AM334,Mexico City (MEX),Aeromexico B738 (N845AM),Landed 13:59,2021-06-08
16,16,13:50 WN763,,Santa Ana (SNA),Southwest Airlines B737 (N7704B),Landed 14:34,2021-06-08
17,17,14:13,UA2257,Denver (DEN),United Airlines A320 (N421UA),Landed 14:11,2021-06-08
18,18,14:31,UA1212,San Francisco (SFO),United Airlines A320 (N473UA),Landed 14:07,2021-06-08
19,19,14:35 VW122,,Guadalajara (GDL),Aeromar AT46 (XA-UYL),Landed 14:24,2021-06-08
20,20,14:50,AS220,Los Angeles (LAX),Alaska Airlines B738 (N597AS),Landed 14:47,2021-06-08
21,21,14:53,DL1921,Seattle (SEA),Delta Air Lines B738 (N3738B),Landed 14:27,2021-06-08
22,22,14:55 UA319,,Los Angeles (LAX),United Airlines A320 (N468UA),Landed 14:31,2021-06-08
23,23,15:00 WN1298,,Phoenix (PHX),Southwest Airlines B737 (N227WN),Landed 14:37,2021-06-08
24,24,15:05 YQ461,,Guadalajara (GDL),TAR Aerolineas ERJ,Unknown,2021-06-08
25,25,15:27,AA919,Dallas (DFW),American Airlines A321 (N931AM),Landed 15:20,2021-06-08
26,26,15:33,UA1584,Denver (DEN),United Airlines A320 (N417UA),Landed 15:13,2021-06-08
27,27,15:34,DL1865,Los Angeles (LAX),Delta Air Lines B738 (N377DE),Landed 15:09,2021-06-08
28,28,15:48,DL1948,Salt Lake City (SLC),Delta Air Lines B738 (N3772H),Landed 15:35,2021-06-08
29,29,16:00 AS206,,Seattle (SEA),Alaska Airlines B739 (N491AS),Landed 16:05,2021-06-08
30,30,16:24,,Boise (BOI),- CL35 (N762QS),Canceled,2021-06-08
31,31,17:02,UA304,Houston (IAH),United Airlines A320 (N402UA),Landed 20:12,2021-06-08
32,32,17:18,AS1272,San Francisco (SFO),Alaska Airlines A320 (N855VA),Landed 16:59,2021-06-08
33,33,17:28,AA1530,Dallas (DFW),American Airlines A319 (N765US),Landed 17:38,2021-06-08
34,34,17:35 VW124,,Guadalajara (GDL),Aeromar AT46 (XA-UYL),Landed 17:31,2021-06-08
35,35,17:40,AM338,Mexico City (MEX),Aeromexico Connect E190 (XA-GAG),Landed 17:25,2021-06-08
36,36,17:45 YQ445,,Aguascalientes (AGU),TAR Aerolineas ERJ,Unknown,2021-06-08
37,37,17:50 UA2218,,Los Angeles (LAX),United Airlines A320 (N470UA),Landed 17:27,2021-06-08
38,38,17:55 VB1168,,Mexico City (MEX),VivaAerobus A320,Landed 17:35,2021-06-08
39,39,17:58 Y4550,,Tijuana (TIJ),Volaris A320 (XA-VLC),Landed 17:53,2021-06-08
40,40,18:48,Y4786,Mexico City (MEX),Volaris A320 (N519VL),Landed 18:55,2021-06-08
41,41,19:59,,Santa Ana (SNA),- (N925JB),Canceled,2021-06-08
42,42,22:57,AM340,Mexico City (MEX),Aeromexico Connect E190 (XA-DAC),Landed 23:36,2021-06-08
0,0,8:50 AM,AM328,Mexico City (MEX),Aeromexico Connect E190 (XA-AEL),Landed 8:29 AM,2021-06-09
1,1,10:40 AM VW120,,Guadalajara (GDL),Aeromar AT46 (XA-UYL),Landed 10:23 AM,2021-06-09
2,2,10:54 AM,AM330,Mexico City (MEX),Aeromexico Connect E190 (XA-ACI),Landed 12:28 PM,2021-06-09
3,3,11:29 AM,AA353,Dallas (DFW),American Airlines A321 (N907AA),Landed 11:30 AM,2021-06-09
4,4,11:35 AM YQ445,,Aguascalientes (AGU),TAR Aerolineas E145 (XA-AFH),Landed 6:53 PM,2021-06-09
5,5,12:07 PM,AM332,Mexico City (MEX),Aeromexico B738 (XA-AME),Landed 12:06 PM,2021-06-09
6,6,12:20 PM VB4342,,Monterrey (MTY),VivaAerobus A21N (XA-VBH),Landed 12:20 PM,2021-06-09
7,7,12:41 PM AA554,,Phoenix (PHX),American Airlines A321 (N521UW),Landed 12:31 PM,2021-06-09
