,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:25 WN1119,,Denver (DEN),Southwest Airlines B738 (N8674B),Landed 01:32,2021-06-08
1,1,03:13 5X1244,,Louisville (SDF),UPS B752 (N463UP),Landed 03:22,2021-06-08
2,2,04:28 5X1274,,Philadelphia (PHL),UPS A306 (N163UP),Landed 05:04,2021-06-08
3,3,05:12 5X1276,,Louisville (SDF),UPS MD11 (N294UP),Landed 05:52,2021-06-08
4,4,05:23 FX1738,,Indianapolis (IND),FedEx B763 (N161FE),Landed 05:49,2021-06-08
5,5,05:29 DL1687,,Las Vegas (LAS),Delta Air Lines B738 (N394DA),Landed 05:07,2021-06-08
6,6,06:01,F9558,Denver (DEN),Frontier (Cookie the Oriole Livery) A20N (N359FR),Landed 05:28,2021-06-08
7,7,06:59 FX1449,,Memphis (MEM),FedEx B763 (N119FE),Landed 08:07,2021-06-08
8,8,07:18,AA660,Los Angeles (LAX),American Airlines A319 (N762US),Landed 07:11,2021-06-08
9,9,07:42 DL5843,,Jacksonville (JAX),Delta Connection E75S (N226JQ),Landed 07:36,2021-06-08
10,10,07:48 DL2523,,Orlando (MCO),Delta Air Lines A319 (N330NB),Landed 07:29,2021-06-08
11,11,08:12 AA1906,,Charlotte (CLT),American Airlines A320 (N680AW),Landed 07:57,2021-06-08
12,12,08:31 DL2609,,Detroit (DTW),Delta Air Lines B712 (N942AT),Landed 08:24,2021-06-08
13,13,08:40 DL2634,,Atlanta (ATL),Delta Air Lines B752 (N673DL),Landed 08:15,2021-06-08
14,14,08:47 AA2847,,Nashville (BNA),American Airlines A319 (N9021H),Landed 08:32,2021-06-08
15,15,09:00,B62283,Boston (BOS),JetBlue Airways E190 (N247JB),Landed 08:22,2021-06-08
16,16,09:14,B6285,New York (JFK),JetBlue Airways (JetBlue Vacations Livery) A320 (N603JB),Landed 09:03,2021-06-08
17,17,09:20 AA4503,,Pittsburgh (PIT),American Eagle E75S (N107HQ),Landed 09:00,2021-06-08
18,18,09:25,,Raleigh-Durham (RDU),- C172 (N34BL),Landed 10:19,2021-06-08
19,19,09:33 1I696,,White Plains (HPN),NetJets C68A,Unknown,2021-06-08
20,20,09:41 F91651,,Philadelphia (PHL),Frontier(Parish & Daisy the Burrowing Owls Livery) A20N (N377FR),Landed 09:11,2021-06-08
21,21,09:44 DL5684,,Boston (BOS),Delta Connection E75S (N205JQ),Landed 09:21,2021-06-08
22,22,09:45 WN2413,,Baltimore (BWI),Southwest Airlines B738 (N8542Z),Landed 09:29,2021-06-08
23,23,09:49 AA4736,,Washington (DCA),American Eagle E75L (N436YX),Landed 09:39,2021-06-08
24,24,09:52,DL5730,New York (LGA),Delta Connection E75S (N229JQ),Landed 09:27,2021-06-08
25,25,09:58,DL5078,New York (JFK),Delta Connection CRJ9 (N928XJ),Landed 09:31,2021-06-08
26,26,10:11 AA1895,,Charlotte (CLT),American Airlines A319 (N730US),Landed 09:49,2021-06-08
27,27,10:21,,Raleigh-Durham (RDU),- DA42 (N421BL),Diverted to FAY,2021-06-08
28,28,10:25,DL2633,Atlanta (ATL),Delta Air Lines B752 (N684DA),Unknown,2021-06-08
29,29,10:27 FX2729,,Indianapolis (IND),FedEx B752 (N928FD),Landed 10:46,2021-06-08
30,30,10:31 AA2685,,Philadelphia (PHL),American Airlines A320 (N109UW),Landed 10:05,2021-06-08
31,31,10:48 WQ809,,Golden Triangle (GTR),iAero Airways B734 (N802TJ),Landed 10:48,2021-06-08
32,32,11:01,F91594,Miami (MIA),Frontier (Al the Roadrunner Livery) A20N (N346FR),Landed 10:53,2021-06-08
33,33,11:06,AA2683,Dallas (DFW),American Airlines B738 (N933NN),Landed 10:51,2021-06-08
34,34,11:17 DL5702,,Boston (BOS),Delta Connection E170 (N870RW),Landed 10:56,2021-06-08
35,35,11:24 UA3430,,New York (EWR),United Express E170 (N650RW),Landed 11:02,2021-06-08
36,36,11:27 DL4969,,Minneapolis (MSP),Delta Connection CRJ9 (N691CA),Landed 11:21,2021-06-08
37,37,11:59,AA4255,Miami (MIA),American Eagle E75L (N283NN),Landed 11:39,2021-06-08
38,38,12:01,,Salisbury (SRW),- DA40 (N470BL),Landed 12:04,2021-06-08
39,39,12:06 AA2688,,Charlotte (CLT),American Airlines B738 (N973AN),Landed 12:19,2021-06-08
40,40,12:06 F9895,,Trenton (TTN),Frontier (Wiley the Bison Livery) A20N (N313FR),Landed 11:48,2021-06-08
41,41,12:10 WN5389,,Atlanta (ATL),Southwest Airlines B737 (N275WN),Landed 11:49,2021-06-08
42,42,12:10 WN6252,,St. Louis (STL),Southwest Airlines B737 (N494WN),Landed 11:52,2021-06-08
43,43,12:13 DL2569,,Detroit (DTW),Delta Air Lines A319 (N360NB),Landed 12:29,2021-06-08
44,44,12:17 LXJ411,,West Palm Beach (PBI),Flexjet E545,Unknown,2021-06-08
45,45,12:20 AA5422,,Philadelphia (PHL),American Eagle CRJ7 (N514AE),Landed 14:15,2021-06-08
46,46,12:23,UA6098,Washington (IAD),United Express E75L (N86324),Landed 12:14,2021-06-08
47,47,12:27 B62429,,New York (EWR),JetBlue Airways E190 (N229JB),Landed 12:11,2021-06-08
48,48,12:30 DL1583,,Fort Lauderdale (FLL),Delta Air Lines A319 (N341NB),Landed 12:13,2021-06-08
49,49,12:35 WN286,,Nashville (BNA),Southwest Airlines B738 (N8547V),Landed 12:35,2021-06-08
50,50,12:39,,Raleigh-Durham (RDU),- DA40 (N472BL),Landed 13:05,2021-06-08
51,51,12:40,DL4674,New York (LGA),Delta Connection CRJ9 (N480PX),Landed 12:08,2021-06-08
52,52,12:49 DL2058,,Orlando (MCO),Delta Air Lines A319 (N330NB),Landed 12:39,2021-06-08
53,53,12:49 DL2605,,Atlanta (ATL),Delta Air Lines B752 (N694DL),Landed 12:42,2021-06-08
54,54,13:00 WN4042,,Tampa (TPA),Southwest Airlines B38M (N8804L),Landed 12:49,2021-06-08
55,55,13:05,B62783,Boston (BOS),JetBlue Airways E190 (N178JB),Landed 12:44,2021-06-08
56,56,13:26,DL5839,Miami (MIA),Delta Connection E75S (N226JQ),Landed 13:16,2021-06-08
57,57,13:39 AA4801,,New York (LGA),American Eagle E75S (N138HQ),Landed 13:27,2021-06-08
58,58,13:44,,Wilmington (ILM),- SR22 (N519BR),Landed 13:48,2021-06-08
59,59,13:46,UA3701,Chicago (ORD),United Express E170 (N855RW),Landed 13:50,2021-06-08
60,60,13:50,,Raleigh-Durham (RDU),- P28A (N8092E),Canceled,2021-06-08
61,61,13:55 WN3676,,Fort Lauderdale (FLL),Southwest Airlines B738 (N8642E),Landed 14:00,2021-06-08
62,62,13:58,,Ocala (OCF),- BE4W (N541HC),Landed 14:52,2021-06-08
63,63,14:01 AA5141,,Charlotte (CLT),American Eagle CRJ9 (N580NN),Landed 13:33,2021-06-08
64,64,14:06 EJM167,,Tampa (TPA),Executive Jet Management GLF4,Unknown,2021-06-08
65,65,14:17,DL5856,New York (JFK),Delta Connection E170 (N872RW),Landed 14:19,2021-06-08
66,66,14:22,,Baltimore (BWI),- S22T (N22MS),Landed 14:14,2021-06-08
67,67,14:24 F9103,,San Juan (SJU),Frontier (Champ the Bronco Livery) A20N (N307FR),Landed 14:07,2021-06-08
68,68,14:28,,Burlington (QQY),- P28A,Canceled,2021-06-08
69,69,14:30,UA6066,Houston (IAH),United Express E75L (N86311),Landed 14:21,2021-06-08
70,70,14:34,,Raleigh-Durham (RDU),- C172 (N721BL),Diverted to GSO,2021-06-08
71,71,14:42 DL1476,,Tampa (TPA),Delta Air Lines A319 (N317NB),Landed 14:22,2021-06-08
72,72,14:46 GAJ876,,Pittsburgh (AGC),Wheels Up B350 (N876UP),Landed 15:59,2021-06-08
73,73,14:52,AA2693,Dallas (DFW),American Airlines B738 (N981NN),Landed 14:53,2021-06-08
74,74,15:08 DL5689,,Boston (BOS),Delta Connection E75S (N205JQ),Landed 15:01,2021-06-08
75,75,15:13,DL4742,New York (LGA),Delta Connection CRJ9 (N478PX),Landed 16:09,2021-06-08
76,76,15:15,,Greenville (PGV),- TBM8 (N505TM),Landed 15:16,2021-06-08
77,77,15:21 UA2269,,Denver (DEN),United Airlines A319 (N852UA),Landed 15:17,2021-06-08
78,78,15:22 AA2704,,Charlotte (CLT),American Airlines A321 (N580UW),Landed 15:55,2021-06-08
79,79,15:24 AA5695,,Philadelphia (PHL),American Eagle CRJ9 (N611NN),Landed 16:18,2021-06-08
80,80,15:24,DL2078,Atlanta (ATL),Delta Air Lines B738 (N3753),Landed 15:12,2021-06-08
81,81,15:36,,Little Rock (LIT),- (N914MC),Landed 15:56,2021-06-08
82,82,15:40 F91590,,Atlanta (ATL),Frontier (Al the Roadrunner Livery) A20N (N346FR),Landed 15:21,2021-06-08
83,83,15:45,UA6013,Houston (IAH),United Express E75L (N85352),Landed 15:40,2021-06-08
84,84,15:50 WN2847,,Baltimore (BWI),Southwest Airlines B738 (N8560Z),Landed 16:25,2021-06-08
85,85,15:57 DL1071,,Salt Lake City (SLC),Delta Air Lines B738 (N3741S),Landed 15:43,2021-06-08
86,86,16:06,,Melbourne (MLB),- PAY2 (N186GA),Landed 16:22,2021-06-08
87,87,16:25 WN4870,,Chicago (MDW),Southwest Airlines B738 (N8659D),Landed 16:40,2021-06-08
88,88,16:25 WN5603,,St. Louis (STL),Southwest Airlines B737 (N7730A),Landed 16:21,2021-06-08
89,89,16:28,,Blountville (TRI),- SR22 (N883TF),Landed 16:24,2021-06-08
90,90,16:31 DL2057,,Minneapolis (MSP),Delta Air Lines A319 (N323NB),Landed 16:25,2021-06-08
91,91,16:32 AS754,,Seattle (SEA),Alaska Airlines B739 (N435AS),Landed 16:11,2021-06-08
92,92,16:33,AA4284,Miami (MIA),American Eagle E75L (N278NN),Landed 16:36,2021-06-08
93,93,16:37,AA1536,Dallas (DFW),American Airlines B738 (N963AN),Landed 16:38,2021-06-08
94,94,16:45,AA3242,Chicago (ORD),American Eagle CRJ7 (N705SK),Landed 17:07,2021-06-08
95,95,16:48,DL2600,Atlanta (ATL),Delta Air Lines B752 (N542US),Landed 18:06,2021-06-08
96,96,16:49,UA3418,New York (EWR),United Express E75L (N751YX),Landed 16:54,2021-06-08
97,97,16:58,UA247,Chicago (ORD),United Airlines B737 (N16701),Landed 17:28,2021-06-08
98,98,17:17 AA1894,,Charlotte (CLT),American Airlines A321 (N509AY),Landed 16:58,2021-06-08
99,99,17:24 DL5642,,Boston (BOS),Delta Connection E170 (N870RW),Landed 16:51,2021-06-08
100,100,17:31,B62626,Fort Lauderdale (FLL),JetBlue Airways A320 (N524JB),Landed 17:11,2021-06-08
101,101,17:34 AA5145,,Philadelphia (PHL),American Eagle CRJ7 (N527EA),Canceled,2021-06-08
102,102,17:34,DL2576,Detroit (DTW),Delta Air Lines B712 (N954AT),Landed 18:39,2021-06-08
103,103,17:43,DL1362,Los Angeles (LAX),Delta Air Lines B738 (N3742C),Landed 17:19,2021-06-08
104,104,18:00,,Miami (MIA),- SR22 (N22AD),Landed 17:47,2021-06-08
105,105,18:06,,Augusta (AGS),- H25B (N108RL),Canceled,2021-06-08
106,106,18:09,F91190,Orlando (MCO),Frontier (Alberta & Clipper: Polar Bears Livery) A320 (N206FR),Landed 17:54,2021-06-08
107,107,18:16 5X2132,,Louisville (SDF),UPS A306 (N145UP),Unknown,2021-06-08
108,108,18:29,DL1164,Atlanta (ATL),Delta Air Lines B739 (N910DU),Landed 18:25,2021-06-08
109,109,18:30 WN623,,Phoenix (PHX),Southwest Airlines B737 (N498WN),Landed 18:40,2021-06-08
110,110,18:31 NK495,,Fort Lauderdale (FLL),Spirit Airlines A320 (N639NK),Landed 18:10,2021-06-08
111,111,18:35,DL4829,New York (JFK),Delta Connection CRJ9 (N929XJ),Landed 18:37,2021-06-08
112,112,18:45 WN882,,Denver (DEN),Southwest Airlines B737 (N7744A),Landed 19:02,2021-06-08
113,113,18:46,AA1888,Dallas (DFW),American Airlines B738 (N933NN),Landed 18:52,2021-06-08
114,114,18:47 DL5834,,Tampa (TPA),Delta Connection E75S (N226JQ),Landed 18:36,2021-06-08
