,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,9:15 AM AR1798,,Buenos Aires (AEP),Aerolineas Argentinas 73R,Canceled,2020-10-14
1,1,5:10 PM AR1780,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-14
2,2,5:35 PM AR1794,,Buenos Aires (AEP),Aerolineas Argentinas 73R,Canceled,2020-10-14
3,3,10:55 PM AR2792,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-14
0,0,9:15 AM AR1798,,Buenos Aires (AEP),Aerolineas Argentinas 73R,Canceled,2020-10-15
1,1,5:35 PM AR1794,,Buenos Aires (AEP),Aerolineas Argentinas 73R,Canceled,2020-10-15
2,2,7:25 PM AR2561,,Cordoba (COR),Aerolineas Argentinas E90,Canceled,2020-10-15
3,3,10:55 PM AR2792,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-15
0,0,8:20 AM AR2752,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-16
1,1,11:50 AM AR2786,,Cordoba (COR),Austral E190 (LV-CIH),Unknown,2020-10-16
2,2,12:00 PM AR1798,,Buenos Aires (AEP),Aerolineas Argentinas 73R,Canceled,2020-10-16
3,3,5:10 PM AR1780,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-16
4,4,5:45 PM AR2794,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-16
5,5,7:25 PM AR2561,,Cordoba (COR),Aerolineas Argentinas E90,Canceled,2020-10-16
0,0,9:15 AM AR1798,,Buenos Aires (AEP),Aerolineas Argentinas 73R,Canceled,2020-10-17
1,1,5:10 PM AR1780,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-17
2,2,5:25 PM AR2794,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-17
3,3,10:55 PM AR2792,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-17
0,0,8:20 AM AR2752,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-18
1,1,5:10 PM AR1780,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-18
2,2,5:25 PM AR2794,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-18
3,3,7:25 PM AR2561,,Cordoba (COR),Aerolineas Argentinas E90,Canceled,2020-10-18
4,4,10:55 PM AR2792,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-18
0,0,8:20 AM AR2752,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-19
1,1,9:15 AM AR1798,,Buenos Aires (AEP),Aerolineas Argentinas 73R,Canceled,2020-10-19
2,2,5:10 PM AR1780,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-19
3,3,5:35 PM AR1794,,Buenos Aires (AEP),Aerolineas Argentinas 73R,Canceled,2020-10-19
4,4,7:25 PM AR2561,,Cordoba (COR),Aerolineas Argentinas E90,Canceled,2020-10-19
5,5,10:55 PM AR2792,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-19
0,0,9:15 AM AR1798,,Buenos Aires (AEP),Aerolineas Argentinas 73R,Canceled,2020-10-20
1,1,5:35 PM AR1794,,Buenos Aires (AEP),Aerolineas Argentinas 73R,Canceled,2020-10-20
2,2,10:55 PM AR2792,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-20
0,0,9:15 AM AR1798,,Buenos Aires (AEP),Aerolineas Argentinas 73R,Canceled,2020-10-21
1,1,5:10 PM AR1780,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-21
2,2,5:35 PM AR1794,,Buenos Aires (AEP),Aerolineas Argentinas 73R,Canceled,2020-10-21
3,3,10:55 PM AR2792,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-21
0,0,9:15 AM AR1798,,Buenos Aires (AEP),Aerolineas Argentinas 73R,Canceled,2020-10-22
