,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,2:05 AM AR1882,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-14
1,1,7:35 AM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-14
2,2,8:10 AM AR1850,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-14
3,3,5:20 PM AR2880,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-14
0,0,2:05 AM AR1882,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-15
1,1,8:10 AM AR1850,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-15
2,2,5:20 PM AR2880,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-15
0,0,2:05 AM AR1882,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-16
1,1,7:35 AM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-16
2,2,8:10 AM AR1850,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-16
0,0,2:05 AM AR1882,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-17
1,1,8:10 AM AR2850,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-17
0,0,2:05 AM AR1882,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-18
1,1,7:35 AM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-18
2,2,8:10 AM AR2850,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-18
0,0,2:05 AM AR1882,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-19
1,1,7:35 AM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-19
2,2,8:10 AM AR1850,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-19
3,3,5:20 PM AR2880,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-19
0,0,2:05 AM AR1882,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-20
1,1,8:10 AM AR2850,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-20
0,0,2:05 AM AR1882,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-21
1,1,8:10 AM AR1850,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-21
2,2,1:45 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-21
3,3,5:20 PM AR2880,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-21
0,0,2:05 AM AR1882,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-22
1,1,8:10 AM AR1850,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-22
2,2,5:20 PM AR2880,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-22
0,0,2:05 AM AR1882,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-23
1,1,7:35 AM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-23
2,2,8:10 AM AR1850,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-23
0,0,2:05 AM AR1882,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-24
1,1,8:10 AM AR2850,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-24
0,0,2:05 AM AR1882,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-25
1,1,8:10 AM AR2850,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-25
0,0,2:05 AM AR1882,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-26
1,1,8:10 AM AR1850,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-26
2,2,5:20 PM AR2880,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-26
0,0,2:05 AM AR1882,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-27
1,1,8:10 AM AR2850,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-27
0,0,2:05 AM AR1882,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-28
1,1,8:10 AM AR1850,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-28
2,2,1:45 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-28
3,3,5:20 PM AR2880,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-28
0,0,2:05 AM AR1882,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-29
0,0,1:45 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-11-02
0,0,1:45 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-GVC),Landed 1:49 PM,2020-11-04
0,0,1:45 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-CTC),Landed 2:05 PM,2020-11-11
0,0,1:45 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-GKU),Landed 1:46 PM,2020-11-18
0,0,1:45 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-FVM),Unknown,2020-11-25
0,0,9:15 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-FXQ),Landed 9:52 PM,2020-12-02
0,0,9:15 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-GKU),Landed 9:56 PM,2020-12-06
0,0,9:15 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-FVM),Landed 9:35 PM,2020-12-09
0,0,9:15 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-GVA),Landed 9:19 PM,2020-12-13
0,0,9:15 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-GVC),Landed 9:28 PM,2020-12-16
0,0,9:15 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-FXQ),Landed 9:14 PM,2020-12-20
0,0,9:15 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-GVA),Landed 9:09 PM,2020-12-23
0,0,9:15 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-FXQ),Landed 8:52 PM,2020-12-25
0,0,9:15 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-FRQ),Landed 8:57 PM,2020-12-27
0,0,10:35 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-GKU),Landed 10:40 PM,2021-01-01
0,0,10:35 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-FXQ),Landed 10:39 PM,2021-01-03
0,0,11:25 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-GVA),Delayed 2:37 AM,2021-01-04
0,0,10:35 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-FRQ),Landed 11:15 PM,2021-01-05
0,0,10:35 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-GVC),Delayed 12:54 AM,2021-01-06
0,0,10:35 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas (Retro Livery) B737 (LV-GOO),Landed 10:20 PM,2021-01-10
0,0,10:35 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-FXQ),Landed 10:36 PM,2021-01-11
0,0,10:40 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas E190 (LV-CIE),Unknown,2021-01-12
0,0,10:35 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-GKT),Landed 10:24 PM,2021-02-01
0,0,10:35 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-GKT),Landed 10:19 PM,2021-02-02
0,0,10:35 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-FXQ),Landed 10:38 PM,2021-02-03
0,0,10:35 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-FQZ),Landed 10:42 PM,2021-02-05
0,0,10:35 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-GKU),Landed 10:26 PM,2021-02-07
0,0,10:35 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-GVC),Landed 10:22 PM,2021-02-08
0,0,10:35 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas (Retro Livery) B737 (LV-GOO),Landed 10:14 PM,2021-02-09
0,0,10:35 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-FXQ),Landed 10:25 PM,2021-02-12
0,0,10:35 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-GVC),Landed 10:34 PM,2021-02-14
0,0,10:00 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas (SkyTeam Livery) E190 (LV-FPS),Unknown,2021-03-11
0,0,21:55 AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B737 (LV-CBT),Landed 21:56,2021-03-12
0,0,21:55 AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B737 (LV-CBT),Landed 21:44,2021-03-13
0,0,21:35 AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-FVM),Landed 22:11,2021-03-14
0,0,9:55 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas (Skyteam Livery) B737 (LV-BZA),Landed 9:33 PM,2021-03-15
0,0,21:55 AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B737 (LV-CBT),Landed 21:44,2021-03-16
0,0,21:50 AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B737 (LV-CAP),Landed 21:31,2021-03-17
0,0,9:55 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas (Retro Livery) B737 (LV-GOO),Landed 10:01 PM,2021-03-18
0,0,22:55 AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B737 (LV-CBT),Landed 22:33,2021-03-19
0,0,22:55 AR1800,,Buenos Aires (EZE),Aerolineas Argentinas B737 (LV-CBT),Landed 22:30,2021-03-20
0,0,22:15 AR1800,,Buenos Aires (EZE),Aerolineas Argentinas (Retro Livery) B737 (LV-GOO),Landed 22:01,2021-03-21
0,0,10:15 PM AR1800,,Buenos Aires (EZE),Aerolineas Argentinas (Retro Livery) B737 (LV-GOO),Landed 10:01 PM,2021-03-21
0,0,20:55 AR1800,,Buenos Aires (AEP),Aerolineas Argentinas (Retro Livery) B737 (LV-GOO),Landed 20:38,2021-03-22
0,0,21:55 AR1800,,Buenos Aires (AEP),Aerolineas Argentinas B737 (LV-CBT),Landed 21:44,2021-03-23
0,0,20:55 AR1800,,Buenos Aires (AEP),Aerolineas Argentinas (Skyteam Livery) B737 (LV-BZA),Landed 20:35,2021-03-24
0,0,9:55 PM AR1800,,Buenos Aires (AEP),Aerolineas Argentinas (Skyteam Livery) B737 (LV-BZA),Landed 9:33 PM,2021-03-25
0,0,21:55 AR1800,,Buenos Aires (AEP),Aerolineas Argentinas (Retro Livery) B737 (LV-GOO),Landed 21:38,2021-03-26
