,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:11,DL1943,New York (JFK),Delta Air Lines B739 (N804DN),Landed 23:21,2021-05-09
1,1,00:55,AA956,Miami (MIA),American Airlines B38M (N338RS),Landed 00:45,2021-05-09
2,2,01:38 B62809,,New York (JFK),JetBlue Airways A321 (N907JB),Unknown,2021-05-09
3,3,01:45 NK644,,Fort Lauderdale (FLL),Spirit Airlines A319 (N535NK),Landed 01:33,2021-05-09
4,4,02:49 B62729,,Boston (BOS),JetBlue Airways A320 (N629JB),Landed 02:41,2021-05-09
5,5,05:20 AM654,,Mexico City (MEX),Aeromexico Connect E190 (XA-ACJ),Landed 04:52,2021-05-09
6,6,06:15 M68733,,Miami (MIA),Titan Airways A321 (G-NIKO),Landed 06:47,2021-05-09
7,7,07:38 B61937,,San Juan (SJU),JetBlue Airways E190 (N273JB),Landed 07:13,2021-05-09
8,8,08:08 F997,,San Juan (SJU),Frontier (North the Harp Seal Livery) A20N (N338FR),Landed 08:02,2021-05-09
9,9,08:36,B61203,New York (EWR),JetBlue Airways (JetBlue Vacations Livery) A320 (N648JB),Landed 08:37,2021-05-09
10,10,08:38 B6209,,New York (JFK),JetBlue Airways A321 (N999JQ),Landed 08:30,2021-05-09
11,11,09:19 B62829,,Boston (BOS),JetBlue Airways A321 (N905JB),Landed 09:27,2021-05-09
12,12,10:16 NC804,,Miami (MIA),StratAir B763 (N351CM),Landed 10:15,2021-05-09
13,13,10:18 B61009,,New York (JFK),JetBlue Airways A21N (N2043J),Unknown,2021-05-09
14,14,10:25 4J520,,Willemstad (CUR),FlyDamas F70,Unknown,2021-05-09
15,15,10:30 VNE512,,Caracas (CCS),Venezolana 732,Unknown,2021-05-09
16,16,10:53 AA2727,,Miami (MIA),American Airlines B738 (N813NN),Landed 10:28,2021-05-09
17,17,11:03 B61409,,New York (JFK),JetBlue Airways (I ♥ NY Livery) A320 (N586JB),Landed 10:47,2021-05-09
18,18,11:10 QL2966,,Caracas (CCS),Laser Airlines M82,Unknown,2021-05-09
19,19,11:18 2Q406,,San Juan (SJU),Air Cargo Carriers SH36,Canceled,2021-05-09
20,20,11:36 UA1984,,New York (EWR),United Airlines B739 (N68822),Landed 11:17,2021-05-09
21,21,11:44 CM107,,Panama City (PTY),Copa Airlines B738 (HP-1729CMP),Landed 11:24,2021-05-09
22,22,11:48 5X382,,Miami (MIA),UPS B763 (N350UP),Unknown,2021-05-09
23,23,12:02 DL1917,,New York (JFK),Delta Air Lines B739 (N805DN),Landed 11:32,2021-05-09
24,24,12:10 JY407,,Kingston (KIN),InterCaribbean Airways EM2,Canceled,2021-05-09
25,25,12:10 NK377,,Orlando (MCO),Spirit Airlines A319 (N523NK),Landed 11:58,2021-05-09
26,26,12:16 WL1201,,Miami (MIA),World Atlantic Airlines MD83 (N807TR),Landed 11:59,2021-05-09
27,27,12:17,B61049,Fort Lauderdale (FLL),JetBlue Airways E190 (N309JB),Landed 13:06,2021-05-09
28,28,12:36 AA933,,Charlotte (CLT),American Airlines A321 (N982VJ),Landed 12:03,2021-05-09
29,29,12:40 JY459,,Havana (HAV),InterCaribbean Airways ER4,Canceled,2021-05-09
30,30,12:42 NK145,,Fort Lauderdale (FLL),Spirit Airlines A321 (N675NK),Landed 12:44,2021-05-09
31,31,12:53 AA987,,Miami (MIA),American Airlines B738 (N895NN),Landed 13:00,2021-05-09
32,32,13:00 JY233,,Providenciales (PLS),InterCaribbean Airways E145 (VQ-TLR),Landed 12:59,2021-05-09
33,33,13:05 JY410,,Beef Island (EIS),InterCaribbean Airways E120 (VQ-TPG),Landed 12:46,2021-05-09
34,34,13:16,DL1958,Atlanta (ATL),Delta Air Lines B739 (N832DN),Landed 13:15,2021-05-09
35,35,13:28 AA848,,Philadelphia (PHL),American Airlines B738 (N964NN),Landed 12:41,2021-05-09
36,36,13:54 DL1905,,New York (JFK),Delta Air Lines B739 (N808DN),Landed 13:17,2021-05-09
37,37,14:09 UA2404,,New York (EWR),United Airlines B739 (N37464),Landed 13:46,2021-05-09
38,38,14:46 AA1481,,Miami (MIA),American Airlines B38M (N310RF),Landed 14:22,2021-05-09
39,39,14:58 B62937,,San Juan (SJU),JetBlue Airways A320 (N630JB),Landed 14:38,2021-05-09
40,40,15:13 B61149,,Fort Lauderdale (FLL),JetBlue Airways E190 (N329JB),Landed 15:16,2021-05-09
41,41,15:16 F998,,Orlando (MCO),Frontier (Mia the Dolphin Livery) A20N (N311FR),Landed 14:54,2021-05-09
42,42,15:29,B61405,Orlando (MCO),JetBlue Airways A320 (N509JB),Landed 15:41,2021-05-09
43,43,16:16 AA941,,Miami (MIA),American Airlines B38M (N326RP),Landed 16:41,2021-05-09
44,44,16:50 DL1908,,New York (JFK),Delta Air Lines B739 (N817DN),Landed 16:21,2021-05-09
45,45,18:15 AV250,,Bogota (BOG),Avianca A319 (N751AV),Landed 17:47,2021-05-09
46,46,18:20,B61903,New York (EWR),JetBlue Airways A320 (N646JB),Landed 18:11,2021-05-09
47,47,18:45,UX89,Madrid (MAD),Air Europa B789 (EC-NGN),Landed 19:10,2021-05-09
48,48,19:23,B61309,New York (JFK),JetBlue Airways A321 (N974JT),Landed 19:26,2021-05-09
49,49,19:44 B62037,,San Juan (SJU),JetBlue Airways E190 (N273JB),Landed 19:28,2021-05-09
50,50,20:20,IB6501,Madrid (MAD),Iberia A333 (EC-LYF),Landed 20:35,2021-05-09
51,51,20:35,B6609,New York (JFK),JetBlue Airways A21N (N2048J),Landed 20:16,2021-05-09
52,52,21:18 UA204,,Washington (IAD),United Airlines B738 (N37277),Landed 22:43,2021-05-09
53,53,22:10,AA1511,Miami (MIA),American Airlines B38M (N310RF),Landed 22:29,2021-05-09
54,54,23:41 B6503,,New York (EWR),JetBlue Airways (JetBlue Vacations Livery) A320 (N603JB),Landed 23:28,2021-05-09
55,55,23:56 UA1471,,New York (EWR),United Airlines B739 (N68823),Landed 23:49,2021-05-09
0,0,00:11,DL1943,New York (JFK),Delta Air Lines B739 (N887DN),Landed 23:42,2021-05-10
1,1,00:55,AA956,Miami (MIA),American Airlines B38M (N328RR),Landed 00:44,2021-05-10
2,2,01:32 5X402,,Miami (MIA),UPS B752 (N453UP),Landed 01:49,2021-05-10
