,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,07:14 LA3568,,Sao Paulo (CGH),LATAM Airlines A319 (PR-MYL),Landed 07:02,2021-06-08
1,1,07:15 AD4209,,Curitiba (CWB),Azul Linhas Aereas A20N (PR-YYE),Landed 07:11,2021-06-08
2,2,07:45 AD4000,,Sao Paulo (CGH),Azul Linhas Aereas E195 (PR-AYN),Unknown,2021-06-08
3,3,08:00 AD4479,,Goiania (GYN),Azul Linhas Aereas (Pink Ribbon Livery) A20N (PR-YRS),Landed 07:44,2021-06-08
4,4,08:00 LA3397,,Salvador (SSA),LATAM Airlines A319 (PT-TMI),Landed 08:01,2021-06-08
5,5,08:05 G31004,,Sao Paulo (CGH),GOL Linhas Aereas B738 (PR-GXB),Landed 07:40,2021-06-08
6,6,08:30,LA3197,Sao Paulo (GRU),LATAM Airlines A319 (PT-TMO),Landed 09:15,2021-06-08
7,7,08:55,AD4173,Campinas (VCP),Azul Linhas Aereas E195 (PR-AXJ),Unknown,2021-06-08
8,8,09:03,LA3198,Sao Paulo (GRU),LATAM Airlines A319 (PR-MBN),Landed 09:11,2021-06-08
9,9,09:05 LA3123,,Sao Paulo (CGH),LATAM Airlines A319 (PR-MYM),Landed 08:35,2021-06-08
10,10,09:15 G31008,,Sao Paulo (CGH),GOL Linhas Aereas B738 (PR-GXR),Landed 08:54,2021-06-08
11,11,09:35 AD4071,,Vitoria (VIX),Azul Linhas Aereas E195 (PR-AUJ),Landed 09:27,2021-06-08
12,12,09:55 AD9160,,Campinas (VCP),Azul Linhas Aereas AT76 (PR-AKA),Landed 10:10,2021-06-08
13,13,10:00,AD4350,Campinas (VCP),Azul Linhas Aereas E195 (PR-AYF),Unknown,2021-06-08
14,14,10:00 AD4414,,Belo Horizonte (CNF),Azul Linhas Aereas (Sustentabilidade Livery) E195 (PR-AYX),Unknown,2021-06-08
15,15,10:00,G31076,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GUZ),Landed 09:41,2021-06-08
16,16,10:10 AD4002,,Sao Paulo (CGH),Azul Linhas Aereas E195 (PR-AYW),Unknown,2021-06-08
17,17,10:30 LA4550,,Brasilia (BSB),LATAM Airlines A319 (PT-TMG),Landed 10:21,2021-06-08
18,18,10:35 AD4767,,Curitiba (CWB),Azul Linhas Aereas 320,Unknown,2021-06-08
19,19,10:55 G32061,,Brasilia (BSB),GOL Linhas Aereas B738 (PR-GXT),Landed 10:44,2021-06-08
20,20,10:56 LA3573,,Sao Paulo (CGH),LATAM Airlines A319 (PR-MYL),Landed 10:47,2021-06-08
21,21,11:10 AD4792,,Brasilia (BSB),Azul Linhas Aereas A20N (PR-YYD),Landed 10:52,2021-06-08
22,22,11:15 AD4030,,Porto Alegre (POA),Azul Linhas Aereas A20N (PR-YYC),Landed 11:06,2021-06-08
23,23,11:15,AD4719,Belo Horizonte (CNF),Azul Linhas Aereas 320,Unknown,2021-06-08
24,24,11:43 LA3391,,Vitoria (VIX),LATAM Airlines A319 (PT-TMI),Landed 11:37,2021-06-08
25,25,11:55,AD4253,Recife (REC),Azul Linhas Aereas A20N (PR-YRV),Landed 11:28,2021-06-08
26,26,12:10 AD4004,,Sao Paulo (CGH),Azul Linhas Aereas E195 (PR-AYZ),Unknown,2021-06-08
27,27,12:59,LA3201,Sao Paulo (GRU),LATAM Airlines A319 (PR-MBN),Landed 12:48,2021-06-08
28,28,13:40 LA3293,,Brasilia (BSB),LATAM Airlines A319 (PT-TMD),Landed 13:33,2021-06-08
29,29,13:50,AD4373,Sao Paulo (GRU),Azul Linhas Aereas E195 (PR-AXK),Unknown,2021-06-08
30,30,14:10 AD4006,,Sao Paulo (CGH),Azul Linhas Aereas E95,Unknown,2021-06-08
31,31,14:10,AD4611,Campos dos Goytacazes (CAW),Azul Linhas Aereas AT7,Unknown,2021-06-08
32,32,14:15 AD4096,,Belo Horizonte (CNF),Azul Linhas Aereas E195 (PR-AYN),Unknown,2021-06-08
33,33,14:20,G31058,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GUZ),Landed 14:04,2021-06-08
34,34,14:23,LA3187,Sao Paulo (GRU),LATAM Airlines A319 (PT-TML),Landed 14:28,2021-06-08
