,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:25 U6575,,Moscow (DME),Ural Airlines A321 (VP-BBH),Landed 00:45,2021-06-08
1,1,00:45 U677,,Yekaterinburg (SVX),Ural Airlines 319,Unknown,2021-06-08
2,2,01:00 SU1586,,Moscow (SVO),Aeroflot 320,Canceled,2021-06-08
3,3,01:20 SU6897,,St. Petersburg (LED),Aeroflot 319,Canceled,2021-06-08
4,4,02:00 5N187,,Arkhangelsk (ARH),Smartavia B738 (VQ-BEE),Landed 01:37,2021-06-08
5,5,02:10 WZ331,,Saratov (GSV),Red Wings SU95 (RA-89144),Landed 01:54,2021-06-08
6,6,02:25 5N177,,Syktyvkar (SCW),Smartavia B738 (VP-BEV),Landed 02:26,2021-06-08
7,7,02:50 SU6899,,St. Petersburg (LED),Rossiya A319 (VQ-BAV),Landed 02:22,2021-06-08
8,8,03:05 U67,,Moscow (DME),Ural Airlines A320 (VQ-BDJ),Landed 02:51,2021-06-08
9,9,04:00 SU1632,,Moscow (SVO),Aeroflot A320 (VP-BNL),Landed 03:40,2021-06-08
10,10,04:10 5N410,,Volgograd (VOG),SmartAvia A20N (VP-BOS),Landed 03:54,2021-06-08
11,11,04:35,WZ311,Moscow (DME),Red Wings A321 (VP-BRW),Landed 04:15,2021-06-08
12,12,04:50 5N259,,Moscow (DME),Smartavia B738 (VQ-BBY),Landed 04:26,2021-06-08
13,13,06:05 N4115,,Perm (PEE),Nordwind Airlines A321 (VQ-BOD),Landed 06:05,2021-06-08
14,14,06:20 WZ708,,Omsk (OMS),Red Wings A321 (VP-BRQ),Landed 05:55,2021-06-08
15,15,06:50 S75141,,Novosibirsk (OVB),S7 Airlines A20N (VQ-BSC),Landed 06:18,2021-06-08
16,16,07:30 U62931,,Yekaterinburg (SVX),Ural Airlines A319 (VP-BBG),Landed 07:13,2021-06-08
17,17,08:00 6R594,,Kemerovo (KEJ),Alrosa 738,Unknown,2021-06-08
18,18,08:05 SU1650,,Moscow (SVO),Aeroflot A320 (VP-BTO),Landed 07:42,2021-06-08
19,19,08:10,EO613,Orsk (OSW),Pegas Fly E90,Unknown,2021-06-08
20,20,08:25 SU2800,,Sochi (AER),Aeroflot SU95 (RA-89125),Landed 08:15,2021-06-08
21,21,08:25 U647,,Moscow (DME),Ural Airlines A320 (VP-BKX),Landed 09:30,2021-06-08
22,22,08:40 U6140,,Nizhnevartovsk (NJC),Ural Airlines 319,Unknown,2021-06-08
23,23,08:45 N4131,,Yekaterinburg (SVX),Nordwind Airlines B738 (VP-BSK),Landed 08:43,2021-06-08
24,24,08:50 SU1636,,Moscow (SVO),Aeroflot A320 (VQ-BPU),Landed 08:34,2021-06-08
25,25,08:55 S72001,,Moscow (DME),S7 Airlines (Street Art Museum Livery) A320 (VP-BOG),Landed 08:30,2021-06-08
26,26,09:00 U6525,,Moscow (DME),Ural Airlines A320 (VQ-BDJ),Landed 09:37,2021-06-08
27,27,09:30,WZ701,St. Petersburg (LED),Red Wings A320 (VP-BWX),Landed 09:16,2021-06-08
28,28,10:00 SU1644,,Moscow (SVO),Aeroflot A321 (VP-BFF),Landed 09:34,2021-06-08
29,29,10:05 U6632,,Barnaul (BAX),Ural Airlines A319 (VQ-BTP),Landed 09:27,2021-06-08
30,30,10:10 U6151,,Surgut (SGC),Ural Airlines A320 (VP-BIE),Landed 11:14,2021-06-08
31,31,10:20 N4501,,Krasnoyarsk (KJA),Nordwind Airlines B738 (VP-BPI),Landed 09:54,2021-06-08
32,32,10:25 SU1584,,Moscow (SVO),Aeroflot B77W (VQ-BUB),Landed 09:40,2021-06-08
33,33,10:30 S72009,,Moscow (DME),S7 Airlines A319 (VP-BHJ),Unknown,2021-06-08
34,34,10:35 N427,,Barnaul (BAX),Nordwind Airlines A321 (VP-BGH),Landed 10:12,2021-06-08
35,35,10:40 SU6891,,St. Petersburg (LED),Rossiya A319 (VP-BBU),Landed 10:31,2021-06-08
36,36,10:40 S72021,,Moscow (DME),S7 Airlines A319 (VP-BHL),Landed 10:23,2021-06-08
37,37,10:45 N4123,,Moscow (SVO),Nordwind Airlines A321 (VP-BRD),Landed 10:27,2021-06-08
38,38,10:50 S72005,,Moscow (DME),S7 Airlines B738 (VQ-BMG),Landed 10:20,2021-06-08
39,39,10:55 N498,,Ufa (UFA),Nordwind Airlines A321 (VQ-BOE),Landed 10:33,2021-06-08
40,40,11:00 SU6151,,Moscow (SVO),Rossiya B773 (EI-XLP),Landed 10:51,2021-06-08
41,41,11:10,WZ307,Moscow (DME),Red Wings A321 (VP-BRB),Landed 11:04,2021-06-08
42,42,11:25 U643,,Moscow (DME),Ural Airlines A321 (VQ-BGY),Landed 11:38,2021-06-08
43,43,11:40 WZ7064,,Ufa (UFA),Red Wings A321 (VP-BVT),Landed 11:19,2021-06-08
44,44,11:45 SU1660,,Moscow (SVO),Aeroflot A320 (VP-BNL),Landed 11:25,2021-06-08
45,45,11:45 S75135,,Novosibirsk (OVB),S7 Airlines A20N (VQ-BRB),Landed 11:08,2021-06-08
46,46,11:45 YC548,,Nadym (NYM),Yamal Airlines A320 (VP-BHZ),Landed 11:31,2021-06-08
47,47,11:50 S72007,,Moscow (DME),S7 Airlines (Oneworld Livery) B738 (VQ-BKW),Landed 11:28,2021-06-08
48,48,12:00 SU1620,,Moscow (SVO),Aeroflot A321 (VP-BJX),Landed 11:34,2021-06-08
49,49,12:25 U671,,Moscow (DME),Ural Airlines A320 (VQ-BGI),Landed 12:26,2021-06-08
50,50,12:55 5N553,,Moscow (DME),Smartavia B738 (VQ-BEE),Landed 12:41,2021-06-08
51,51,13:00 IO555,,Moscow (DME),IrAero SU95 (RA-89075),Landed 14:10,2021-06-08
52,52,13:25,WZ770,Kazan (KZN),Red Wings A321 (VP-BRQ),Landed 13:33,2021-06-08
53,53,13:35 SU6983,,St. Petersburg (LED),Rossiya A319 (VP-BWJ),Landed 13:23,2021-06-08
54,54,13:45 U62831,,Moscow (DME),Ural Airlines A320 (VP-BMW),Landed 14:05,2021-06-08
55,55,13:55 WZ728,,Yekaterinburg (SVX),Red Wings A321 (VP-BRW),Landed 13:37,2021-06-08
56,56,14:00 N4523,,Moscow (SVO),Nordwind Airlines A321 (VQ-BOE),Landed 18:33,2021-06-08
57,57,14:05 S72017,,Moscow (DME),S7 Airlines A20N (VQ-BCK),Landed 13:49,2021-06-08
58,58,14:10 R3781,,Moscow (VKO),Yakutia Airlines B738 (VP-BVE),Landed 16:58,2021-06-08
59,59,14:10 SU6985,,St. Petersburg (LED),Rossiya A319 (VP-BBT),Landed 13:59,2021-06-08
60,60,14:10 U6657,,St. Petersburg (LED),Ural Airlines A320 (VQ-BCY),Landed 14:13,2021-06-08
61,61,14:15 7R951,,Kursk (URS),RusLine CRJ1 (VP-BNK),Unknown,2021-06-08
62,62,14:20 SU6153,,Moscow (SVO),Rossiya B773 (EI-UNN),Landed 16:20,2021-06-08
63,63,14:30 SU1622,,Moscow (SVO),Aeroflot A321 (VP-BKJ),Landed 14:18,2021-06-08
64,64,14:55 6R556,,Tyumen (TJM),Alrosa B738 (EI-FCH),Landed 14:36,2021-06-08
65,65,15:00 N4295,,Naberezhnye Chelny (NBC),Nordwind Airlines A321 (VQ-BOD),Landed 14:45,2021-06-08
66,66,15:15 SU2968,,Murmansk (MMK),Aeroflot A320 (VP-BIJ),Landed 15:07,2021-06-08
67,67,15:20 A4505,,Mineralnye Vody (MRV),Azimuth SU95 (RA-89120),Landed 15:17,2021-06-08
68,68,15:25 SU1648,,Moscow (SVO),Aeroflot A321 (VP-BES),Landed 15:22,2021-06-08
69,69,15:30 N4125,,Samara (KUF),Nordwind Airlines B738 (VP-BSK),Landed 15:49,2021-06-08
70,70,15:35 U633,,Moscow (DME),Ural Airlines A320 (VP-BBQ),Landed 15:35,2021-06-08
71,71,16:05 S72011,,Moscow (DME),S7 Airlines A20N (VQ-BSD),Landed 16:07,2021-06-08
