,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,03:36 1I314,,Badin (BDN),NetJets EP3,Unknown,2021-06-08
1,1,06:55,,Portland (HIO),- E45X (N286DP),Landed 07:58,2021-06-08
2,2,07:05,,Phoenix (AZA),- E45X (N386AZ),Landed 08:00,2021-06-08
3,3,07:10 WN5577,,Ontario (ONT),Southwest Airlines B738 (N8632A),Landed 06:55,2021-06-08
4,4,07:15 WN4356,,Las Vegas (LAS),Southwest Airlines B38M (N8811L),Landed 07:22,2021-06-08
5,5,07:35 WN4529,,Los Angeles (LAX),Southwest Airlines B737 (N933WN),Landed 07:20,2021-06-08
6,6,07:55 WN623,,Portland (PDX),Southwest Airlines B737 (N498WN),Landed 07:45,2021-06-08
7,7,08:15 WN2976,,San Diego (SAN),Southwest Airlines B737 (N748SW),Landed 07:48,2021-06-08
8,8,08:17 AS3465,,Los Angeles (LAX),Alaska SkyWest E75L (N182SY),Landed 07:55,2021-06-08
9,9,08:25 WN5534,,Phoenix (PHX),Southwest Airlines B737 (N709SW),Landed 08:18,2021-06-08
10,10,08:35 AS2174,,Spokane (GEG),Alaska Horizon E75L (N624QX),Landed 08:40,2021-06-08
11,11,08:35,,Fresno (FAT),- GA5C (N500XX),Landed 08:42,2021-06-08
12,12,08:37,DL3819,Los Angeles (LAX),Delta Connection E75L (N265SY),Landed 08:23,2021-06-08
13,13,08:40 WN3705,,Santa Ana (SNA),Southwest Airlines B737 (N7833A),Landed 08:26,2021-06-08
14,14,08:45 AS338,,Seattle (SEA),Alaska Airlines (Sub Pop Livery) B738 (N587AS),Landed 08:34,2021-06-08
15,15,08:45,Y4930,Guadalajara (GDL),Volaris A320 (N526VL),Landed 08:33,2021-06-08
16,16,09:05 WN885,,Denver (DEN),Southwest Airlines B38M (N8706W),Landed 08:59,2021-06-08
17,17,09:07,,Redding (RDD),- S22T (N740TS),Landed 09:02,2021-06-08
18,18,09:09 DL3764,,Salt Lake City (SLC),Delta Connection E75L (N296SY),Landed 08:55,2021-06-08
19,19,09:30 WN2664,,Burbank (BUR),Southwest Airlines B737 (N733SA),Landed 09:13,2021-06-08
20,20,09:43,DL3608,Seattle (SEA),Delta Connection E75L (N269SY),Landed 09:28,2021-06-08
21,21,09:55,AS2210,Austin (AUS),Alaska Horizon E75L (N633QX),Landed 10:00,2021-06-08
22,22,09:57,AA2049,Phoenix (PHX),American Airlines A319 (N833AW),Landed 09:54,2021-06-08
23,23,10:05 WN4866,,Santa Ana (SNA),Southwest Airlines B737 (N915WN),Landed 11:06,2021-06-08
24,24,10:15 WN2145,,San Diego (SAN),Southwest Airlines B38M (N8719Q),Landed 09:56,2021-06-08
25,25,10:20 WN5537,,Los Angeles (LAX),Southwest Airlines B737 (N420WN),Landed 10:02,2021-06-08
26,26,10:27 1I800,,San Francisco (SFO),NetJets C700 (N800QS),Diverted to APC,2021-06-08
27,27,10:39 AS2393,,San Diego (SAN),Alaska Horizon E75L (N635QX),Canceled,2021-06-08
28,28,10:40 WN1184,,Las Vegas (LAS),Southwest Airlines B738 (N8314L),Landed 10:32,2021-06-08
29,29,10:47,AS3426,Los Angeles (LAX),Alaska SkyWest E75L (N196SY),Landed 10:25,2021-06-08
30,30,10:47,,Denver (BJC),- HDJT (N73NC),Landed 12:17,2021-06-08
31,31,10:55 WN4100,,Seattle (SEA),Southwest Airlines B737 (N203WN),Landed 10:48,2021-06-08
32,32,10:55 WN5202,,Dallas (DAL),Southwest Airlines B737 (N755SA),Landed 10:58,2021-06-08
33,33,10:55 WN5473,,Long Beach (LGB),Southwest Airlines B737 (N258WN),Landed 10:35,2021-06-08
34,34,11:04 AA3185,,Los Angeles (LAX),American Eagle CRJ7 (N744EV),Landed 10:38,2021-06-08
35,35,11:05,AA2046,Dallas (DFW),American Airlines B738 (N844NN),Landed 11:39,2021-06-08
36,36,11:10 AS324,,Seattle (SEA),Alaska Airlines B738 (N581AS),Landed 11:12,2021-06-08
37,37,11:10 WN555,,Chicago (MDW),Southwest Airlines B737 (N7846A),Landed 10:50,2021-06-08
38,38,11:24 1I604,,Dallas (DAL),NetJets C68A,Unknown,2021-06-08
39,39,11:30 WN751,,Phoenix (PHX),Southwest Airlines B38M (N8724J),Landed 11:26,2021-06-08
40,40,11:35,DL3594,Los Angeles (LAX),Delta Connection E75L (N268SY),Landed 11:50,2021-06-08
41,41,11:43,Y4604,Morelia (MLM),Volaris A20N (XA-VRL),Landed 11:35,2021-06-08
42,42,11:55 WN4,,Salt Lake City (SLC),Southwest Airlines B738 (N8554X),Landed 12:08,2021-06-08
43,43,11:57 AS2437,,Portland (PDX),Alaska Horizon E75L (N639QX),Landed 11:54,2021-06-08
44,44,12:00 WN1367,,San Diego (SAN),Southwest Airlines B737 (N7869A),Landed 11:44,2021-06-08
45,45,12:03 DL1128,,Salt Lake City (SLC),Delta Air Lines BCS1 (N138DU),Landed 11:59,2021-06-08
46,46,12:05 WN2440,,Boise (BOI),Southwest Airlines B737 (N426WN),Landed 12:00,2021-06-08
47,47,12:25 WN4629,,Burbank (BUR),Southwest Airlines B738 (N8551Q),Landed 12:11,2021-06-08
48,48,12:29 AS3452,,San Diego (SAN),Alaska SkyWest E75L (N187SY),Landed 12:14,2021-06-08
49,49,12:39,AA882,Phoenix (PHX),American Airlines A319 (N757UW),Landed 13:08,2021-06-08
50,50,12:45,UA2427,Denver (DEN),United Airlines A319 (N814UA),Landed 12:38,2021-06-08
51,51,12:46,DL3707,Seattle (SEA),Delta Connection E75L (N289SY),Landed 12:49,2021-06-08
52,52,12:50 WN2359,,Denver (DEN),Southwest Airlines B38M (N8744B),Landed 13:41,2021-06-08
53,53,12:50 WN3827,,Las Vegas (LAS),Southwest Airlines B737 (N417WN),Landed 12:39,2021-06-08
54,54,12:52,AS3424,Los Angeles (LAX),Alaska SkyWest E75L (N182SY),Landed 12:36,2021-06-08
55,55,13:09,,Santa Ana (SNA),- BE58 (N1054W),Landed 12:28,2021-06-08
56,56,13:45 WN5150,,Santa Ana (SNA),Southwest Airlines B737 (N7876A),Landed 13:34,2021-06-08
57,57,13:47,AA2834,Dallas (DFW),American Airlines A319 (N830AW),Landed 14:39,2021-06-08
58,58,13:50 AS1180,,Seattle (SEA),Alaska Airlines B739 (N408AS),Landed 14:36,2021-06-08
59,59,14:03,Y4968,Guadalajara (GDL),Volaris A20N (XA-VRT),Landed 13:50,2021-06-08
60,60,14:12,DL3735,Los Angeles (LAX),Delta Connection E75L (N262SY),Landed 14:41,2021-06-08
61,61,14:25 WN1680,,Los Angeles (LAX),Southwest Airlines B737 (N470WN),Landed 14:09,2021-06-08
62,62,14:30 WN4874,,Spokane (GEG),Southwest Airlines B737 (N7877H),Landed 14:54,2021-06-08
63,63,14:33,,Seattle (BFI),- B350 (N939FS),Landed 02:09,2021-06-08
64,64,14:35 WN5370,,San Diego (SAN),Southwest Airlines B737 (N420WN),Landed 14:21,2021-06-08
65,65,14:50 WN3288,,Ontario (ONT),Southwest Airlines B738 (N8519R),Landed 14:32,2021-06-08
66,66,15:02 GAJ883,,Santa Barbara (SBA),Wheels Up B350 (N883UP),Landed 14:58,2021-06-08
67,67,15:05 AS3387,,Boise (BOI),Alaska SkyWest E75L (N198SY),Landed 15:06,2021-06-08
68,68,15:18,UA5293,Denver (DEN),United Express CRJ7 (N793SK),Landed 15:29,2021-06-08
69,69,15:20 WN4728,,Seattle (SEA),Southwest Airlines B737 (N747SA),Landed 15:13,2021-06-08
70,70,15:24,,Salt Lake City (SLC),- CL60 (N888YC),Landed 16:27,2021-06-08
71,71,15:34 AS3364,,San Diego (SAN),Alaska SkyWest E75L (N185SY),Landed 15:09,2021-06-08
72,72,15:45 WN2668,,Santa Ana (SNA),Southwest Airlines B737 (N412WN),Landed 16:38,2021-06-08
73,73,15:58 SIS915,,Santa Ynez (SQA),Silver Air PC12,Landed 15:54,2021-06-08
74,74,15:59 DL2775,,Salt Lake City (SLC),Delta Air Lines BCS1 (N141DU),Landed 16:24,2021-06-08
75,75,16:11,,Sacramento (MCC),- BE58 (N222RG),Landed 16:18,2021-06-08
76,76,16:15 AS2142,,Portland (PDX),Alaska Horizon E75L (N637QX),Landed 16:31,2021-06-08
77,77,16:20 KOW935,,South Lake Tahoe (TVL),- C750,Unknown,2021-06-08
78,78,16:30 AS259,,San Jose del Cabo (SJD),Alaska Airlines B739 (N285AK),Landed 16:11,2021-06-08
79,79,16:30 WN3998,,Burbank (BUR),Southwest Airlines B737 (N7835A),Landed 17:14,2021-06-08
80,80,16:35 WN1808,,Dallas (DAL),Southwest Airlines B737 (N415WN),Landed 16:47,2021-06-08
81,81,16:37,DL3530,Seattle (SEA),Delta Connection E75L (N286SY),Landed 16:43,2021-06-08
82,82,16:42,AS2279,Los Angeles (LAX),Alaska Horizon E75L (N630QX),Landed 16:13,2021-06-08
83,83,16:43 5X2954,,Dallas (DFW),UPS B763 (N307UP),Landed 16:37,2021-06-08
84,84,16:45 WN5303,,Phoenix (PHX),Southwest Airlines B38M (N8730Q),Landed 16:40,2021-06-08
85,85,16:48 1I378,,Los Angeles (LAX),NetJets C680,Unknown,2021-06-08
86,86,16:59 WN5088,,Houston (HOU),Southwest Airlines B38M (N8708Q),Landed 17:00,2021-06-08
87,87,17:29 AS3428,,San Diego (SAN),Alaska SkyWest E75L (N176SY),Landed 17:04,2021-06-08
88,88,17:29 FX540,,Memphis (MEM),FedEx B763 (N134FE),Landed 17:55,2021-06-08
89,89,17:30 WN4218,,Denver (DEN),Southwest Airlines B38M (N8742M),Landed 17:31,2021-06-08
90,90,17:30 WN5161,,Honolulu (HNL),Southwest Airlines B738 (N8328A),Landed 17:27,2021-06-08
91,91,17:39 1I353,,Amarillo (AMA),NetJets E55P,Unknown,2021-06-08
92,92,17:45 WN5216,,Portland (PDX),Southwest Airlines B737 (N7813P),Landed 17:53,2021-06-08
93,93,17:55,AS3322,Seattle (SEA),Alaska SkyWest E75L (N186SY),Landed 17:57,2021-06-08
94,94,17:55 WN1136,,Las Vegas (LAS),Southwest Airlines B737 (N7713A),Landed 18:27,2021-06-08
95,95,18:00 WN4889,,San Diego (SAN),Southwest Airlines B38M (N8748Q),Landed 19:16,2021-06-08
96,96,18:10 WN1656,,Santa Ana (SNA),Southwest Airlines B737 (N7726A),Landed 17:52,2021-06-08
97,97,18:19 DL3754,,Salt Lake City (SLC),Delta Connection E75L (N261SY),Landed 18:17,2021-06-08
98,98,18:19,DL3807,Los Angeles (LAX),Delta Connection E75L (N262SY),Landed 18:15,2021-06-08
99,99,18:30 WN1085,,Kahului (OGG),Southwest Airlines B738 (N8325D),Landed 18:29,2021-06-08
100,100,18:47 AS235,,Guadalajara (GDL),Alaska Airlines B738 (N592AS),Landed 18:59,2021-06-08
101,101,19:05,AS2447,Austin (AUS),Alaska Horizon E75L (N633QX),Landed 19:03,2021-06-08
102,102,19:09,DL3768,Seattle (SEA),Delta Connection E75L (N289SY),Landed 19:05,2021-06-08
103,103,19:12,AS3362,Los Angeles (LAX),Alaska SkyWest E75L (N191SY),Landed 18:58,2021-06-08
104,104,19:22,AA3287,Los Angeles (LAX),American Eagle CRJ7 (N707EV),Landed 19:12,2021-06-08
105,105,19:28 AS856,,Kailua-Kona (KOA),Alaska Airlines B738 (N569AS),Landed 19:27,2021-06-08
106,106,19:39 1I243,,Las Vegas (LAS),NetJets CL60 (N243QS),Landed 19:22,2021-06-08
107,107,19:43 AS844,,Lihue (LIH),Alaska Airlines B738 (N593AS),Landed 19:38,2021-06-08
108,108,19:45 WN699,,Los Angeles (LAX),Southwest Airlines B38M (N8807L),Landed 19:53,2021-06-08
109,109,19:45 WN2146,,St. Louis (STL),Southwest Airlines B38M (N8719Q),Landed 19:39,2021-06-08
110,110,19:50,HA44,Honolulu (HNL),Hawaiian Airlines A21N (N218HA),Landed 19:45,2021-06-08
111,111,19:55 WN3060,,Nashville (BNA),Southwest Airlines B737 (N7735A),Landed 20:01,2021-06-08
112,112,19:59 AS3405,,San Diego (SAN),Alaska SkyWest E75L (N187SY),Landed 19:36,2021-06-08
113,113,20:05 WN5056,,Ontario (ONT),Southwest Airlines B737 (N449WN),Landed 20:18,2021-06-08
114,114,20:09 UA6158,,Houston (IAH),United Express E75L (N87353),Landed 19:59,2021-06-08
115,115,20:10 WN418,,Austin (AUS),Southwest Airlines B737 (N413WN),Landed 20:14,2021-06-08
116,116,20:15 WN4329,,Burbank (BUR),Southwest Airlines B737 (N7869A),Landed 20:16,2021-06-08
117,117,20:21 AS812,,Kahului (OGG),Alaska Airlines B738 (N594AS),Landed 21:34,2021-06-08
