,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,07:55,Y45640,Guadalajara (GDL),Volaris A320 (XA-VLN),Landed 07:32,2021-06-08
1,1,08:46,AA483,Dallas (DFW),American Airlines B738 (N907AN),Landed 08:46,2021-06-08
2,2,08:46,AM378,Mexico City (MEX),Aeromexico B738 (N368AR),Landed 08:16,2021-06-08
3,3,09:27,Y4176,Mexico City (MEX),Volaris A20N (N539VL),Landed 09:06,2021-06-08
4,4,09:30 VB4324,,Monterrey (MTY),VivaAerobus A20N (XA-VIW),Landed 09:09,2021-06-08
5,5,10:18,AA1304,Dallas (DFW),American Airlines B738 (N974AN),Landed 10:23,2021-06-08
6,6,10:30 WN3006,,Houston (HOU),Southwest Airlines B737 (N408WN),Landed 11:12,2021-06-08
7,7,10:33 NK1850,,Houston (IAH),Spirit Airlines A319 (N503NK),Landed 10:10,2021-06-08
8,8,11:20 AA2841,,Phoenix (PHX),American Airlines B738 (N913NN),Landed 12:33,2021-06-08
9,9,11:26 Y4466,,Tijuana (TIJ),Volaris A320 (XA-VOZ),Landed 11:15,2021-06-08
10,10,11:36,AM380,Mexico City (MEX),Aeromexico Connect E190 (XA-AEL),Landed 11:20,2021-06-08
11,11,11:40,DL1884,Los Angeles (LAX),Delta Air Lines B752 (N539US),Landed 11:40,2021-06-08
12,12,11:40 WN740,,Denver (DEN),Southwest Airlines B737 (N7887A),Landed 11:38,2021-06-08
13,13,11:51,UA707,Houston (IAH),United Airlines A320 (N463UA),Landed 11:51,2021-06-08
14,14,12:00 NK2445,,Los Angeles (LAX),Spirit Airlines A20N (N917NK),Landed 11:46,2021-06-08
15,15,12:01,DL1815,Atlanta (ATL),Delta Air Lines B739 (N920DU),Landed 12:09,2021-06-08
16,16,12:03 UA1285,,Los Angeles (LAX),United Airlines A320 (N490UA),Landed 12:53,2021-06-08
17,17,12:07 AA836,,Charlotte (CLT),American Airlines B738 (N866NN),Landed 12:36,2021-06-08
18,18,12:11,AA1225,Dallas (DFW),American Airlines A321 (N920US),Landed 12:17,2021-06-08
19,19,12:20 WN2020,,Phoenix (PHX),Southwest Airlines B737 (N920WN),Landed 12:07,2021-06-08
20,20,12:30 UA1879,,Chicago (ORD),United Airlines A320 (N458UA),Landed 11:57,2021-06-08
21,21,12:45 WN880,,Houston (HOU),Southwest Airlines B737 (N7845A),Landed 12:56,2021-06-08
22,22,12:51,Y4612,Mexico City (MEX),Volaris A21N (N534VL),Landed 12:40,2021-06-08
23,23,12:55,AS284,Los Angeles (LAX),Alaska Airlines B738 (N562AS),Landed 12:50,2021-06-08
24,24,13:00 VB3154,,Guadalajara (GDL),VivaAerobus A20N (XA-VIM),Landed 12:46,2021-06-08
25,25,13:05,UA1189,San Francisco (SFO),United Airlines A320 (N404UA),Landed 12:44,2021-06-08
26,26,13:10 WN630,,Santa Ana (SNA),Southwest Airlines B737 (N7726A),Landed 12:48,2021-06-08
27,27,13:11,Y4746,Guadalajara (GDL),Volaris A321 (XA-VRB),Landed 13:09,2021-06-08
28,28,13:20,AS1434,San Francisco (SFO),Alaska Airlines B739 (N285AK),Landed 13:18,2021-06-08
29,29,13:24,UA452,Denver (DEN),United Airlines A320 (N469UA),Landed 13:07,2021-06-08
30,30,13:31 Y4450,,Tijuana (TIJ),Volaris A321 (XA-VLW),Landed 13:15,2021-06-08
31,31,13:35 AS200,,San Jose (SJC),Alaska Airlines (Sub Pop Livery) B738 (N587AS),Landed 13:31,2021-06-08
32,32,13:56 UA797,,Los Angeles (LAX),United Airlines A320 (N448UA),Landed 13:27,2021-06-08
33,33,14:11,AM382,Mexico City (MEX),Aeromexico B738 (XA-AMV),Landed 14:01,2021-06-08
34,34,14:12,AA1663,Dallas (DFW),American Airlines A321 (N907AA),Landed 14:31,2021-06-08
35,35,14:25 WN1920,,Phoenix (PHX),Southwest Airlines B737 (N285WN),Landed 14:08,2021-06-08
36,36,14:27,DL1899,Los Angeles (LAX),Delta Air Lines B738 (N384DA),Landed 13:58,2021-06-08
37,37,14:34,UA294,Denver (DEN),United Airlines A320 (N419UA),Landed 14:11,2021-06-08
38,38,14:55,DL1885,Salt Lake City (SLC),Delta Air Lines B739 (N831DN),Landed 14:28,2021-06-08
39,39,14:55,,Nashville (BNA),- (N970JS),Landed 15:47,2021-06-08
40,40,15:07,UA1881,San Francisco (SFO),United Airlines A320 (N416UA),Landed 14:45,2021-06-08
41,41,15:08,AS1290,San Diego (SAN),Alaska Airlines B739 (N214AK),Landed 14:58,2021-06-08
42,42,15:20,DL1914,Seattle (SEA),Delta Air Lines B738 (N776DE),Landed 15:03,2021-06-08
43,43,15:30 VB1212,,Mexico City (MEX),VivaAerobus A20N (XA-VIW),Landed 15:08,2021-06-08
44,44,15:33 AA1518,,Los Angeles (LAX),American Airlines B738 (N991NN),Landed 15:12,2021-06-08
