,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:15,UA1543,New York (EWR),United Airlines B738 (N16234),Landed 23:59,2021-05-09
1,1,00:20,AA2190,Dallas (DFW),American Airlines A321 (N990AU),Landed 00:08,2021-05-09
2,2,00:22,B62103,New York (JFK),JetBlue Airways A321 (N998JE),Unknown,2021-05-09
3,3,00:24 NK43,,Baltimore (BWI),Spirit Airlines A320 (N650NK),Landed 00:11,2021-05-09
4,4,00:27 B6453,,Fort Lauderdale (FLL),JetBlue Airways A320 (N591JB),Landed 01:37,2021-05-09
5,5,00:40 2I429,,Memphis (MEM),21 Air B762,Unknown,2021-05-09
6,6,00:47,AA2180,Philadelphia (PHL),American Airlines B738 (N944AN),Landed 00:24,2021-05-09
7,7,00:49,B661,Boston (BOS),JetBlue Airways A321 (N903JB),Landed 00:37,2021-05-09
8,8,01:19 NK343,,Tampa (TPA),Spirit Airlines A320 (N623NK),Landed 00:54,2021-05-09
9,9,02:13 NK1356,,Fort Lauderdale (FLL),Spirit Airlines A320 (N618NK),Landed 02:48,2021-05-09
10,10,02:19 F9106,,Orlando (MCO),Frontier (Flo the Flamingo Livery) A20N (N308FR),Landed 02:12,2021-05-09
11,11,02:25 NK802,,Orlando (MCO),Spirit Airlines A320 (N693NK),Landed 02:19,2021-05-09
12,12,02:26 NK626,,Philadelphia (PHL),Spirit Airlines A320 (N641NK),Landed 03:04,2021-05-09
13,13,04:00 M68641,,Miami (MIA),Amerijet International 76F,Unknown,2021-05-09
14,14,05:06 F9108,,Philadelphia (PHL),Frontier (North the Harp Seal Livery) A20N (N338FR),Landed 05:38,2021-05-09
15,15,05:48 2Q491,,St. Croix (STX),Air Cargo Carriers SH36 (N368AC),Landed 05:48,2021-05-09
16,16,06:28 M68745,,Miami (MIA),Amerijet International B763 (N347CM),Landed 06:15,2021-05-09
17,17,07:01 2Q493,,St. Croix (STX),Air Cargo Carriers SH36,Canceled,2021-05-09
18,18,07:15 2Q381,,St. Thomas (STT),Air Cargo Carriers SH36 (N733CH),Landed 07:17,2021-05-09
19,19,07:16 2Q383,,St. Thomas (STT),Air Cargo Carriers SH36 (N167RC),Landed 07:59,2021-05-09
20,20,07:46 2Q385,,St. Thomas (STT),Air Cargo Carriers SH36,Canceled,2021-05-09
21,21,09:05,9K8021,St. Thomas (STT),Cape Air CNA,Unknown,2021-05-09
22,22,09:07,9K30,Mayaguez (MAZ),Cape Air C402 (N26514),Unknown,2021-05-09
23,23,09:08,AA377,Miami (MIA),American Airlines B38M (N326RP),Landed 08:50,2021-05-09
24,24,09:09,9K4401,Beef Island (EIS),Cape Air C402 (N223PB),Unknown,2021-05-09
25,25,09:20,B62003,New York (JFK),JetBlue Airways A21N (N2084J),Unknown,2021-05-09
26,26,09:22 B61233,,Orlando (MCO),JetBlue Airways A320 (N706JB),Landed 09:07,2021-05-09
27,27,09:24,9K2841,Vieques (VQS),Cape Air C402 (N83PB),Unknown,2021-05-09
28,28,09:25 BB3905,,St. Croix (STX),Seaborne SF3,Unknown,2021-05-09
29,29,09:27 TJ101,,St. Jean (SBH),Tradewind Aviation PC12 (N590TW),Landed 09:02,2021-05-09
30,30,09:35 BB3929,,St. Thomas (STT),Seaborne SF34,Canceled,2021-05-09
31,31,09:35 JY508,,Beef Island (EIS),InterCaribbean Airways E120,Canceled,2021-05-09
32,32,09:35,3M3929,St. Thomas (STT),Silver Airways SF3,Unknown,2021-05-09
33,33,09:39,9K5881,Isla De Culebra (CPX),Cape Air BN2T (N540BN),Landed 09:29,2021-05-09
34,34,09:40 B61938,,Santo Domingo (SDQ),JetBlue Airways E190 (N273JB),Landed 09:26,2021-05-09
35,35,09:49 GB845,,Cincinnati (CVG),DHL B762 (N783AX),Landed 09:50,2021-05-09
36,36,09:58 B61053,,Fort Lauderdale (FLL),JetBlue Airways A320 (N564JB),Landed 10:51,2021-05-09
37,37,10:00 BB4183,,Dominica (DOM),Seaborne Airlines SF34 (N336SA),Landed 09:34,2021-05-09
38,38,10:00,9K2581,St. Croix (STX),Cape Air C402 (N385CA),Unknown,2021-05-09
39,39,10:08,AA1300,Miami (MIA),American Airlines A321 (N167AN),Landed 09:42,2021-05-09
40,40,10:12 F996,,Santo Domingo (SDQ),Frontier (North the Harp Seal Livery) A20N (N338FR),Landed 09:58,2021-05-09
41,41,10:13,B61589,New York (EWR),JetBlue Airways A320 (N784JB),Unknown,2021-05-09
42,42,10:20 WN1312,,Orlando (MCO),Southwest Airlines B737 (N236WN),Landed 10:03,2021-05-09
43,43,10:25,3M115,St. Croix (STX),Silver Airways SF34 (N362AG),Landed 10:44,2021-05-09
44,44,10:46 B61421,,Philadelphia (PHL),JetBlue Airways A320 (N651JB),Landed 10:28,2021-05-09
45,45,10:59,9K2801,Vieques (VQS),Cape Air C402 (N83PB),Unknown,2021-05-09
46,46,10:59 9K2802,,Vieques (VQS),Cape Air C402 (N67886),Unknown,2021-05-09
47,47,11:05,9K8081,St. Thomas (STT),Cape Air C402 (N26632),Unknown,2021-05-09
48,48,11:14,9K4421,Beef Island (EIS),Cape Air C402 (N7037E),Unknown,2021-05-09
49,49,11:22,9K32,Mayaguez (MAZ),Cape Air C402 (N26514),Landed 11:06,2021-05-09
50,50,11:23,AA955,Miami (MIA),American Airlines B38M (N306RC),Landed 11:08,2021-05-09
51,51,11:23,UA2143,New York (EWR),United Airlines B739 (N38459),Landed 11:04,2021-05-09
52,52,11:43 B61347,,Washington (DCA),JetBlue Airways A320 (N583JB),Landed 11:15,2021-05-09
53,53,11:47,DL1228,Atlanta (ATL),Delta Air Lines B752 (N674DL),Landed 11:26,2021-05-09
54,54,12:01,B6903,New York (JFK),JetBlue Airways A21N (N2002J),Landed 11:56,2021-05-09
55,55,12:02 B61033,,Orlando (MCO),JetBlue Airways (NYPD Livery) A320 (N531JL),Landed 11:50,2021-05-09
56,56,12:02,9K2501,St. Croix (STX),Cape Air C402 (N68391),Unknown,2021-05-09
57,57,12:07 NK1035,,New York (EWR),Spirit Airlines A320 (N698NK),Landed 11:39,2021-05-09
58,58,12:10,DL639,New York (JFK),Delta Air Lines B739 (N908DN),Landed 11:55,2021-05-09
59,59,12:23 NK801,,Orlando (MCO),Spirit Airlines A320 (N627NK),Landed 12:19,2021-05-09
60,60,12:27 TJ103,,St. Jean (SBH),Tradewind Aviation PL2,Unknown,2021-05-09
61,61,12:27 TJ113,,St. Jean (SBH),Tradewind Aviation PC12 (N590TW),Landed 12:15,2021-05-09
62,62,12:29 B62751,,Tampa (TPA),JetBlue Airways A320 (N630JB),Landed 12:12,2021-05-09
63,63,12:29,9K4721,Beef Island (EIS),Cape Air CNA,Canceled,2021-05-09
64,64,12:30 SY3057,,Richmond (RIC),Amazon Air B738 (N7919A),Landed 11:46,2021-05-09
65,65,12:36 F9123,,New York (EWR),Frontier (Watson the Key Deer Livery) A20N (N372FR),Landed 12:37,2021-05-09
66,66,12:40 BB4142,,Sint Maarten (SXM),Seaborne SF3,Unknown,2021-05-09
67,67,12:40,9K5901,Isla De Culebra (CPX),Cape Air BN2T (N540BN),Landed 12:37,2021-05-09
68,68,12:45,3M4110,Beef Island (EIS),Seaborne Airlines SF34 (N336SA),Landed 12:23,2021-05-09
69,69,12:50 JY510,,Beef Island (EIS),InterCaribbean Airways E120,Canceled,2021-05-09
70,70,12:50 WN1879,,Baltimore (BWI),Southwest Airlines B738 (N8600F),Landed 12:30,2021-05-09
71,71,12:54 B6933,,Orlando (MCO),JetBlue Airways A320 (N508JL),Landed 12:35,2021-05-09
72,72,12:59 B6253,,Fort Lauderdale (FLL),JetBlue Airways A321 (N956JT),Landed 12:47,2021-05-09
73,73,13:03,AA1613,Miami (MIA),American Airlines B77W (N734AR),Landed 13:04,2021-05-09
74,74,13:09,9K2901,Vieques (VQS),Cape Air C402 (N83PB),Unknown,2021-05-09
75,75,13:09 9K2902,,Vieques (VQS),Cape Air C402 (N67886),Unknown,2021-05-09
