,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,2:06 AM 8C3449,,Wilmington (ILN),Amazon Air B763 (N433AZ),Landed 1:58 AM,2021-06-09
1,1,4:53 AM FX1429,,Memphis (MEM),FedEx DC10 (N304FE),Landed 6:28 AM,2021-06-09
2,2,4:57 AM FX1770,,Indianapolis (IND),FedEx B752 (N792FD),Landed 5:16 AM,2021-06-09
3,3,7:25 AM WN2616,,Ontario (ONT),Southwest Airlines B737 (N730SW),Landed 7:03 AM,2021-06-09
4,4,7:40 AM WN4923,,Las Vegas (LAS),Southwest Airlines B737 (N7745A),Landed 7:19 AM,2021-06-09
5,5,7:55 AM WN485,,Portland (PDX),Southwest Airlines B738 (N8525S),Landed 7:44 AM,2021-06-09
6,6,8:00 AM WN5041,,Salt Lake City (SLC),Southwest Airlines B737 (N937WN),Landed 7:50 AM,2021-06-09
7,7,8:25 AM WN459,,Santa Ana (SNA),Southwest Airlines B737 (N7815L),Landed 8:06 AM,2021-06-09
8,8,8:30 AM AS2561,,Portland (PDX),Alaska Horizon DH8D (N439QX),Landed 8:50 AM,2021-06-09
9,9,8:35 AM WN3271,,Burbank (BUR),Southwest Airlines B737 (N481WN),Landed 8:24 AM,2021-06-09
10,10,8:40 AM WN778,,Denver (DEN),Southwest Airlines B738 (N8301J),Landed 8:59 AM,2021-06-09
11,11,8:40 AM WN3682,,San Diego (SAN),Southwest Airlines B737 (N200WN),Landed 8:24 AM,2021-06-09
12,12,8:51 AM DL1455,,Salt Lake City (SLC),Delta Air Lines A319 (N354NB),Landed 8:56 AM,2021-06-09
13,13,8:55 AM AS3479,,San Diego (SAN),Alaska SkyWest E75L (N174SY),Landed 9:01 AM,2021-06-09
14,14,9:00 AM WN4515,,Seattle (SEA),Southwest Airlines B737 (N963WN),Unknown,2021-06-09
15,15,9:03 AM AS831,,Seattle (SEA),Alaska Airlines A320 (N840VA),Landed 8:54 AM,2021-06-09
16,16,9:15 AM WN1860,,Phoenix (PHX),Southwest Airlines B738 (N8661A),Landed 9:08 AM,2021-06-09
17,17,9:24 AM UA5445,,San Francisco (SFO),United Express CRJ2 (N905EV),Landed 9:32 AM,2021-06-09
18,18,9:35 AM DL3682,,Seattle (SEA),Delta Connection E75L (N271SY),Landed 9:31 AM,2021-06-09
19,19,9:35 AM WN1769,,Las Vegas (LAS),Southwest Airlines B738 (N8539V),Landed 9:26 AM,2021-06-09
20,20,9:35 AM WN5562,,Los Angeles (LAX),Southwest Airlines B38M (N8803L),Landed 9:24 AM,2021-06-09
21,21,9:41 AM UA5703,,Los Angeles (LAX),United Express CRJ2 (N912EV),Landed 9:52 AM,2021-06-09
22,22,9:53 AM 8C3488,,Chicago (RFD),Amazon Air B763 (N503AZ),Landed 9:51 AM,2021-06-09
23,23,9:56 AM AA2940,,Phoenix (PHX),American Airlines A320 (N124US),Landed 9:43 AM,2021-06-09
24,24,10:00 AM WN5098,,Long Beach (LGB),Southwest Airlines B737 (N412WN),Landed 9:46 AM,2021-06-09
25,25,10:05 AM WN4722,,San Diego (SAN),Southwest Airlines B737 (N205WN),Landed 10:43 AM,2021-06-09
26,26,10:07 AM UA5225,,Denver (DEN),United Express CRJ7 (N782SK),Landed 10:13 AM,2021-06-09
27,27,10:09 AM AA3147,,Los Angeles (LAX),American Eagle CRJ7 (N724SK),Landed 10:25 AM,2021-06-09
28,28,10:11 AM DL3629,,Los Angeles (LAX),Delta Connection E75L (N288SY),Landed 10:16 AM,2021-06-09
29,29,10:16 AM DL880,,Atlanta (ATL),Delta Air Lines A321 (N311DN),Landed 10:29 AM,2021-06-09
30,30,10:30 AM WN5368,,St. Louis (STL),Southwest Airlines B737 (N464WN),Landed 10:18 AM,2021-06-09
31,31,10:50 AM WN3535,,Chicago (MDW),Southwest Airlines B738 (N8656B),Landed 10:33 AM,2021-06-09
32,32,10:55 AM WN1946,,Phoenix (PHX),Southwest Airlines B738 (N8640D),Landed 10:46 AM,2021-06-09
33,33,10:55 AM WN5119,,Houston (HOU),Southwest Airlines B737 (N560WN),Landed 11:31 AM,2021-06-09
34,34,11:00 AM WN2455,,Las Vegas (LAS),Southwest Airlines B737 (N7748A),Landed 10:40 AM,2021-06-09
35,35,11:07 AM AA2081,,Dallas (DFW),American Airlines B738 (N955AN),Landed 11:00 AM,2021-06-09
36,36,11:10 AM 8C3460,,Baltimore (BWI),Amazon Air B763 (N449AZ),Landed 10:22 AM,2021-06-09
37,37,11:29 AM XOJ508,,Harrisburg (MDT),Xojet CL30 (N508XJ),Unknown,2021-06-09
38,38,11:30 AM WN2404,,Denver (DEN),Southwest Airlines B38M (N8738K),Landed 11:41 AM,2021-06-09
39,39,11:30 AM WN5028,,Santa Ana (SNA),Southwest Airlines B737 (N730SW),Landed 11:26 AM,2021-06-09
40,40,11:32 AM UA580,,Chicago (ORD),United Airlines A319 (N820UA),Landed 11:16 AM,2021-06-09
41,41,11:40 AM WN3568,,San Diego (SAN),Southwest Airlines B737 (N798SW),Unknown,2021-06-09
42,42,11:45 AM WN100,,Burbank (BUR),Southwest Airlines B737 (N718SW),Landed 11:42 AM,2021-06-09
43,43,11:50 AM F92091,,Las Vegas (LAS),Frontier (Meadow & West The Horses Livery) A20N (N343FR),Landed 11:21 AM,2021-06-09
44,44,11:55 AM 4B328,,Merced (MCE),Boutique Air PC12 (N670WH),Landed 11:59 AM,2021-06-09
45,45,11:59 AM DL3696,,Seattle (SEA),Delta Connection E75L (N267SY),Landed 12:02 PM,2021-06-09
46,46,12:00 PM AS2054,,Seattle (SEA),Alaska Horizon E75L (N620QX),Landed 12:06 PM,2021-06-09
47,47,12:00 PM NK928,,Las Vegas (LAS),Spirit Airlines A20N (N930NK),Landed 11:39 AM,2021-06-09
48,48,12:07 PM UA1974,,Houston (IAH),United Airlines B738 (N14230),Landed 12:15 PM,2021-06-09
49,49,12:10 PM WN4165,,Ontario (ONT),Southwest Airlines B738 (N8568Z),Landed 11:54 AM,2021-06-09
50,50,12:19 PM DL1432,,Salt Lake City (SLC),Delta Air Lines B739 (N880DN),Landed 12:08 PM,2021-06-09
51,51,12:20 PM WN3131,,Boise (BOI),Southwest Airlines B737 (N909WN),Landed 12:19 PM,2021-06-09
52,52,12:30 PM WN3451,,Los Angeles (LAX),Southwest Airlines B738 (N8689C),Landed 12:16 PM,2021-06-09
53,53,12:33 PM DL3592,,Los Angeles (LAX),Delta Connection E75L (N278SY),Landed 12:13 PM,2021-06-09
54,54,12:42 PM UA544,,Denver (DEN),United Airlines B39M (N27503),Landed 12:41 PM,2021-06-09
55,55,12:56 PM AA2085,,Phoenix (PHX),American Airlines A320 (N647AW),Landed 12:39 PM,2021-06-09
56,56,1:05 PM WN3018,,Seattle (SEA),Southwest Airlines B738 (N8326F),Landed 12:45 PM,2021-06-09
