,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:25 LA3396,,Rio de Janeiro (SDU),LATAM Airlines A319 (PT-TMB),Landed 23:59,2021-06-08
1,1,00:35,G31698,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GXI),Landed 00:05,2021-06-08
2,2,00:40,LA4725,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXN),Landed 00:19,2021-06-08
3,3,00:45 G31889,,Fortaleza (FOR),GOL Linhas Aereas B737 (PR-GEA),Landed 00:36,2021-06-08
4,4,02:00,AD4372,Campinas (VCP),Azul Linhas Aereas (Tropical Spix's Macaw Livery) E295 (PS-AEF),Landed 01:47,2021-06-08
5,5,05:25 AD4623,,Porto Seguro (BPS),Azul Linhas Aereas E195 (PR-AUF),Landed 04:57,2021-06-08
6,6,08:06 LA3754,,Sao Paulo (CGH),LATAM Airlines A320 (PR-MHK),Landed 07:58,2021-06-08
7,7,09:05 G32282,,Rio de Janeiro (SDU),GOL Linhas Aereas B738 (PR-GXX),Landed 08:37,2021-06-08
8,8,09:37,LA3964,Sao Paulo (GRU),LATAM Airlines B763 (PT-MOF),Landed 09:31,2021-06-08
9,9,09:40 2Z2247,,Ilheus (IOS),Passaredo Linhas Aereas AT7,Unknown,2021-06-08
10,10,09:45,AD4473,Belo Horizonte (CNF),Azul Linhas Aereas A20N (PR-YRC),Landed 09:35,2021-06-08
11,11,10:05,AD4256,Recife (REC),Azul Linhas Aereas E195 (PR-AUI),Landed 10:05,2021-06-08
12,12,10:05 AD4904,,Sao Paulo (CGH),Azul Linhas Aereas A20N (PR-YRF),Landed 09:46,2021-06-08
13,13,11:05 G31924,,Brasilia (BSB),GOL Linhas Aereas B738 (PR-GUG),Landed 10:52,2021-06-08
14,14,11:30 AD4163,,Vitoria Da Conquista (VDC),Azul Linhas Aereas (Azul Viagens Livery) E195 (PR-AYY),Unknown,2021-06-08
15,15,11:35 AD4633,,Rio de Janeiro (SDU),Azul Linhas Aereas (Pink Ribbon Livery) A20N (PR-YRS),Landed 11:25,2021-06-08
16,16,11:35,AD4940,Campinas (VCP),Azul Linhas Aereas A20N (PR-YRD),Landed 11:11,2021-06-08
17,17,11:36,LA3356,Brasilia (BSB),LATAM Airlines A320 (PR-MYZ),Landed 11:28,2021-06-08
18,18,11:50 G31566,,Sao Paulo (CGH),GOL Linhas Aereas B738 (PR-GGW),Landed 11:34,2021-06-08
19,19,11:55,G34106,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GUX),Landed 11:23,2021-06-08
20,20,13:20 2Z2283,,Vitoria Da Conquista (VDC),Passaredo Linhas Aereas AT7,Unknown,2021-06-08
21,21,13:25 2Z2287,,Porto Seguro (BPS),Passaredo Linhas Aereas AT7,Unknown,2021-06-08
22,22,13:30,AD4020,Porto Seguro (BPS),Azul Linhas Aereas E195 (PR-AUI),Landed 13:18,2021-06-08
23,23,13:55,AD4564,Recife (REC),Azul Linhas Aereas 320,Unknown,2021-06-08
24,24,14:05,AD4573,Belo Horizonte (CNF),Azul Linhas Aereas A20N (PR-YRL),Landed 13:53,2021-06-08
25,25,15:00,LA4723,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXI),Landed 14:39,2021-06-08
