,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:05 WN545,,Houston (HOU),Southwest Airlines B737 (N443WN),Unknown,2021-06-08
1,1,00:10 WN374,,Las Vegas (LAS),Southwest Airlines B738 (N8524Z),Landed 03:08,2021-06-08
2,2,00:25 WN842,,Phoenix (PHX),Southwest Airlines B737 (N7829B),Landed 00:32,2021-06-08
3,3,00:50 DL2052,,Salt Lake City (SLC),Delta Air Lines BCS1 (N133DU),Landed 01:04,2021-06-08
4,4,01:19 5Y3815,,Wilmington (ILN),Amazon Air B763 (N1409A),Landed 01:23,2021-06-08
5,5,01:25 WN1171,,Denver (DEN),Southwest Airlines B738 (N8646B),Landed 02:10,2021-06-08
6,6,04:09 FX1708,,Indianapolis (IND),FedEx B752 (N954FD),Landed 04:15,2021-06-08
7,7,04:21 5X634,,Chicago (RFD),UPS B752 (N465UP),Landed 04:13,2021-06-08
8,8,04:25 5X636,,Louisville (SDF),UPS A306 (N160UP),Landed 05:26,2021-06-08
9,9,05:01,F92094,Las Vegas (LAS),Frontier (Joey the Opossum Livery) A20N (N351FR),Landed 04:47,2021-06-08
10,10,05:48 FX1523,,Memphis (MEM),FedEx B763 (N120FE),Landed 06:17,2021-06-08
11,11,06:51 D0524,,Cincinnati (CVG),DHL B734 (N305GT),Landed 07:58,2021-06-08
12,12,07:00 9K45,,Marion (MWA),Cape Air P212 (N722CA),Landed 07:15,2021-06-08
13,13,07:05,9K1106,Marion (MWA),Cape Air P212 (N722CA),Unknown,2021-06-08
14,14,07:15 WN3021,,Chicago (MDW),Southwest Airlines B737 (N490WN),Landed 06:56,2021-06-08
15,15,07:30 LF3501,,Waynesville (TBN),Contour Aviation E135 (N16511),Landed 07:25,2021-06-08
16,16,07:30 WN2322,,Tampa (TPA),Southwest Airlines B738 (N8658A),Landed 07:12,2021-06-08
17,17,07:35 WN2493,,Fort Myers (RSW),Southwest Airlines B737 (N241WN),Landed 07:25,2021-06-08
18,18,07:35 WN3084,,Nashville (BNA),Southwest Airlines B737 (N767SW),Landed 07:21,2021-06-08
19,19,07:40 WN3173,,Boston (BOS),Southwest Airlines B737 (N728SW),Landed 07:25,2021-06-08
20,20,07:45 WN1078,,Fort Lauderdale (FLL),Southwest Airlines B738 (N8504G),Landed 07:31,2021-06-08
21,21,07:45 WN2811,,Atlanta (ATL),Southwest Airlines B737 (N7746C),Landed 07:39,2021-06-08
22,22,07:45 WN3113,,Orlando (MCO),Southwest Airlines B737 (N965WN),Landed 07:26,2021-06-08
23,23,07:50 3E2300,,Jackson (MKL),Air Choice One C208,Unknown,2021-06-08
24,24,08:05,9K1160,Kirksville (IRK),Cape Air P212 (N266CA),Unknown,2021-06-08
25,25,08:06,9K1144,Quincy (UIN),Cape Air P212 (N288CA),Unknown,2021-06-08
26,26,08:06 9K331,,Kirksville (IRK),Cape Air P212 (N266CA),Landed 08:28,2021-06-08
27,27,08:08 9K619,,Quincy (UIN),Cape Air P212 (N288CA),Landed 08:09,2021-06-08
28,28,08:09 3E797,,Jonesboro (JBR),Air Choice One C208 (N1258B),Landed 08:09,2021-06-08
29,29,08:30 3E2700,,Jonesboro (JBR),Air Choice One C208 (N803F),Landed 08:19,2021-06-08
30,30,08:39 AA4999,,Charlotte (CLT),American Eagle E75S (N128HQ),Landed 08:52,2021-06-08
31,31,08:45 WN6259,,Chicago (MDW),Southwest Airlines B737 (N494WN),Landed 08:28,2021-06-08
