,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:30 FR983,,Pescara (PSR),Ryanair B738 (EI-DHR),Landed 00:04,2021-06-08
1,1,05:05 QR8174,,Los Angeles (LAX),Qatar Cargo B77L (A7-BFN),Landed 04:05,2021-06-08
2,2,06:30 CZ491,,Guangzhou (CAN),China Southern Cargo B77L (B-2041),Landed 07:19,2021-06-08
3,3,07:15 U2252,,Belfast (BFS),easyJet A319 (G-EZDK),Landed 06:49,2021-06-08
4,4,07:35 FR6542,,Marseille (MRS),Ryanair B738 (9H-QBT),Landed 07:31,2021-06-08
5,5,07:40 FR4191,,Milan (BGY),Ryanair B738 (9H-QDV),Landed 07:22,2021-06-08
6,6,07:50 FR9811,,Barcelona (BCN),Ryanair B738 (EI-DLH),Landed 07:41,2021-06-08
7,7,08:15 LM651,,Londonderry (LDY),Loganair E145 (G-SAJK),Landed 07:57,2021-06-08
8,8,08:20 FR2433,,Krakow (KRK),Ryanair B738 (SP-RSQ),Landed 07:55,2021-06-08
9,9,08:25 U2206,,Glasgow (GLA),easyJet A319 (G-EZDX),Landed 08:06,2021-06-08
10,10,08:25 FR5993,,Madrid (MAD),Ryanair B738 (EI-EBP),Landed 08:16,2021-06-08
11,11,08:35 FR102,,Shannon (SNN),Ryanair B738 (EI-DWB),Landed 08:20,2021-06-08
12,12,08:55 FR8344,,Porto (OPO),Ryanair B738 (EI-EVJ),Landed 08:38,2021-06-08
13,13,09:10 FR1885,,Lisbon (LIS),Ryanair B738 (EI-EKI),Landed 08:51,2021-06-08
14,14,10:25 FR7383,,Copenhagen (CPH),Ryanair B738 (EI-EVS),Landed 10:15,2021-06-08
15,15,10:35 FR14,,Athens (ATH),Ryanair B738 (EI-GXN),Landed 10:29,2021-06-08
16,16,10:45 FR902,,Cork (ORK),Ryanair B738 (EI-EVF),Landed 10:38,2021-06-08
17,17,11:25 FR8354,,Budapest (BUD),Ryanair B738 (EI-DCJ),Landed 11:00,2021-06-08
18,18,11:25 FR2463,,Bydgoszcz (BZG),Ryanair B738 (EI-EME),Landed 11:03,2021-06-08
19,19,11:30 PC1169,,Istanbul (SAW),Pegasus A20N (TC-NCL),Landed 10:55,2021-06-08
20,20,11:55 FR2673,,Rome (CIA),Ryanair B738 (EI-DWK),Landed 11:53,2021-06-08
