,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,01:05 X3949,,Hannover (HAJ),TUI B738 (D-ATUO),Landed 01:07,2021-06-08
1,1,05:25 WT8014,,Paris (CDG),Swiftair AT72 (EC-KAD),Landed 05:41,2021-06-08
2,2,08:20,EW8000,Berlin (BER),Eurowings A320 (D-AEWN),Landed 07:58,2021-06-08
3,3,08:20 PNX501,,Munster (FMO),AIS Airlines J32,Unknown,2021-06-08
4,4,08:20 PNX6501,,Munster (FMO),AIS Airlines J32,Unknown,2021-06-08
5,5,10:15,LH128,Frankfurt (FRA),Lufthansa A319 (D-AILE),Landed 10:12,2021-06-08
6,6,10:25,EW2759,Vienna (VIE),Eurowings A319 (OE-LYX),Landed 10:00,2021-06-08
7,7,10:45 EW2029,,Hamburg (HAM),Eurowings A319 (D-AGWN),Landed 10:29,2021-06-08
8,8,10:55 X32715,,Palma de Mallorca (PMI),TUI B738 (D-ATUO),Landed 10:40,2021-06-08
9,9,12:40 TK7750,,Istanbul (SAW),AnadoluJet B738 (TC-JFE),Landed 12:17,2021-06-08
10,10,12:55 X34715,,Heraklion (HER),TUI B738 (D-ATUM),Landed 12:46,2021-06-08
11,11,13:15 PC969,,Istanbul (SAW),Pegasus B738 (TC-CPD),Landed 12:59,2021-06-08
12,12,13:30 X34707,,Rhodes (RHO),TUI B738 (D-ATUJ),Landed 13:23,2021-06-08
13,13,15:00 EW2683,,Thessaloniki (SKG),Eurowings A320 (D-AEWK),Landed 14:56,2021-06-08
14,14,15:10,EW8004,Berlin (BER),Eurowings A319 (D-AGWF),Landed 15:01,2021-06-08
15,15,16:35 EW2587,,Palma de Mallorca (PMI),Eurowings A320 (D-AEWT),Landed 16:17,2021-06-08
16,16,16:35 EW2685,,Athens (ATH),Eurowings A319 (D-AGWX),Landed 16:20,2021-06-08
17,17,17:05 EW2041,,Hamburg (HAM),Eurowings A319 (D-AGWN),Landed 16:36,2021-06-08
18,18,17:05 EW2593,,Palma de Mallorca (PMI),Eurowings A320 (D-AEWW),Unknown,2021-06-08
