,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,08:40 LI340,,Antigua (ANU),LIAT AT46 (V2-LID),Landed 08:18,2021-05-09
1,1,09:00,WM316,Antigua (ANU),Winair DHC6 (PJ-WII),Landed 08:40,2021-05-09
2,2,10:05,WM616,St. Jean (SBH),Winair DHC6 (PJ-WIQ),Landed 10:02,2021-05-09
3,3,10:15 PV201,,St. Jean (SBH),St Barth Commuter C208 (F-OSJR),Diverted to SBH,2021-05-09
4,4,10:30 PV203,,St. Jean (SBH),St Barth Commuter CNC,Unknown,2021-05-09
5,5,11:05 BB4142,,San Juan (SJU),Seaborne SF34,Unknown,2021-05-09
6,6,11:15 PV211,,St. Jean (SBH),St Barth Commuter CNC,Unknown,2021-05-09
7,7,11:30 PV213,,St. Jean (SBH),St Barth Commuter C208 (F-OSBM),Landed 11:33,2021-05-09
8,8,11:36,B6787,New York (JFK),JetBlue Airways A321 (N946JL),Landed 11:50,2021-05-09
9,9,12:10,3M107,San Juan (SJU),Silver Airways SF34 (N362AG),Landed 12:31,2021-05-09
10,10,12:15 PV221,,St. Jean (SBH),St Barth Commuter C208 (F-OSBH),Diverted to SBH,2021-05-09
11,11,12:20,WM632,St. Jean (SBH),Winair DHC6 (PJ-WIQ),Landed 12:04,2021-05-09
12,12,12:25,UA1629,New York (EWR),United Airlines B737 (N24729),Unknown,2021-05-09
13,13,12:30 PV223,,St. Jean (SBH),St Barth Commuter C208 (F-OSJR),Landed 12:25,2021-05-09
14,14,12:51 DL1887,,New York (JFK),Delta Air Lines B752 (N688DL),Landed 12:27,2021-05-09
15,15,13:10,WM644,St. Jean (SBH),Winair DHC6 (PJ-WII),Landed 12:56,2021-05-09
16,16,13:15 PV231,,St. Jean (SBH),St Barth Commuter C208 (F-OSBH),Landed 13:17,2021-05-09
17,17,13:18 B6995,,New York (EWR),JetBlue Airways A320 (N524JB),Landed 13:09,2021-05-09
