,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,08:05,AM310,Mexico City (MEX),Aeromexico Connect E190 (XA-AEF),Landed 07:42,2021-06-08
1,1,08:27 Y4772,,Mexico City (MEX),Volaris A20N (N528VL),Landed 08:21,2021-06-08
2,2,10:35 AM312,,Mexico City (MEX),Aeromexico Connect E190 (XA-ACK),Landed 10:15,2021-06-08
3,3,12:00 AM314,,Mexico City (MEX),Aeromexico Connect E190 (XA-GAF),Unknown,2021-06-08
4,4,13:05,AM316,Mexico City (MEX),Aeromexico B738 (XA-AMB),Landed 12:51,2021-06-08
5,5,13:40 VB3142,,Guadalajara (GDL),VivaAerobus A320 (XA-VAB),Landed 13:19,2021-06-08
6,6,16:48,Y45119,Cancun (CUN),Volaris A20N (N538VL),Landed 16:46,2021-06-08
7,7,17:13,AM318,Mexico City (MEX),Aeromexico Connect E190 (XA-GAI),Landed 17:04,2021-06-08
8,8,19:20 VB4194,,Monterrey (MTY),VivaAerobus A320 (XA-VAB),Landed 18:52,2021-06-08
9,9,19:54,AM320,Mexico City (MEX),Aeromexico Connect E190 (XA-ALY),Landed 19:59,2021-06-08
10,10,19:58 Y4794,,Mexico City (MEX),Volaris A320 (XA-VLE),Landed 19:46,2021-06-08
11,11,21:55 VB2258,,Cancun (CUN),VivaAerobus A20N (XA-VII),Landed 21:29,2021-06-08
12,12,22:45 VB1228,,Mexico City (MEX),VivaAerobus A20N (XA-VIB),Landed 22:39,2021-06-08
13,13,23:25,AM322,Mexico City (MEX),Aeromexico Connect E190 (XA-GAF),Landed 23:49,2021-06-08
0,0,6:57 AM Y4544,,Tijuana (TIJ),Volaris A320 (N510VL),Diverted to TAP,2021-06-09
1,1,8:05 AM,AM310,Mexico City (MEX),Aeromexico B738 (XA-AMJ),Landed 10:01 AM,2021-06-09
2,2,8:45 AM Y4544,,Tapachula (TAP),Volaris A320 (N510VL),Unknown,2021-06-09
3,3,10:35 AM AM312,,Mexico City (MEX),Aeromexico Connect E190 (XA-GAE),Landed 10:34 AM,2021-06-09
4,4,1:05 PM,AM316,Mexico City (MEX),Aeromexico B738 (XA-ADT),Landed 1:10 PM,2021-06-09
5,5,3:51 PM Y4688,,Guadalajara (GDL),Volaris A320 (N525VL),Landed 3:40 PM,2021-06-09
6,6,5:13 PM,AM318,Mexico City (MEX),Aeromexico Connect E190 (XA-ACJ),Landed 5:22 PM,2021-06-09
7,7,5:22 PM,Y4119,Cancun (CUN),Volaris A320 (N523VL),Landed 5:08 PM,2021-06-09
8,8,7:54 PM,AM320,Mexico City (MEX),Aeromexico Connect E190 (XA-GAE),Landed 8:12 PM,2021-06-09
9,9,7:58 PM Y4794,,Mexico City (MEX),Volaris A20N (XA-VRP),Landed 7:37 PM,2021-06-09
10,10,9:30 PM VB4198,,Monterrey (MTY),VivaAerobus A20N (XA-VIR),Landed 9:09 PM,2021-06-09
11,11,9:55 PM VB2258,,Cancun (CUN),VivaAerobus A320 (XA-VAW),Landed 9:47 PM,2021-06-09
12,12,10:45 PM VB1228,,Mexico City (MEX),VivaAerobus A320 (XA-VAO),Landed 10:30 PM,2021-06-09
13,13,11:25 PM,AM322,Mexico City (MEX),Aeromexico Connect E190 (XA-IAC),Landed 11:11 PM,2021-06-09
0,0,08:05,AM310,Mexico City (MEX),Aeromexico Connect E190 (XA-FAC),Landed 08:19,2021-06-10
1,1,08:27 Y4772,,Mexico City (MEX),Volaris A20N (XA-VRP),Landed 08:14,2021-06-10
2,2,10:35 AM312,,Mexico City (MEX),Aeromexico B738 (XA-AMM),Landed 10:40,2021-06-10
3,3,12:00 AM314,,Mexico City (MEX),Aeromexico Connect E190 (XA-ACK),Unknown,2021-06-10
4,4,13:05,AM316,Mexico City (MEX),Aeromexico Connect E190 (XA-AEI),Landed 12:59,2021-06-10
5,5,16:20 VB3144,,Guadalajara (GDL),VivaAerobus A320 (XA-VAY),Landed 16:01,2021-06-10
6,6,19:54,AM320,Mexico City (MEX),Aeromexico Connect E190 (XA-ACM),Landed 19:56,2021-06-10
7,7,19:58 Y4794,,Mexico City (MEX),Volaris A21N (N543VL),Landed 19:50,2021-06-10
8,8,21:20 VB2258,,Cancun (CUN),VivaAerobus A320 (XA-VAW),Landed 21:07,2021-06-10
