,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:17 Y4403,,Silao (BJX),Volaris A21N (N537VL),Landed 00:13,2021-06-08
1,1,00:24 Y4429,,Guadalajara (GDL),Volaris A320 (N509VL),Landed 23:59,2021-06-08
2,2,00:30 VB3114,,Guadalajara (GDL),VivaAerobus A20N (XA-VIQ),Landed 00:18,2021-06-08
3,3,06:10 Y4435,,Guadalajara (GDL),Volaris A321 (XA-VRB),Landed 05:55,2021-06-08
4,4,06:43 Y4441,,Morelia (MLM),Volaris A20N (XA-VRI),Landed 06:24,2021-06-08
5,5,06:51,,Guadalajara (GDL),- B734,Canceled,2021-06-08
6,6,07:01 Y4831,,Zacatecas (ZCL),Volaris A20N (N541VL),Landed 06:55,2021-06-08
7,7,07:05 E7314,,Guadalajara (GDL),Estafeta Carga Aerea B734 (XA-EME),Landed 06:46,2021-06-08
8,8,07:05 Y4413,,Culiacan (CUL),Volaris A321 (XA-VRC),Landed 06:58,2021-06-08
9,9,07:05 VB1232,,Mexico City (MEX),VivaAerobus A320 (XA-VAP),Landed 06:44,2021-06-08
10,10,07:21 Y4455,,Durango (DGO),Volaris A320 (XA-VOZ),Landed 07:14,2021-06-08
11,11,07:38 Y4491,,Aguascalientes (AGU),Volaris A320 (N509VL),Landed 07:25,2021-06-08
12,12,07:45 VB3104,,Guadalajara (GDL),VivaAerobus A20N (XA-VIJ),Landed 07:21,2021-06-08
13,13,08:01 FX70,,San Diego (SAN),FedEx B752 (N961FD),Landed 08:36,2021-06-08
14,14,08:05 VB1234,,Mexico City (MEX),VivaAerobus A320 (XA-VAA),Landed 07:47,2021-06-08
15,15,08:13,AM170,Mexico City (MEX),Aeromexico B738 (XA-AME),Landed 07:58,2021-06-08
16,16,08:15 VB5029,,Silao (BJX),VivaAerobus A320 (XA-VAQ),Landed 07:52,2021-06-08
17,17,08:18 Y4531,,Acapulco (ACA),Volaris A20N (XA-VRS),Landed 08:03,2021-06-08
18,18,08:27 Y4815,,Mexico City (MEX),Volaris A320 (N522VL),Landed 08:07,2021-06-08
19,19,08:37 Y4487,,Morelia (MLM),Volaris A320 (XA-VOY),Landed 08:29,2021-06-08
20,20,08:45 Y4427,,Guadalajara (GDL),Volaris A321 (XA-VLW),Landed 08:32,2021-06-08
21,21,08:50 A82520,,Ontario (ONT),Ameriflight E120 (N179CA),Landed 08:42,2021-06-08
22,22,08:56 Y4401,,Silao (BJX),Volaris A320 (XA-VLO),Landed 08:39,2021-06-08
23,23,09:00 Y4509,,Guadalajara (GDL),Volaris A321 (XA-VLY),Landed 08:53,2021-06-08
24,24,09:30 Y4541,,Oaxaca (OAX),Volaris A20N (N533VL),Landed 08:56,2021-06-08
25,25,09:40 Y4811,,Mexico City (MEX),Volaris A320 (N514VL),Landed 09:21,2021-06-08
26,26,10:36 Y4817,,Mexico City (MEX),Volaris A320 (N524VL),Landed 10:30,2021-06-08
27,27,10:44 Y4581,,La Paz (LAP),Volaris A21N (N537VL),Landed 10:21,2021-06-08
28,28,10:45 VB5003,,Culiacan (CUL),VivaAerobus A20N (XA-VIS),Landed 10:25,2021-06-08
29,29,11:00,AM174,Mexico City (MEX),Aeromexico B788 (N965AM),Landed 10:38,2021-06-08
30,30,11:11 Y4437,,Guadalajara (GDL),Volaris A320 (XA-VLF),Landed 11:04,2021-06-08
31,31,11:19 Y4501,,Hermosillo (HMO),Volaris A320 (N509VL),Landed 11:11,2021-06-08
32,32,11:37 Y4561,,Los Mochis (LMM),Volaris A320 (N505VL),Landed 11:31,2021-06-08
33,33,12:18 Y4845,,Tepic (TPQ),Volaris A320 (XA-VLR),Landed 11:56,2021-06-08
34,34,12:26 Y4411,,Culiacan (CUL),Volaris A321 (XA-VRC),Landed 12:10,2021-06-08
35,35,12:41 Y4445,,Morelia (MLM),Volaris A320 (XA-VLC),Landed 12:36,2021-06-08
36,36,13:05 Y4467,,San Jose del Cabo (SJD),Volaris A320 (XA-VOZ),Landed 12:59,2021-06-08
37,37,13:17 Y4489,,Guadalajara (GDL),Volaris A320 (N512VL),Landed 13:27,2021-06-08
38,38,13:25 Y4399,,Silao (BJX),Volaris A320 (N510VL),Landed 13:07,2021-06-08
39,39,13:30 Y4843,,Colima (CLQ),Volaris A20N (XA-VRI),Landed 13:31,2021-06-08
40,40,13:36 Y4269,,Loreto (LTO),Volaris A320 (XA-VOY),Landed 13:15,2021-06-08
41,41,14:22 Y4419,,Culiacan (CUL),Volaris A321 (XA-VLY),Landed 14:43,2021-06-08
42,42,14:25 VB2264,,Cancun (CUN),VivaAerobus A320 (XA-VAX),Landed 14:37,2021-06-08
43,43,14:41,AM176,Mexico City (MEX),Aeromexico B738 (XA-AMW),Landed 14:39,2021-06-08
44,44,15:09 Y4591,,Mazatlan (MZT),Volaris A20N (N533VL),Landed 15:08,2021-06-08
45,45,15:10 Y4451,,San Jose del Cabo (SJD),Volaris A321 (XA-VLW),Landed 15:00,2021-06-08
46,46,15:40 Y4495,,Aguascalientes (AGU),Volaris A20N (XA-VRS),Landed 15:44,2021-06-08
47,47,15:50 Y4847,,Queretaro (QRO),Volaris A20N (N530VL),Landed 15:40,2021-06-08
48,48,16:00 VB3106,,Guadalajara (GDL),VivaAerobus A320 (XA-VAQ),Landed 15:47,2021-06-08
49,49,16:10 VB4082,,Monterrey (MTY),VivaAerobus A20N (XA-VIJ),Landed 15:51,2021-06-08
50,50,16:10 Y4423,,Guadalajara (GDL),Volaris A321 (XA-VLH),Landed 16:01,2021-06-08
51,51,16:46 Y4813,,Mexico City (MEX),Volaris A320 (XA-VLM),Landed 16:41,2021-06-08
52,52,17:37 Y4513,,Monterrey (MTY),Volaris A21N (N537VL),Landed 17:27,2021-06-08
53,53,17:52 Y4417,,Culiacan (CUL),Volaris A321 (XA-VRC),Landed 17:42,2021-06-08
54,54,18:02 Y4425,,Guadalajara (GDL),Volaris A321 (XA-VRB),Landed 18:16,2021-06-08
55,55,18:25 Y45467,,San Jose del Cabo (SJD),Volaris A320 (N505VL),Landed 18:12,2021-06-08
56,56,18:29 Y4477,,Ciudad Juarez (CJS),Volaris A320 (XA-VOY),Landed 18:33,2021-06-08
57,57,18:35 VB1242,,Mexico City (MEX),VivaAerobus A21N (XA-VBB),Landed 18:28,2021-06-08
