,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,12:45 AM TK7710,,Istanbul (SAW),AnadoluJet B738 (TC-JGB),Landed 12:39 AM,2020-10-03
1,1,1:40 AM PC785,,Istanbul (SAW),Pegasus Airlines A320 (TC-DCJ),Landed 1:23 AM,2020-10-03
2,2,1:40 AM PC785,,Istanbul (SAW),Pegasus Airlines A21N (TC-RBC),Landed 1:07 AM,2020-10-03
3,3,2:00 AM,A3928,Athens (ATH),Aegean Airlines A321 (SX-DGP),Landed 1:38 AM,2020-10-03
4,4,2:35 AM DL9575,,Amsterdam (AMS),Delta Air Lines -,Canceled,2020-10-03
5,5,3:25 AM LX256,,Zurich (ZRH),Swiss A333 (HB-JHE),Landed 3:12 AM,2020-10-03
6,6,3:30 AM TK792,,Istanbul (IST),Turkish Airlines 321,Unknown,2020-10-03
7,7,3:30 AM XC1451,,Antalya (AYT),Corendon Airlines 737,Unknown,2020-10-03
8,8,4:00 AM,ET404,Addis Ababa (ADD),Ethiopian Airlines B788 (ET-ATJ),Landed 4:31 AM,2020-10-03
9,9,5:15 AM,VS453,London (LHR),Virgin Atlantic B789 (G-VBEL),Landed 5:01 AM,2020-10-03
10,10,7:45 AM CX675,,Hong Kong (HKG),Cathay Pacific A35K (B-LXE),Landed 7:09 AM,2020-10-03
11,11,8:05 AM OE7161,,Vienna (VIE),Laudamotion 320,Unknown,2020-10-03
12,12,8:25 AM W63257,,Bucharest (OTP),Wizz Air 320,Unknown,2020-10-03
13,13,8:50 AM UA84,,New York (EWR),United Airlines B78X (N14001),Landed 8:09 AM,2020-10-03
14,14,8:50 AM TK784,,Istanbul (IST),Turkish Airlines 321,Unknown,2020-10-03
15,15,9:00 AM W64427,,Sofia (SOF),Wizz Air 320,Unknown,2020-10-03
16,16,9:20 AM W63593,,Timisoara (TSR),Wizz Air 320,Unknown,2020-10-03
17,17,9:40 AM W63807,,Sibiu (SBZ),Wizz Air 320,Unknown,2020-10-03
18,18,9:50 AM W63479,,Cluj-Napoca (CLJ),Wizz Air 320,Unknown,2020-10-03
19,19,10:00 AM W62325,,Budapest (BUD),Wizz Air 32Q,Unknown,2020-10-03
20,20,10:00 AM W65097,,Krakow (KRK),Wizz Air 321,Unknown,2020-10-03
21,21,10:10 AM W68093,,Vilnius (VNO),Wizz Air 320,Unknown,2020-10-03
22,22,10:15 AM MB6122,,Istanbul (IST),MNG Airlines A306 (TC-MCG),Landed 11:01 AM,2020-10-03
23,23,10:15 AM W62811,,Vienna (VIE),Wizz Air 321,Unknown,2020-10-03
24,24,11:00 AM 3V4848,,Liege (LGG),ASL Airlines Belgium B738 (OE-IMD),Landed 10:34 AM,2020-10-03
25,25,11:35 AM W65561,,Milan (MXP),Wizz Air 321,Unknown,2020-10-03
26,26,1:25 PM UA90,,New York (EWR),United Airlines B78X (N12006),Landed 12:57 PM,2020-10-03
27,27,1:45 PM TK6379,,Izmir (ADB),ULS Airlines Cargo A310 (TC-VEL),Landed 7:48 PM,2020-10-03
28,28,1:50 PM 6H574,,Thessaloniki (SKG),Israir Airlines A320 (4X-ABI),Landed 1:30 PM,2020-10-03
29,29,2:10 PM 6H516,,Rhodes (RHO),Israir Airlines A320 (4X-ABS),Landed 1:54 PM,2020-10-03
30,30,2:35 PM 6H562,,Athens (ATH),Israir Airlines A320 (4X-ABG),Landed 2:17 PM,2020-10-03
31,31,2:35 PM LH8342,,Frankfurt (FRA),Lufthansa Cargo MD11 (D-ALCI),Landed 4:19 PM,2020-10-03
32,32,2:40 PM BZ801,,Kos (KGS),Bluebird Airways 733,Unknown,2020-10-03
33,33,2:50 PM BZ751,,Heraklion (HER),Bluebird Airways 733,Unknown,2020-10-03
34,34,3:10 PM,AF1620,Paris (CDG),Air France A320 (F-HEPE),Landed 3:08 PM,2020-10-03
35,35,3:10 PM W64547,,Varna (VAR),Wizz Air A320 (HA-LPM),Landed 2:57 PM,2020-10-03
36,36,3:10 PM OE186,,Vienna (VIE),Laudamotion 320,Unknown,2020-10-03
37,37,3:15 PM LY882,,Liege (LGG),El Al 74F,Unknown,2020-10-03
38,38,3:20 PM BA165,,London (LHR),British Airways B789 (G-ZBKR),Landed 3:29 PM,2020-10-03
39,39,3:20 PM BZ691,,Rhodes (RHO),Bluebird Airways 733,Unknown,2020-10-03
40,40,3:45 PM W62329,,Budapest (BUD),Wizz Air 320,Unknown,2020-10-03
41,41,4:50 PM BA163,,London (LHR),British Airways 77F,Unknown,2020-10-03
42,42,4:55 PM BT771,,Riga (RIX),Air Baltic 223,Unknown,2020-10-03
43,43,5:10 PM 5C972,,Oslo (OSL),CAL Cargo Airlines 74F,Unknown,2020-10-03
44,44,5:10 PM 5C572,,Oslo (OSL),CAL Cargo Airlines 74Y,Unknown,2020-10-03
45,45,5:35 PM DL234,,New York (JFK),Delta Air Lines A333 (N822NW),Landed 4:54 PM,2020-10-03
46,46,5:45 PM OS861,,Vienna (VIE),Austrian Airlines E195 (OE-LWP),Landed 5:33 PM,2020-10-03
47,47,5:55 PM FR4083,,Krakow (KRK),Ryanair 73H,Canceled,2020-10-03
48,48,6:10 PM FR6746,,Brussels (CRL),Ryanair B738 (EI-EGB),Landed 5:58 PM,2020-10-03
49,49,6:30 PM A3924,,Athens (ATH),Aegean Airlines (Acropolis Museum Livery) A320 (SX-DVU),Landed 6:32 PM,2020-10-03
50,50,7:00 PM W61559,,Warsaw (WAW),Wizz Air 32Q,Unknown,2020-10-03
51,51,7:15 PM W62813,,Vienna (VIE),Wizz Air 321,Unknown,2020-10-03
52,52,7:35 PM U22085,,London (LTN),easyJet A320 (G-EZPB),Landed 7:19 PM,2020-10-03
53,53,7:55 PM W62327,,Budapest (BUD),Wizz Air 320,Unknown,2020-10-03
54,54,8:00 PM BZ565,,Varna (VAR),Bluebird Airways 733,Unknown,2020-10-03
55,55,8:10 PM,TK788,Istanbul (IST),Turkish Airlines 321,Unknown,2020-10-03
56,56,8:40 PM BZ251,,Barcelona (BCN),Bluebird Airways 733,Unknown,2020-10-03
57,57,8:55 PM W64451,,London (LTN),Wizz Air A320 (G-WUKF),Landed 8:56 PM,2020-10-03
58,58,9:00 PM W63263,,Bucharest (OTP),Wizz Air 321,Unknown,2020-10-03
59,59,9:45 PM RM795,,Yerevan (EVN),Armenia 737,Unknown,2020-10-03
60,60,9:50 PM 6H766,,Belgrade (BEG),Israir Airlines (Israel-UAE agreement Livery) A320 (4X-ABF),Landed 9:21 PM,2020-10-03
61,61,10:00 PM,TK790,Istanbul (IST),Turkish Airlines A333 (TC-JNP),Landed 9:48 PM,2020-10-03
62,62,11:05 PM,LH690,Frankfurt (FRA),Lufthansa A319 (D-AIBJ),Landed 11:01 PM,2020-10-03
63,63,11:05 PM PS787,,Odesa (ODS),Ukraine Int. Airlines E90,Canceled,2020-10-03
64,64,11:20 PM,AF1120,Paris (CDG),Air France A320 (F-GKXZ),Landed 11:14 PM,2020-10-03
65,65,11:20 PM LY232,,Liege (LGG),El Al Israel Airlines (Retro Livery) B789 (4X-EDF),Landed 12:18 AM,2020-10-03
66,66,11:59 PM BZ755,,Heraklion (HER),Bluebird Airways 733,Unknown,2020-10-03
0,0,12:45 AM TK7710,,Istanbul (SAW),AnadoluJet B738 (TC-JFG),Landed 12:44 AM,2020-10-04
1,1,1:10 AM PC779,,Istanbul (SAW),Pegasus Airlines A21N (TC-RBC),Landed 12:47 AM,2020-10-04
2,2,1:40 AM PC785,,Istanbul (SAW),Pegasus Airlines A320 (TC-DCM),Landed 1:21 AM,2020-10-04
3,3,2:00 AM,A3928,Athens (ATH),Aegean Airlines A321 (SX-DGQ),Landed 1:41 AM,2020-10-04
4,4,2:40 AM XR6002,,Heraklion (HER),Corendon Airlines Europe 738,Unknown,2020-10-04
5,5,3:10 AM FB573,,Sofia (SOF),Bulgaria Air E190 (LZ-SOF),Landed 2:47 AM,2020-10-04
6,6,3:30 AM XC449,,Antalya (AYT),Corendon Airlines 320,Unknown,2020-10-04
7,7,3:45 AM TK784,,Istanbul (IST),Turkish Airlines A333 (TC-JNO),Landed 3:30 AM,2020-10-04
8,8,6:15 AM LY872,,Liege (LGG),Atlas Air B744 (N487MC),Landed 7:54 AM,2020-10-04
9,9,7:45 AM XC441,,Antalya (AYT),Corendon Airlines 738,Unknown,2020-10-04
10,10,8:25 AM W63257,,Bucharest (OTP),Wizz Air 320,Unknown,2020-10-04
11,11,8:50 AM UA84,,New York (EWR),United Airlines B78X (N12005),Landed 8:18 AM,2020-10-04
12,12,8:55 AM W64427,,Sofia (SOF),Wizz Air A320 (HA-LYC),Landed 9:03 AM,2020-10-04
13,13,9:00 AM TK6648,,Istanbul (ISL),Turkish Cargo B77L (TC-LJR),Landed 9:35 AM,2020-10-04
14,14,9:15 AM MJ301,,Tbilisi (TBS),MyWay Airlines 738,Unknown,2020-10-04
