,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:17 AA1773,,Charlotte (CLT),American Airlines A321 (N538UW),Landed 02:07,2021-06-08
1,1,00:17 AA2256,,Dallas (DFW),American Airlines A321 (N910AU),Landed 02:03,2021-06-08
2,2,00:25 WN1641,,Chicago (MDW),Southwest Airlines B738 (N8603F),Landed 00:19,2021-06-08
3,3,00:30 WN262,,Phoenix (PHX),Southwest Airlines B737 (N225WN),Landed 00:20,2021-06-08
4,4,00:45 WN710,,Las Vegas (LAS),Southwest Airlines (Missouri One Livery) B737 (N280WN),Landed 01:28,2021-06-08
5,5,00:45 WN1955,,Denver (DEN),Southwest Airlines B738 (N8699A),Landed 01:22,2021-06-08
6,6,00:46 LBQ865,,Tallahassee (TLH),Quest Diagnostics PC12 (N120QD),Landed 00:40,2021-06-08
7,7,00:50 CTL3,,Miami (OPF),Central Airlines AC50 (N610BW),Landed 23:48,2021-06-08
8,8,02:11 5Y3827,,San Juan (SJU),Amazon Air B763 (N1997A),Landed 02:02,2021-06-08
9,9,03:50 CTL4,,Miami (OPF),Central Airlines AC50 (N444CA),Landed 03:04,2021-06-08
10,10,05:05 F92098,,Las Vegas (LAS),Frontier (Blanco the Polar Bear Livery) A20N (N353FR),Landed 05:28,2021-06-08
11,11,05:19 CTL5,,Miami (OPF),Central Airlines AC50 (N610BW),Landed 05:12,2021-06-08
12,12,05:23 5X1352,,Philadelphia (PHL),UPS B752 (N439UP),Landed 05:58,2021-06-08
13,13,05:24 NK344,,San Juan (SJU),Spirit Airlines A320 (N651NK),Landed 05:03,2021-06-08
14,14,05:37 5X1338,,Louisville (SDF),UPS MD11 (N263UP),Landed 06:16,2021-06-08
15,15,05:40 5X1350,,Dallas (DFW),UPS B752 (N407UP),Landed 05:40,2021-06-08
16,16,06:06 DL1072,,Los Angeles (LAX),Delta Air Lines B738 (N3751B),Landed 05:49,2021-06-08
17,17,06:07 F9290,,Denver (DEN),Frontier (Mitch the Wolverine Livery) A321 (N713FR),Landed 06:30,2021-06-08
18,18,06:15 FX1759,,Indianapolis (IND),FedEx A306 (N733FD),Landed 07:14,2021-06-08
19,19,06:56 FX1410,,Memphis (MEM),FedEx MD11 (N628FE),Landed 06:41,2021-06-08
20,20,07:14 NK1128,,Las Vegas (LAS),Spirit Airlines A20N (N924NK),Landed 07:16,2021-06-08
21,21,07:59,,Sarasota (SRQ),- GALX (N143CB),Canceled,2021-06-08
22,22,08:30 WN1526,,Raleigh-Durham (RDU),Southwest Airlines B738 (N8674B),Landed 08:03,2021-06-08
23,23,08:40 WN541,,Baltimore (BWI),Southwest Airlines B738 (N8680C),Landed 08:24,2021-06-08
24,24,08:55 WN2417,,Indianapolis (IND),Southwest Airlines B738 (N8614M),Landed 08:51,2021-06-08
