,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:05 CI928,,Hong Kong (HKG),China Airlines 738,Unknown,2021-04-29
1,1,00:20,TW663,Daegu (TAE),T'way Air 737,Canceled,2021-04-29
2,2,00:50 BX791,,Daegu (TAE),Air Busan 321,Unknown,2021-04-29
3,3,01:10 CI5832,,Hong Kong (HKG),China Airlines Cargo B744 (B-18712),Landed 00:08,2021-04-29
4,4,01:15 7G881,,Kitakyushu (KKJ),Starflyer 320,Unknown,2021-04-29
5,5,01:17 CI5137,,Los Angeles (LAX),China Airlines B77L (B-18773),Landed 01:04,2021-04-29
6,6,01:25 MH6191,,Tokyo (NRT),MASkargo A332 (9M-MUB),Landed 23:36,2021-04-29
7,7,02:35 Y87911,,Guangzhou (CAN),Suparna Airlines 73F,Unknown,2021-04-29
8,8,04:20 RH4568,,Hong Kong (HKG),Hong Kong Air Cargo A332 (B-LNV),Landed 04:17,2021-04-29
9,9,04:30 CI5822,,Hong Kong (HKG),China Airlines 77X,Unknown,2021-04-29
10,10,04:30 CI614,,Hong Kong (HKG),China Airlines A333 (B-18303),Landed 04:10,2021-04-29
11,11,04:31 CI2054,,Auckland (AKL),China Airlines A359 (B-18902),Landed 04:33,2021-04-29
12,12,04:45 Y87935,,Guangzhou (CAN),Suparna Airlines 73F,Unknown,2021-04-29
13,13,04:55 CI5896,,Guangzhou (CAN),China Airlines Cargo B744 (B-18712),Landed 10:07,2021-04-29
14,14,05:00,CI7,Los Angeles (LAX),China Airlines B77W (B-18003),Landed 04:54,2021-04-29
15,15,05:05 BR671,,Shanghai (PVG),EVA Air Cargo B77L (B-16785),Landed 06:56,2021-04-29
16,16,05:10 BR6536,,Hong Kong (HKG),Eva Air Cargo B77L (B-16782),Landed 09:46,2021-04-29
17,17,05:11,BR55,Chicago (ORD),EVA Air B77W (B-16735),Landed 05:13,2021-04-29
18,18,05:15 BR678,,Chongqing (CKG),EVA Air Cargo B77L (B-16786),Landed 05:20,2021-04-29
19,19,05:15,BR31,New York (JFK),EVA Air B77W (B-16740),Landed 04:42,2021-04-29
20,20,05:18,BR11,Los Angeles (LAX),EVA Air B77W (B-16710),Landed 05:09,2021-04-29
21,21,05:25,CI3,San Francisco (SFO),China Airlines B77W (B-18052),Landed 04:49,2021-04-29
22,22,05:25 BR15,,Los Angeles (LAX),EVA Air B77W (B-16712),Landed 05:49,2021-04-29
23,23,05:30 CI56,,Sydney (SYD),China Airlines A333 (B-18355),Landed 04:43,2021-04-29
24,24,05:30 BR27,,San Francisco (SFO),EVA Air B77W (B-16705),Landed 05:01,2021-04-29
25,25,05:35 CI5928,,Shenzhen (SZX),China Airlines Cargo B744 (B-18711),Landed 06:11,2021-04-29
26,26,05:45 CI5898,,Shanghai (PVG),China Airlines Cargo B744 (B-18719),Landed 11:37,2021-04-29
27,27,05:45,TR898,Singapore (SIN),Scoot B788 (9V-OFH),Landed 05:29,2021-04-29
28,28,05:55 LD680,,Hong Kong (HKG),DHL A306 (B-LDD),Landed 05:38,2021-04-29
29,29,05:55 O36915,,Ningbo (NGB),SF Airlines 73F,Unknown,2021-04-29
30,30,06:00,CI74,Amsterdam (AMS),China Airlines A359 (B-18912),Landed 05:34,2021-04-29
31,31,06:00 CI5926,,Zhengzhou (CGO),China Airlines Cargo B744 (B-18712),Unknown,2021-04-29
32,32,06:10 CI62,,Frankfurt (FRA),China Airlines A359 (B-18905),Landed 05:26,2021-04-29
33,33,06:55 CI756,,Singapore (SIN),China Airlines A333 (B-18317),Landed 18:25,2021-04-29
34,34,07:35 O36917,,Shenzhen (SZX),SF Airlines B752 (B-2821),Landed 11:28,2021-04-29
35,35,08:05 VN570,,Ho Chi Minh City (SGN),Vietnam Airlines A321 (VN-A615),Landed 07:13,2021-04-29
36,36,08:30,PR890,Manila (MNL),Philippine Airlines A333 (RP-C8780),Landed 07:47,2021-04-29
37,37,08:50 CK261,,Shanghai (PVG),China Cargo Airlines B77L (B-2083),Landed 00:34,2021-04-29
38,38,10:00 CI922,,Hong Kong (HKG),China Airlines A333 (B-18301),Landed 00:00,2021-04-29
39,39,10:10 CF209,,Fuzhou (FOC),China Postal Airlines B733 (B-5065),Unknown,2021-04-29
40,40,10:15 9C8951,,Shanghai (PVG),Spring Airlines A320 (B-6932),Landed 09:54,2021-04-29
41,41,10:25,MF887,Xiamen (XMN),Xiamen Air B737 (B-5218),Landed 10:20,2021-04-29
42,42,10:40 7G811,,Nagoya (NGO),Starflyer 320,Unknown,2021-04-29
43,43,10:50 CI5992,,Xiamen (XMN),China Airlines Cargo B744 (B-18717),Landed 11:33,2021-04-29
44,44,11:30,OZ711,Seoul (ICN),Asiana Airlines A333 (HL7747),Landed 11:44,2021-04-29
45,45,12:20 CX494,,Hong Kong (HKG),Cathay Pacific A35K (B-LXL),Landed 12:01,2021-04-29
46,46,12:30,CI121,Naha (OKA),China Airlines 333,Unknown,2021-04-29
